timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1564166700,Jul 26 2019 - 6:45pm,complete,23329,Rapid Wien,Salzburg,Alexander Harkam,1,0.00,0.00,1.56,2.06,0,2,2,1,0,1,"","35,82",3,4,0,0,0,0,0,0,0,0,10,10,3,5,7,5,7,16,45,55,0.00,0.00,1.26,1.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.80,3.80,1.85,1.20,1.74,2.50,4.33,1.57,2.25,Allianz Stadion (Wien)
1564239600,Jul 27 2019 - 3:00pm,complete,2068,Admira,Wolfsberger AC,Chiristian-Petru Ciochirca,1,0.00,0.00,0.63,1.75,0,3,3,1,0,1,"","43,55,76",3,5,3,0,3,0,1,2,2,1,8,12,4,6,4,6,13,15,42,58,0.00,0.00,1.31,1.84,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.80,3.60,1.90,1.30,1.95,3.40,6.25,1.85,1.85,BSFZ-Arena (Maria Enzersdorf)
1564239600,Jul 27 2019 - 3:00pm,complete,3519,Wattens,Austria Wien,Christopher Jäger,1,0.00,0.00,0.63,1.35,3,1,4,1,1,0,"33,59,64","68",10,7,0,0,2,0,0,0,0,2,13,11,8,5,5,6,18,14,30,70,0.00,0.00,1.82,1.68,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.50,3.60,2.00,1.26,1.84,3.00,5.25,1.71,2.06,Tivoli Stadion Tirol (Innsbruck)
1564326000,Jul 28 2019 - 3:00pm,complete,2592,Mattersburg,Hartberg,Manuel Schüttengruber,1,0.00,0.00,0.75,1.53,2,1,3,1,1,0,"28,69","62",6,9,1,0,3,0,0,1,1,2,14,14,7,4,7,10,13,13,48,52,0.00,0.00,1.95,1.72,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.80,3.60,3.90,1.22,1.73,2.75,4.75,1.70,2.05,Pappelstadion (Mattersburg)
1564326000,Jul 28 2019 - 3:00pm,complete,8350,Sturm Graz,St. Pölten,Walter Altmann,1,0.00,0.00,0.88,1.19,3,0,3,2,2,0,"2,45,57","",6,3,2,0,2,1,1,1,1,2,17,5,8,2,9,3,14,18,49,51,0.00,0.00,2.35,1.11,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.65,3.50,5.75,1.25,1.85,3.00,5.80,1.75,2.00,Merkur Arena (Graz)
1564326000,Jul 28 2019 - 3:00pm,complete,5087,LASK Linz,Rheindorf Altach,Harald Lechner,1,0.00,0.00,1.50,1.06,2,0,2,1,1,0,"7,79","",8,4,1,0,2,0,0,1,1,1,13,5,8,2,5,3,19,16,46,54,0.00,0.00,1.90,0.80,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.50,4.20,6.50,1.25,1.84,2.90,5.50,1.85,1.91,Raiffeisen Arena (Pasching)
1564844400,Aug 03 2019 - 3:00pm,complete,8248,Austria Wien,LASK Linz,Sebastian Gishamer,2,0.00,0.00,1.56,2.50,0,3,3,1,0,1,"","42,86,90'1",2,4,1,0,2,0,0,1,0,2,6,11,3,7,3,4,20,29,47,53,0.00,0.00,1.03,1.72,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.77,3.62,1.89,1.25,1.73,3.00,5.00,1.67,2.10,Generali Arena (Wien)
1564844400,Aug 03 2019 - 3:00pm,complete,4038,Rheindorf Altach,Wattens,Gerhard Grobelnik,2,0.00,0.00,1.25,1.00,3,2,5,4,2,2,"30,41,75","1,32",6,2,2,0,3,0,0,2,1,2,16,8,9,5,7,3,11,16,70,30,0.00,0.00,2.30,1.19,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.85,3.58,3.98,1.25,1.80,3.00,5.50,1.75,2.05,CASHPOINT Arena (Altach)
1564844400,Aug 03 2019 - 3:00pm,complete,2442,Hartberg,Admira,Josef Spurny,2,0.00,0.00,1.18,1.13,4,1,5,2,2,0,"4,17,63,76","77",4,5,2,0,3,0,1,1,0,3,11,10,7,7,4,3,18,17,42,58,0.00,0.00,1.60,1.59,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.18,3.63,2.98,1.17,1.57,2.38,4.33,1.50,2.55,PROfertil ARENA (Hartberg)
1564930800,Aug 04 2019 - 3:00pm,complete,8738,Salzburg,Mattersburg,Andreas Heiß,2,0.00,0.00,2.56,1.13,4,1,5,3,3,0,"8,11,37,50","54",11,2,3,1,2,0,0,4,1,1,21,5,10,5,11,0,10,11,71,29,0.00,0.00,2.82,0.94,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.12,7.90,18.50,1.10,1.36,2.00,3.40,2.20,1.65,Red Bull Arena (Wals-Siezenheim)
1564930800,Aug 04 2019 - 3:00pm,complete,6939,Wolfsberger AC,Sturm Graz,Dieter Muckenhammer,2,0.00,0.00,1.63,1.31,0,1,1,1,0,1,"","5",11,0,2,0,2,1,0,2,1,2,14,6,4,3,10,3,14,11,66,34,0.00,0.00,1.96,0.81,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.26,3.40,2.99,1.25,1.82,2.77,4.70,1.67,2.15,Lavanttal Arena (Wolfsberg)
1564930800,Aug 04 2019 - 3:00pm,complete,7407,St. Pölten,Rapid Wien,Christopher Jäger,2,0.00,0.00,0.94,2.06,2,2,4,2,1,1,"43,69","38,47",6,8,3,0,4,0,1,2,0,4,9,18,4,7,5,11,19,17,41,59,0.00,0.00,1.35,2.25,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.40,4.43,1.52,1.18,1.61,2.33,3.74,1.65,2.20,NV ARENA (St. Pölten)
1565449200,Aug 10 2019 - 3:00pm,complete,10402,Salzburg,Wolfsberger AC,Julian Weinberger,3,3.00,3.00,2.56,1.75,5,2,7,3,2,1,"22,39,65,89,90'1","7,78",5,8,2,0,2,0,0,2,1,1,14,10,8,6,6,4,9,10,53,47,2.82,1.84,2.02,1.61,4.00,50,100,100,50,50,50,100,100,100,16.00,7.00,1.31,5.40,8.45,1.14,1.47,2.30,4.10,1.87,1.90,Red Bull Arena (Wals-Siezenheim)
