team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
FC Salzburg,Salzburg,2018/2019,Austria,32,16,16,0,25,14,11,5,2,3,2,0,2,2.5,2.75,2.25,1,1,1,1,79,27,52,106,54,52,44,35,10,17,34,18,36,33,41,107,143,85,11,6,5,20,10,10,2,1,1,25,13,12,217,118,99,49,12,37,63,64,63,459,248,211,262,143,119,197,105,92,402,181,221,30,19,11,10,2,8,20,17,3,13,9,4,17,6,11,2,1,1,1.75,2.06,1.44,3.31,3.38,3.25,2.47,2.75,2.19,0.84,0.63,1.06,1.25,1.31,1.19,0.94,1.19,0.69,0.31,0.13,0.5,31,30,21,13,6,4,15,14,11,7,3,3,16,16,10,6,3,1,1,2,11,19,26,28,1,2,5,9,13,13,0,0,6,10,13,15,97,94,66,41,19,13,94,88,69,44,19,19,100,100,63,38,19,6,3,6,34,59,81,87,6,12,31,56,81,81,0,0,37,62,81,94,21,12,4,11,6,2,10,6,2,66,38,13,69,38,13,63,38,13,78,88,69,18,34,38,31,63,63,63,6,6,6,78,81,75,23,14,9,72,88,56,13,6,7,41,38,44,7,1,6,22,6,38,41,56,25,53,38,69,6,6,6,6.78,7.38,6.19,1.53,0.75,2.31,75,72,69,59,47,38,25,19,2.32,2.49,2.16,1.17,1.05,1.28,88,7,4,8,8,8,6,9,5,24,1,0,3,3,5,3,4,5,3,16,13,19,6,0,13,16
SC Rheindorf Altach,Rheindorf Altach,2018/2019,Austria,32,16,16,0,9,4,5,10,3,7,13,9,4,1.16,0.94,1.38,2,12,5,8,48,44,4,92,56,36,27,21,29,15,-2,6,60,53,69,65,50,96,5,1,4,22,12,10,7,3,4,13,6,7,135,62,73,48,21,27,49,48,49,317,163,154,163,85,78,154,78,76,499,239,260,15,11,4,22,14,8,-7,-3,-4,5,3,2,14,6,8,13,7,6,0.91,0.94,0.88,2.88,3.5,2.25,1.5,1.69,1.31,1.38,1.81,0.94,1.16,1.56,0.75,0.47,0.69,0.25,0.69,0.88,0.5,30,25,18,11,5,2,16,14,12,8,4,1,14,11,6,3,1,1,2,7,14,21,27,30,0,2,4,8,12,15,2,5,10,13,15,15,94,78,56,34,16,6,100,88,75,50,25,6,88,69,38,19,6,6,6,22,44,66,84,94,0,12,25,50,75,94,12,31,62,81,94,94,21,10,6,13,8,4,8,2,2,66,31,19,81,50,25,50,13,13,28,25,31,-9,16,6,25,69,75,63,22,19,25,41,38,44,14,6,8,44,38,50,20,6,14,63,38,88,9,7,2,28,44,13,16,19,13,44,38,50,41,44,38,4.22,3.88,4.56,1.5,1.31,1.69,78,69,66,41,31,22,16,13,1.33,1.37,1.31,1.58,1.58,1.58,81,4,2,3,6,2,7,10,6,8,4,6,6,3,6,4,2,3,10,31,19,44,41,56,25,6
FC Admira Wacker Mödling,Admira,2018/2019,Austria,32,16,16,0,8,4,4,9,4,5,15,8,7,1.03,1,1.06,5,11,9,11,42,62,-20,104,54,50,24,18,30,32,-6,-14,69,60,80,46,48,45,6,3,3,19,10,9,10,5,5,10,5,5,116,71,45,75,36,39,45,45,44,274,149,125,156,86,70,118,63,55,496,244,252,17,10,7,24,14,10,-7,-4,-3,8,3,5,12,8,4,12,5,7,1.13,1.06,1.19,3.25,3.38,3.13,1.31,1.5,1.13,1.94,1.88,2,1.28,1.5,1.06,0.53,0.63,0.44,0.75,0.88,0.63,29,26,22,16,7,3,14,13,11,7,6,2,15,13,11,9,1,1,3,6,10,16,25,29,2,3,5,9,10,14,1,3,5,7,15,15,91,81,69,50,22,9,88,81,69,44,38,13,94,81,69,56,6,6,9,19,31,50,78,91,12,19,31,56,62,87,6,19,31,44,94,94,24,12,5,12,9,3,12,3,2,75,38,16,75,56,19,75,19,13,25,25,25,9,19,19,19,59,63,56,31,31,31,31,31,31,14,7,7,44,44,44,19,8,11,59,50,69,7,5,2,22,31,13,25,19,31,38,50,25,38,31,44,3.63,4.44,2.81,2.34,2.25,2.44,78,72,56,38,31,28,22,19,1.06,1.15,0.98,1.85,1.69,1.99,88,1,7,3,3,5,7,6,4,6,5,5,4,6,7,7,11,4,13,28,25,31,47,50,44,9
FK Austria Wien,Austria Wien,2018/2019,Austria,32,16,16,0,12,7,5,6,3,3,14,6,8,1.31,1.5,1.13,4,6,7,7,45,48,-3,93,55,38,31,14,24,24,7,-10,64,46,102,60,60,60,7,3,4,17,10,7,10,3,7,13,7,6,170,93,77,85,41,44,50,49,51,324,177,147,174,103,71,150,74,76,479,226,253,20,14,6,15,9,6,5,5,0,8,5,3,17,7,10,7,4,3,1.28,1.38,1.19,2.91,3.44,2.38,1.41,1.94,0.88,1.5,1.5,1.5,1.09,1.44,0.75,0.63,0.88,0.38,0.47,0.56,0.38,30,25,17,10,5,4,16,15,11,7,3,2,14,10,6,3,2,2,2,7,15,22,27,28,0,1,5,9,13,14,2,6,10,13,14,14,94,78,53,31,16,13,100,94,69,44,19,13,88,63,38,19,13,13,6,22,47,69,84,87,0,6,31,56,81,87,12,37,62,81,87,87,20,10,3,11,7,3,9,3,0,63,31,9,69,44,19,56,19,0,38,44,31,0,22,19,25,53,63,44,31,19,44,41,44,38,18,8,10,56,50,63,18,8,10,56,50,63,8,5,3,25,31,19,25,31,19,53,44,63,22,25,19,5.31,5.81,4.81,2.66,2.56,2.75,84,78,66,50,34,25,16,13,1.55,1.72,1.37,1.59,1.56,1.62,81,3,3,5,4,6,9,3,6,6,2,3,7,3,2,8,1,6,16,19,19,19,44,38,50,13
SKN Sankt Pölten,St. Pölten,2018/2019,Austria,32,16,16,0,9,5,4,9,4,5,14,7,7,1.13,1.19,1.06,6,8,10,9,32,50,-18,82,41,41,19,13,22,28,-3,-15,90,76,111,58,65,51,11,5,6,12,7,5,14,6,8,12,7,5,120,61,59,81,40,41,42,43,42,290,168,122,133,72,61,157,96,61,530,268,262,12,8,4,21,10,11,-9,-2,-7,7,4,3,16,7,9,9,5,4,1.16,1.19,1.13,2.56,2.56,2.56,1,1.19,0.81,1.56,1.38,1.75,1.03,1.13,0.94,0.38,0.5,0.25,0.66,0.63,0.69,27,22,14,10,4,3,14,11,8,5,1,1,13,11,6,5,3,2,5,10,18,22,28,29,2,5,8,11,15,15,3,5,10,11,13,14,84,69,44,31,13,9,88,69,50,31,6,6,81,69,38,31,19,13,16,31,56,69,87,91,12,31,50,69,94,94,19,31,62,69,81,87,20,8,2,12,4,1,8,4,1,63,25,6,75,25,6,50,25,6,28,31,25,16,34,31,38,38,44,31,44,38,50,38,44,31,19,8,11,59,50,69,21,9,12,66,56,75,4,3,1,13,19,6,22,25,19,50,44,56,28,31,25,3.75,3.81,3.69,2.53,2.5,2.56,81,78,66,41,41,38,22,19,1.03,1.16,0.90,1.72,1.56,1.88,50,1,4,3,2,2,2,3,3,12,4,2,4,5,7,9,6,4,9,28,25,31,44,44,44,6
Wolfsberger Athletik Club,Wolfsberger AC,2018/2019,Austria,32,16,16,0,12,7,5,10,6,4,10,3,7,1.44,1.69,1.19,3,4,6,4,47,47,0,94,49,45,27,20,22,25,5,-5,61,53,72,61,65,58,9,4,5,17,11,6,10,2,8,14,9,5,173,91,82,72,35,37,49,49,49,429,217,212,195,105,90,234,112,122,491,239,252,18,9,9,21,11,10,-3,-2,-1,9,5,4,12,6,6,11,5,6,1.22,1.31,1.13,2.94,3.06,2.81,1.47,1.69,1.25,1.47,1.38,1.56,1.22,1.25,1.19,0.56,0.56,0.56,0.66,0.69,0.63,28,25,19,12,5,3,15,13,10,7,2,1,13,12,9,5,3,2,4,7,13,20,27,29,1,3,6,9,14,15,3,4,7,11,13,14,88,78,59,38,16,9,94,81,63,44,13,6,81,75,56,31,19,13,12,22,41,62,84,91,6,19,37,56,87,94,19,25,44,69,81,87,23,9,6,12,5,3,11,4,3,72,28,19,75,31,19,69,25,19,38,44,31,11,28,25,31,53,69,38,31,13,50,44,56,31,17,8,9,53,50,56,18,8,10,56,50,63,6,4,2,19,25,13,28,31,25,38,38,38,34,31,38,5.41,5.69,5.13,2.25,2.19,2.31,94,84,72,44,34,34,19,16,1.88,1.97,1.80,1.57,1.43,1.72,75,1,4,2,6,8,8,1,8,9,3,5,8,1,8,3,6,0,13,31,38,25,31,19,44,6
SK Sturm Graz,Sturm Graz,2018/2019,Austria,34,17,17,0,11,4,7,10,4,6,13,9,4,1.26,0.94,1.59,5,10,3,5,39,42,-3,81,44,37,20,19,24,18,-4,1,78,76,80,73,64,85,10,4,6,19,10,9,9,4,5,17,8,9,193,112,81,71,29,42,51,53,48,338,197,141,174,98,76,164,99,65,423,207,216,19,12,7,12,8,4,7,4,3,12,6,6,17,9,8,5,2,3,1.56,1.59,1.53,2.38,2.59,2.18,1.15,1.18,1.12,1.24,1.41,1.06,0.91,1.18,0.65,0.56,0.71,0.41,0.35,0.47,0.24,30,25,16,6,4,0,16,13,10,3,2,0,14,12,6,3,2,0,4,9,18,28,30,34,1,4,7,14,15,17,3,5,11,14,15,17,88,74,47,18,12,0,94,76,59,18,12,0,82,71,35,18,12,0,12,26,53,82,88,100,6,24,41,82,88,100,18,29,65,82,88,100,22,7,2,12,6,2,10,1,0,65,21,6,71,35,12,59,6,0,32,24,41,-6,29,24,35,56,59,53,26,24,29,50,47,53,22,9,13,65,53,76,17,7,10,50,41,59,7,6,1,21,35,6,35,35,35,50,53,47,15,12,18,5.68,6.59,4.76,2.09,1.71,2.47,85,76,71,53,38,28,28,21,1.52,1.71,1.33,1.57,1.49,1.65,62,2,5,6,3,4,5,3,5,6,3,2,3,2,4,7,5,8,8,29,24,35,38,53,24,12
SK Rapid Wien,Rapid Wien,2018/2019,Austria,35,18,17,0,15,8,7,7,4,3,13,6,7,1.49,1.56,1.41,1,3,4,3,52,46,6,98,40,58,23,29,17,29,6,0,60,70,53,69,96,53,13,8,5,17,7,10,7,5,2,20,11,9,215,114,101,65,40,25,56,55,58,450,239,211,205,103,102,245,136,109,483,248,235,27,11,16,15,3,12,12,8,4,14,7,7,15,10,5,6,1,5,1.63,1.72,1.53,2.8,2.22,3.41,1.49,1.28,1.71,1.31,0.94,1.71,1.2,0.78,1.65,0.77,0.61,0.94,0.43,0.17,0.71,33,26,19,9,4,4,16,12,7,2,1,1,17,14,12,7,3,3,2,9,16,26,31,31,2,6,11,16,17,17,0,3,5,10,14,14,94,74,54,26,11,11,89,67,39,11,6,6,100,82,71,41,18,18,6,26,46,74,89,89,11,33,61,89,94,94,0,18,29,59,82,82,23,11,5,9,3,1,14,8,4,66,31,14,50,17,6,82,47,24,43,44,41,7,37,44,29,49,39,59,20,28,12,57,61,53,25,16,9,71,89,53,17,10,7,49,56,41,5,1,4,14,6,24,40,39,41,43,56,29,17,6,29,6.14,6.33,5.94,1.86,2.22,1.47,89,86,80,54,49,37,37,26,1.77,1.80,1.74,1.52,1.34,1.71,71,5,5,4,8,6,5,7,4,8,3,3,2,5,4,9,7,5,8,20,22,18,37,33,41,17
SV Mattersburg,Mattersburg,2018/2019,Austria,33,16,17,0,12,7,5,7,5,2,14,4,10,1.3,1.63,1,3,5,8,6,41,50,-9,91,44,47,22,19,22,28,0,-9,73,65,80,59,65,55,8,4,4,20,10,10,7,3,4,15,8,7,154,75,79,84,36,48,49,49,48,324,172,152,153,78,75,171,94,77,544,268,276,11,5,6,20,7,13,-9,-2,-7,6,4,2,17,8,9,10,4,6,1.06,1.25,0.88,2.76,2.75,2.76,1.24,1.38,1.12,1.52,1.38,1.65,0.94,0.75,1.12,0.33,0.31,0.35,0.61,0.44,0.76,31,27,20,8,3,2,15,14,9,4,1,1,16,13,11,4,2,1,2,6,13,25,30,31,1,2,7,12,15,15,1,4,6,13,15,16,94,82,61,24,9,6,94,88,56,25,6,6,94,76,65,24,12,6,6,18,39,76,91,94,6,12,44,75,94,94,6,24,35,76,88,94,20,8,2,9,2,1,11,6,1,61,24,6,56,13,6,65,35,6,36,44,29,10,24,25,24,61,63,59,21,19,24,45,50,41,19,11,8,58,69,47,22,11,11,67,69,65,5,1,4,15,6,24,18,25,12,52,50,53,30,25,35,4.67,4.69,4.65,2.55,2.25,2.82,91,85,82,57,52,42,30,24,1.25,1.33,1.19,1.79,1.52,2.05,85,3,2,4,2,3,4,6,6,11,3,5,2,6,5,9,8,5,7,21,31,12,42,25,59,18
FC Wacker Innsbruck,Wacker Innsbruck,2018/2019,Austria,32,16,16,0,8,5,3,5,2,3,19,9,10,0.91,1.06,0.75,4,9,12,12,32,51,-19,83,35,48,13,19,22,29,-9,-10,90,111,76,57,65,50,7,6,1,15,4,11,12,8,4,9,4,5,176,107,69,62,25,37,48,49,47,357,196,161,160,80,80,197,116,81,417,198,219,13,5,8,19,7,12,-6,-2,-4,6,3,3,14,7,7,12,6,6,1,1,1,2.59,2.19,3,1,0.81,1.19,1.59,1.38,1.81,1,0.75,1.25,0.41,0.31,0.5,0.59,0.44,0.75,30,24,16,10,3,0,14,9,6,5,1,0,16,15,10,5,2,0,2,8,16,22,29,32,2,7,10,11,15,16,0,1,6,11,14,16,94,75,50,31,9,0,88,56,38,31,6,0,100,94,63,31,13,0,6,25,50,69,91,100,12,44,62,69,94,100,0,6,37,69,87,100,21,9,2,10,2,0,11,7,2,66,28,6,63,13,0,69,44,13,25,31,19,-3,22,38,6,47,25,69,38,50,25,28,25,31,16,9,7,50,56,44,22,12,10,69,75,63,5,1,4,16,6,25,19,19,19,44,44,44,38,38,38,5.50,6.69,4.31,1.94,1.56,2.31,94,91,69,59,56,50,44,34,1.55,1.62,1.48,1.76,1.63,1.90,72,2,3,4,3,1,3,6,4,6,4,5,5,4,3,5,8,7,10,16,13,19,59,56,63,25
