team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
EC Vitória,Vitória,2014,Brazil,38,19,19,0,10,6,4,8,5,3,20,8,12,1,1.21,0.79,17,19,14,17,37,54,-17,91,45,46,23,14,22,32,1,-18,93,74,122,63,78,54,5,3,2,20,11,9,16,7,9,11,6,5,170,95,75,82,29,53,51,53,49,332,186,146,159,92,67,173,94,79,570,307,263,13,8,5,21,8,13,-8,0,-8,6,3,3,18,12,6,14,4,10,0.95,1.11,0.79,2.39,2.37,2.42,0.97,1.21,0.74,1.42,1.16,1.68,0.89,0.84,0.95,0.34,0.42,0.26,0.55,0.42,0.68,35,27,18,10,1,0,17,12,10,5,1,0,18,15,8,5,0,0,3,11,20,28,37,38,2,7,9,14,18,19,1,4,11,14,19,19,92,71,47,26,3,0,89,63,53,26,5,0,95,79,42,26,0,0,8,29,53,74,97,100,11,37,47,74,95,100,5,21,58,74,100,100,23,8,2,10,6,0,13,2,2,61,21,5,53,32,0,68,11,11,26,32,21,22,13,16,11,53,58,47,42,37,47,29,32,26,20,12,8,53,63,42,28,13,15,74,68,79,5,3,2,13,16,11,16,16,16,47,63,32,37,21,53,4.47,5.00,3.95,2.16,1.53,2.79,95,82,82,71,50,45,39,24,0.00,0.00,0.00,0.00,0.00,0.00,68,4,3,1,3,2,6,6,5,7,2,9,3,4,6,2,8,11,9,21,26,16,53,42,63,16
Santos FC Sao Paulo,Santos,2014,Brazil,38,19,19,0,15,10,5,8,3,5,15,6,9,1.39,1.74,1.05,9,13,9,9,42,35,7,77,37,40,25,17,12,23,13,-6,81,68,101,98,143,74,15,9,6,13,6,7,14,6,8,20,11,9,203,114,89,79,36,43,50,50,50,379,211,168,176,91,85,203,120,83,618,320,298,20,11,9,11,2,9,9,9,0,14,8,6,18,10,8,6,1,5,1.58,1.79,1.37,2.03,1.95,2.11,1.11,1.32,0.89,0.92,0.63,1.21,0.82,0.68,0.95,0.53,0.58,0.47,0.29,0.11,0.47,34,23,13,6,1,0,17,12,6,2,0,0,17,11,7,4,1,0,4,15,25,32,37,38,2,7,13,17,19,19,2,8,12,15,18,19,89,61,34,16,3,0,89,63,32,11,0,0,89,58,37,21,5,0,11,39,66,84,97,100,11,37,68,89,100,100,11,42,63,79,95,100,22,8,1,10,3,0,12,5,1,58,21,3,53,16,0,63,26,5,39,53,26,26,39,47,32,34,32,37,37,32,42,53,58,47,29,17,12,76,89,63,22,10,12,58,53,63,3,1,2,8,5,11,37,42,32,47,53,42,16,5,26,5.34,6.00,4.68,2.08,1.89,2.26,84,71,61,55,47,32,28,26,0.00,0.00,0.00,0.00,0.00,0.00,39,1,7,4,3,8,4,6,3,6,1,2,6,0,4,5,5,2,10,21,16,26,39,32,47,18
CR Flamengo,Flamengo,2014,Brazil,38,19,19,0,14,10,4,10,5,5,14,4,10,1.37,1.84,0.89,10,9,11,10,46,47,-1,93,44,49,29,17,15,32,14,-15,74,59,101,73,114,54,11,8,3,17,8,9,12,4,8,20,12,8,192,108,84,75,37,38,51,53,49,334,182,152,148,79,69,186,103,83,561,296,265,20,10,10,24,8,16,-4,2,-6,11,6,5,14,9,5,13,4,9,1.24,1.42,1.05,2.45,2.32,2.58,1.21,1.53,0.89,1.24,0.79,1.68,1.16,0.95,1.37,0.53,0.53,0.53,0.63,0.42,0.84,36,28,18,8,2,1,18,13,7,3,2,1,18,15,11,5,0,0,2,10,20,30,36,37,1,6,12,16,17,18,1,4,8,14,19,19,95,74,47,21,5,3,95,68,37,16,11,5,95,79,58,26,0,0,5,26,53,79,95,97,5,32,63,84,89,95,5,21,42,74,100,100,29,12,3,13,4,1,16,8,2,76,32,8,68,21,5,84,42,11,37,53,21,31,29,42,16,45,42,47,32,21,42,53,63,42,20,12,8,53,63,42,20,9,11,53,47,58,7,4,3,18,21,16,29,32,26,37,47,26,34,21,47,5.05,5.68,4.42,1.97,1.95,2.00,95,89,74,68,47,42,39,24,0.00,0.00,0.00,0.00,0.00,0.00,55,3,7,3,7,1,4,8,6,7,3,9,4,3,7,3,7,3,8,26,26,26,37,21,53,18
Cruzeiro EC,Cruzeiro,2014,Brazil,38,19,19,0,24,15,9,8,2,6,6,2,4,2.11,2.47,1.74,1,1,1,1,67,38,29,105,60,45,43,24,17,21,26,3,51,40,71,90,101,81,11,6,5,23,12,11,6,1,5,21,12,9,208,118,90,74,31,43,55,59,51,450,259,191,203,115,88,247,144,103,649,295,354,26,15,11,18,8,10,8,7,1,12,7,5,16,8,8,10,4,6,1.37,1.53,1.21,2.76,3.16,2.37,1.76,2.26,1.26,1,0.89,1.11,1.16,1.21,1.11,0.68,0.79,0.58,0.47,0.42,0.53,36,30,22,9,6,2,19,17,13,6,4,1,17,13,9,3,2,1,2,8,16,29,32,36,0,2,6,13,15,18,2,6,10,16,17,18,95,79,58,24,16,5,100,89,68,32,21,5,89,68,47,16,11,5,5,21,42,76,84,95,0,11,32,68,79,95,11,32,53,84,89,95,26,12,5,13,7,3,13,5,2,68,32,13,68,37,16,68,26,11,63,79,47,20,29,32,26,61,63,58,16,5,26,55,63,47,23,12,11,61,63,58,20,9,11,53,47,58,7,4,3,18,21,16,32,37,26,42,42,42,26,21,32,5.47,6.21,4.74,1.95,1.63,2.26,76,68,63,50,42,32,28,21,0.00,0.00,0.00,0.00,0.00,0.00,76,4,7,3,5,12,11,7,10,8,1,4,6,5,2,5,4,4,7,21,11,32,16,11,21,11
SC do Recife,Sport Recife,2014,Brazil,38,19,19,0,14,10,4,10,6,4,14,3,11,1.37,1.89,0.84,11,8,12,11,36,46,-10,82,39,43,23,13,16,30,7,-17,95,74,132,74,107,57,14,9,5,15,9,6,13,4,9,17,9,8,195,101,94,78,48,30,50,50,49,377,221,156,167,99,68,210,122,88,660,339,321,15,12,3,22,11,11,-7,1,-8,7,5,2,21,11,10,10,3,7,1.11,1.37,0.84,2.16,2.05,2.26,0.95,1.21,0.68,1.21,0.84,1.58,0.97,1.21,0.74,0.39,0.63,0.16,0.58,0.58,0.58,34,23,15,8,2,0,16,10,8,4,1,0,18,13,7,4,1,0,4,15,23,30,36,38,3,9,11,15,18,19,1,6,12,15,18,19,89,61,39,21,5,0,84,53,42,21,5,0,95,68,37,21,5,0,11,39,61,79,95,100,16,47,58,79,95,100,5,32,63,79,95,100,20,12,5,10,8,5,10,4,0,53,32,13,53,42,26,53,21,0,37,53,21,29,37,47,26,39,47,32,34,21,47,45,47,42,22,11,11,58,58,58,26,10,16,68,53,84,8,7,1,21,37,5,18,26,11,55,58,53,26,16,37,5.13,5.32,4.95,2.05,2.53,1.58,84,79,76,61,47,26,24,21,0.00,0.00,0.00,0.00,0.00,0.00,47,2,3,3,4,5,5,2,6,6,3,3,7,5,8,3,3,7,7,26,32,21,37,16,58,18
Botafogo FR,Botafogo,2014,Brazil,38,19,19,0,9,8,1,7,5,2,22,6,16,0.89,1.53,0.26,19,15,20,19,31,48,-17,79,43,36,24,7,19,29,5,-22,110,71,243,71,90,59,9,8,1,12,7,5,18,5,13,14,11,3,193,114,79,104,51,53,47,46,47,353,192,161,181,87,94,172,105,67,593,293,300,13,11,2,20,8,12,-7,3,-10,9,8,1,16,7,9,13,4,9,1.13,1.63,0.63,2.08,2.26,1.89,0.82,1.26,0.37,1.26,1,1.53,0.87,1,0.74,0.34,0.58,0.11,0.53,0.42,0.63,37,24,9,4,3,2,18,11,5,4,3,2,19,13,4,0,0,0,1,14,29,34,35,36,1,8,14,15,16,17,0,6,15,19,19,19,97,63,24,11,8,5,95,58,26,21,16,11,100,68,21,0,0,0,3,37,76,89,92,95,5,42,74,79,84,89,0,32,79,100,100,100,23,6,2,12,3,2,11,3,0,61,16,5,63,16,11,58,16,0,24,42,5,38,24,42,5,32,37,26,47,26,68,37,58,16,23,14,9,61,74,47,27,10,17,71,53,89,3,2,1,8,11,5,24,42,5,42,37,47,34,21,47,5.08,6.00,4.16,2.74,2.68,2.79,89,79,66,57,45,32,26,16,0.00,0.00,0.00,0.00,0.00,0.00,39,1,2,5,3,2,4,8,2,4,4,2,5,4,8,8,5,5,7,18,26,11,58,32,84,11
Grêmio FB Porto Alegrense,Grêmio,2014,Brazil,38,19,19,0,17,12,5,10,4,6,11,3,8,1.61,2.11,1.11,7,5,6,7,36,24,12,60,35,25,24,12,11,13,13,-1,95,71,143,143,155,132,20,11,9,11,7,4,15,4,11,19,12,7,211,112,99,101,47,54,51,51,50,395,219,176,210,117,93,185,102,83,591,316,275,16,11,5,5,2,3,11,9,2,13,9,4,21,9,12,4,1,3,1.58,1.89,1.26,1.58,1.84,1.32,0.95,1.26,0.63,0.63,0.58,0.68,0.55,0.68,0.42,0.42,0.58,0.26,0.13,0.11,0.16,30,16,10,2,2,0,16,9,6,2,2,0,14,7,4,0,0,0,8,22,28,36,36,38,3,10,13,17,17,19,5,12,15,19,19,19,79,42,26,5,5,0,84,47,32,11,11,0,74,37,21,0,0,0,21,58,74,95,95,100,16,53,68,89,89,100,26,63,79,100,100,100,18,3,0,11,2,0,7,1,0,47,8,0,58,11,0,37,5,0,45,63,26,21,53,58,47,29,37,21,39,21,58,50,63,37,33,17,16,87,89,84,24,9,15,63,47,79,1,1,0,3,5,0,34,47,21,55,47,63,11,5,16,5.55,5.89,5.21,2.66,2.47,2.84,89,84,82,71,53,34,24,13,0.00,0.00,0.00,0.00,0.00,0.00,29,2,5,4,3,7,4,3,3,5,1,1,0,3,1,2,6,4,6,26,21,32,29,16,42,11
Fluminense FC,Fluminense,2014,Brazil,38,19,19,0,17,11,6,10,6,4,11,2,9,1.61,2.05,1.16,6,6,5,6,61,42,19,103,59,44,40,21,19,23,21,-2,56,43,81,81,90,74,14,9,5,19,10,9,7,2,5,19,10,9,216,96,120,85,36,49,52,52,53,381,194,187,195,100,95,186,94,92,562,291,271,27,17,10,15,7,8,12,10,2,13,7,6,19,11,8,6,1,5,1.53,1.68,1.37,2.71,3.11,2.32,1.61,2.11,1.11,1.11,1,1.21,1.11,1.26,0.95,0.71,0.89,0.53,0.39,0.37,0.42,36,28,17,10,6,4,17,15,10,6,5,4,19,13,7,4,1,0,2,10,21,28,32,34,2,4,9,13,14,15,0,6,12,15,18,19,95,74,45,26,16,11,89,79,53,32,26,21,100,68,37,21,5,0,5,26,55,74,84,89,11,21,47,68,74,79,0,32,63,79,95,100,25,13,3,12,9,2,13,4,1,66,34,8,63,47,11,68,21,5,45,58,32,21,37,47,26,50,53,47,18,11,26,50,53,47,26,14,12,68,74,63,17,7,10,45,37,53,8,5,3,21,26,16,34,37,32,50,58,42,16,5,26,5.68,5.05,6.32,2.24,1.89,2.58,89,89,76,71,50,39,32,18,0.00,0.00,0.00,0.00,0.00,0.00,71,3,5,4,8,10,5,5,6,15,1,2,3,4,6,8,7,4,7,26,32,21,29,11,47,11
São Paulo FC,São Paulo,2014,Brazil,38,19,19,0,20,11,9,10,6,4,8,2,6,1.84,2.05,1.63,2,7,2,2,59,40,19,99,48,51,32,27,16,24,16,3,58,54,63,86,107,71,13,7,6,22,11,11,4,1,3,27,15,12,210,109,101,100,56,44,52,54,50,351,188,163,162,89,73,189,99,90,578,302,276,31,17,14,11,4,7,20,13,7,19,10,9,15,8,7,4,1,3,1.89,2,1.79,2.61,2.53,2.68,1.55,1.68,1.42,1.05,0.84,1.26,1.11,1.11,1.11,0.82,0.89,0.74,0.29,0.21,0.37,37,29,18,9,3,2,19,16,9,4,0,0,18,13,9,5,3,2,1,9,20,29,35,36,0,3,10,15,19,19,1,6,10,14,16,17,97,76,47,24,8,5,100,84,47,21,0,0,95,68,47,26,16,11,3,24,53,76,92,95,0,16,53,79,100,100,5,32,53,74,84,89,25,10,4,13,6,1,12,4,3,66,26,11,68,32,5,63,21,16,53,58,47,14,34,37,32,58,58,58,11,5,16,71,79,63,28,15,13,74,79,68,17,7,10,45,37,53,6,3,3,16,16,16,50,53,47,39,42,37,11,5,16,5.53,5.74,5.32,2.63,2.95,2.32,95,84,66,55,45,34,26,21,0.00,0.00,0.00,0.00,0.00,0.00,76,6,7,7,7,5,6,2,9,10,1,2,3,2,7,6,4,8,7,26,32,21,21,11,32,13
SE Palmeiras,Palmeiras,2014,Brazil,38,19,19,0,11,7,4,7,4,3,20,8,12,1.05,1.32,0.79,16,18,15,16,34,59,-25,93,44,49,21,13,23,36,-2,-23,101,81,132,58,74,48,9,5,4,17,9,8,13,5,8,14,7,7,199,101,98,106,47,59,53,57,49,408,230,178,198,106,92,210,124,86,665,325,340,13,7,6,27,11,16,-14,-4,-10,8,5,3,14,7,7,16,7,9,1,1.16,0.84,2.45,2.32,2.58,0.89,1.11,0.68,1.55,1.21,1.89,1.05,0.95,1.16,0.34,0.37,0.32,0.71,0.58,0.84,37,29,14,7,3,3,19,14,6,3,1,1,18,15,8,4,2,2,1,9,24,31,35,35,0,5,13,16,18,18,1,4,11,15,17,17,97,76,37,18,8,8,100,74,32,16,5,5,95,79,42,21,11,11,3,24,63,82,92,92,0,26,68,84,95,95,5,21,58,79,89,89,26,10,3,13,5,0,13,5,3,68,26,8,68,26,0,68,26,16,29,37,21,24,24,26,21,45,47,42,34,26,42,37,37,37,19,11,8,50,58,42,27,13,14,71,68,74,4,1,3,11,5,16,21,26,16,37,37,37,42,37,47,5.24,5.32,5.16,2.79,2.47,3.11,87,79,68,61,45,21,16,5,0.00,0.00,0.00,0.00,0.00,0.00,74,0,5,2,6,3,6,6,1,5,5,5,6,5,10,5,6,7,10,18,21,16,53,42,63,3
