timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1563555600,Jul 19 2019 - 5:00pm,complete,2251,Osijek,Slaven Koprivnica,Fran Jović,1,0.00,0.00,2.39,0.50,2,0,2,1,1,0,"43,86","",5,5,1,0,3,1,0,1,2,2,16,3,7,2,9,1,16,19,51,49,0.00,0.00,1.98,0.74,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.59,3.60,5.65,1.36,2.10,3.85,7.25,2.10,1.67,Stadion Gradski vrt (Osijek)
1563562800,Jul 19 2019 - 7:00pm,complete,3132,Dinamo Zagreb,Lokomotiva Zagreb,Igor Pajač,1,0.00,0.00,2.61,1.33,3,0,3,2,2,0,"17,45'1,85","",2,5,1,0,4,0,0,1,3,1,17,13,10,3,7,10,12,16,53,47,0.00,0.00,2.38,1.52,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.17,6.10,14.75,1.19,1.65,2.65,4.70,2.40,1.51,Stadion Maksimir (Zagreb)
1563642000,Jul 20 2019 - 5:00pm,complete,4675,Rijeka,Varaždin,Dario Bel,1,0.00,0.00,1.94,0.72,2,1,3,2,1,1,"7,58","22",4,0,0,0,4,0,0,0,1,3,13,5,5,3,8,2,12,16,59,41,0.00,0.00,1.85,0.85,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.21,5.75,11.75,1.20,1.67,2.65,4.80,2.30,1.56,Stadion HNK Rijeka (Rijeka)
1563649200,Jul 20 2019 - 7:00pm,complete,1647,Gorica,Inter Zaprešić,Ivan Bebek,1,0.00,0.00,1.61,0.44,1,1,2,1,1,0,"35","58",6,3,0,0,2,0,0,0,2,0,12,7,7,3,5,4,13,11,48,52,0.00,0.00,1.68,0.94,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.35,3.00,1.21,1.69,2.75,4.95,1.59,2.25,ŠRC Velika Gorica (Velika Gorica)
1563732000,Jul 21 2019 - 6:00pm,complete,8284,Hajduk Split,Istra 1961,Tihomir Pejin,1,0.00,0.00,2.17,0.28,2,0,2,1,1,0,"8,88","",11,3,2,0,1,0,1,1,0,1,18,12,14,3,4,9,12,10,55,45,0.00,0.00,2.68,1.34,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.26,5.55,9.25,1.18,1.59,2.50,4.35,2.05,1.71,Stadion Poljud (Split)
1564164000,Jul 26 2019 - 6:00pm,complete,400,Inter Zaprešić,Istra 1961,Duje Strukan,2,0.00,0.00,0.50,0.28,0,2,2,0,0,0,"","83,90'3",4,2,4,0,3,1,0,4,2,2,12,12,6,5,6,7,13,22,52,48,0.00,1.34,1.55,1.46,1.00,0,50,0,0,0,0,50,0,50,3.00,1.00,2.05,3.30,3.30,1.26,1.83,3.10,5.85,1.71,2.05,Stadion ŠRC Zaprešić (Zaprešić)
1564246800,Jul 27 2019 - 5:00pm,complete,2517,Slaven Koprivnica,Dinamo Zagreb,Marko Matoc,2,0.00,0.00,1.67,1.83,0,3,3,2,0,2,"","4,40,89",2,2,4,0,2,0,3,1,1,1,7,13,4,6,3,7,19,13,43,57,0.00,0.00,1.09,1.70,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,9.50,4.45,1.32,1.30,1.95,3.40,6.45,2.40,1.51,Gradski Stadion (Koprivnica)
1564254000,Jul 27 2019 - 7:00pm,complete,829,Lokomotiva Zagreb,Rijeka,Mario Zebec,2,0.00,0.00,2.28,1.61,0,1,1,0,0,0,"","90'2",6,2,3,0,2,0,0,3,1,1,7,11,3,7,4,4,6,13,54,46,0.00,0.00,1.25,1.60,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.45,3.40,2.00,1.26,1.83,3.10,5.85,1.71,2.05,Stadion Kranjčevićeva (Zagreb)
1564329600,Jul 28 2019 - 4:00pm,complete,1280,Gorica,Osijek,Ivan Vučković,2,1.00,0.00,1.61,1.06,3,1,4,1,1,0,"35,53,75","90",4,7,6,0,5,0,2,4,4,1,18,9,7,6,11,3,29,17,42,58,1.68,0.00,2.22,1.71,1.00,50,50,0,0,0,0,50,0,50,6.00,0.00,2.70,3.25,2.40,1.33,2.05,3.70,7.00,1.83,1.91,ŠRC Velika Gorica (Velika Gorica)
1564336800,Jul 28 2019 - 6:00pm,complete,5132,Varaždin,Hajduk Split,Fran Jović,2,0.00,0.00,1.28,1.17,0,3,3,0,0,0,"","49,55,86",3,5,2,0,2,0,1,1,0,2,11,13,5,5,6,8,8,10,43,57,0.00,0.00,1.54,2.03,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.70,3.95,1.53,1.24,1.80,3.00,5.55,1.87,1.83,Stadion Anđelko Herjavec (Varaždin)
1564768800,Aug 02 2019 - 6:00pm,complete,2676,Dinamo Zagreb,Gorica,Mario Zebec,3,3.00,0.00,2.61,1.11,3,1,4,1,1,0,"22,57,83","86",10,3,1,0,5,0,0,1,2,3,15,11,6,4,9,7,15,20,65,35,2.38,0.00,2.04,1.41,1.50,0,50,50,0,0,50,50,0,50,2.00,1.00,1.24,5.65,9.75,1.19,1.65,2.65,4.70,2.15,1.65,Stadion Maksimir (Zagreb)
1564851600,Aug 03 2019 - 5:00pm,complete,1922,Istra 1961,Varaždin,Igor Pajač,3,0.00,0.00,1.11,0.72,3,1,4,1,1,0,"9,48,73","59",4,11,3,0,4,0,1,2,2,2,14,9,7,2,7,7,10,14,55,45,0.00,0.85,1.90,1.32,1.50,50,50,50,0,0,50,50,0,50,0.00,4.00,1.95,3.15,3.85,1.40,2.25,4.20,8.00,2.00,1.74,Stadion Aldo Drosina (Pula)
1564858800,Aug 03 2019 - 7:00pm,complete,4289,Rijeka,Slaven Koprivnica,Ante Čuljak,3,3.00,0.00,1.94,0.50,3,1,4,2,2,0,"24,30,73","47",4,3,2,0,3,0,2,0,2,1,12,8,5,5,7,3,-1,-1,50,50,1.85,0.74,1.63,1.27,2.50,50,100,50,0,0,50,100,0,100,9.00,4.00,1.36,4.50,8.00,1.24,1.80,3.00,5.55,2.05,1.71,Stadion HNK Rijeka (Rijeka)
1564934400,Aug 04 2019 - 4:00pm,complete,15156,Hajduk Split,Lokomotiva Zagreb,Ivan Bebek,3,3.00,0.00,2.17,1.33,3,0,3,2,2,0,"40,43,56","",5,3,2,0,0,0,0,2,0,0,12,13,4,4,8,9,12,12,52,48,2.68,1.52,1.29,1.26,2.50,0,100,50,0,0,50,100,0,100,16.00,6.00,1.67,3.60,4.90,1.29,1.95,3.35,6.35,1.91,1.83,Stadion Poljud (Split)
1564941600,Aug 04 2019 - 6:00pm,complete,1855,Osijek,Inter Zaprešić,Marin Vidulin,3,3.00,1.00,2.39,0.44,3,1,4,1,0,1,"68,69,75","20",7,3,1,0,3,0,0,1,1,2,22,8,13,5,9,3,12,12,63,37,1.98,0.94,3.00,1.22,2.00,50,100,0,0,0,0,100,0,100,8.00,3.00,1.48,3.95,6.15,1.29,1.95,3.35,6.35,2.00,1.71,Stadion Gradski vrt (Osijek)
1565373600,Aug 09 2019 - 6:00pm,complete,5127,Osijek,Dinamo Zagreb,Mario Zebec,4,3.00,3.00,2.39,1.83,0,0,0,0,0,0,"","",4,4,5,0,1,0,0,5,0,1,11,9,5,3,6,6,-1,-1,50,50,2.49,1.70,1.47,1.35,3.00,25,100,75,25,0,50,100,25,100,8.00,3.00,3.15,3.35,2.10,1.26,1.83,3.10,5.85,1.71,2.05,Stadion Gradski vrt (Osijek)
1565456400,Aug 10 2019 - 5:00pm,complete,484,Inter Zaprešić,Varaždin,Ivan Vučković,4,0.00,0.00,0.50,0.72,2,2,4,3,2,1,"15,28","22,54",7,3,2,0,5,1,1,1,2,4,12,11,5,6,7,5,19,17,49,51,1.55,1.08,1.62,1.68,2.75,50,100,50,25,0,25,50,75,100,9.50,8.00,2.00,3.25,3.60,1.29,1.95,3.35,6.35,1.77,1.95,Stadion ŠRC Zaprešić (Zaprešić)
