timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1722625200,Aug 02 2024 - 7:00pm,complete,N/A,Dinamo Zagreb,Istra 1961,Mario Zebec,1,0.00,0.00,2.33,1.06,5,0,5,3,3,0,"13,19,28,49,79","",6,0,0,0,2,0,0,0,2,0,12,2,10,1,2,1,9,13,72,28,0.00,0.00,1.89,0.45,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.25,5.75,9.50,1.23,1.70,2.80,4.90,2.38,1.53,Stadion Maksimir
1722711600,Aug 03 2024 - 7:00pm,complete,N/A,Gorica,Varaždin,N/A,1,0.00,0.00,1.67,0.94,0,0,0,0,0,0,"","",4,7,2,0,1,0,1,1,0,1,4,13,0,7,4,6,11,11,53,47,0.00,0.00,0.63,1.74,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.35,3.10,3.00,1.36,2.08,3.60,7.00,1.83,1.83,ŠRC Velika Gorica
1722790200,Aug 04 2024 - 4:50pm,complete,3552,Rijeka,Lokomotiva Zagreb,Igor Pajač,1,0.00,0.00,2.11,1.06,4,0,4,2,2,0,"13,28,70,83","",2,3,0,0,4,0,0,0,0,4,14,6,7,2,7,4,8,10,48,52,0.00,0.00,1.80,1.02,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.50,4.00,5.50,1.22,1.70,2.62,4.75,1.80,1.91,Stadion HNK Rijeka
1722798000,Aug 04 2024 - 7:00pm,complete,N/A,Osijek,Šibenik,N/A,1,0.00,0.00,1.33,0.78,1,2,3,1,0,1,"55","8,61",16,2,1,0,3,0,1,0,1,2,19,4,9,3,10,1,7,10,77,23,0.00,0.00,3.01,0.68,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.44,4.20,7.00,1.17,1.60,2.40,4.00,1.80,1.91,N/A
1722798000,Aug 04 2024 - 7:00pm,complete,26819,Hajduk Split,Slaven Koprivnica,Zdenko Lovrić,1,0.00,0.00,2.22,1.22,2,1,3,3,2,1,"18,37","45'1",4,3,2,0,4,1,0,2,1,4,7,4,4,3,3,1,11,20,59,41,0.00,0.00,1.14,0.79,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.20,6.00,12.00,1.17,1.57,2.40,4.00,2.20,1.62,Stadion Poljud
1723221000,Aug 09 2024 - 4:30pm,complete,2578,Šibenik,Slaven Koprivnica,N/A,2,0.00,0.00,0.89,1.22,2,0,2,2,2,0,"13,22","",3,7,1,0,1,0,0,1,1,0,9,14,5,6,4,8,9,13,36,64,0.00,0.79,1.21,1.88,1.50,50,50,50,0,0,50,50,0,0,3.00,5.00,2.00,3.30,3.50,1.18,1.80,2.57,4.65,1.67,2.10,Stadion Šubićevac
1723316400,Aug 10 2024 - 7:00pm,complete,N/A,Istra 1961,Gorica,N/A,2,0.00,0.00,1.61,0.39,2,1,3,0,0,0,"71,89","84",6,2,3,0,2,0,1,2,1,1,14,6,5,4,9,2,19,13,59,41,0.00,0.00,1.79,0.87,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.90,3.40,3.90,1.38,2.20,3.80,7.50,2.00,1.73,Stadion Aldo Drosina
1723393800,Aug 11 2024 - 4:30pm,complete,N/A,Lokomotiva Zagreb,Hajduk Split,Dario Bel,2,0.00,0.00,1.11,1.28,1,1,2,0,0,0,"90'9","81",13,3,1,0,4,0,0,1,1,3,13,10,5,6,8,4,12,8,46,54,0.00,0.00,1.67,1.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.00,3.70,1.75,1.22,1.67,2.70,4.75,1.67,2.10,Stadion Kranjčevićeva
1723402800,Aug 11 2024 - 7:00pm,complete,N/A,Varaždin,Rijeka,Tihomir Pejin,2,0.00,0.00,1.78,1.50,0,0,0,0,0,0,"","",5,6,0,0,3,0,0,0,1,2,7,6,0,2,7,4,11,11,42,58,0.00,0.00,0.75,0.93,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.20,3.70,1.75,1.30,1.95,3.30,6.00,1.83,1.83,N/A
1723402800,Aug 11 2024 - 7:00pm,complete,N/A,Osijek,Dinamo Zagreb,Duje Strukan,2,0.00,0.00,1.33,1.28,1,2,3,2,1,1,"10","21,90'5",0,7,4,0,2,0,0,4,0,2,5,12,2,5,3,7,12,12,34,66,3.01,0.00,0.83,1.76,1.50,50,50,50,0,0,0,50,50,50,16.00,1.00,5.25,3.60,1.67,1.29,1.95,3.20,5.75,1.83,1.83,N/A
1723834800,Aug 16 2024 - 7:00pm,complete,N/A,Dinamo Zagreb,Šibenik,Dario Bel,3,3.00,3.00,2.33,0.78,3,0,3,2,2,0,"6,19,56","",5,0,2,0,3,0,1,1,2,1,9,4,5,2,4,2,15,12,71,29,1.89,0.68,1.64,0.57,4.00,50,100,100,50,50,50,100,100,100,8.00,3.00,1.18,7.00,13.00,1.17,1.53,2.62,4.50,2.38,1.53,Stadion Maksimir
1723921200,Aug 17 2024 - 7:00pm,complete,N/A,Slaven Koprivnica,Lokomotiva Zagreb,N/A,3,0.00,0.00,1.44,1.06,2,2,4,3,1,2,"6,62","22,37",5,12,6,0,4,0,1,5,1,3,11,15,4,9,7,6,12,14,49,51,0.00,1.02,1.30,2.03,2.00,0,50,50,50,0,50,50,50,50,3.00,4.00,2.63,3.50,2.45,1.25,1.80,2.88,5.25,1.67,2.10,N/A
1723999800,Aug 18 2024 - 4:50pm,complete,N/A,Hajduk Split,Varaždin,Igor Pajač,3,3.00,1.00,2.22,0.94,2,1,3,1,0,1,"56,74","8",10,7,3,0,1,0,2,1,1,0,8,5,5,3,3,2,14,11,50,50,1.14,1.74,1.42,0.99,1.50,50,50,50,0,0,50,50,0,0,11.00,3.00,1.45,4.50,6.50,1.20,1.85,2.60,4.50,2.00,1.73,Stadion Poljud
1724007600,Aug 18 2024 - 7:00pm,complete,N/A,Gorica,Osijek,Mario Zebec,3,1.00,0.00,1.67,1.00,2,2,4,1,1,0,"38,82","53,61",4,5,1,0,1,0,0,1,0,1,12,14,8,6,4,8,9,13,44,56,0.63,0.00,1.61,1.73,0.00,0,0,0,0,0,0,0,0,0,4.00,2.00,4.75,3.60,1.75,1.30,1.95,3.30,6.25,1.91,1.80,ŠRC Velika Gorica
1724007600,Aug 18 2024 - 7:00pm,complete,4159,Rijeka,Istra 1961,N/A,3,3.00,0.00,2.11,1.06,4,0,4,3,3,0,"18,24,27,66","",5,1,0,0,6,0,0,0,2,4,9,7,5,1,4,6,14,27,38,62,1.80,0.45,1.36,0.96,4.50,0,100,100,100,50,100,100,100,100,2.00,2.00,1.55,4.10,5.50,1.25,1.95,2.90,5.25,2.00,1.73,Stadion HNK Rijeka
1724436000,Aug 23 2024 - 6:00pm,complete,N/A,Lokomotiva Zagreb,Šibenik,N/A,4,1.00,1.50,1.11,0.78,0,1,1,1,0,1,"","23",13,1,1,0,2,0,1,0,0,2,15,6,3,1,12,5,15,9,70,30,1.67,0.63,1.66,0.61,2.50,75,100,50,0,0,25,50,75,100,14.00,4.00,1.90,3.70,3.80,1.24,1.80,2.93,5.45,1.67,2.10,Stadion Kranjčevićeva
1724516100,Aug 24 2024 - 4:15pm,complete,N/A,Varaždin,Slaven Koprivnica,Duje Strukan,4,1.00,0.00,1.78,1.22,2,0,2,0,0,0,"64,78","",2,6,2,0,2,0,0,2,0,2,11,3,5,0,6,3,14,14,52,48,0.75,1.33,1.45,0.65,1.25,25,50,25,0,0,50,50,0,0,10.00,3.00,1.90,3.60,4.00,1.25,1.85,2.90,5.25,1.73,2.00,N/A
1724524200,Aug 24 2024 - 6:30pm,complete,N/A,Dinamo Zagreb,Gorica,N/A,4,3.00,0.00,2.33,0.39,2,1,3,1,1,0,"6,57","90'1",2,9,1,0,2,0,0,1,0,2,12,4,8,2,4,2,6,7,61,39,1.77,0.87,1.58,0.67,3.50,50,100,100,25,25,50,50,75,100,7.50,3.00,1.20,6.50,12.00,1.12,1.48,2.10,3.40,2.10,1.67,Stadion Maksimir
1724602500,Aug 25 2024 - 4:15pm,complete,N/A,Istra 1961,Hajduk Split,Tihomir Pejin,4,3.00,1.00,1.61,1.28,1,1,2,1,1,0,"1","60",2,5,2,0,1,0,1,1,0,1,8,14,1,9,7,5,16,17,37,63,1.79,1.43,0.85,1.92,2.50,100,100,50,0,0,0,0,100,100,9.00,7.00,4.75,3.90,1.65,1.29,1.85,3.20,6.00,1.83,1.83,Stadion Aldo Drosina
