team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
GNK Dinamo Zagreb,Dinamo Zagreb,2023/2024,Croatia,36,18,18,0,25,13,12,7,3,4,4,2,2,2.28,2.33,2.22,1,2,1,1,67,30,37,97,48,49,33,34,15,15,18,19,48,49,48,108,108,108,17,9,8,17,8,9,4,3,1,25,14,11,229,125,104,62,23,39,61,64,58,503,265,238,261,131,130,242,134,108,391,175,216,24,14,10,11,6,5,13,8,5,18,11,7,13,5,8,5,2,3,1.86,2.11,1.61,2.69,2.67,2.72,1.86,1.83,1.89,0.83,0.83,0.83,0.97,1.11,0.83,0.67,0.78,0.56,0.31,0.33,0.28,34,25,20,8,6,3,16,12,11,3,3,2,18,13,9,5,3,1,2,11,16,28,30,33,2,6,7,15,15,16,0,5,9,13,15,17,94,69,56,22,17,8,89,67,61,17,17,11,100,72,50,28,17,6,6,31,44,78,83,92,11,33,39,83,83,89,0,28,50,72,83,94,24,6,4,13,4,3,11,2,1,67,17,11,72,22,17,61,11,6,69,72,67,0,47,50,44,47,44,50,11,17,6,69,78,61,27,13,14,75,72,78,17,7,10,47,39,56,4,3,1,11,17,6,50,61,39,36,28,44,14,11,17,6.36,6.94,5.78,1.72,1.28,2.17,78,61,47,47,31,19,19,14,1.98,2.07,1.90,1.11,0.98,1.24,53,3,4,6,8,7,10,7,6,16,5,1,3,1,3,4,2,4,7,19,17,22,11,11,11,8
HNK Rijeka,Rijeka,2023/2024,Croatia,36,18,18,0,23,14,9,5,2,3,8,2,6,2.06,2.44,1.67,2,1,3,2,69,30,39,99,58,41,46,23,12,18,34,5,47,35,70,108,134,90,19,12,7,14,6,8,4,0,4,23,15,8,186,103,83,79,30,49,53,54,52,503,295,208,230,134,96,273,161,112,461,231,230,25,16,9,13,3,10,12,13,-1,15,9,6,13,7,6,8,2,6,1.61,1.89,1.33,2.75,3.22,2.28,1.92,2.56,1.28,0.83,0.67,1,1.06,1.06,1.06,0.69,0.89,0.5,0.36,0.17,0.56,35,28,21,10,3,2,18,15,14,7,2,2,17,13,7,3,1,0,1,8,15,26,33,34,0,3,4,11,16,16,1,5,11,15,17,18,97,78,58,28,8,6,100,83,78,39,11,11,94,72,39,17,6,0,3,22,42,72,92,94,0,17,22,61,89,89,6,28,61,83,94,100,25,10,3,12,6,1,13,4,2,69,28,8,67,33,6,72,22,11,64,78,50,26,53,67,39,39,33,44,11,0,22,64,83,44,26,15,11,72,83,61,17,8,9,47,44,50,4,1,3,11,6,17,42,50,33,36,39,33,22,11,33,5.17,5.72,4.61,2.19,1.67,2.72,69,56,44,36,25,17,14,6,1.84,2.14,1.53,1.09,0.95,1.22,64,4,5,4,7,8,8,10,10,13,3,2,3,2,5,1,2,4,8,14,11,17,22,11,33,3
NK Istra 1961,Istra 1961,2023/2024,Croatia,36,18,18,0,10,6,4,11,6,5,15,6,9,1.14,1.33,0.94,8,7,7,8,36,54,-18,90,38,52,18,18,20,34,-2,-16,90,90,90,60,81,48,11,8,3,12,4,8,17,9,8,11,6,5,141,68,73,101,51,50,48,48,49,308,141,167,149,70,79,159,71,88,559,296,263,19,9,10,26,11,15,-7,-2,-5,7,4,3,15,7,8,14,7,7,1,1.06,0.94,2.5,2.11,2.89,1,1,1,1.5,1.11,1.89,1.25,1.11,1.39,0.53,0.5,0.56,0.72,0.61,0.83,32,26,16,9,3,2,15,12,5,2,1,1,17,14,11,7,2,1,4,10,20,27,33,34,3,6,13,16,17,17,1,4,7,11,16,17,89,72,44,25,8,6,83,67,28,11,6,6,94,78,61,39,11,6,11,28,56,75,92,94,17,33,72,89,94,94,6,22,39,61,89,94,26,13,6,14,5,1,12,8,5,72,36,17,78,28,6,67,44,28,28,33,22,13,31,44,17,33,22,44,47,50,44,31,33,28,17,8,9,47,44,50,21,11,10,58,61,56,8,3,5,22,17,28,19,22,17,42,39,44,39,39,39,3.92,3.78,4.06,2.81,2.83,2.78,61,57,47,39,36,25,11,6,1.24,1.20,1.27,1.46,1.36,1.56,53,3,4,3,5,7,2,2,3,7,4,6,7,4,8,7,6,3,9,31,33,28,42,33,50,3
NK Rudeš,Rudeš,2023/2024,Croatia,36,18,18,0,1,1,0,6,4,2,29,13,16,0.25,0.39,0.11,10,10,10,10,22,85,-63,107,56,51,14,8,42,43,-28,-35,148,115,205,38,39,38,4,3,1,13,8,5,23,10,13,6,4,2,133,69,64,78,41,37,45,45,46,305,166,139,146,86,60,159,80,79,454,222,232,12,7,5,35,19,16,-23,-12,-11,3,2,1,16,8,8,17,8,9,0.69,0.78,0.61,2.97,3.11,2.83,0.61,0.78,0.44,2.36,2.33,2.39,1.31,1.44,1.17,0.33,0.39,0.28,0.97,1.06,0.89,32,28,22,12,7,5,15,15,11,7,4,3,17,13,11,5,3,2,4,8,14,24,29,31,3,3,7,11,14,15,1,5,7,13,15,16,89,78,61,33,19,14,83,83,61,39,22,17,94,72,61,28,17,11,11,22,39,67,81,86,17,17,39,61,78,83,6,28,39,72,83,89,25,15,6,13,9,3,12,6,3,69,42,17,72,50,17,67,33,17,3,6,0,15,11,17,6,36,44,28,64,56,72,17,22,11,13,6,7,36,33,39,26,13,13,72,72,72,8,4,4,22,22,22,8,11,6,44,44,44,47,44,50,3.69,3.83,3.56,2.17,2.28,2.06,83,75,64,53,36,25,17,8,1.21,1.33,1.08,1.95,1.98,1.92,89,1,4,4,2,2,0,0,3,6,4,8,9,8,10,17,6,16,7,17,22,11,81,72,89,6
NK Lokomotiva Zagreb,Lokomotiva Zagreb,2023/2024,Croatia,36,18,18,0,12,5,7,15,10,5,9,3,6,1.42,1.39,1.44,5,6,4,5,52,45,7,97,52,45,28,24,24,21,4,3,63,58,68,72,68,77,11,4,7,21,13,8,8,2,6,21,10,11,180,93,87,83,41,42,48,50,47,393,197,196,200,103,97,193,94,99,526,255,271,26,11,15,16,12,4,10,-1,11,14,6,8,15,6,9,7,6,1,1.58,1.33,1.83,2.69,2.89,2.5,1.44,1.56,1.33,1.25,1.33,1.17,1.17,1.28,1.06,0.72,0.61,0.83,0.44,0.67,0.22,32,27,19,11,4,3,17,15,9,6,2,2,15,12,10,5,2,1,4,9,17,25,32,33,1,3,9,12,16,16,3,6,8,13,16,17,89,75,53,31,11,8,94,83,50,33,11,11,83,67,56,28,11,6,11,25,47,69,89,92,6,17,50,67,89,89,17,33,44,72,89,94,25,13,3,14,6,2,11,7,1,69,36,8,78,33,11,61,39,6,33,28,39,1,31,22,39,58,72,44,22,11,33,58,56,61,25,10,15,69,56,83,17,9,8,47,50,44,5,3,2,14,17,11,39,33,44,42,33,50,19,33,6,5.00,5.17,4.83,2.31,2.28,2.33,86,83,83,72,53,44,31,11,1.54,1.56,1.53,1.68,1.63,1.74,67,7,2,9,3,6,6,6,6,7,1,5,1,7,6,1,4,8,12,42,56,28,25,17,33,6
NK Slaven Belupo Koprivnica,Slaven Koprivnica,2023/2024,Croatia,36,18,18,0,9,5,4,6,3,3,21,10,11,0.92,1,0.83,9,9,8,9,43,69,-26,112,45,67,22,21,23,46,-1,-25,76,74,77,47,70,35,4,3,1,17,7,10,17,9,8,10,6,4,153,84,69,92,51,41,45,47,44,363,195,168,156,83,73,207,112,95,540,265,275,15,8,7,34,13,21,-19,-5,-14,6,3,3,12,8,4,18,7,11,0.83,0.94,0.72,3.11,2.5,3.72,1.19,1.22,1.17,1.92,1.28,2.56,1.36,1.17,1.56,0.42,0.44,0.39,0.94,0.72,1.17,34,25,22,17,9,3,17,9,7,7,5,0,17,16,15,10,4,3,2,11,14,19,27,33,1,9,11,11,13,18,1,2,3,8,14,15,94,69,61,47,25,8,94,50,39,39,28,0,94,89,83,56,22,17,6,31,39,53,75,92,6,50,61,61,72,100,6,11,17,44,78,83,28,13,6,13,5,2,15,8,4,78,36,17,72,28,11,83,44,22,25,28,22,18,11,17,6,47,39,56,47,50,44,28,33,22,12,7,5,33,39,28,24,12,12,67,67,67,8,4,4,22,22,22,17,17,17,33,44,22,50,39,61,4.25,4.67,3.83,2.56,2.83,2.28,83,75,56,47,31,22,8,6,1.35,1.44,1.26,1.65,1.50,1.80,78,1,4,4,3,6,6,7,4,8,7,7,5,8,12,6,8,6,10,17,17,17,58,56,61,3
HNK Hajduk Split,Hajduk Split,2023/2024,Croatia,36,18,18,0,21,11,10,5,0,5,10,7,3,1.89,1.83,1.94,3,3,2,3,54,26,28,80,42,38,28,26,14,12,14,14,60,58,63,125,115,134,16,8,8,14,6,8,7,4,3,22,11,11,190,91,99,62,36,26,54,58,51,410,219,191,205,111,94,205,108,97,454,220,234,22,9,13,11,6,5,11,3,8,12,5,7,18,10,8,6,3,3,1.5,1.39,1.61,2.22,2.33,2.11,1.5,1.56,1.44,0.72,0.78,0.67,0.92,0.83,1,0.61,0.5,0.72,0.31,0.33,0.28,35,22,14,4,2,2,18,10,9,3,1,1,17,12,5,1,1,1,1,14,22,32,34,34,0,8,9,15,17,17,1,6,13,17,17,17,97,61,39,11,6,6,100,56,50,17,6,6,94,67,28,6,6,6,3,39,61,89,94,94,0,44,50,83,94,94,6,33,72,94,94,94,21,9,3,9,4,2,12,5,1,58,25,8,50,22,11,67,28,6,58,61,56,-2,44,44,44,39,33,44,19,22,17,61,61,61,26,13,13,72,72,72,20,11,9,56,61,50,5,3,2,14,17,11,33,28,39,50,56,44,17,17,17,5.28,5.06,5.50,1.72,2,1.44,75,64,56,53,39,31,22,11,1.58,1.65,1.50,1.18,1.04,1.33,44,2,6,5,4,12,6,8,5,6,1,1,4,4,2,3,4,3,4,14,0,28,28,39,17,6
NK Osijek,Osijek,2023/2024,Croatia,36,18,18,0,16,9,7,9,5,4,11,4,7,1.58,1.78,1.39,4,4,5,4,62,43,19,105,49,56,34,28,15,28,19,0,52,48,58,76,108,58,10,6,4,19,10,9,8,3,5,20,12,8,178,99,79,81,34,47,53,54,52,407,231,176,214,122,92,193,109,84,531,261,270,22,13,9,19,6,13,3,7,-4,12,8,4,14,6,8,10,4,6,1.39,1.67,1.11,2.92,2.72,3.11,1.72,1.89,1.56,1.19,0.83,1.56,1.14,1.06,1.22,0.61,0.72,0.5,0.53,0.33,0.72,35,28,19,10,6,3,17,14,8,5,3,1,18,14,11,5,3,2,1,8,17,26,30,33,1,4,10,13,15,17,0,4,7,13,15,16,97,78,53,28,17,8,94,78,44,28,17,6,100,78,61,28,17,11,3,22,47,72,83,92,6,22,56,72,83,94,0,22,39,72,83,89,26,10,3,13,4,1,13,6,2,72,28,8,72,22,6,72,33,11,44,50,39,20,28,33,22,53,56,50,22,17,28,56,67,44,20,12,8,56,67,44,19,9,10,53,50,56,7,2,5,19,11,28,33,44,22,39,33,44,28,22,33,4.94,5.50,4.39,2.25,1.89,2.61,83,69,56,42,25,19,14,11,1.63,1.87,1.40,1.48,1.37,1.59,75,5,5,4,4,10,6,5,11,12,1,3,7,5,5,4,5,2,11,25,28,22,31,22,39,8
HNK Gorica,Gorica,2023/2024,Croatia,36,18,18,0,11,8,3,8,3,5,17,7,10,1.14,1.5,0.78,7,5,9,7,35,50,-15,85,47,38,23,12,24,26,-1,-14,93,70,134,65,68,63,11,6,5,14,8,6,15,5,10,13,8,5,116,59,57,72,42,30,43,45,41,317,161,156,168,84,84,149,77,72,433,207,226,17,9,8,18,8,10,-1,1,-2,8,5,3,18,9,9,10,4,6,1.17,1.33,1,2.36,2.61,2.11,0.97,1.28,0.67,1.39,1.33,1.44,0.97,0.94,1,0.47,0.5,0.44,0.5,0.44,0.56,32,26,18,5,3,1,17,15,11,3,1,0,15,11,7,2,2,1,4,10,18,31,33,35,1,3,7,15,17,18,3,7,11,16,16,17,89,72,50,14,8,3,94,83,61,17,6,0,83,61,39,11,11,6,11,28,50,86,92,97,6,17,39,83,94,100,17,39,61,89,89,94,22,9,4,10,4,3,12,5,1,61,25,11,56,22,17,67,28,6,31,44,17,18,31,33,28,39,44,33,42,28,56,36,44,28,20,12,8,56,67,44,24,12,12,67,67,67,6,2,4,17,11,22,22,28,17,50,50,50,28,22,33,3.22,3.28,3.17,2,2.33,1.67,69,64,47,39,28,8,6,6,1.24,1.24,1.25,1.76,1.69,1.82,64,1,3,6,3,4,3,2,6,7,1,4,6,3,6,6,9,9,6,22,17,28,47,39,56,3
NK Varaždin,Varaždin,2023/2024,Croatia,36,18,18,0,10,5,5,12,6,6,14,7,7,1.17,1.17,1.17,6,8,6,6,39,47,-8,86,44,42,20,19,24,23,-4,-4,83,81,85,69,68,70,11,5,6,17,9,8,11,5,6,16,9,7,152,73,79,80,37,43,49,51,47,343,174,169,169,87,82,174,87,87,494,235,259,19,12,7,18,9,9,1,3,-2,9,5,4,18,10,8,9,3,6,1.25,1.39,1.11,2.39,2.44,2.33,1.08,1.11,1.06,1.31,1.33,1.28,1.03,1.17,0.89,0.53,0.67,0.39,0.5,0.5,0.5,33,25,13,10,3,2,17,13,7,5,1,1,16,12,6,5,2,1,3,11,23,26,33,34,1,5,11,13,17,17,2,6,12,13,16,17,92,69,36,28,8,6,94,72,39,28,6,6,89,67,33,28,11,6,8,31,64,72,92,94,6,28,61,72,94,94,11,33,67,72,89,94,22,10,4,11,7,3,11,3,1,61,28,11,61,39,17,61,17,6,28,28,28,1,31,28,33,47,50,44,31,28,33,44,50,39,21,10,11,58,56,61,22,9,13,61,50,72,7,6,1,19,33,6,25,28,22,50,56,44,25,17,33,4.22,4.06,4.39,2.22,2.06,2.39,83,72,56,44,31,22,14,11,1.32,1.36,1.28,1.56,1.49,1.63,58,1,5,6,5,2,6,5,7,2,1,5,6,2,7,4,6,6,10,33,33,33,39,39,39,6
