team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
GNK Dinamo Zagreb,Dinamo Zagreb,2024/2025,Croatia,36,18,18,0,19,13,6,8,3,5,9,2,7,1.81,2.33,1.28,2,1,3,2,69,41,28,110,58,52,44,25,14,27,30,-2,47,37,65,79,115,60,13,9,4,18,8,10,6,2,4,23,15,8,225,97,128,71,31,40,60,60,60,479,248,231,209,121,88,270,127,143,242,123,119,35,24,11,17,5,12,18,19,-1,18,12,6,12,5,7,6,1,5,1.83,2.28,1.39,3.06,3.22,2.89,1.92,2.44,1.39,1.14,0.78,1.5,1.44,1.61,1.28,0.97,1.33,0.61,0.47,0.28,0.67,35,28,23,16,6,2,17,14,12,8,5,2,18,14,11,8,1,0,1,8,13,20,30,34,1,4,6,10,13,16,0,4,7,10,17,18,97,78,64,44,17,6,94,78,67,44,28,11,100,78,61,44,6,0,3,22,36,56,83,94,6,22,33,56,72,89,0,22,39,56,94,100,30,16,5,16,10,3,14,6,2,83,44,14,89,56,17,78,33,11,53,72,33,30,36,50,22,50,44,56,17,11,22,64,83,44,24,14,10,67,78,56,10,2,8,28,11,44,8,4,4,22,22,22,50,67,33,33,28,39,17,6,28,6.25,5.39,7.11,2.03,1.82,2.22,69,64,56,47,47,39,31,22,1.79,1.88,1.70,0.94,0.88,1.01,67,4,11,8,8,9,7,6,7,9,2,2,5,4,5,9,5,5,4,22,17,28,25,11,39,8
HNK Rijeka,Rijeka,2024/2025,Croatia,36,18,18,0,18,11,7,11,5,6,7,2,5,1.81,2.11,1.5,1,3,1,1,49,21,28,70,43,27,34,15,9,12,25,3,66,48,108,155,180,134,21,10,11,10,6,4,10,3,7,23,14,9,176,105,71,82,34,48,48,47,48,353,211,142,147,89,58,206,122,84,272,140,132,26,19,7,12,5,7,14,14,0,12,8,4,16,7,9,8,3,5,1.44,1.72,1.17,1.94,2.39,1.5,1.36,1.89,0.83,0.58,0.5,0.67,1.06,1.33,0.78,0.72,1.06,0.39,0.33,0.28,0.39,31,21,11,6,1,0,17,14,7,4,1,0,14,7,4,2,0,0,5,15,25,30,35,36,1,4,11,14,17,18,4,11,14,16,18,18,86,58,31,17,3,0,94,78,39,22,6,0,78,39,22,11,0,0,14,42,69,83,97,100,6,22,61,78,94,100,22,61,78,89,100,100,23,12,3,13,9,2,10,3,1,64,33,8,72,50,11,56,17,6,50,61,39,27,58,56,61,28,33,22,28,17,39,64,78,50,25,13,12,69,72,67,20,8,12,56,44,67,4,2,2,11,11,11,33,44,22,44,39,50,22,17,28,4.89,5.83,3.94,2.28,1.89,2.67,56,53,47,42,36,25,14,14,1.35,1.60,1.11,1.04,1.01,1.07,36,2,11,8,4,5,6,3,4,6,1,2,3,6,0,2,3,2,2,31,28,33,19,11,28,8
NK Istra 1961,Istra 1961,2024/2025,Croatia,36,18,18,0,11,7,4,15,8,7,10,3,7,1.33,1.61,1.06,5,6,6,5,39,42,-3,81,46,35,27,12,19,23,8,-11,83,60,134,77,85,70,13,6,7,16,10,6,14,5,9,19,11,8,134,75,59,94,41,53,49,52,47,292,165,127,111,66,45,181,99,82,312,143,169,25,15,10,16,6,10,9,9,0,14,8,6,16,7,9,5,2,3,1.66,1.82,1.5,2.25,2.56,1.94,1.08,1.5,0.67,1.17,1.06,1.28,1.17,1.24,1.11,0.71,0.88,0.56,0.46,0.35,0.56,29,22,15,9,5,1,15,14,9,4,3,1,14,8,6,5,2,0,7,14,21,27,31,35,3,4,9,14,15,17,4,10,12,13,16,18,81,61,42,25,14,3,83,78,50,22,17,6,78,44,33,28,11,0,19,39,58,75,86,97,17,22,50,78,83,94,22,56,67,72,89,100,23,11,5,12,6,2,11,5,3,66,31,14,71,35,12,61,28,17,31,39,22,24,36,33,39,44,56,33,39,28,50,53,61,44,25,12,13,71,71,72,16,6,10,46,35,56,6,4,2,17,24,11,40,47,33,46,41,50,14,12,17,3.72,4.17,3.28,2.69,2.41,2.94,61,47,39,22,17,14,8,6,1.14,1.29,1.00,1.22,1.07,1.37,72,5,5,7,4,4,4,3,2,3,0,7,8,1,2,4,5,4,8,42,44,39,28,17,39,0
NK Lokomotiva Zagreb,Lokomotiva Zagreb,2024/2025,Croatia,36,18,18,0,10,5,5,9,5,4,17,8,9,1.08,1.11,1.06,8,9,5,8,45,54,-9,99,38,61,19,26,19,35,0,-9,72,85,63,60,85,46,7,4,3,20,8,12,10,7,3,13,4,9,189,101,88,95,41,54,50,50,49,340,174,166,152,71,81,188,103,85,272,139,133,21,10,11,29,11,18,-8,-1,-7,10,4,6,14,9,5,12,5,7,1.22,1.17,1.28,2.75,2.11,3.39,1.25,1.06,1.44,1.5,1.06,1.94,1.39,1.17,1.61,0.58,0.56,0.61,0.81,0.61,1,35,29,20,9,5,1,17,11,6,3,1,0,18,18,14,6,4,1,1,7,16,27,31,35,1,7,12,15,17,18,0,0,4,12,14,17,97,81,56,25,14,3,94,61,33,17,6,0,100,100,78,33,22,6,3,19,44,75,86,97,6,39,67,83,94,100,0,0,22,67,78,94,28,16,4,12,6,2,16,10,2,78,44,11,67,33,11,89,56,11,28,28,28,7,19,22,17,56,44,67,28,39,17,36,22,50,15,8,7,42,44,39,19,11,8,53,61,44,10,5,5,28,28,28,28,22,33,39,50,28,33,28,39,5.25,5.61,4.89,2.64,2.28,3.00,83,81,69,50,42,39,28,22,1.35,1.34,1.35,1.43,1.40,1.45,67,0,3,11,3,5,5,2,5,11,5,6,7,8,4,8,4,4,8,25,28,22,47,44,50,14
NK Slaven Belupo Koprivnica,Slaven Koprivnica,2024/2025,Croatia,36,18,18,0,13,7,6,9,5,4,14,6,8,1.33,1.44,1.22,6,7,4,6,42,45,-3,87,46,41,25,17,21,24,4,-7,77,65,96,72,77,68,9,4,5,16,9,7,14,7,7,10,5,5,151,85,66,83,41,42,51,53,49,338,190,148,138,76,62,200,114,86,279,136,143,15,7,8,30,17,13,-15,-10,-5,5,1,4,14,8,6,16,9,7,0.83,0.61,1.06,2.42,2.56,2.28,1.17,1.39,0.94,1.25,1.17,1.33,1.29,1.33,1.24,0.43,0.39,0.47,0.86,0.94,0.76,33,26,15,8,5,0,16,12,9,6,3,0,17,14,6,2,2,0,3,10,21,28,31,36,2,6,9,12,15,18,1,4,12,16,16,18,92,72,42,22,14,0,89,67,50,33,17,0,94,78,33,11,11,0,8,28,58,78,86,100,11,33,50,67,83,100,6,22,67,89,89,100,27,14,4,14,8,2,13,6,2,77,40,11,78,44,11,76,35,12,36,39,33,13,25,22,28,44,50,39,39,39,39,28,28,28,13,5,8,37,28,47,22,12,10,63,67,59,8,5,3,23,28,18,14,6,24,40,44,35,46,50,41,4.19,4.72,3.67,2.37,2.28,2.47,78,69,44,36,31,25,17,14,1.32,1.44,1.21,1.38,1.27,1.48,69,2,0,3,6,4,6,5,9,4,1,8,9,5,8,4,3,3,2,25,28,22,39,33,44,11
HNK Hajduk Split,Hajduk Split,2024/2025,Croatia,36,18,18,0,17,12,5,12,4,8,7,2,5,1.75,2.22,1.28,3,2,2,3,49,34,15,83,45,38,31,18,14,20,17,-2,66,52,90,96,115,81,12,7,5,19,10,9,7,2,5,19,11,8,185,93,92,79,33,46,52,53,52,363,185,178,141,80,61,222,105,117,249,127,122,21,14,7,17,7,10,4,7,-3,9,7,2,19,8,11,8,3,5,1.28,1.61,0.94,2.31,2.5,2.11,1.36,1.72,1,0.94,0.78,1.11,1.06,1.17,0.94,0.58,0.78,0.39,0.47,0.39,0.56,34,24,15,8,2,0,17,12,10,5,1,0,17,12,5,3,1,0,2,12,21,28,34,36,1,6,8,13,17,18,1,6,13,15,17,18,94,67,42,22,6,0,94,67,56,28,6,0,94,67,28,17,6,0,6,33,58,78,94,100,6,33,44,72,94,100,6,33,72,83,94,100,22,12,4,12,6,3,10,6,1,61,33,11,67,33,17,56,33,6,47,67,28,22,33,39,28,53,56,50,19,11,28,53,61,44,21,11,10,58,61,56,21,9,12,58,50,67,8,4,4,22,22,22,25,39,11,53,44,61,22,17,28,5.14,5.17,5.11,2.19,1.83,2.56,72,61,47,33,33,28,19,17,1.37,1.41,1.32,1.09,0.85,1.33,56,6,6,3,4,3,9,3,7,8,4,2,4,2,9,2,2,3,6,33,22,44,19,11,28,14
NK Osijek,Osijek,2024/2025,Croatia,36,18,18,0,11,6,5,9,6,3,16,6,10,1.17,1.33,1,7,8,7,7,46,52,-6,98,44,54,23,23,21,31,2,-8,70,70,70,63,77,52,8,5,3,20,10,10,10,4,6,13,9,4,181,104,77,79,36,43,49,51,47,331,184,147,147,76,71,184,108,76,225,108,117,23,13,10,26,10,16,-3,3,-6,12,8,4,10,4,6,14,6,8,1.28,1.56,1,2.72,2.44,3,1.28,1.28,1.28,1.44,1.17,1.72,1.36,1.28,1.44,0.64,0.72,0.56,0.72,0.56,0.89,34,29,20,10,4,1,17,15,9,3,0,0,17,14,11,7,4,1,2,7,16,26,32,35,1,3,9,15,18,18,1,4,7,11,14,17,94,81,56,28,11,3,94,83,50,17,0,0,94,78,61,39,22,6,6,19,44,72,89,97,6,17,50,83,100,100,6,22,39,61,78,94,30,14,5,16,6,1,14,8,4,83,39,14,89,33,6,78,44,22,31,33,28,10,22,28,17,56,56,56,28,22,33,36,50,22,16,9,7,44,50,39,19,8,11,53,44,61,7,3,4,19,17,22,33,44,22,28,22,33,39,33,44,5.03,5.78,4.28,2.19,2,2.39,78,72,61,44,39,31,19,17,1.33,1.49,1.17,1.53,1.52,1.54,64,4,3,6,6,4,10,5,2,6,5,5,9,6,1,9,4,3,10,25,33,17,44,33,56,8
HNK Gorica,Gorica,2024/2025,Croatia,36,18,18,0,9,8,1,10,6,4,17,4,13,1.03,1.67,0.39,9,5,10,9,29,51,-22,80,40,40,19,10,21,30,-2,-20,111,85,161,63,77,54,11,7,4,17,8,9,13,5,8,15,10,5,109,52,57,75,44,31,46,45,47,229,123,106,101,55,46,128,68,60,238,121,117,14,9,5,22,9,13,-8,0,-8,5,3,2,21,13,8,10,2,8,1,1.22,0.78,2.22,2.22,2.22,0.81,1.06,0.56,1.42,1.17,1.67,1,1,1,0.39,0.5,0.28,0.61,0.5,0.72,31,22,17,7,3,0,16,10,8,4,2,0,15,12,9,3,1,0,5,14,19,29,33,36,2,8,10,14,16,18,3,6,9,15,17,18,86,61,47,19,8,0,89,56,44,22,11,0,83,67,50,17,6,0,14,39,53,81,92,100,11,44,56,78,89,100,17,33,50,83,94,100,23,11,1,10,6,1,13,5,0,64,31,3,56,33,6,72,28,0,25,44,6,25,31,39,22,47,44,50,36,28,44,42,56,28,18,11,7,50,61,39,23,10,13,64,56,72,8,5,3,22,28,17,14,17,11,58,72,44,28,11,44,3.03,2.89,3.17,2.14,2.44,1.82,75,69,50,33,31,25,14,11,0.90,0.94,0.87,1.59,1.45,1.72,50,2,2,5,2,5,1,3,1,8,2,5,5,6,4,6,4,7,12,28,33,22,47,22,72,6
HNK Šibenik,Šibenik,2024/2025,Croatia,36,18,18,0,7,4,3,9,4,5,20,10,10,0.83,0.89,0.78,10,10,9,10,28,60,-32,88,37,51,12,16,25,35,-13,-19,115,134,101,54,65,46,7,6,1,14,5,9,18,10,8,11,5,6,125,63,62,97,49,48,45,48,42,277,153,124,106,52,54,171,101,70,225,136,89,16,7,9,25,7,18,-9,0,-9,8,4,4,14,9,5,14,5,9,1.06,1.17,0.94,2.44,2.06,2.83,0.78,0.67,0.89,1.67,1.39,1.94,1.14,0.78,1.5,0.44,0.39,0.5,0.69,0.39,1,33,25,19,8,2,1,15,10,7,4,1,0,18,15,12,4,1,1,3,11,17,28,34,35,3,8,11,14,17,18,0,3,6,14,17,17,92,69,53,22,6,3,83,56,39,22,6,0,100,83,67,22,6,6,8,31,47,78,94,97,17,44,61,78,94,100,0,17,33,78,94,94,26,13,2,10,4,0,16,9,2,72,36,6,56,22,0,89,50,11,19,22,17,2,19,33,6,39,28,50,50,56,44,31,28,33,17,12,5,47,67,28,23,13,10,64,72,56,6,1,5,17,6,28,22,22,22,39,50,28,39,28,50,3.47,3.50,3.44,2.69,2.72,2.67,69,64,50,39,31,25,17,14,1.04,1.12,0.96,1.49,1.39,1.58,42,4,5,4,3,0,3,3,1,5,9,7,4,2,7,7,4,10,10,25,22,28,56,56,56,6
NK Varaždin,Varaždin,2024/2025,Croatia,36,18,18,0,11,8,3,16,8,8,9,2,7,1.36,1.78,0.94,4,4,8,4,28,24,4,52,27,25,17,11,10,14,7,-3,115,96,148,134,161,115,16,8,8,14,8,6,15,6,9,14,8,6,147,78,69,80,32,48,50,53,48,328,176,152,133,71,62,195,105,90,256,133,123,12,7,5,14,6,8,-2,1,-3,9,6,3,18,7,11,9,5,4,1.25,1.39,1.11,1.44,1.5,1.39,0.78,0.94,0.61,0.67,0.56,0.78,0.72,0.72,0.72,0.33,0.39,0.28,0.39,0.33,0.44,27,16,7,1,1,0,14,9,4,0,0,0,13,7,3,1,1,0,9,20,29,35,35,36,4,9,14,18,18,18,5,11,15,17,17,18,75,44,19,3,3,0,78,50,22,0,0,0,72,39,17,6,6,0,25,56,81,97,97,100,22,50,78,100,100,100,28,61,83,94,94,100,20,5,1,11,1,1,9,4,0,56,14,3,61,6,6,50,22,0,31,44,17,19,44,44,44,39,44,33,42,33,50,39,44,33,24,12,12,67,67,67,25,12,13,69,67,72,3,1,2,8,6,11,25,33,17,50,39,61,25,28,22,4.08,4.33,3.83,2.22,1.78,2.67,64,53,42,31,22,11,6,3,1.26,1.36,1.16,1.16,1.01,1.30,33,3,1,2,4,3,3,2,5,5,3,3,3,4,2,3,1,2,3,44,44,44,25,11,39,3
