timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1501257600,Jul 28 2017 - 4:00pm,complete,8026,Zbrojovka Brno,Baník Ostrava,N/A,1,0.00,0.00,1.13,0.60,1,3,4,2,1,1,"37","27,73,87",4,0,1,0,2,0,0,1,2,0,14,15,8,9,6,6,18,16,59,41,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Městský fotbalový stadion Srbská
1501340400,Jul 29 2017 - 3:00pm,complete,9624,Viktoria Plzeň,Dukla Praha,N/A,1,0.00,0.00,2.20,0.60,4,0,4,4,4,0,"10,16,33,42","",9,8,0,0,2,0,0,0,1,1,6,8,6,2,0,6,13,13,46,54,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Doosan Aréna
1501340400,Jul 29 2017 - 3:00pm,complete,4015,Slovácko,Jablonec,N/A,1,0.00,0.00,1.40,1.53,1,1,2,2,1,1,"2","19",4,7,1,0,2,0,0,1,0,2,10,14,4,4,6,10,20,17,45,55,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Městský fotbalový stadion Miroslava Valenty
1501340400,Jul 29 2017 - 3:00pm,complete,3423,Karviná,Vysočina Jihlava,N/A,1,0.00,0.00,1.33,0.80,2,0,2,1,1,0,"34,56","",9,6,0,0,3,0,0,0,1,2,11,12,6,7,5,5,12,15,46,54,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Městský Stadión
1501351200,Jul 29 2017 - 6:00pm,complete,11097,Slavia Praha,Teplice,N/A,1,0.00,0.00,2.27,0.67,1,0,1,1,1,0,"9","",4,7,2,0,4,0,0,2,1,3,12,12,4,2,8,10,20,11,49,51,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Eden Aréna
1501426800,Jul 30 2017 - 3:00pm,complete,4894,Slovan Liberec,Zlín,N/A,1,0.00,0.00,1.87,0.73,1,0,1,0,0,0,"84","",11,2,1,0,3,1,0,1,3,1,29,5,11,3,18,2,13,11,57,43,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion u Nisy
1501426800,Jul 30 2017 - 3:00pm,complete,3577,Mladá Boleslav,Sigma Olomouc,N/A,1,0.00,0.00,0.87,1.47,1,2,3,2,0,2,"86","37,45'2",5,1,3,0,4,0,1,2,1,3,15,8,5,5,10,3,12,12,53,47,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Adidas Aréna
1501434000,Jul 30 2017 - 5:00pm,complete,16724,Sparta Praha,Bohemians 1905,N/A,1,0.00,0.00,2.40,0.73,1,1,2,1,1,0,"16","88",4,1,0,0,2,0,0,0,1,1,8,7,4,4,4,3,6,19,59,41,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Generali Arena
1501945200,Aug 05 2017 - 3:00pm,complete,4251,Teplice,Dukla Praha,N/A,2,0.00,0.00,1.60,0.60,3,1,4,2,2,0,"30,32,60","73",8,2,2,0,4,1,1,1,3,2,16,9,7,5,9,4,15,12,55,45,0.00,0.00,0.00,0.00,2.00,0,50,50,50,0,50,50,0,0,8.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Na Stínadlech
1501945200,Aug 05 2017 - 3:00pm,complete,4917,Zlín,Zbrojovka Brno,N/A,2,0.00,0.00,1.47,0.47,2,1,3,0,0,0,"68,73","52",5,7,1,1,2,0,1,1,1,1,12,13,6,3,6,10,13,18,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Letná
1501945200,Aug 05 2017 - 3:00pm,complete,4192,Bohemians 1905,Karviná,N/A,2,0.00,0.00,1.80,0.67,2,1,3,2,1,1,"30,85","38",3,5,2,0,4,0,1,1,2,2,11,7,4,5,7,2,8,13,66,34,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Ďolíček
1501945200,Aug 05 2017 - 3:00pm,complete,3731,Sigma Olomouc,Slovan Liberec,N/A,2,0.00,0.00,2.20,1.20,2,1,3,1,1,0,"21,85","76",6,1,1,0,4,1,0,1,0,5,10,7,3,2,7,5,13,21,53,47,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Andrův stadion
1502028000,Aug 06 2017 - 2:00pm,complete,3870,Jablonec,Viktoria Plzeň,N/A,2,0.00,0.00,2.20,2.20,0,1,1,1,0,1,"","11",3,6,3,0,4,0,0,3,1,3,13,14,5,6,8,8,15,17,56,44,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Střelnice (Jablonec nad Nisou)
1502028000,Aug 06 2017 - 2:00pm,complete,2893,Vysočina Jihlava,Slovácko,N/A,2,0.00,0.00,1.20,0.67,0,0,0,0,0,0,"","",8,3,3,0,2,0,0,3,0,2,11,9,3,5,8,4,12,14,40,60,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion v Jiráskově ulici
1502035200,Aug 06 2017 - 4:00pm,complete,13056,Baník Ostrava,Slavia Praha,N/A,2,0.00,0.00,1.47,1.67,0,0,0,0,0,0,"","",2,8,2,0,3,0,2,0,2,1,4,21,3,7,1,14,17,12,35,65,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Bazaly (Slezská Ostrava)
