timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1627135200,Jul 24 2021 - 2:00pm,complete,N/A,Hradec Králové,Bohemians 1905,Pavel Julínek,1,0.00,0.00,1.65,0.67,1,1,2,1,1,0,"14","52",4,5,1,0,2,0,0,1,1,1,16,8,5,4,11,4,10,12,49,51,0.00,0.00,2.05,1.37,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.88,3.00,2.45,1.30,1.98,3.65,7.00,1.95,1.80,Lokotrans Aréna (Mladá Boleslav)
1627135200,Jul 24 2021 - 2:00pm,complete,N/A,Pardubice,Karviná,Karel Hrubes,1,0.00,0.00,1.06,0.39,2,2,4,1,0,1,"64,75","6,49",6,7,2,0,1,0,1,1,0,1,14,7,7,3,7,4,10,7,60,40,0.00,0.00,2.06,1.06,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.10,3.30,1.30,1.98,3.50,6.75,1.87,1.87,Areál Dolíček (Pardubice)
1627135200,Jul 24 2021 - 2:00pm,complete,N/A,Jablonec,Baník Ostrava,Ondřej Pechanec,1,0.00,0.00,1.17,1.39,1,0,1,0,0,0,"88","",16,6,2,0,3,0,0,2,0,3,15,11,6,7,9,4,9,12,57,43,0.00,0.00,1.97,1.55,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.91,3.25,3.90,1.33,1.98,3.50,6.75,1.95,1.83,Stadion Střelnice (Jablonec nad Nisou)
1627146000,Jul 24 2021 - 5:00pm,complete,N/A,Sparta Praha,Sigma Olomouc,Pavel Orel,1,0.00,0.00,2.50,0.94,3,2,5,2,1,1,"12,64,78","3,90'2",11,4,5,0,2,0,1,4,0,2,19,7,11,6,8,1,12,15,57,43,0.00,0.00,2.49,1.14,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.32,5.25,8.25,1.25,1.67,2.65,4.75,2.00,1.74,Generali Česká pojišťovna Arena (Praha)
1627221600,Jul 25 2021 - 2:00pm,complete,N/A,Viktoria Plzeň,Mladá Boleslav,Ondřej Berka,1,0.00,0.00,2.78,1.24,2,1,3,2,2,0,"29,36","62",4,4,1,0,2,0,1,0,1,1,7,10,3,5,4,5,13,9,42,58,0.00,0.00,1.09,1.63,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.67,3.40,4.40,1.29,1.83,3.10,5.25,1.77,2.00,Doosan Aréna (Plzeň)
1627221600,Jul 25 2021 - 2:00pm,complete,N/A,České Budějovice,Teplice,Tomáš Klíma,1,0.00,0.00,1.88,0.71,1,0,1,0,0,0,"61","",3,3,2,0,2,0,1,1,1,1,6,13,3,7,3,6,16,15,54,46,0.00,0.00,1.15,1.76,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.20,3.30,1.34,1.91,3.30,6.00,1.91,1.83,Fotbalový stadion Střelecký ostrov (Ceské Budejovice)
1627221600,Jul 25 2021 - 2:00pm,complete,N/A,Slovan Liberec,Slovácko,Jan Machálek,1,0.00,0.00,1.44,1.39,0,1,1,1,0,1,"","31",5,0,3,0,3,1,0,3,2,2,5,4,3,2,2,2,13,19,51,49,0.00,0.00,1.04,0.74,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,3.00,3.30,1.38,2.20,3.85,7.75,2.00,1.74,Stadion u Nisy (Liberec)
1627232400,Jul 25 2021 - 5:00pm,complete,N/A,Zlín,Slavia Praha,Miroslav Zelinka,1,0.00,0.00,1.33,1.88,0,1,1,0,0,0,"","70",4,8,1,0,0,0,1,0,0,0,6,17,3,8,3,9,12,13,42,58,0.00,0.00,1.14,2.27,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,8.25,4.75,1.36,1.25,1.71,2.70,4.85,2.00,1.74,Stadion Letná (Zlín)
1627664400,Jul 30 2021 - 5:00pm,complete,N/A,Teplice,Slavia Praha,Ondřej Pechanec,2,0.00,3.00,0.94,1.88,1,3,4,3,1,2,"43","22,45'1,81",7,7,3,0,2,0,3,0,0,2,3,15,3,9,0,6,14,9,39,61,0.00,2.27,0.89,2.08,0.50,0,0,0,0,0,0,0,0,50,8.00,0.00,9.50,5.75,1.27,1.22,1.61,2.50,4.50,2.10,1.69,AGC Aréna Na Stínadlech (Teplice)
1627740000,Jul 31 2021 - 2:00pm,complete,N/A,Karviná,Hradec Králové,Cieslar Ondřej,2,0.00,0.00,0.71,0.89,1,1,2,2,1,1,"25","5",2,4,1,0,3,0,0,1,2,1,9,14,3,7,6,7,19,18,47,53,0.00,0.00,1.34,1.95,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.80,3.10,3.53,1.40,1.62,3.75,7.50,2.05,1.74,Městský Stadión (Karviná)
