timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1599843600,Sep 11 2020 - 5:00pm,complete,N/A,SønderjyskE,Midtjylland,Mads-Kristoffer Kristoffersen,1,0.00,0.00,1.63,1.38,2,0,2,0,0,0,"57,90","",6,6,0,0,1,0,0,0,0,1,12,16,6,3,6,13,14,10,37,63,0.00,0.00,1.38,1.66,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.85,3.70,1.69,1.25,1.80,3.05,5.70,1.77,1.95,Sydbank Park (Haderslev)
1599998400,Sep 13 2020 - 12:00pm,complete,1216,Horsens,Randers,Jakob A. Sundberg,1,0.00,0.00,0.88,1.19,0,3,3,0,0,0,"","72,78,90",4,4,1,1,3,0,0,2,2,1,19,17,5,8,14,9,8,13,45,55,0.00,0.00,1.85,1.93,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.80,3.40,2.45,1.28,1.91,3.25,6.25,1.71,2.05,CASA Arena Horsens (Horsens)
1599998400,Sep 13 2020 - 12:00pm,complete,2138,Lyngby,AaB,Mikkel Redder,1,0.00,0.00,0.63,1.12,0,0,0,0,0,0,"","",7,6,1,0,1,1,1,0,1,1,9,12,2,3,7,9,5,10,51,49,0.00,0.00,0.99,1.39,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.10,3.50,2.20,1.23,1.74,2.85,5.25,1.61,2.20,Lyngby Stadion (Lyngby)
1600005600,Sep 13 2020 - 2:00pm,complete,N/A,Brøndby,Nordsjælland,Jens Maae,1,0.00,0.00,2.13,0.94,3,2,5,2,0,2,"48,75,90'6","12,38",8,4,1,0,2,0,0,1,0,2,12,9,7,4,5,5,15,10,59,41,0.00,0.00,1.57,1.06,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.55,3.50,1.19,1.62,2.60,4.60,1.56,2.35,Brøndby Stadion (Brøndby)
1600012800,Sep 13 2020 - 4:00pm,complete,N/A,OB,København,Jakob Kehlet,1,0.00,0.00,1.63,1.50,3,2,5,3,3,0,"10,17,45","61,70",2,5,1,0,2,0,0,1,0,2,13,13,9,7,4,6,10,11,33,67,0.00,0.00,1.66,1.78,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.55,3.50,2.00,1.25,1.80,3.00,5.60,1.65,2.10,Nature Energy Park (Odense)
1600102800,Sep 14 2020 - 5:00pm,complete,N/A,AGF,Vejle,Sandi Putros,1,0.00,0.00,1.71,1.00,4,2,6,2,2,0,"9,17,58,90'1","71,84",5,5,1,0,2,0,0,1,1,1,14,6,10,4,4,2,20,14,42,58,0.00,0.00,1.96,0.91,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.65,3.75,5.25,1.26,1.83,3.10,5.80,1.80,1.95,Ceres Park & Arena (Århus)
1600522200,Sep 19 2020 - 1:30pm,complete,N/A,Midtjylland,Lyngby,Jakob Kehlet,2,0.00,0.00,2.38,1.00,1,0,1,1,1,0,"14","",10,1,3,0,2,0,3,0,2,0,15,6,8,2,7,4,11,8,59,41,0.00,0.00,1.87,0.74,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.29,5.65,9.00,1.14,1.48,2.20,3.70,1.77,1.95,MCH Arena (Herning)
1600603200,Sep 20 2020 - 12:00pm,complete,N/A,OB,Nordsjælland,Jonas Hansen,2,3.00,0.00,1.63,0.94,1,1,2,0,0,0,"57","55",8,2,2,0,4,0,2,0,0,4,15,7,6,3,9,4,12,17,49,51,1.66,1.06,1.63,0.88,5.00,100,100,100,100,100,100,100,100,100,6.00,3.00,2.15,3.55,3.20,1.19,1.62,2.55,4.55,1.53,2.40,Nature Energy Park (Odense)
1600603200,Sep 20 2020 - 12:00pm,complete,N/A,København,Brøndby,Jørgen Daugbjerg Burchardt,2,0.00,0.00,1.94,1.69,1,2,3,2,1,1,"12","31,90'3",3,5,2,0,2,0,1,1,0,2,15,10,10,4,5,6,13,22,48,52,0.00,0.00,1.95,1.24,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.91,3.70,3.80,1.22,1.71,2.80,5.15,1.65,2.15,Telia Parken (København)
1600610400,Sep 20 2020 - 2:00pm,complete,N/A,Randers,AGF,Mikkel Redder,2,0.00,0.00,1.31,1.25,1,1,2,0,0,0,"87","90",11,2,6,0,1,1,3,3,1,1,16,8,7,3,9,5,18,9,71,29,0.00,0.00,2.10,0.90,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.85,3.40,2.40,1.24,1.77,2.95,5.45,1.62,2.20,Cepheus Park Randers (Randers)
