team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
FC København,København,2015/2016,Denmark,33,17,16,0,21,14,7,8,3,5,4,0,4,2.15,2.65,1.63,1,1,2,1,62,28,34,90,57,33,43,19,14,14,29,5,48,36,76,106,110,102,14,8,6,16,9,7,7,1,6,19,14,5,209,110,99,46,18,28,54,55,54,357,193,164,149,82,67,208,111,97,361,186,175,22,16,6,11,5,6,11,11,0,12,8,4,16,8,8,5,1,4,1.58,1.88,1.25,2.73,3.35,2.06,1.88,2.53,1.19,0.85,0.82,0.88,1,1.24,0.75,0.67,0.94,0.38,0.33,0.29,0.38,29,22,15,10,6,4,16,13,10,7,4,3,13,9,5,3,2,1,4,11,18,23,27,29,1,4,7,10,13,14,3,7,11,13,14,15,88,67,45,30,18,12,94,76,59,41,24,18,81,56,31,19,13,6,12,33,55,70,82,88,6,24,41,59,76,82,19,44,69,81,87,94,19,10,3,11,7,2,8,3,1,58,30,9,65,41,12,50,19,6,64,82,44,20,42,47,38,48,53,44,21,6,38,58,82,31,24,13,11,73,76,69,18,6,12,55,35,75,5,4,1,15,24,6,36,47,25,48,47,50,15,6,25,6.33,6.47,6.19,1.39,1.06,1.75,73,61,52,45,30,24,24,18,0.00,0.00,0.00,0.00,0.00,0.00,82,6,3,6,5,4,10,11,9,8,3,1,1,4,3,3,5,3,5,24,18,31,12,0,25,12
FC Midtjylland,Midtjylland,2015/2016,Denmark,33,17,16,0,17,11,6,8,3,5,8,3,5,1.79,2.12,1.44,3,2,4,3,57,33,24,90,45,45,32,25,13,20,19,5,52,48,58,90,118,72,13,8,5,18,7,11,5,3,2,19,12,7,154,83,71,57,26,31,52,54,51,314,167,147,147,85,62,167,82,85,395,201,194,23,14,9,10,4,6,13,10,3,15,10,5,14,5,9,4,2,2,1.79,2.06,1.5,2.73,2.65,2.81,1.73,1.88,1.56,1,0.76,1.25,1,1.06,0.94,0.7,0.82,0.56,0.3,0.24,0.38,30,27,14,7,7,3,16,13,6,4,4,2,14,14,8,3,3,1,3,6,19,26,26,30,1,4,11,13,13,15,2,2,8,13,13,15,91,82,42,21,21,9,94,76,35,24,24,12,88,88,50,19,19,6,9,18,58,79,79,91,6,24,65,76,76,88,12,12,50,81,81,94,23,9,1,13,4,1,10,5,0,70,27,3,76,24,6,63,31,0,52,65,38,17,39,47,31,55,41,69,15,18,13,58,71,44,25,14,11,76,82,69,13,5,8,39,29,50,5,2,3,15,12,19,45,59,31,42,29,56,12,12,13,4.67,4.88,4.44,1.73,1.53,1.94,82,79,64,52,45,33,24,15,0.00,0.00,0.00,0.00,0.00,0.00,73,6,2,5,5,6,5,9,4,15,3,2,2,2,4,9,4,4,3,24,18,31,24,18,31,6
Aalborg BK,AaB,2015/2016,Denmark,33,17,16,0,15,8,7,5,3,2,13,6,7,1.52,1.59,1.44,5,5,5,5,56,44,12,100,52,48,34,22,18,26,16,-4,53,45,65,68,85,55,11,6,5,15,7,8,9,5,4,16,9,7,168,97,71,57,35,22,54,55,53,289,157,132,140,72,68,149,85,64,260,138,122,23,12,11,16,7,9,7,5,2,12,7,5,11,4,7,10,6,4,1.42,1.47,1.38,3.03,3.06,3,1.7,2,1.38,1.33,1.06,1.63,1.18,1.12,1.25,0.7,0.71,0.69,0.48,0.41,0.56,31,27,17,10,9,4,16,14,9,6,5,2,15,13,8,4,4,2,2,6,16,23,24,29,1,3,8,11,12,15,1,3,8,12,12,14,94,82,52,30,27,12,94,82,53,35,29,12,94,81,50,25,25,13,6,18,48,70,73,88,6,18,47,65,71,88,6,19,50,75,75,87,25,11,2,14,5,0,11,6,2,76,33,6,82,29,0,69,38,13,45,47,44,19,33,35,31,45,41,50,27,29,25,48,53,44,19,10,9,58,59,56,17,9,8,52,53,50,5,1,4,15,6,25,36,41,31,33,24,44,30,35,25,5.09,5.71,4.44,1.73,2.06,1.38,85,85,73,42,27,15,15,12,0.00,0.00,0.00,0.00,0.00,0.00,73,6,3,5,5,6,7,9,6,9,3,6,3,3,4,3,9,3,10,15,18,13,39,35,44,6
FC Nordsjælland,Nordsjælland,2015/2016,Denmark,33,17,16,0,11,7,4,5,3,2,17,7,10,1.15,1.41,0.88,9,9,9,9,35,51,-16,86,46,40,22,13,24,27,-2,-14,85,70,111,58,64,53,8,5,3,16,8,8,10,5,5,13,7,6,128,71,57,56,31,25,50,52,48,277,146,131,138,75,63,139,71,68,403,210,193,14,9,5,25,13,12,-11,-4,-7,8,5,3,11,5,6,14,7,7,1.06,1.18,0.94,2.61,2.71,2.5,1.06,1.29,0.81,1.55,1.41,1.69,1.18,1.29,1.06,0.42,0.53,0.31,0.76,0.76,0.75,32,25,17,7,3,2,16,14,9,3,2,2,16,11,8,4,1,0,1,8,16,26,30,31,1,3,8,14,15,15,0,5,8,12,15,16,97,76,52,21,9,6,94,82,53,18,12,12,100,69,50,25,6,0,3,24,48,79,91,94,6,18,47,82,88,88,0,31,50,75,94,100,25,12,2,14,7,1,11,5,1,76,36,6,82,41,6,69,31,6,33,41,25,16,24,29,19,48,47,50,30,29,31,39,41,38,15,8,7,45,47,44,21,9,12,64,53,75,5,3,2,15,18,13,24,29,19,33,29,38,42,41,44,3.88,4.18,3.56,1.7,1.82,1.56,85,79,57,42,33,18,9,3,0.00,0.00,0.00,0.00,0.00,0.00,85,2,6,2,1,4,6,7,2,5,3,4,7,6,6,2,4,7,12,15,18,13,52,41,63,0
Aarhus Gymnastikforening,AGF,2015/2016,Denmark,33,16,17,0,7,7,0,13,5,8,13,4,9,1.03,1.63,0.47,10,6,11,10,45,51,-6,96,42,54,25,20,17,34,8,-14,66,58,76,58,85,45,6,5,1,23,10,13,8,4,4,13,8,5,166,90,76,68,33,35,52,52,53,339,158,181,153,72,81,186,86,100,396,198,198,18,9,9,25,8,17,-7,1,-8,7,4,3,14,9,5,12,3,9,1.06,1.31,0.82,2.91,2.63,3.18,1.36,1.56,1.18,1.55,1.06,2,1.3,1.06,1.53,0.55,0.56,0.53,0.76,0.5,1,29,28,21,11,5,2,13,13,9,3,3,1,16,15,12,8,2,1,4,5,12,22,28,31,3,3,7,13,13,15,1,2,5,9,15,16,88,85,64,33,15,6,81,81,56,19,19,6,94,88,71,47,12,6,12,15,36,67,85,94,19,19,44,81,81,94,6,12,29,53,88,94,26,14,3,11,6,0,15,8,3,79,42,9,69,38,0,88,47,18,21,44,0,24,18,31,6,70,63,76,24,25,24,39,50,29,14,9,5,42,56,29,17,8,9,52,50,53,9,4,5,27,25,29,21,25,18,42,56,29,36,19,53,5.03,5.63,4.47,2.06,2.06,2.06,94,85,61,45,36,24,12,3,0.00,0.00,0.00,0.00,0.00,0.00,88,3,4,4,3,5,2,7,6,11,2,6,7,4,9,6,6,5,6,39,31,47,39,25,53,3
Brøndby IF,Brøndby,2015/2016,Denmark,33,17,16,0,16,8,8,6,4,2,11,5,6,1.64,1.65,1.63,4,4,3,4,43,37,6,80,27,53,14,29,13,24,1,5,69,110,50,80,118,60,14,8,6,13,6,7,9,6,3,18,10,8,183,105,78,66,33,33,53,56,49,332,186,146,131,70,61,201,116,85,385,188,197,18,7,11,18,8,10,0,-1,1,10,4,6,15,10,5,8,3,5,1.36,1.29,1.44,2.42,1.59,3.31,1.3,0.82,1.81,1.12,0.76,1.5,1.09,0.88,1.31,0.55,0.41,0.69,0.55,0.47,0.63,30,24,13,6,4,2,14,8,5,0,0,0,16,16,8,6,4,2,3,9,20,27,29,31,3,9,12,17,17,17,0,0,8,10,12,14,91,73,39,18,12,6,82,47,29,0,0,0,100,100,50,38,25,13,9,27,61,82,88,94,18,53,71,100,100,100,0,0,50,62,75,87,22,11,2,10,5,0,12,6,2,67,33,6,59,29,0,75,38,13,48,47,50,-3,42,47,38,39,35,44,27,35,19,55,59,50,20,11,9,61,65,56,18,10,8,55,59,50,6,3,3,18,18,19,30,24,38,45,59,31,24,18,31,5.55,6.18,4.88,2,1.94,2.06,88,82,70,64,52,30,21,15,0.00,0.00,0.00,0.00,0.00,0.00,55,3,3,5,4,4,3,5,7,9,6,1,2,6,4,4,7,4,3,18,24,13,33,29,38,9
Sønderjysk Elitesport Fodbold,SønderjyskE,2015/2016,Denmark,33,16,17,0,19,10,9,5,2,3,9,4,5,1.88,2,1.76,2,3,1,2,56,36,20,92,52,40,34,22,18,18,16,4,53,42,70,83,80,85,10,5,5,19,11,8,6,0,6,16,10,6,131,78,53,60,28,32,45,46,43,248,141,107,113,68,45,135,73,62,322,165,157,25,17,8,19,9,10,6,8,-2,13,11,2,11,0,11,9,5,4,1.52,2.06,1,2.79,3.25,2.35,1.7,2.13,1.29,1.09,1.13,1.06,1.33,1.63,1.06,0.76,1.06,0.47,0.58,0.56,0.59,31,27,21,10,3,0,16,16,12,7,1,0,15,11,9,3,2,0,2,6,12,23,30,33,0,0,4,9,15,16,2,6,8,14,15,17,94,82,64,30,9,0,100,100,75,44,6,0,88,65,53,18,12,0,6,18,36,70,91,100,0,0,25,56,94,100,12,35,47,82,88,100,26,13,5,16,6,4,10,7,1,79,39,15,100,38,25,59,41,6,58,63,53,11,30,31,29,58,69,47,18,0,35,48,63,35,17,9,8,52,56,47,15,4,11,45,25,65,8,3,5,24,19,29,39,69,12,33,0,65,27,31,24,4.23,4.88,3.53,1.82,1.75,1.88,97,84,52,42,39,26,26,13,0.00,0.00,0.00,0.00,0.00,0.00,82,3,5,6,8,7,7,7,2,11,4,4,5,2,4,3,4,6,4,15,13,18,27,25,29,6
Randers FC,Randers,2015/2016,Denmark,33,17,16,0,13,7,6,8,5,3,12,5,7,1.42,1.53,1.31,6,7,7,6,45,43,2,88,43,45,24,21,19,24,5,-3,66,64,69,69,80,60,10,5,5,16,9,7,9,4,5,18,10,8,170,83,87,48,18,30,52,54,49,334,181,153,145,81,64,189,100,89,350,174,176,20,11,9,15,7,8,5,4,1,10,4,6,15,11,4,8,2,6,1.36,1.35,1.38,2.67,2.53,2.81,1.36,1.41,1.31,1.3,1.12,1.5,1.06,1.06,1.06,0.61,0.65,0.56,0.45,0.41,0.5,31,25,15,10,6,1,16,13,7,4,2,1,15,12,8,6,4,0,2,8,18,23,27,32,1,4,10,13,15,16,1,4,8,10,12,16,94,76,45,30,18,3,94,76,41,24,12,6,94,75,50,38,25,0,6,24,55,70,82,97,6,24,59,76,88,94,6,25,50,62,75,100,21,10,3,8,6,3,13,4,0,64,30,9,47,35,18,81,25,0,39,41,38,9,30,29,31,48,53,44,27,24,31,55,59,50,20,11,9,61,65,56,19,10,9,58,59,56,6,5,1,18,29,6,30,24,38,45,65,25,24,12,38,5.15,4.88,5.44,1.45,1.06,1.88,76,67,52,45,33,24,18,12,0.00,0.00,0.00,0.00,0.00,0.00,73,6,2,4,4,7,7,4,5,6,3,5,3,0,6,6,5,6,9,24,29,19,36,29,44,6
Odense BK,OB,2015/2016,Denmark,33,16,17,0,14,7,7,4,3,1,15,6,9,1.39,1.5,1.29,7,8,6,7,50,52,-2,102,52,50,29,21,23,29,6,-8,59,50,73,57,63,53,8,3,5,18,10,8,7,3,4,15,9,6,148,72,76,51,25,26,49,50,49,265,138,127,136,76,60,129,62,67,300,140,160,18,10,8,33,14,19,-15,-4,-11,8,5,3,10,4,6,15,7,8,1.03,1.19,0.88,3.09,3.25,2.94,1.52,1.81,1.24,1.58,1.44,1.71,1.55,1.5,1.59,0.55,0.63,0.47,1,0.88,1.12,33,24,18,13,8,5,16,12,10,7,4,2,17,12,8,6,4,3,0,9,15,20,25,28,0,4,6,9,12,14,0,5,9,11,13,14,100,73,55,39,24,15,100,75,63,44,25,13,100,71,47,35,24,18,0,27,45,61,76,85,0,25,37,56,75,87,0,29,53,65,76,82,27,15,6,14,7,2,13,8,4,82,45,18,88,44,13,76,47,24,42,44,41,14,24,19,29,55,63,47,21,19,24,45,56,35,12,6,6,36,38,35,18,8,10,55,50,59,9,4,5,27,25,29,24,31,18,30,25,35,45,44,47,4.63,4.80,4.47,1.55,1.56,1.53,88,78,66,47,31,19,16,13,0.00,0.00,0.00,0.00,0.00,0.00,91,2,5,5,2,8,3,8,8,9,7,11,6,6,4,4,4,3,7,12,19,6,45,38,53,9
Hobro IK,Hobro,2015/2016,Denmark,33,16,17,0,5,3,2,6,4,2,22,9,13,0.64,0.81,0.47,12,12,12,12,28,68,-40,96,49,47,17,11,32,36,-15,-25,106,85,138,44,45,42,3,1,2,14,9,5,17,7,10,10,5,5,99,48,51,74,42,32,43,44,42,257,141,116,114,69,45,143,72,71,462,224,238,19,11,8,22,9,13,-3,2,-5,7,4,3,13,7,6,13,5,8,1.03,1.19,0.88,2.91,3.06,2.76,0.85,1.06,0.65,2.06,2,2.12,1.24,1.25,1.24,0.58,0.69,0.47,0.67,0.56,0.76,32,26,17,10,5,4,15,13,9,7,3,2,17,13,8,3,2,2,1,7,16,23,28,29,1,3,7,9,13,14,0,4,9,14,15,15,97,79,52,30,15,12,94,81,56,44,19,13,100,76,47,18,12,12,3,21,48,70,85,88,6,19,44,56,81,87,0,24,53,82,88,88,23,13,4,10,7,3,13,6,1,70,39,12,63,44,19,76,35,6,15,19,12,14,9,6,12,42,56,29,52,44,59,30,31,29,16,10,6,48,63,35,21,9,12,64,56,71,6,3,3,18,19,18,21,25,18,39,44,35,39,31,47,3.00,3.00,3.00,2.24,2.63,1.88,82,73,52,42,27,18,15,12,0.00,0.00,0.00,0.00,0.00,0.00,64,3,4,3,4,8,0,2,2,2,4,2,4,6,11,6,12,6,17,18,25,12,67,56,76,3
