team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Leicester City FC,Leicester City,2023/2024,England,46,23,23,0,31,17,14,4,1,3,11,5,6,2.11,2.26,1.96,1,3,1,1,89,41,48,130,65,65,47,42,18,23,29,19,47,44,49,101,115,90,15,9,6,24,11,13,7,3,4,32,15,17,254,151,103,85,34,51,62,64,59,550,298,252,291,157,134,259,141,118,448,198,250,35,13,22,15,8,7,20,5,15,23,9,14,18,10,8,5,4,1,1.89,1.61,2.17,2.83,2.83,2.83,1.93,2.04,1.83,0.89,0.78,1,1.09,0.91,1.26,0.76,0.57,0.96,0.33,0.35,0.3,46,36,27,14,7,0,23,19,14,6,3,0,23,17,13,8,4,0,0,10,19,32,39,46,0,4,9,17,20,23,0,6,10,15,19,23,100,78,59,30,15,0,100,83,61,26,13,0,100,74,57,35,17,0,0,22,41,70,85,100,0,17,39,74,87,100,0,26,43,65,83,100,34,12,3,16,5,0,18,7,3,74,26,7,70,22,0,78,30,13,67,74,61,9,33,39,26,52,48,57,15,13,17,70,65,74,32,16,16,70,70,70,17,11,6,37,48,26,9,3,6,20,13,26,50,39,61,39,43,35,11,17,4,5.52,6.57,4.48,1.85,1.48,2.22,87,78,70,52,41,24,17,7,1.60,1.76,1.43,1.12,0.98,1.25,67,5,8,11,7,8,9,12,14,15,2,5,3,3,3,5,3,5,12,9,4,13,24,22,26,4
Stoke City FC,Stoke City,2023/2024,England,46,23,23,0,15,8,7,11,6,5,20,9,11,1.22,1.3,1.13,18,18,15,18,49,60,-11,109,51,58,24,25,27,33,-3,-8,84,87,83,69,77,63,14,9,5,19,7,12,17,10,7,17,9,8,271,149,122,113,57,56,51,52,50,449,242,207,216,111,105,233,131,102,527,266,261,25,11,14,31,12,19,-6,-1,-5,9,5,4,19,10,9,18,8,10,1,1.09,0.91,2.37,2.22,2.52,1.07,1.04,1.09,1.3,1.17,1.43,1.22,1,1.43,0.54,0.48,0.61,0.67,0.52,0.83,42,31,20,11,4,1,20,14,10,5,2,0,22,17,10,6,2,1,4,15,26,35,42,45,3,9,13,18,21,23,1,6,13,17,21,22,91,67,43,24,9,2,87,61,43,22,9,0,96,74,43,26,9,4,9,33,57,76,91,98,13,39,57,78,91,100,4,26,57,74,91,96,33,17,5,14,7,2,19,10,3,72,37,11,61,30,9,83,43,13,33,35,30,4,30,39,22,41,30,52,37,43,30,37,39,35,22,14,8,48,61,35,28,17,11,61,74,48,9,1,8,20,4,35,20,22,17,41,43,39,39,35,43,5.89,6.48,5.30,2.46,2.48,2.43,96,96,74,52,43,39,33,17,1.31,1.39,1.22,1.29,1.12,1.45,61,3,3,2,7,14,3,6,6,5,6,5,8,7,8,6,6,5,9,24,26,22,43,39,48,13
West Bromwich Albion FC,West Bromwich Albion,2023/2024,England,48,24,24,0,21,15,6,13,5,8,14,4,10,1.58,2.08,1.08,5,5,14,5,71,50,21,121,55,66,38,33,17,33,21,0,61,57,65,87,127,65,19,13,6,23,9,14,10,5,5,24,15,9,276,138,138,84,36,48,52,54,50,442,235,207,218,112,106,224,123,101,380,179,201,29,18,11,21,6,15,8,12,-4,16,11,5,20,10,10,12,3,9,1.42,1.79,1.04,2.52,2.29,2.75,1.48,1.58,1.38,1.04,0.71,1.38,1.04,1,1.08,0.6,0.75,0.46,0.44,0.25,0.63,44,36,23,13,4,1,21,16,9,5,3,1,23,20,14,8,1,0,4,12,25,35,44,47,3,8,15,19,21,23,1,4,10,16,23,24,92,75,48,27,8,2,88,67,38,21,13,4,96,83,58,33,4,0,8,25,52,73,92,98,12,33,62,79,87,96,4,17,42,67,96,100,32,12,5,16,6,2,16,6,3,67,25,10,67,25,8,67,25,13,44,63,25,20,40,54,25,48,38,58,21,21,21,50,63,38,30,18,12,63,75,50,27,11,16,56,46,67,7,3,4,15,13,17,33,46,21,42,42,42,25,13,38,5.75,5.75,5.75,1.75,1.5,2.00,88,85,73,63,48,40,28,25,1.25,1.33,1.17,1.13,1.01,1.26,63,5,8,8,4,11,7,13,6,9,2,5,8,4,5,3,5,10,8,27,21,33,29,17,42,17
Southampton FC,Southampton,2023/2024,England,49,24,25,0,28,16,12,10,3,7,11,5,6,1.92,2.13,1.72,4,4,2,4,91,64,27,155,87,68,57,34,30,34,27,0,48,38,66,69,72,66,14,6,8,31,16,15,6,2,4,34,17,17,358,178,180,115,56,59,65,66,65,574,296,278,324,172,152,250,124,126,455,211,244,47,27,20,27,16,11,20,11,9,25,13,12,14,4,10,10,7,3,1.82,1.79,1.84,3.16,3.63,2.72,1.86,2.38,1.36,1.31,1.25,1.36,1.51,1.79,1.24,0.96,1.13,0.8,0.55,0.67,0.44,47,40,31,18,10,4,24,21,18,11,6,3,23,19,13,7,4,1,2,9,18,31,39,45,0,3,6,13,18,21,2,6,12,18,21,24,96,82,63,37,20,8,100,88,75,46,25,13,92,76,52,28,16,4,4,18,37,63,80,92,0,12,25,54,75,87,8,24,48,72,84,96,38,21,11,21,13,6,17,8,5,78,43,22,88,54,25,68,32,20,57,67,48,17,29,25,32,63,67,60,12,8,16,69,71,68,32,15,17,65,63,68,17,7,10,35,29,40,11,5,6,22,21,24,51,54,48,29,17,40,20,29,12,7.31,7.42,7.20,2.35,2.33,2.36,90,84,78,65,61,53,39,28,1.65,1.77,1.54,1.15,1.09,1.21,86,9,16,7,10,11,5,6,8,19,6,3,5,6,9,7,9,7,12,20,13,28,22,21,24,22
Middlesbrough FC,Middlesbrough,2023/2024,England,46,23,23,0,20,10,10,9,4,5,17,9,8,1.5,1.48,1.52,8,12,6,8,71,62,9,133,56,77,30,41,26,36,4,5,58,69,51,67,80,57,11,8,3,27,10,17,9,6,3,25,12,13,270,158,112,85,37,48,53,57,48,487,255,232,273,139,134,214,116,98,449,235,214,28,14,14,34,14,20,-6,0,-6,12,7,5,17,10,7,17,6,11,1.15,1.35,0.96,2.89,2.43,3.35,1.54,1.3,1.78,1.35,1.13,1.57,1.35,1.22,1.48,0.61,0.61,0.61,0.74,0.61,0.87,45,39,24,14,7,3,22,18,8,5,1,1,23,21,16,9,6,2,1,7,22,32,39,43,1,5,15,18,22,22,0,2,7,14,17,21,98,85,52,30,15,7,96,78,35,22,4,4,100,91,70,39,26,9,2,15,48,70,85,93,4,22,65,78,96,96,0,9,30,61,74,91,33,17,8,15,8,3,18,9,5,72,37,17,65,35,13,78,39,22,43,43,43,0,24,35,13,59,43,74,20,26,13,54,52,57,23,14,9,50,61,39,25,13,12,54,57,52,11,4,7,24,17,30,26,30,22,37,43,30,37,26,48,5.87,6.87,4.87,1.85,1.61,2.09,91,85,78,61,54,46,28,22,1.44,1.53,1.36,1.30,1.18,1.43,74,5,4,6,6,10,12,7,7,14,5,9,5,12,6,6,6,6,7,20,17,22,37,39,35,15
Hull City AFC,Hull City,2023/2024,England,46,23,23,0,19,8,11,13,9,4,14,6,8,1.52,1.43,1.61,7,13,5,7,68,60,8,128,62,66,35,33,27,33,8,0,61,59,63,69,77,63,11,6,5,29,14,15,9,4,5,20,11,9,253,147,106,100,39,61,55,59,51,485,263,222,274,139,135,211,124,87,424,214,210,38,20,18,28,14,14,10,6,4,16,7,9,20,12,8,10,4,6,1.48,1.43,1.52,2.78,2.7,2.87,1.48,1.52,1.43,1.3,1.17,1.43,1.43,1.48,1.39,0.83,0.87,0.78,0.61,0.61,0.61,43,35,27,15,6,2,22,17,11,6,4,2,21,18,16,9,2,0,3,11,19,31,40,44,1,6,12,17,19,21,2,5,7,14,21,23,93,76,59,33,13,4,96,74,48,26,17,9,91,78,70,39,9,0,7,24,41,67,87,96,4,26,52,74,83,91,9,22,30,61,91,100,36,22,7,18,11,4,18,11,3,78,48,15,78,48,17,78,48,13,41,35,48,7,24,26,22,63,61,65,20,17,22,43,48,39,22,11,11,48,48,48,19,8,11,41,35,48,15,9,6,33,39,26,35,30,39,43,52,35,22,17,26,5.50,6.39,4.61,2.17,1.7,2.65,85,78,74,67,59,37,28,17,1.42,1.53,1.30,1.33,1.18,1.48,70,6,9,7,9,9,7,5,7,9,7,5,4,6,7,5,6,8,12,28,39,17,30,26,35,9
Swansea City AFC,Swansea City,2023/2024,Wales,46,23,23,0,15,8,7,12,5,7,19,10,9,1.24,1.26,1.22,14,19,11,14,59,65,-6,124,54,70,26,33,28,37,-2,-4,70,80,63,64,74,56,10,6,4,27,12,15,10,6,4,25,11,14,243,130,113,98,47,51,55,55,55,440,236,204,225,115,110,215,121,94,435,221,214,27,13,14,29,15,14,-2,-2,0,14,6,8,16,10,6,16,7,9,1.26,1.22,1.3,2.7,2.35,3.04,1.28,1.13,1.43,1.41,1.22,1.61,1.22,1.22,1.22,0.59,0.57,0.61,0.63,0.65,0.61,45,36,26,14,3,0,22,16,12,4,0,0,23,20,14,10,3,0,1,10,20,32,43,46,1,7,11,19,23,23,0,3,9,13,20,23,98,78,57,30,7,0,96,70,52,17,0,0,100,87,61,43,13,0,2,22,43,70,93,100,4,30,48,83,100,100,0,13,39,57,87,100,35,14,6,16,8,3,19,6,3,76,30,13,70,35,13,83,26,13,33,35,30,1,22,26,17,59,52,65,22,26,17,54,48,61,25,13,12,54,57,52,22,12,10,48,52,43,10,5,5,22,22,22,30,26,35,35,43,26,35,30,39,5.28,5.65,4.91,2.13,2.04,2.22,85,76,67,59,46,33,20,20,1.27,1.33,1.20,1.38,1.27,1.49,50,7,7,6,5,2,8,3,9,12,7,7,2,5,12,3,11,11,7,26,22,30,41,43,39,20
Watford FC,Watford,2023/2024,England,46,23,23,0,13,6,7,17,9,8,16,8,8,1.22,1.17,1.26,15,20,8,15,61,61,0,122,60,62,32,29,28,33,4,-4,68,65,71,68,74,63,14,8,6,25,13,12,13,5,8,21,12,9,237,151,86,108,49,59,52,56,49,487,279,208,239,133,106,248,146,102,540,271,269,26,17,9,32,16,16,-6,1,-7,4,3,1,29,15,14,13,5,8,0.89,1.04,0.74,2.65,2.61,2.7,1.33,1.39,1.26,1.33,1.22,1.43,1.26,1.43,1.09,0.57,0.74,0.39,0.7,0.7,0.7,40,31,23,15,9,4,20,16,12,8,4,0,20,15,11,7,5,4,6,15,23,31,37,42,3,7,11,15,19,23,3,8,12,16,18,19,87,67,50,33,20,9,87,70,52,35,17,0,87,65,48,30,22,17,13,33,50,67,80,91,13,30,48,65,83,100,13,35,52,70,78,83,27,18,8,14,11,5,13,7,3,59,39,17,61,48,22,57,30,13,28,26,30,7,30,35,26,54,57,52,28,22,35,46,52,39,22,11,11,48,48,48,28,13,15,61,57,65,15,8,7,33,35,30,9,13,4,63,65,61,28,22,35,5.15,6.57,3.74,2.35,2.13,2.57,87,78,74,50,37,37,17,11,1.38,1.57,1.19,1.35,1.14,1.56,65,5,7,2,6,8,11,4,7,11,6,10,8,3,6,3,7,7,11,37,39,35,35,35,35,7
Sunderland AFC,Sunderland,2023/2024,England,46,23,23,0,16,10,6,8,2,6,22,11,11,1.22,1.39,1.04,16,15,18,16,52,54,-2,106,60,46,30,22,30,24,0,-2,80,69,94,77,69,87,13,6,7,20,10,10,18,9,9,14,7,7,276,142,134,95,40,55,56,57,54,494,239,255,268,139,129,226,100,126,440,225,215,25,12,13,27,14,13,-2,-2,0,10,5,5,23,11,12,13,7,6,1.15,1.13,1.17,2.3,2.61,2,1.13,1.3,0.96,1.17,1.3,1.04,1.13,1.13,1.13,0.54,0.52,0.57,0.59,0.61,0.57,41,29,21,10,3,2,21,16,13,7,2,1,20,13,8,3,1,1,5,17,25,36,43,44,2,7,10,16,21,22,3,10,15,20,22,22,89,63,46,22,7,4,91,70,57,30,9,4,87,57,35,13,4,4,11,37,54,78,93,96,9,30,43,70,91,96,13,43,65,87,96,96,30,18,4,15,9,2,15,9,2,65,39,9,65,39,9,65,39,9,35,43,26,2,28,26,30,43,43,43,39,39,39,30,30,30,24,12,12,52,52,52,29,15,14,63,65,61,9,4,5,20,17,22,22,22,22,50,48,52,28,30,26,6.00,6.17,5.83,2.07,1.74,2.39,85,76,63,59,48,35,28,24,1.47,1.47,1.47,1.17,1.14,1.21,67,6,2,5,4,10,5,5,9,6,2,6,8,8,6,6,5,8,5,17,9,26,48,48,48,20
Norwich City FC,Norwich City,2023/2024,England,48,24,24,0,21,15,6,11,5,6,16,4,12,1.54,2.08,1,6,6,19,6,79,68,11,147,65,82,43,36,22,46,21,-10,55,50,60,63,98,47,13,10,3,29,13,16,8,3,5,25,12,13,248,149,99,91,44,47,49,50,48,508,296,212,254,136,118,254,160,94,457,237,220,39,19,20,35,9,26,4,10,-6,17,10,7,18,11,7,13,3,10,1.44,1.71,1.17,3.06,2.71,3.42,1.65,1.79,1.5,1.42,0.92,1.92,1.54,1.17,1.92,0.81,0.79,0.83,0.73,0.38,1.08,46,37,29,20,8,3,22,18,12,8,4,1,24,19,17,12,4,2,2,11,19,28,40,45,2,6,12,16,20,23,0,5,7,12,20,22,96,77,60,42,17,6,92,75,50,33,17,4,100,79,71,50,17,8,4,23,40,58,83,94,8,25,50,67,83,96,0,21,29,50,83,92,36,22,11,15,8,4,21,14,7,75,46,23,63,33,17,88,58,29,44,63,25,22,27,42,13,60,54,67,17,13,21,52,50,54,25,16,9,52,67,38,22,12,10,46,50,42,13,5,8,27,21,33,35,42,29,38,46,29,27,13,42,5.17,6.21,4.13,1.9,1.83,1.96,96,90,67,56,46,27,21,13,1.34,1.52,1.16,1.45,1.21,1.69,88,4,10,11,7,15,8,2,9,13,4,8,5,11,11,7,5,6,11,23,21,25,33,17,50,10
