team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
AS Saint-Étienne,Saint-Étienne,2025/2026,France,2,1,1,0,1,1,0,1,0,1,0,0,0,2,3,1,1,1,12,1,7,3,4,10,4,6,4,3,0,3,4,0,26,23,30,60,0,30,1,1,0,1,0,1,0,0,0,2,1,1,12,5,7,2,2,0,62,70,54,31,19,12,13,7,6,18,12,6,29,13,16,3,1,2,2,0,2,1,1,0,1,1,0,1,0,1,0,0,0,2,3,1,5,4,6,3.5,4,3,1.5,0,3,2.5,1,4,1.5,1,2,1,0,2,2,2,2,2,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,100,100,100,100,50,50,100,100,100,100,0,0,100,100,100,100,100,100,0,0,0,0,50,50,0,0,0,0,100,100,0,0,0,0,0,0,2,1,1,1,0,0,1,1,1,100,50,50,100,0,0,100,100,100,50,100,0,57,50,100,0,50,0,100,0,0,0,100,100,100,1,1,0,50,100,0,0,0,0,0,0,0,1,0,1,50,0,100,50,100,0,50,0,100,0,0,0,6.00,5.00,7.00,1,2,0.00,100,100,100,100,50,0,0,0,1.77,2.03,1.51,0.93,0.73,1.12,200,0,0,2,1,1,2,0,1,0,0,1,0,0,1,0,0,0,1,50,0,100,0,0,0,0
Montpellier HSC,Montpellier,2025/2026,France,2,1,1,0,1,0,1,1,1,0,0,0,0,2,1,3,6,10,2,6,3,2,1,5,2,3,1,2,1,1,0,1,60,90,45,90,90,90,0,0,0,2,1,1,0,0,0,1,0,1,10,1,9,3,1,2,49,51,46,16,6,10,6,2,4,10,4,6,30,16,14,1,1,0,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,1,2.5,2,3,1.5,1,2,1,1,1,1,2,0,0.5,1,0,0.5,1,0,2,2,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,2,2,2,0,0,1,1,1,1,0,0,0,1,1,1,100,100,50,0,0,0,100,100,0,0,0,0,100,100,100,0,0,0,0,0,50,100,100,100,0,0,100,100,100,100,0,0,0,100,100,100,1,1,0,1,1,0,0,0,0,50,50,0,100,100,0,0,0,0,50,0,100,0,0,0,0,100,100,100,0,0,0,50,0,100,1,0,1,50,0,100,1,0,1,50,0,100,1,1,0,50,100,0,0,0,0,100,100,100,0,0,0,5.00,1.00,9.00,1.5,1,2.00,50,50,50,50,50,50,50,50,0.97,0.74,1.20,1.04,0.92,1.15,50,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,50,100,0,0,0,0,0
En Avant Guingamp,Guingamp,2025/2026,France,2,1,1,0,0,0,0,1,1,0,1,0,1,0.5,1,0,13,14,15,13,3,4,-1,7,6,1,3,0,3,1,0,-1,60,30,0,45,30,90,0,0,0,1,1,0,1,0,1,1,1,0,13,10,3,4,3,1,53,62,44,21,13,8,10,7,3,11,6,5,28,16,12,0,0,0,3,2,1,-3,-2,-1,0,0,0,0,0,0,2,1,1,0,0,0,3.5,6,1,1.5,3,0,2,3,1,1.5,2,1,0,0,0,1.5,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,100,50,50,50,50,50,100,100,100,100,100,100,100,0,0,0,0,0,0,50,50,50,50,50,0,0,0,0,0,0,0,100,100,100,100,100,2,1,0,1,1,0,1,0,0,100,50,0,100,100,0,100,0,0,0,0,0,25,0,0,0,50,100,0,50,0,100,50,100,0,0,0,0,0,0,0,2,1,1,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,6.50,10.00,3.00,2,3,1.00,100,50,50,50,50,50,50,50,1.29,1.59,0.99,1.35,0.98,1.73,50,0,0,0,0,0,0,0,1,2,1,1,0,1,0,0,0,0,1,50,100,0,50,0,100,50
SC Bastia,Bastia,2025/2026,France,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,11,8,13,11,1,1,0,2,2,0,1,0,1,0,0,0,90,90,0,90,90,0,0,0,0,1,1,0,0,0,0,1,1,0,6,6,0,4,4,0,43,43,0,12,12,0,5,5,0,7,7,0,13,13,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,3,3,0,2,2,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,100,100,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,0,0,100,100,100,100,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,100,100,0,1,1,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,6.00,6.00,0.00,4,4,0.00,100,100,100,100,100,100,100,100,0.47,1.47,0.00,0.14,1.14,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,100,0,0,0,0,100
AS Nancy-Lorraine,Nancy,2025/2026,France,2,1,1,0,1,1,0,1,0,1,0,0,0,2,3,1,4,3,3,4,1,0,1,1,1,0,1,0,0,0,1,0,180,90,0,0,0,0,2,1,1,0,0,0,1,0,1,1,1,0,13,4,9,6,4,2,52,54,49,16,4,12,3,2,1,13,2,11,34,23,11,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2,3,1,0.5,1,0,0.5,1,0,0,0,0,0.5,1,0,0.5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,50,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,50,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0,0,0,0,0,50,0,0,100,0,0,0,0,0,50,100,0,0,100,100,100,0,0,0,50,0,100,50,100,0,2,1,1,100,100,100,1,0,1,50,0,100,0,0,0,0,0,0,50,100,0,50,0,100,0,0,0,6.50,4.00,9.00,3,4,2.00,50,50,50,50,50,50,50,0,0.95,0.71,1.19,1.19,1.01,1.37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,100,0,0,0,0
Stade de Reims,Reims,2025/2026,France,2,1,1,0,1,1,0,1,0,1,0,0,0,2,3,1,7,4,10,7,3,2,1,5,1,4,1,2,0,2,1,0,60,90,45,90,0,45,1,1,0,1,0,1,0,0,0,1,1,0,11,4,7,3,2,1,60,56,63,24,14,10,8,5,3,16,9,7,25,9,16,2,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,2,3,1,2.5,1,4,1.5,1,2,1,0,2,1.5,1,2,1,1,1,0.5,0,1,2,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,2,2,0,1,1,1,1,1,0,0,0,0,1,1,100,50,50,50,0,0,100,0,0,0,0,0,100,100,100,100,0,0,0,50,50,50,100,100,0,100,100,100,100,100,0,0,0,0,100,100,2,1,0,1,0,0,1,1,0,100,50,0,100,0,0,100,100,0,50,100,0,34,50,100,0,50,0,100,0,0,0,50,100,0,1,1,0,50,100,0,0,0,0,0,0,0,1,0,1,50,0,100,50,100,0,50,0,100,0,0,0,5.50,4.00,7.00,1.5,2,1.00,100,50,50,50,50,50,50,50,1.44,1.73,1.16,1.08,0.99,1.16,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,50,0,100,0,0,0,50
Amiens SC,Amiens SC,2025/2026,France,2,1,1,0,1,0,1,1,1,0,0,0,0,2,1,3,3,11,1,3,5,3,2,8,4,4,2,3,2,1,0,2,36,45,30,60,45,90,0,0,0,2,1,1,0,0,0,2,1,1,10,8,2,4,1,3,35,37,32,21,11,10,8,3,5,13,8,5,18,7,11,2,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,2,1,3,4,4,4,2.5,2,3,1.5,2,1,1.5,2,1,1,1,1,0.5,1,0,2,2,2,2,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1,1,100,100,100,100,0,0,100,100,100,100,0,0,100,100,100,100,0,0,0,0,0,0,100,100,0,0,0,0,100,100,0,0,0,0,100,100,2,1,0,1,1,0,1,0,0,100,50,0,100,100,0,100,0,0,50,0,100,-27,0,0,0,100,100,100,0,0,0,100,100,100,1,0,1,50,0,100,0,0,0,0,0,0,1,1,0,50,100,0,50,0,100,50,100,0,0,0,0,5.00,8.00,2.00,2,1,3.00,100,100,100,100,100,100,100,100,1.19,1.16,1.20,1.89,1.16,2.63,50,0,1,1,0,1,0,0,0,2,0,0,0,1,0,1,0,1,0,50,100,0,0,0,0,100
Red Star FC 93,Red Star,2025/2026,France,2,1,1,0,0,0,0,1,0,1,1,1,0,0.5,0,1,16,18,7,16,2,4,-2,6,4,2,1,1,3,1,-2,0,90,90,90,45,30,90,0,0,0,2,1,1,0,0,0,1,0,1,15,13,2,4,2,2,59,68,49,32,25,7,10,7,3,22,18,4,20,10,10,1,0,1,2,1,1,-1,-1,0,0,0,0,1,0,1,1,1,0,0.5,0,1,3,4,2,1,1,1,2,3,1,1.5,1,2,0.5,0,1,1,1,1,2,2,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,2,2,0,0,0,0,1,1,0,0,1,1,1,1,100,100,50,50,0,0,100,100,100,100,0,0,100,100,0,0,0,0,0,0,50,50,100,100,0,0,0,0,100,100,0,0,100,100,100,100,2,1,0,1,0,0,1,1,0,100,50,0,100,0,0,100,100,0,0,0,0,-25,0,0,0,100,100,100,0,0,0,50,0,100,0,0,0,0,0,0,1,1,0,50,100,0,1,0,1,50,0,100,0,0,0,50,0,100,50,100,0,7.50,13.00,2.00,2,2,2.00,50,50,50,50,50,50,50,50,1.77,2.63,0.92,0.97,1.20,0.74,100,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,50,0,100,50,100,0,50
Espérance Sportive Troyes Aube Champagne,Troyes,2025/2026,France,2,1,1,0,1,1,0,1,0,1,0,0,0,2,3,1,5,5,4,5,2,1,1,3,3,0,2,0,1,0,1,0,90,45,0,180,90,0,1,0,1,1,1,0,1,0,1,1,1,0,6,3,3,4,1,3,54,61,47,34,23,11,11,9,2,23,14,9,24,12,12,1,1,0,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,1,1.5,3,0,1,2,0,0.5,1,0,1,2,0,0.5,1,0,0.5,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,1,1,1,1,1,1,50,50,50,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,50,50,50,100,100,100,0,0,0,100,100,100,100,100,100,100,100,100,1,1,0,1,1,0,0,0,0,50,50,0,100,100,0,0,0,0,50,100,0,0,50,0,100,50,100,0,50,0,100,50,100,0,1,0,1,50,0,100,1,0,1,50,0,100,1,1,0,50,100,0,0,0,0,100,100,100,0,0,0,3.00,3.00,3.00,2,1,3.00,0,0,0,0,0,0,0,0,1.81,2.47,1.15,0.77,0.83,0.70,50,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,50,0,100,0,0,0,0
Stade Lavallois Mayenne FC,Laval,2025/2026,France,2,1,1,0,0,0,0,2,1,1,0,0,0,1,1,1,10,15,5,10,4,4,0,8,6,2,3,1,3,1,0,0,45,30,90,45,30,90,0,0,0,2,1,1,0,0,0,2,1,1,8,4,4,3,3,0,53,46,60,17,9,8,7,4,3,10,5,5,20,11,9,2,2,0,2,2,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,1,4,6,2,2,3,1,2,3,1,2,4,0,1,2,0,1,2,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,100,100,50,50,50,50,100,100,100,100,100,100,100,100,0,0,0,0,0,0,50,50,50,50,0,0,0,0,0,0,0,0,100,100,100,100,1,1,1,1,1,1,0,0,0,50,50,50,100,100,100,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,100,100,100,1,0,1,50,0,100,1,0,1,50,0,100,1,1,0,50,100,0,0,0,0,100,100,100,0,0,0,4.00,4.00,4.00,1.5,3,0.00,100,100,100,100,100,0,0,0,1.05,1.12,0.98,1.39,1.51,1.27,150,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,100,100,100,0,0,0,0
