timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1374251400,Jul 19 2013 - 4:30pm,complete,N/A,Sandhausen,Aalen,Martin Thomsen,1,0.00,0.00,1.53,1.18,0,0,0,0,0,0,"","",5,6,1,0,2,0,0,1,0,2,10,15,5,4,5,11,26,11,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,BWT-Stadion am Hardtwald (Sandhausen)
1374251400,Jul 19 2013 - 4:30pm,complete,N/A,Ingolstadt,Erzgebirge Aue,Patrick Ittrich,1,0.00,0.00,1.06,0.65,1,2,3,1,0,1,"85","25,82",6,3,2,1,2,1,1,2,2,1,12,3,3,0,9,3,14,25,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Audi-Sportpark (Ingolstadt)
1374258600,Jul 19 2013 - 6:30pm,complete,N/A,St. Pauli,1860 München,Thorsten Kinhöfer,1,0.00,0.00,1.18,1.24,1,0,1,0,0,0,"81","",1,4,5,0,2,0,3,2,2,0,14,16,6,10,8,6,20,14,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Millerntor-Stadion (Hamburg)
1374318000,Jul 20 2013 - 11:00am,complete,N/A,Paderborn,Kaiserslautern,Bastian Dankert,1,0.00,0.00,2.00,1.29,0,1,1,0,0,0,"","69",4,5,3,0,2,0,1,2,0,2,10,13,8,7,2,6,18,23,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Benteler-Arena (Paderborn)
1374327000,Jul 20 2013 - 1:30pm,complete,N/A,Dynamo Dresden,Köln,Wolfgang Stark,1,0.00,0.00,1.24,1.94,1,1,2,0,0,0,"79","62",6,6,2,0,3,0,1,1,1,2,11,18,5,8,6,10,11,14,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Rudolf-Harbig-Stadion (Dresden)
1374406200,Jul 21 2013 - 11:30am,complete,N/A,Greuther Fürth,Arminia Bielefeld,Manuel Gräfe,1,0.00,0.00,1.94,0.94,2,0,2,2,2,0,"3,10","",7,7,1,0,2,0,0,1,0,2,8,12,2,4,6,8,11,13,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sportpark Ronhof Thomas Sommer (Fürth)
1374406200,Jul 21 2013 - 11:30am,complete,N/A,FSV Frankfurt,Karlsruher SC,Florian Meyer,1,0.00,0.00,1.53,1.24,0,1,1,0,0,0,"","85",3,2,3,0,2,0,1,2,0,2,10,8,5,3,5,5,11,23,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PSD Bank Arena (Frankfurt am Main)
1374413400,Jul 21 2013 - 1:30pm,complete,N/A,Union Berlin,Bochum,Günter Perl,1,0.00,0.00,1.59,1.24,1,2,3,0,0,0,"86","64,88",3,3,3,0,2,0,0,3,0,2,11,8,8,5,3,3,13,16,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion An der Alten Försterei (Berlin)
1374516900,Jul 22 2013 - 6:15pm,complete,N/A,Fortuna Düsseldorf,Energie Cottbus,Tobias Welz,1,0.00,0.00,1.65,0.41,1,0,1,0,0,0,"64","",8,4,1,0,3,0,1,0,0,3,14,9,8,3,6,6,19,20,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Merkur Spiel-Arena (Düsseldorf)
1374856200,Jul 26 2013 - 4:30pm,complete,N/A,Aalen,Greuther Fürth,Daniel Siebert,2,0.00,0.00,1.41,1.59,0,2,2,1,0,1,"","7,82",9,3,1,0,3,0,0,1,1,2,12,7,6,3,6,4,9,19,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,OSTALB ARENA (Aalen)
1374856200,Jul 26 2013 - 4:30pm,complete,N/A,Arminia Bielefeld,Union Berlin,Deniz Aytekin,2,0.00,0.00,1.12,1.00,1,1,2,1,0,1,"54","27",7,0,0,0,5,0,0,0,1,4,11,8,4,3,7,5,18,19,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,SchücoArena (Bielefeld)
1374863400,Jul 26 2013 - 6:30pm,complete,N/A,Kaiserslautern,Ingolstadt,Markus Schmidt,2,0.00,0.00,1.88,1.53,3,1,4,1,1,0,"27,51,90","87",3,6,2,0,1,1,1,1,1,1,9,10,5,7,4,3,21,16,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Fritz-Walter-Stadion (Kaiserslautern)
1374922800,Jul 27 2013 - 11:00am,complete,8200,Erzgebirge Aue,Sandhausen,Christian Dingert,2,0.00,0.00,1.76,1.06,1,0,1,0,0,0,"84","",13,5,1,0,2,0,1,0,0,2,10,9,3,4,7,5,13,16,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Erzgebirgsstadion (old) (Aue)
1374931800,Jul 27 2013 - 1:30pm,complete,17667,Karlsruher SC,St. Pauli,Guido Winkmann,2,0.00,0.00,1.71,1.65,0,0,0,0,0,0,"","",4,6,0,0,3,0,0,0,1,2,13,6,6,2,7,4,7,12,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Wildparkstadion (Karlsruhe)
1375011000,Jul 28 2013 - 11:30am,complete,16500,1860 München,FSV Frankfurt,Marco Fritz,2,0.00,0.00,1.59,0.88,2,1,3,0,0,0,"55,90","53",10,3,1,0,2,0,0,1,0,2,8,5,3,2,5,3,8,14,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Allianz Arena (München)
1375011000,Jul 28 2013 - 11:30am,complete,7105,Energie Cottbus,Paderborn,Peter Sippel,2,0.00,0.00,1.06,1.65,4,0,4,4,4,0,"4,8,11,37","",3,1,0,0,2,0,0,0,1,1,6,5,2,2,4,3,10,15,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion der Freundschaft (Cottbus)
1375018200,Jul 28 2013 - 1:30pm,complete,50000,Köln,Fortuna Düsseldorf,Knut Kircher,2,0.00,0.00,2.06,1.29,1,1,2,1,0,1,"67","12",4,1,2,0,2,0,1,1,1,1,6,8,4,4,2,4,19,12,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RheinEnergieStadion (Köln)
1375121700,Jul 29 2013 - 6:15pm,complete,20195,Bochum,Dynamo Dresden,Tobias Stieler,2,0.00,0.00,1.12,0.65,1,1,2,1,1,0,"10","69",2,0,2,0,1,0,0,2,0,1,8,10,3,5,5,5,12,17,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Vonovia Ruhrstadion (Bochum)
1376065800,Aug 09 2013 - 4:30pm,complete,34626,Fortuna Düsseldorf,1860 München,Jochen Drees,3,3.00,0.00,1.65,1.24,1,2,3,2,1,1,"38","10,78",11,0,2,0,0,0,1,1,0,0,10,2,2,2,8,0,18,5,50,50,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,0,0,100,12.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Merkur Spiel-Arena (Düsseldorf)
