team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
FC Ingolstadt 04,Ingolstadt,2017/2018,Germany,34,17,17,0,12,5,7,9,4,5,13,8,5,1.32,1.12,1.53,9,17,3,9,47,45,2,92,50,42,24,23,26,19,-2,4,65,64,67,68,59,80,10,5,5,17,8,9,10,5,5,16,7,9,206,124,82,70,27,43,52,53,51,423,242,181,187,98,89,236,144,92,543,259,284,21,8,13,17,8,9,4,0,4,10,5,5,16,7,9,8,5,3,1.35,1.29,1.41,2.71,2.94,2.47,1.38,1.41,1.35,1.32,1.53,1.12,1.12,0.94,1.29,0.62,0.47,0.76,0.5,0.47,0.53,31,25,19,10,4,3,16,12,10,6,3,3,15,13,9,4,1,0,3,9,15,24,30,31,1,5,7,11,14,14,2,4,8,13,16,17,91,74,56,29,12,9,94,71,59,35,18,18,88,76,53,24,6,0,9,26,44,71,88,91,6,29,41,65,82,82,12,24,47,76,94,100,22,12,3,12,4,0,10,8,3,65,35,9,71,24,0,59,47,18,35,29,41,-7,29,29,29,50,47,53,29,29,29,47,41,53,20,10,10,59,59,59,20,10,10,59,59,59,6,2,4,18,12,24,29,29,29,47,41,53,24,29,18,6.06,7.29,4.82,2.06,1.59,2.53,85,74,68,53,47,38,24,12,1.77,1.96,1.59,1.28,1.25,1.30,91,2,6,3,4,8,7,6,5,6,2,3,7,4,4,6,6,11,2,26,24,29,38,47,29,9
SV Darmstadt 1898,Darmstadt 98,2017/2018,Germany,34,17,17,0,10,6,4,13,5,8,11,6,5,1.26,1.35,1.18,11,13,8,11,47,45,2,92,51,41,27,20,24,21,3,-1,65,57,76,68,64,73,8,4,4,21,12,9,6,1,5,13,8,5,154,81,73,79,39,40,47,47,47,348,187,161,166,85,81,182,102,80,494,249,245,18,11,7,23,12,11,-5,-1,-4,8,4,4,11,6,5,15,7,8,1.03,1.06,1,2.71,3,2.41,1.38,1.59,1.18,1.32,1.41,1.24,1.21,1.35,1.06,0.53,0.65,0.41,0.68,0.71,0.65,33,26,16,7,4,4,17,13,9,4,3,3,16,13,7,3,1,1,1,8,18,27,30,30,0,4,8,13,14,14,1,4,10,14,16,16,97,76,47,21,12,12,100,76,53,24,18,18,94,76,41,18,6,6,3,24,53,79,88,88,0,24,47,76,82,82,6,24,59,82,94,94,29,9,3,14,6,3,15,3,0,85,26,9,82,35,18,88,18,0,29,35,24,4,24,24,24,62,71,53,18,6,29,38,47,29,13,7,6,38,41,35,18,8,10,53,47,59,8,5,3,24,29,18,24,24,24,32,35,29,44,41,47,4.53,4.76,4.29,2.32,2.29,2.35,94,79,68,59,44,28,24,18,1.31,1.40,1.22,1.56,1.55,1.57,59,4,2,6,6,2,6,6,4,11,4,4,5,8,2,6,3,5,8,38,29,47,32,35,29,12
1. FC Nürnberg,Nürnberg,2017/2018,Germany,34,17,17,0,17,8,9,9,4,5,8,5,3,1.76,1.65,1.88,2,8,1,2,61,39,22,100,55,45,32,29,23,16,9,13,50,48,53,78,67,96,9,3,6,21,12,9,6,2,4,17,8,9,174,100,74,57,16,41,51,52,49,408,212,196,209,99,110,199,113,86,447,196,251,25,15,10,12,8,4,13,7,6,13,7,6,18,8,10,3,2,1,1.68,1.71,1.65,2.94,3.24,2.65,1.79,1.88,1.71,1.15,1.35,0.94,1.09,1.35,0.82,0.74,0.88,0.59,0.35,0.47,0.24,32,26,18,14,6,2,17,15,12,8,3,0,15,11,6,6,3,2,2,8,16,20,28,32,0,2,5,9,14,17,2,6,11,11,14,15,94,76,53,41,18,6,100,88,71,47,18,0,88,65,35,35,18,12,6,24,47,59,82,94,0,12,29,53,82,100,12,35,65,65,82,88,20,11,5,11,7,4,9,4,1,59,32,15,65,41,24,53,24,6,50,47,53,-6,26,18,35,62,71,53,18,12,24,50,47,53,23,10,13,68,59,76,16,7,9,47,41,53,9,6,3,26,35,18,38,41,35,53,47,59,9,12,6,5.12,5.88,4.35,1.68,0.94,2.41,94,91,68,62,53,32,18,15,1.70,1.76,1.64,1.49,1.35,1.61,88,7,3,8,6,4,10,4,12,7,2,4,2,2,5,3,8,5,8,26,24,29,24,29,18,9
Braunschweiger TSV Eintracht 1895,Eintracht Braunschweig,2017/2018,Germany,34,17,17,0,8,6,2,15,6,9,11,5,6,1.15,1.41,0.88,17,12,15,17,37,43,-6,80,38,42,20,17,18,25,2,-8,83,76,90,71,85,61,10,6,4,18,8,10,11,5,6,13,8,5,140,76,64,78,25,53,44,45,43,368,210,158,192,110,82,176,100,76,502,220,282,22,13,9,18,7,11,4,6,-2,10,6,4,17,9,8,7,2,5,1.38,1.59,1.18,2.35,2.24,2.47,1.09,1.18,1,1.26,1.06,1.47,1.18,1.18,1.18,0.65,0.76,0.53,0.53,0.41,0.65,29,26,12,7,3,1,15,12,6,3,2,0,14,14,6,4,1,1,5,8,22,27,31,33,2,5,11,14,15,17,3,3,11,13,16,16,85,76,35,21,9,3,88,71,35,18,12,0,82,82,35,24,6,6,15,24,65,79,91,97,12,29,65,82,88,100,18,18,65,76,94,94,23,11,3,12,7,1,11,4,2,68,32,9,71,41,6,65,24,12,24,35,12,12,29,35,24,53,47,59,32,29,35,38,47,29,20,11,9,59,65,53,17,7,10,50,41,59,8,4,4,24,24,24,29,35,24,50,53,47,21,12,29,4.12,4.47,3.76,2.29,1.47,3.12,85,76,68,44,28,24,18,9,1.53,1.71,1.29,1.76,1.66,1.90,65,3,5,6,6,3,3,5,5,1,5,3,6,3,4,5,3,7,7,44,35,53,32,29,35,9
SG Dynamo Dresden,Dynamo Dresden,2017/2018,Germany,34,17,17,0,11,5,6,8,4,4,15,8,7,1.21,1.12,1.29,14,18,6,14,42,52,-10,94,46,48,19,23,27,25,-8,-2,73,80,67,59,57,61,9,4,5,16,8,8,10,5,5,17,9,8,172,86,86,69,26,43,54,55,53,393,201,192,168,89,79,225,112,113,455,210,245,19,10,9,21,8,13,-2,2,-4,10,7,3,11,4,7,13,6,7,1.21,1.47,0.94,2.76,2.71,2.82,1.24,1.12,1.35,1.53,1.59,1.47,1.18,1.06,1.29,0.56,0.59,0.53,0.62,0.47,0.76,33,26,16,12,5,2,17,14,8,6,1,0,16,12,8,6,4,2,1,8,18,22,29,32,0,3,9,11,16,17,1,5,9,11,13,15,97,76,47,35,15,6,100,82,47,35,6,0,94,71,47,35,24,12,3,24,53,65,85,94,0,18,53,65,94,100,6,29,53,65,76,88,25,9,5,13,3,2,12,6,3,74,26,15,76,18,12,71,35,18,32,29,35,-7,26,24,29,47,47,47,29,29,29,50,53,47,16,10,6,47,59,35,20,9,11,59,53,65,7,2,5,21,12,29,29,41,18,32,24,41,38,35,41,5.06,5.06,5.06,2.03,1.53,2.53,79,68,56,50,35,26,24,18,1.53,1.52,1.53,1.49,1.42,1.54,74,6,4,5,2,6,3,4,8,4,4,3,11,2,1,4,2,6,19,24,24,24,44,47,41,15
VfL Bochum 1848,Bochum,2017/2018,Germany,34,17,17,0,13,8,5,9,5,4,12,4,8,1.41,1.71,1.12,6,6,11,6,37,40,-3,77,38,39,22,15,16,24,6,-9,83,70,102,76,96,64,8,5,3,18,9,9,11,5,6,10,6,4,178,89,89,75,33,42,53,53,53,370,189,181,174,96,78,196,93,103,470,232,238,18,13,5,24,8,16,-6,5,-11,8,6,2,14,10,4,12,1,11,1.12,1.65,0.59,2.26,2.24,2.29,1.09,1.29,0.88,1.18,0.94,1.41,1.24,1.24,1.24,0.53,0.76,0.29,0.71,0.47,0.94,31,25,13,5,3,0,15,13,6,2,2,0,16,12,7,3,1,0,3,9,21,29,31,34,2,4,11,15,15,17,1,5,10,14,16,17,91,74,38,15,9,0,88,76,35,12,12,0,94,71,41,18,6,0,9,26,62,85,91,100,12,24,65,88,88,100,6,29,59,82,94,100,26,13,3,11,8,2,15,5,1,76,38,9,65,47,12,88,29,6,38,47,29,19,24,29,18,53,53,53,32,29,35,29,35,24,14,10,4,41,59,24,19,7,12,56,41,71,9,6,3,26,35,18,24,35,12,41,59,24,35,6,65,5.24,5.24,5.24,2.21,1.94,2.47,85,85,74,53,38,26,18,9,1.54,1.66,1.47,1.58,1.30,1.75,59,3,6,6,3,1,1,4,4,9,7,4,7,3,6,1,6,3,3,26,29,24,35,24,47,9
1. FC Union Berlin,Union Berlin,2017/2018,Germany,34,17,17,0,12,7,5,11,7,4,11,3,8,1.38,1.65,1.12,8,7,10,8,54,46,8,100,49,51,30,24,19,27,11,-3,57,51,64,67,80,57,8,4,4,22,11,11,6,4,2,18,9,9,169,96,73,60,27,33,53,53,53,405,233,172,198,112,86,207,121,86,491,228,263,19,14,5,17,5,12,2,9,-7,8,6,2,17,9,8,9,2,7,1.21,1.59,0.82,2.94,2.88,3,1.59,1.76,1.41,1.35,1.12,1.59,1.06,1.12,1,0.56,0.82,0.29,0.5,0.29,0.71,32,24,18,13,6,4,15,12,9,7,3,2,17,12,9,6,3,2,2,10,16,21,28,30,2,5,8,10,14,15,0,5,8,11,14,15,94,71,53,38,18,12,88,71,53,41,18,12,100,71,53,35,18,12,6,29,47,62,82,88,12,29,47,59,82,88,0,29,47,65,82,88,19,8,5,9,4,2,10,4,3,56,24,15,53,24,12,59,24,18,35,41,29,14,24,24,24,65,65,65,18,24,12,53,53,53,23,14,9,68,82,53,22,10,12,65,59,71,4,1,3,12,6,18,24,35,12,50,53,47,26,12,41,4.97,5.65,4.29,1.76,1.59,1.94,85,76,65,56,47,32,24,15,1.63,1.81,1.40,1.38,1.16,1.67,97,4,5,3,4,7,9,6,8,8,2,7,2,3,5,7,6,6,8,32,41,24,32,18,47,9
1. FC Kaiserslautern,Kaiserslautern,2017/2018,Germany,34,17,17,0,9,4,5,8,7,1,17,6,11,1.03,1.12,0.94,18,16,14,18,42,55,-13,97,38,59,18,24,20,35,-2,-11,73,85,64,56,76,44,3,3,0,22,9,13,10,6,4,13,7,6,147,70,77,78,41,37,47,46,48,313,155,158,145,70,75,168,85,83,530,261,269,16,6,10,22,7,15,-6,-1,-5,9,4,5,12,8,4,13,5,8,1.15,1.18,1.12,2.85,2.24,3.47,1.24,1.06,1.41,1.62,1.18,2.06,1.12,0.76,1.47,0.47,0.35,0.59,0.65,0.41,0.88,33,28,18,10,6,1,16,12,4,3,1,1,17,16,14,7,5,0,1,6,16,24,28,33,1,5,13,14,16,16,0,1,3,10,12,17,97,82,53,29,18,3,94,71,24,18,6,6,100,94,82,41,29,0,3,18,47,71,82,97,6,29,76,82,94,94,0,6,18,59,71,100,23,9,5,9,2,2,14,7,3,68,26,15,53,12,12,82,41,18,26,24,29,6,9,18,0,65,53,76,29,35,24,38,41,35,18,10,8,53,59,47,22,13,9,65,76,53,5,2,3,15,12,18,26,24,29,35,47,24,38,29,47,4.32,4.12,4.53,2.29,2.41,2.18,82,74,65,53,44,28,21,6,1.08,1.07,1.10,1.78,1.59,1.98,68,5,3,0,4,8,3,7,7,5,4,5,7,4,5,3,9,10,8,24,41,6,50,35,65,3
DSC Arminia Bielefeld,Arminia Bielefeld,2017/2018,Germany,34,17,17,0,12,7,5,12,6,6,10,4,6,1.41,1.59,1.24,4,9,7,4,51,47,4,98,45,53,25,26,20,27,5,-1,60,61,59,65,76,57,11,7,4,20,8,12,6,4,2,18,8,10,179,96,83,67,41,26,50,50,50,422,233,189,188,92,96,234,141,93,481,241,240,18,10,8,16,8,8,2,2,0,10,6,4,14,6,8,10,5,5,1.29,1.41,1.18,2.88,2.65,3.12,1.5,1.47,1.53,1.38,1.18,1.59,1,1.06,0.94,0.53,0.59,0.47,0.47,0.47,0.47,31,28,17,13,6,2,15,14,7,6,3,0,16,14,10,7,3,2,3,6,17,21,28,32,2,3,10,11,14,17,1,3,7,10,14,15,91,82,50,38,18,6,88,82,41,35,18,0,94,82,59,41,18,12,9,18,50,62,82,94,12,18,59,65,82,100,6,18,41,59,82,88,23,8,3,13,4,1,10,4,2,68,24,9,76,24,6,59,24,12,35,41,29,6,32,41,24,59,47,71,18,24,12,53,47,59,20,10,10,59,59,59,19,8,11,56,47,65,6,3,3,18,18,18,29,35,24,41,35,47,29,29,29,5.26,5.65,4.88,1.97,2.41,1.53,91,82,68,59,47,32,26,15,1.62,1.73,1.52,1.58,1.60,1.56,82,1,1,7,7,4,4,8,5,14,0,4,4,5,4,11,8,7,4,35,35,35,29,24,35,12
SpVgg Greuther Fürth,Greuther Fürth,2017/2018,Germany,34,17,17,0,10,9,1,10,4,6,14,4,10,1.18,1.82,0.53,15,3,18,15,37,48,-11,85,44,41,26,11,18,30,8,-19,83,59,138,64,85,51,7,4,3,20,12,8,10,2,8,17,12,5,144,91,53,72,36,36,50,52,48,385,226,159,170,102,68,215,124,91,548,262,286,18,14,4,22,5,17,-4,9,-13,11,10,1,12,5,7,11,2,9,1.32,2.06,0.59,2.5,2.59,2.41,1.09,1.53,0.65,1.41,1.06,1.76,1.18,1.12,1.24,0.53,0.82,0.24,0.65,0.29,1,31,27,19,7,1,0,16,13,11,4,0,0,15,14,8,3,1,0,3,7,15,27,33,34,1,4,6,13,17,17,2,3,9,14,16,17,91,79,56,21,3,0,94,76,65,24,0,0,88,82,47,18,6,0,9,21,44,79,97,100,6,24,35,76,100,100,12,18,53,82,94,100,25,13,2,14,5,0,11,8,2,74,38,6,82,29,0,65,47,12,29,53,6,33,21,24,18,59,71,47,29,12,47,50,71,29,20,13,7,59,76,41,18,5,13,53,29,76,5,2,3,15,12,18,32,59,6,35,29,41,32,12,53,4.24,5.35,3.12,2.12,2.12,2.12,74,68,56,47,38,26,24,12,1.53,1.77,1.24,1.60,1.46,1.76,76,2,2,5,5,6,2,1,8,6,3,2,3,7,9,3,6,9,6,29,24,35,41,24,59,6
