timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1566662400,Aug 24 2019 - 4:00pm,complete,N/A,Lamia,Panathinaikos,Manolis Skoulas,1,0.00,0.00,1.29,1.33,1,1,2,2,1,1,"20","35",6,5,2,0,3,0,1,1,1,2,6,9,3,4,3,5,14,13,33,67,0.00,0.00,0.92,1.39,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.00,3.25,1.95,1.50,2.50,4.95,10.00,2.20,1.61,Dimotiko Athlitiko Kentro Lamias (Lamia)
1566669600,Aug 24 2019 - 6:00pm,complete,N/A,Aris,OFI,Evangelos Manouhos,1,0.00,0.00,1.44,0.44,1,1,2,1,0,1,"69","18",7,1,1,0,4,0,1,0,0,4,10,4,9,3,1,1,18,12,54,46,0.00,0.00,1.33,0.51,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.45,3.80,7.75,1.44,2.35,4.55,9.00,2.30,1.54,Stadio Harilaou Kleánthis Vikelídis (Thessaloníki)
1566671400,Aug 24 2019 - 6:30pm,complete,N/A,Olympiakos Piraeus,Asteras Tripolis,Stefanos Koubarakis,1,0.00,0.00,2.72,0.94,1,0,1,1,1,0,"7","",4,1,0,0,0,0,0,0,0,0,15,9,10,5,5,4,11,12,55,45,0.00,0.00,1.81,1.06,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.21,5.95,12.25,1.23,1.74,2.85,5.25,2.50,1.49,Stadio Georgios Karaiskáki (Pireás (Piraeus))
1566747900,Aug 25 2019 - 3:45pm,complete,972,Atromitos,Larissa,Vasilis Fotias,1,0.00,0.00,1.47,0.81,1,1,2,2,1,1,"18","45'3",7,2,2,0,5,0,0,2,1,4,15,9,7,4,8,5,16,19,58,42,0.00,0.00,1.84,1.08,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.65,3.40,5.75,1.40,2.35,4.80,9.75,2.35,1.54,Stadio Peristeriou (Athína (Athens))
1566749700,Aug 25 2019 - 4:15pm,complete,1512,Panionios,Volos NFC,Praxiteles Zachariadis,1,0.00,0.00,1.19,0.53,1,2,3,1,0,1,"90'3","38,70",7,2,2,0,2,0,0,2,2,0,8,8,3,6,5,2,15,15,52,48,0.00,0.00,1.22,1.31,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.35,3.05,3.15,1.50,2.50,4.95,10.00,2.10,1.67,Stadio Néas Smírnis (Athína (Athens))
1566752400,Aug 25 2019 - 5:00pm,complete,17968,PAOK,Panaitolikos,Aristotelis Diamantopoulos,1,0.00,0.00,2.06,0.47,2,1,3,1,1,0,"27,76","90'2",6,2,1,0,2,0,1,0,1,1,15,7,8,2,7,5,12,10,53,47,0.00,0.00,2.11,0.99,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.17,6.60,15.50,1.20,1.65,2.65,4.75,2.45,1.49,Stadio Toumbas (Thessaloníki)
1566759600,Aug 25 2019 - 7:00pm,complete,N/A,AEK Athens,Xanthi,Ioannis Papadopoulos,1,0.00,0.00,2.00,0.88,1,2,3,0,0,0,"90","67,78",3,3,4,1,4,0,2,3,3,1,12,5,2,4,10,1,19,17,58,42,0.00,0.00,1.46,1.01,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.34,4.45,9.50,1.43,2.30,4.40,8.75,2.90,1.37,Olympiako Stadio Spyros Louis (Athína (Athens))
1567267200,Aug 31 2019 - 4:00pm,complete,0,Panaitolikos,Xanthi,Georgios Tzovaras,2,0.00,3.00,1.31,0.88,1,2,3,0,0,0,"71","73,78",5,0,0,0,1,0,0,0,0,1,9,10,3,4,6,6,9,12,69,31,0.00,1.01,1.51,1.22,1.50,50,50,50,0,0,0,0,50,50,3.00,4.00,2.10,3.00,3.75,1.43,2.30,4.40,8.75,1.95,1.77,Stadio Panetolikou (Agrinio)
1567268100,Aug 31 2019 - 4:15pm,complete,0,Panathinaikos,OFI,Thanasis Tzilos,2,0.00,1.00,1.89,0.44,1,3,4,1,0,1,"85","33,49,58",1,1,6,1,3,0,2,5,1,2,5,10,4,5,1,5,24,14,56,44,0.00,0.51,0.95,1.36,1.00,50,50,0,0,0,0,50,0,50,1.00,4.00,1.53,3.85,6.10,1.35,2.10,3.80,7.25,2.10,1.67,Olympiako Stadio Spyros Louis (Athína (Athens))
1567276200,Aug 31 2019 - 6:30pm,complete,0,Volos NFC,Aris,Georgios Kominis,2,0.00,0.00,1.38,0.89,1,0,1,0,0,0,"55","",1,8,0,0,1,0,0,0,0,1,11,12,5,7,6,5,14,10,49,51,0.00,0.00,1.44,1.81,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.80,3.15,2.00,1.44,2.35,4.55,9.00,2.05,1.71,Panthessaliko Stadio (Volos)
1567353600,Sep 01 2019 - 4:00pm,complete,15793,PAOK,Panionios,Anastasios Papapetrou,2,3.00,0.00,2.06,0.59,2,1,3,1,1,0,"14,74","57",9,2,1,0,3,0,0,1,2,1,10,2,6,2,4,0,12,16,72,28,2.11,0.00,2.01,0.56,1.50,50,50,50,0,0,0,50,50,50,6.00,1.00,1.14,7.00,17.00,1.19,1.62,2.55,4.55,2.55,1.47,Stadio Toumbas (Thessaloníki)
1567354500,Sep 01 2019 - 4:15pm,complete,0,Larissa,Olympiakos Piraeus,Angelos Evangelou,2,0.00,0.00,1.35,2.33,0,1,1,1,0,1,"","7",1,8,2,0,2,0,2,0,2,0,5,7,2,4,3,3,10,22,45,55,0.00,0.00,0.81,1.13,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,8.75,4.40,1.36,1.32,2.00,3.50,6.80,2.35,1.53,AEL Arena (Larissa)
1567357200,Sep 01 2019 - 5:00pm,complete,1465,Lamia,Atromitos,Athanasios Sezos,2,1.00,0.00,1.29,1.06,2,2,4,2,1,1,"11,78","35,80",5,6,2,0,2,0,1,1,1,1,10,16,6,5,4,11,18,15,46,54,0.92,0.00,1.52,2.06,1.00,50,50,0,0,0,50,50,0,0,6.00,2.00,4.35,3.15,1.91,1.51,2.60,5.15,10.50,2.25,1.59,Dimotiko Athlitiko Kentro Lamias (Lamia)
1567362600,Sep 01 2019 - 6:30pm,complete,0,Asteras Tripolis,AEK Athens,Anastasios Sidiropoulos,2,0.00,0.00,1.65,1.83,2,3,5,2,1,1,"3,73","15,68,90'2",3,7,4,0,4,0,1,3,2,2,5,13,3,6,2,7,19,12,44,56,0.00,0.00,0.81,1.83,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.10,3.00,2.40,1.47,2.40,4.70,9.50,2.00,1.74,Stadio Theodoros Kolokotronis (Tripoli)
1568476800,Sep 14 2019 - 4:00pm,complete,2053,Atromitos,PAOK,Georgios Tzovaras,3,1.00,0.00,1.47,2.00,2,3,5,3,1,2,"45'1,52","17,22,90'2",2,5,3,0,1,0,1,2,0,1,12,11,3,6,9,5,14,18,48,52,1.84,0.00,1.40,1.57,1.00,50,50,0,0,0,50,50,0,0,7.00,2.00,6.00,3.60,1.60,1.36,2.15,4.00,9.00,2.10,1.66,Stadio Peristeriou (Athína (Athens))
1568477700,Sep 14 2019 - 4:15pm,complete,3463,OFI,Panaitolikos,Dimitrios Karantonis,3,0.00,0.00,1.56,0.47,3,1,4,0,0,0,"54,61,85","69",2,4,2,0,0,1,1,1,1,0,16,4,9,3,7,1,14,9,65,35,0.00,0.99,2.24,0.76,1.50,50,50,50,0,0,0,50,50,50,2.00,2.00,1.80,3.25,5.00,1.30,2.00,3.50,7.00,1.80,1.95,Stadio Thódoros Vardinoyánnis (Iraklio (Heraklion))
1568485800,Sep 14 2019 - 6:30pm,complete,22532,Olympiakos Piraeus,Volos NFC,Fotios Fotiadis,3,3.00,3.00,2.72,0.53,5,0,5,1,1,0,"12,71,79,83,90'3","",5,3,2,0,4,1,1,1,2,3,19,9,8,3,11,6,18,13,64,36,1.81,1.31,2.22,0.98,2.00,50,50,50,0,0,0,100,50,50,6.00,2.00,1.14,8.00,15.00,1.17,1.53,2.25,4.00,2.75,1.40,Stadio Georgios Karaiskáki (Pireás (Piraeus))
1568563200,Sep 15 2019 - 4:00pm,complete,1406,Xanthi,Asteras Tripolis,Alexandros Tsamouris,3,0.00,0.00,1.31,0.94,2,1,3,1,1,0,"19,55","57",3,5,0,0,3,0,0,0,0,3,8,14,5,7,3,7,13,13,46,54,0.00,1.06,1.33,1.97,0.50,0,0,0,0,0,0,50,0,0,1.00,0.00,2.40,2.95,3.15,1.50,2.50,4.95,10.00,2.10,1.67,Xanthi FC Arena (Pigadia)
1568564100,Sep 15 2019 - 4:15pm,complete,1534,Panionios,Larissa,Ioannis Papadopoulos,3,0.00,1.00,1.19,0.81,1,0,1,0,0,0,"56","",3,6,5,0,5,1,1,4,4,2,10,11,3,6,7,5,18,26,48,52,1.22,1.08,1.24,1.53,2.50,100,100,50,0,0,50,100,50,50,9.00,7.00,2.25,3.00,3.35,1.47,2.40,4.70,9.50,2.00,1.71,Stadio Néas Smírnis (Athína (Athens))
1568564100,Sep 15 2019 - 4:15pm,complete,17093,AEK Athens,Lamia,Evangelos Manouhos,3,0.00,0.00,2.00,0.81,2,0,2,2,2,0,"37,45'2","",10,1,2,0,1,0,1,1,0,1,21,3,11,2,10,1,11,19,69,31,1.46,0.00,2.66,0.58,1.50,50,50,50,0,0,0,0,50,50,3.00,5.00,1.19,6.20,13.50,1.25,1.80,3.00,5.60,2.55,1.47,Olympiako Stadio Spyros Louis (Athína (Athens))
1568572200,Sep 15 2019 - 6:30pm,complete,13129,Aris,Panathinaikos,Vasilis Fotias,3,1.00,1.00,1.44,1.33,4,0,4,2,2,0,"19,43,54,64","",3,3,1,0,4,0,0,1,0,4,15,12,11,5,4,7,13,12,39,61,1.33,1.39,2.21,1.64,2.00,100,100,0,0,0,50,100,0,50,12.00,4.00,1.87,3.20,4.35,1.43,2.30,4.35,8.75,2.05,1.71,Stadio Harilaou Kleánthis Vikelídis (Thessaloníki)
1569075300,Sep 21 2019 - 2:15pm,complete,750,Volos NFC,OFI,Giorgos Tassis,4,3.00,2.00,1.38,0.44,1,0,1,0,0,0,"75","",3,10,1,0,5,0,0,1,1,4,16,20,7,7,9,13,12,12,38,62,1.44,0.94,1.95,2.31,2.00,50,50,25,25,0,0,50,25,100,2.00,3.50,2.35,3.25,2.90,1.37,2.15,3.95,7.75,1.87,1.83,Panthessaliko Stadio (Volos)
1569083400,Sep 21 2019 - 4:30pm,complete,1622,Asteras Tripolis,Atromitos,Aristidis Vatsios,4,0.00,1.00,1.65,1.06,2,1,3,2,2,0,"3,6","53",6,6,2,0,3,0,1,1,1,2,10,11,4,3,6,8,14,16,52,48,0.81,2.06,1.38,1.42,4.50,100,100,100,100,50,100,100,100,100,9.00,6.00,2.15,3.00,3.60,1.49,2.50,4.85,9.75,2.10,1.69,Stadio Theodoros Kolokotronis (Tripoli)
1569085200,Sep 21 2019 - 5:00pm,complete,3537,Panaitolikos,AEK Athens,Anastasios Papapetrou,4,0.00,3.00,1.31,1.83,0,1,1,0,0,0,"","69",2,3,0,0,2,0,0,0,1,1,8,21,4,8,4,13,17,21,53,47,1.51,1.83,1.19,2.46,4.00,100,100,100,50,50,50,50,100,100,12.00,4.00,5.95,3.55,1.59,1.42,2.25,4.30,8.50,2.30,1.57,Stadio Panetolikou (Agrinio)
1569153600,Sep 22 2019 - 12:00pm,complete,2842,Larissa,Xanthi,Aristomenis Koutsiaftis,4,0.00,3.00,1.35,0.88,3,0,3,1,1,0,"35,53,83","",7,0,2,0,3,1,1,1,3,1,11,3,4,2,7,1,21,21,67,33,0.81,1.11,1.20,0.42,2.00,50,50,50,0,0,0,50,50,50,2.50,4.50,2.30,2.95,3.30,1.54,2.65,5.40,11.00,2.20,1.62,AEL Arena (Larissa)
1569166200,Sep 22 2019 - 3:30pm,complete,23926,PAOK,Aris,Anastasios Sidiropoulos,4,3.00,0.00,2.06,0.89,2,2,4,2,1,1,"6,90'9","4,88",8,3,3,1,6,1,2,2,2,5,9,4,4,3,5,1,22,18,58,42,2.06,1.81,1.66,0.76,2.00,50,50,50,0,0,0,50,50,100,15.50,2.00,1.41,4.05,8.00,1.40,2.20,4.15,8.25,2.40,1.51,Stadio Toumbas (Thessaloníki)
1569169800,Sep 22 2019 - 4:30pm,complete,1423,Lamia,Panionios,Petros Tsagarakis,4,1.00,0.00,1.29,0.59,1,1,2,0,0,0,"69","90'2",4,1,3,0,2,0,2,1,0,2,14,6,7,3,7,3,16,17,57,43,1.22,0.56,1.99,0.95,3.00,100,100,75,25,0,50,100,75,75,7.50,5.00,2.05,3.00,3.90,1.50,2.50,4.95,10.00,2.15,1.65,Dimotiko Athlitiko Kentro Lamias (Lamia)
1569173400,Sep 22 2019 - 5:30pm,complete,6700,Panathinaikos,Olympiakos Piraeus,Sascha Stegemann,4,0.00,3.00,1.89,2.33,1,1,2,1,0,1,"90","35",3,5,5,0,2,0,3,2,2,0,7,8,5,3,2,5,14,13,54,46,0.95,1.13,1.29,1.15,2.50,50,50,50,50,0,0,100,50,50,9.00,10.00,7.25,4.05,1.43,1.34,2.05,3.75,7.25,2.25,1.57,Olympiako Stadio Spyros Louis (Athína (Athens))
1569680100,Sep 28 2019 - 2:15pm,complete,12134,Aris,Larissa,Manolis Skoulas,5,2.00,0.50,1.44,0.81,2,3,5,4,2,2,"10,12","20,33,74",15,5,2,0,5,0,1,1,1,4,19,8,11,5,8,3,18,14,65,35,1.77,1.30,2.65,1.22,2.25,50,75,25,25,0,50,75,25,75,9.00,6.50,1.50,3.75,6.85,1.43,2.35,4.45,9.00,2.40,1.53,Stadio Harilaou Kleánthis Vikelídis (Thessaloníki)
1569686400,Sep 28 2019 - 4:00pm,complete,1206,Atromitos,Panaitolikos,Giorgos Vreskas,5,0.50,0.00,1.47,0.47,2,0,2,1,1,0,"2,87","",6,2,3,0,4,1,1,2,0,5,10,8,5,3,5,5,18,13,46,54,1.62,0.88,1.31,1.21,3.50,100,100,75,50,25,50,75,75,75,7.50,4.50,1.59,3.85,5.45,1.38,2.15,4.00,7.75,2.15,1.62,Stadio Peristeriou (Athína (Athens))
1569688200,Sep 28 2019 - 4:30pm,complete,21123,Olympiakos Piraeus,Lamia,Aristotelis Diamantopoulos,5,3.00,0.00,2.72,0.81,2,0,2,0,0,0,"61,70","",6,0,0,0,2,0,0,0,0,2,22,3,7,3,15,0,5,21,68,32,2.02,0.58,2.50,0.61,2.50,0,75,25,25,25,50,100,25,25,5.50,2.00,1.13,7.75,16.50,1.18,1.59,2.45,4.35,2.80,1.40,Stadio Georgios Karaiskáki (Pireás (Piraeus))
1569758400,Sep 29 2019 - 12:00pm,complete,3326,OFI,Asteras Tripolis,Praxiteles Zachariadis,5,3.00,0.00,1.56,0.94,3,1,4,0,0,0,"56,65,87","50",8,3,3,0,3,1,1,2,1,3,20,7,12,4,8,3,14,24,57,43,2.24,1.51,2.59,1.05,3.00,75,75,75,50,0,0,50,75,75,5.00,3.50,2.05,3.05,3.75,1.36,2.10,3.85,7.50,1.87,1.87,Stadio Thódoros Vardinoyánnis (Iraklio (Heraklion))
1569765600,Sep 29 2019 - 2:00pm,complete,1365,Xanthi,Volos NFC,Thanasis Tzilos,5,3.00,1.50,1.31,0.53,3,1,4,1,1,0,"40,56,89","90'1",4,3,2,0,2,0,1,1,1,1,17,8,10,2,7,6,19,16,45,55,1.33,1.15,2.24,1.16,3.50,75,100,100,25,25,0,100,100,100,5.50,4.00,2.10,2.95,3.85,1.44,2.35,4.50,9.00,2.00,1.71,Xanthi FC Arena (Pigadia)
1569766500,Sep 29 2019 - 2:15pm,complete,2756,Panionios,Panathinaikos,Angelos Evangelou,5,1.50,0.50,1.19,1.33,0,1,1,1,0,1,"","20",4,4,3,0,3,0,2,1,1,2,4,14,2,8,2,6,13,26,48,52,1.23,1.52,0.87,1.96,2.50,50,75,50,25,0,50,75,50,75,9.00,7.00,3.20,2.95,2.35,1.51,2.60,5.15,10.50,2.15,1.65,Stadio Néas Smírnis (Athína (Athens))
1569774600,Sep 29 2019 - 4:30pm,complete,32576,AEK Athens,PAOK,Stephan Klossner,5,1.50,3.00,2.00,2.00,2,2,4,1,0,1,"54,79","16,58",3,4,2,0,2,0,0,2,0,2,13,13,5,6,8,7,13,12,54,46,2.06,1.57,1.65,1.51,3.75,75,100,75,50,50,75,75,75,75,11.50,4.50,2.20,3.10,3.35,1.43,2.35,4.45,8.75,2.00,1.74,Olympiako Stadio Spyros Louis (Athína (Athens))
1570284900,Oct 05 2019 - 2:15pm,complete,2614,Panathinaikos,Xanthi,Georgios Kominis,6,0.50,2.00,1.89,0.88,0,1,1,0,0,0,"","90'3",7,1,1,0,1,0,0,1,0,1,14,5,6,2,8,3,8,18,73,27,1.12,0.88,1.89,0.69,3.00,84,100,75,25,0,0,67,75,100,3.00,9.50,1.65,3.35,5.85,1.48,2.45,4.80,9.75,2.30,1.56,Stadio Georgios Kamaras (Athína (Athens))
1570293000,Oct 05 2019 - 4:30pm,complete,4404,Larissa,AEK Athens,Stefanos Koubarakis,6,1.50,3.00,1.35,1.83,0,0,0,0,0,0,"","",6,4,3,0,4,0,2,1,2,2,5,6,2,2,3,4,15,22,50,50,1.01,2.15,0.95,0.99,2.50,25,50,50,25,25,25,75,50,75,9.00,5.00,4.00,3.05,2.00,1.45,2.40,4.60,9.25,2.05,1.71,AEL Arena (Larissa)
1570363200,Oct 06 2019 - 12:00pm,complete,617,Volos NFC,Atromitos,Efstathios Gortsilas,6,3.00,0.50,1.38,1.06,2,3,5,4,2,2,"7,36","39,45,62",4,6,3,0,3,0,2,1,2,1,6,7,3,4,3,3,16,13,53,47,1.70,1.74,0.96,1.26,2.25,50,50,50,25,0,50,50,25,100,8.00,3.00,2.95,2.90,2.55,1.42,2.25,4.30,8.50,1.83,1.91,Panthessaliko Stadio (Volos)
1570371300,Oct 06 2019 - 2:15pm,complete,3068,Asteras Tripolis,PAOK,Evangelos Manouhos,6,1.50,2.00,1.65,2.00,1,2,3,1,0,1,"58","33,47",5,5,2,0,3,0,2,0,0,3,7,9,5,2,2,7,9,20,44,56,1.09,1.54,1.30,1.13,4.25,100,100,100,75,50,75,100,75,100,9.00,4.50,5.35,4.05,1.57,1.30,1.95,3.40,6.55,2.00,1.74,Stadio Theodoros Kolokotronis (Tripoli)
1570371300,Oct 06 2019 - 2:15pm,complete,3832,OFI,Panionios,Athanasios Sezos,6,3.00,0.50,1.56,0.59,4,1,5,2,1,1,"32,55,71,81","9",10,2,2,0,5,0,0,2,3,2,16,7,6,3,10,4,13,15,72,28,2.41,0.75,2.02,0.94,3.25,100,100,75,50,0,0,25,100,100,6.50,5.00,1.51,3.80,6.55,1.38,2.15,4.00,7.75,2.20,1.61,Stadio Thódoros Vardinoyánnis (Iraklio (Heraklion))
1570379400,Oct 06 2019 - 4:30pm,complete,13143,Aris,Olympiakos Piraeus,Georgios Tzovaras,6,1.33,2.00,1.44,2.33,1,2,3,3,1,2,"7","33,38",3,3,4,0,5,0,0,4,0,5,5,8,2,4,3,4,23,16,50,50,2.06,1.14,0.77,1.30,2.59,59,75,34,34,17,34,100,17,75,14.83,3.33,4.95,3.55,1.69,1.31,1.95,3.45,6.70,1.91,1.83,Stadio Harilaou Kleánthis Vikelídis (Thessaloníki)
1570467600,Oct 07 2019 - 5:00pm,complete,715,Lamia,Panaitolikos,Alexandros Katsikogiannis,6,1.00,0.00,1.29,0.47,0,0,0,0,0,0,"","",3,7,3,0,5,0,1,2,1,4,17,3,8,2,9,1,17,15,49,51,1.48,0.99,2.41,0.74,2.84,84,100,50,33,0,34,67,67,84,7.67,5.33,2.15,3.00,3.60,1.50,2.55,5.05,10.25,2.15,1.65,Dimotiko Athlitiko Kentro Lamias (Lamia)
1571502600,Oct 19 2019 - 4:30pm,complete,25121,Olympiakos Piraeus,OFI,Ioannis Papadopoulos,7,3.00,1.33,2.72,0.44,2,1,3,2,1,1,"11,57","45'1",5,0,2,0,2,0,1,1,0,2,15,8,6,6,9,2,17,18,50,50,2.18,1.39,1.87,1.33,2.50,34,67,33,33,17,0,67,50,84,9.00,4.67,1.20,6.05,13.00,1.11,1.40,2.00,3.30,1.80,1.91,Stadio Georgios Karaiskáki (Pireás (Piraeus))
1571504400,Oct 19 2019 - 5:00pm,complete,1946,Panaitolikos,Larissa,Vasilis Fotias,7,0.00,1.33,1.31,0.81,2,2,4,2,1,1,"34,77","28,80",4,4,4,0,1,0,0,4,0,1,12,10,5,3,7,7,16,11,55,45,1.35,1.27,1.56,1.34,2.34,59,59,42,17,17,34,34,25,84,7.83,5.33,2.45,2.80,3.15,1.53,2.65,5.25,10.75,2.10,1.67,Stadio Panetolikou (Agrinio)
1571579100,Oct 20 2019 - 1:45pm,complete,1522,Panionios,Asteras Tripolis,Aristomenis Koutsiaftis,7,1.00,0.00,1.19,0.94,0,1,1,1,0,1,"","45",9,4,3,1,3,0,0,4,1,2,11,6,7,3,4,3,11,25,50,50,1.11,1.36,1.72,0.99,2.17,50,50,50,17,0,0,67,50,67,7.67,5.66,2.45,3.00,2.95,1.50,2.50,4.95,10.00,2.00,1.74,Stadio Néas Smírnis (Athína (Athens))
1571580000,Oct 20 2019 - 2:00pm,complete,1579,Xanthi,Aris,Dimitrios Karantonis,7,3.00,0.50,1.31,0.89,0,1,1,1,0,1,"","3",3,4,3,0,3,0,0,3,1,2,8,10,3,4,5,6,11,19,50,50,1.78,1.28,1.27,1.35,3.00,75,75,75,50,0,25,75,75,100,9.00,5.00,3.45,2.95,2.25,1.49,2.50,4.85,9.75,2.10,1.67,Xanthi FC Arena (Pigadia)
1571583600,Oct 20 2019 - 3:00pm,complete,19013,PAOK,Lamia,Fotios Fotiadis,7,2.33,0.00,2.06,0.81,3,0,3,3,3,0,"2,6,11","",5,2,3,0,4,0,2,1,2,2,15,0,8,0,7,0,14,16,64,36,1.93,0.60,2.29,0.27,2.67,50,100,50,17,0,42,75,75,75,8.17,3.50,1.13,7.25,17.75,1.20,1.65,2.65,4.75,2.60,1.45,Stadio Toumbas (Thessaloníki)
1571589000,Oct 20 2019 - 4:30pm,complete,13579,AEK Athens,Volos NFC,Praxiteles Zachariadis,7,1.33,1.00,2.00,0.53,3,2,5,2,1,1,"31,75,78","24,83",10,3,2,0,4,1,0,2,3,2,13,5,8,3,5,2,13,20,50,50,1.92,1.15,1.91,0.80,3.50,67,100,84,50,17,17,84,84,84,8.00,6.33,1.21,5.80,13.00,1.25,1.80,3.05,5.70,2.50,1.48,Olympiako Stadio Spyros Louis (Athína (Athens))
