team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
PAOK Thessaloniki FC,PAOK,2016/2017,Greece,36,18,18,0,22,13,9,4,1,3,10,4,6,1.94,2.22,1.67,3,3,1,1,56,25,31,81,49,32,36,20,13,12,23,8,58,45,81,130,125,134,20,11,9,9,5,4,10,3,7,25,14,11,205,120,85,102,43,59,55,58,52,433,247,186,197,115,82,236,132,104,564,251,313,31,17,14,10,5,5,21,12,9,16,8,8,14,8,6,6,2,4,1.72,1.78,1.67,2.25,2.72,1.78,1.56,2,1.11,0.69,0.72,0.67,1.14,1.22,1.06,0.86,0.94,0.78,0.28,0.28,0.28,33,19,14,7,5,2,17,11,9,5,4,2,16,8,5,2,1,0,3,17,22,29,31,34,1,7,9,13,14,16,2,10,13,16,17,18,92,53,39,19,14,6,94,61,50,28,22,11,89,44,28,11,6,0,8,47,61,81,86,94,6,39,50,72,78,89,11,56,72,89,94,100,25,12,3,12,7,2,13,5,1,69,33,8,67,39,11,72,28,6,61,72,50,12,56,61,50,25,28,22,28,17,39,69,78,61,26,13,13,72,72,72,17,8,9,47,44,50,4,3,1,11,17,6,44,44,44,39,44,33,17,11,22,5.69,6.67,4.72,2.83,2.39,3.28,69,61,56,36,31,25,6,3,0.00,0.00,0.00,0.00,0.00,0.00,53,9,6,8,6,3,4,9,3,8,2,4,2,1,1,1,2,5,7,11,6,17,28,22,33,3
Olympiakos CFP,Olympiakos Piraeus,2016/2017,Greece,30,15,15,0,21,13,8,4,1,3,5,1,4,2.23,2.67,1.8,1,2,2,3,57,16,41,73,45,28,39,18,6,10,33,8,47,35,75,170,225,134,16,9,7,9,5,4,7,2,5,17,9,8,207,128,79,65,27,38,57,61,52,381,228,153,196,113,83,185,115,70,429,197,232,24,16,8,11,4,7,13,12,1,12,7,5,11,5,6,7,3,4,1.57,1.73,1.4,2.43,3,1.87,1.9,2.6,1.2,0.53,0.4,0.67,1.17,1.33,1,0.8,1.07,0.53,0.37,0.27,0.47,28,23,13,5,2,1,14,13,10,4,2,1,14,10,3,1,0,0,2,7,17,25,28,29,1,2,5,11,13,14,1,5,12,14,15,15,93,77,43,17,7,3,93,87,67,27,13,7,93,67,20,7,0,0,7,23,57,83,93,97,7,13,33,73,87,93,7,33,80,93,100,100,21,8,5,11,6,3,10,2,2,70,27,17,73,40,20,67,13,13,70,87,53,31,53,60,47,30,33,27,23,13,33,57,60,53,20,11,9,67,73,60,16,7,9,53,47,60,3,1,2,10,7,13,40,47,33,37,33,40,23,20,27,6.90,8.53,5.27,2.17,1.8,2.53,77,67,60,56,47,37,23,23,0.00,0.00,0.00,0.00,0.00,0.00,63,5,4,8,4,6,5,8,7,10,3,1,2,3,2,3,0,1,1,13,7,20,17,7,27,10
Panathinaikos FC,Panathinaikos,2016/2017,Greece,36,18,18,0,20,15,5,10,2,8,6,1,5,1.94,2.61,1.28,1,1,5,2,52,23,29,75,35,40,31,21,4,19,27,2,63,52,77,141,409,85,20,15,5,11,3,8,9,2,7,23,15,8,194,109,85,107,47,60,55,57,52,410,219,191,199,108,91,211,111,100,601,290,311,27,13,14,11,2,9,16,11,5,15,8,7,17,9,8,4,1,3,1.72,1.83,1.61,2.08,1.94,2.22,1.44,1.72,1.17,0.64,0.22,1.06,1.06,0.83,1.28,0.75,0.72,0.78,0.31,0.11,0.5,32,20,12,7,4,0,16,8,6,4,1,0,16,12,6,3,3,0,4,16,24,29,32,36,2,10,12,14,17,18,2,6,12,15,15,18,89,56,33,19,11,0,89,44,33,22,6,0,89,67,33,17,17,0,11,44,67,81,89,100,11,56,67,78,94,100,11,33,67,83,83,100,21,10,5,9,3,2,12,7,3,58,28,14,50,17,11,67,39,17,56,83,28,43,56,83,28,31,17,44,25,11,39,64,83,44,29,16,13,81,89,72,19,10,9,53,56,50,3,1,2,8,6,11,42,44,39,47,50,44,11,6,17,5.39,6.06,4.72,2.97,2.61,3.33,78,69,61,47,28,25,19,17,0.00,0.00,0.00,0.00,0.00,0.00,61,5,4,7,9,3,4,5,5,10,0,2,4,4,1,1,5,4,2,28,11,44,17,6,28,8
PAS Giannina FC,PAS Giannina,2016/2017,Greece,30,15,15,0,8,5,3,12,6,6,10,4,6,1.2,1.4,1,9,11,8,9,30,37,-7,67,26,41,16,14,10,27,6,-13,90,84,97,73,134,50,10,8,2,14,5,9,9,5,4,14,8,6,112,49,63,75,34,41,48,47,50,268,163,105,127,71,56,141,92,49,493,235,258,16,9,7,16,2,14,0,7,-7,9,7,2,13,6,7,8,2,6,1.33,1.8,0.87,2.23,1.73,2.73,1,1.07,0.93,1.23,0.67,1.8,1.07,0.73,1.4,0.53,0.6,0.47,0.53,0.13,0.93,27,22,11,4,2,1,12,9,4,1,0,0,15,13,7,3,2,1,3,8,19,26,28,29,3,6,11,14,15,15,0,2,8,12,13,14,90,73,37,13,7,3,80,60,27,7,0,0,100,87,47,20,13,7,10,27,63,87,93,97,20,40,73,93,100,100,0,13,53,80,87,93,21,8,2,9,2,0,12,6,2,70,27,7,60,13,0,80,40,13,27,33,20,27,33,53,13,47,33,60,30,33,27,47,53,40,18,13,5,60,87,33,17,8,9,57,53,60,4,0,4,13,0,27,30,47,13,43,40,47,27,13,40,3.73,3.27,4.20,2.5,2.27,2.73,77,56,47,37,27,20,13,10,0.00,0.00,0.00,0.00,0.00,0.00,40,4,4,3,3,2,3,2,4,5,0,4,4,6,3,6,3,5,6,40,40,40,33,27,40,10
Skoda Xanthi FC,Xanthi,2016/2017,Greece,30,15,15,0,13,8,5,9,5,4,8,2,6,1.6,1.93,1.27,6,5,6,6,34,25,9,59,27,32,19,15,8,17,11,-2,80,71,90,108,170,80,15,10,5,9,3,6,12,6,6,15,8,7,120,58,62,95,34,61,47,50,44,233,136,97,112,63,49,121,73,48,499,229,270,18,12,6,11,5,6,7,7,0,11,6,5,13,7,6,6,2,4,1.53,1.67,1.4,1.97,1.8,2.13,1.13,1.27,1,0.83,0.53,1.13,0.97,1.13,0.8,0.6,0.8,0.4,0.37,0.33,0.4,24,17,10,6,2,0,11,8,5,3,0,0,13,9,5,3,2,0,6,13,20,24,28,30,4,7,10,12,15,15,2,6,10,12,13,15,80,57,33,20,7,0,73,53,33,20,0,0,87,60,33,20,13,0,20,43,67,80,93,100,27,47,67,80,100,100,13,40,67,80,87,100,18,7,3,9,6,2,9,1,1,60,23,10,60,40,13,60,7,7,43,53,33,24,50,67,33,30,20,40,40,40,40,50,53,47,22,11,11,73,73,73,17,8,9,57,53,60,3,2,1,10,13,7,37,40,33,43,47,40,20,13,27,4.00,3.87,4.13,3.17,2.27,4.07,67,63,50,33,27,17,17,13,0.00,0.00,0.00,0.00,0.00,0.00,40,3,6,4,4,3,5,5,3,1,4,2,3,1,3,1,4,2,5,30,33,27,27,13,40,3
PAE AO Kerkyra,Kerkyra,2016/2017,Greece,30,15,15,0,8,6,2,8,4,4,14,5,9,1.07,1.47,0.67,10,10,11,10,22,43,-21,65,27,38,12,10,15,28,-3,-18,123,113,134,63,90,48,10,7,3,9,3,6,15,6,9,9,7,2,92,48,44,79,45,34,42,41,43,251,128,123,102,47,55,149,81,68,441,236,205,11,8,3,23,10,13,-12,-2,-10,6,4,2,12,6,6,12,5,7,1,1.2,0.8,2.17,1.8,2.53,0.73,0.8,0.67,1.43,1,1.87,1.13,1.2,1.07,0.37,0.53,0.2,0.77,0.67,0.87,26,18,10,6,4,1,14,9,2,1,1,0,12,9,8,5,3,1,4,12,20,24,26,29,1,6,13,14,14,15,3,6,7,10,12,14,87,60,33,20,13,3,93,60,13,7,7,0,80,60,53,33,20,7,13,40,67,80,87,97,7,40,87,93,93,100,20,40,47,67,80,93,20,10,3,11,6,1,9,4,2,67,33,10,73,40,7,60,27,13,27,40,13,20,33,47,20,30,20,40,50,40,60,30,47,13,16,8,8,53,53,53,21,9,12,70,60,80,3,2,1,10,13,7,20,27,13,40,40,40,40,33,47,3.07,3.20,2.93,2.63,3,2.27,70,56,37,27,10,10,10,10,0.00,0.00,0.00,0.00,0.00,0.00,57,2,1,4,4,0,1,4,2,4,4,5,6,6,3,3,6,4,6,27,27,27,47,33,60,3
AEK Athens FC,AEK Athens,2016/2017,Greece,36,18,18,0,18,11,7,11,5,6,7,2,5,1.81,2.11,1.5,2,4,4,4,59,26,33,85,46,39,38,21,8,18,30,3,55,43,77,125,205,90,20,13,7,12,4,8,9,4,5,23,13,10,193,115,78,98,35,63,55,58,52,460,281,179,205,124,81,255,157,98,608,283,325,30,18,12,10,4,6,20,14,6,18,10,8,14,6,8,4,2,2,1.89,2,1.78,2.36,2.56,2.17,1.64,2.11,1.17,0.72,0.44,1,1.11,1.22,1,0.83,1,0.67,0.28,0.22,0.33,31,23,15,9,6,1,15,11,9,6,4,1,16,12,6,3,2,0,5,13,21,27,30,35,3,7,9,12,14,17,2,6,12,15,16,18,86,64,42,25,17,3,83,61,50,33,22,6,89,67,33,17,11,0,14,36,58,75,83,97,17,39,50,67,78,94,11,33,67,83,89,100,24,8,5,12,4,3,12,4,2,67,22,14,67,22,17,67,22,11,50,61,39,34,56,72,39,33,22,44,25,22,28,64,72,56,27,15,12,75,83,67,16,8,8,44,44,44,5,1,4,14,6,22,50,56,44,39,33,44,11,11,11,5.36,6.39,4.33,2.72,1.94,3.50,81,67,50,31,17,14,6,6,0.00,0.00,0.00,0.00,0.00,0.00,58,5,8,6,9,4,3,6,6,12,2,2,3,3,1,2,4,5,4,31,28,33,19,11,28,6
Panaitolikos GFS Agrinio,Panaitolikos,2016/2017,Greece,30,15,15,0,8,7,1,7,2,5,15,6,9,1.03,1.53,0.53,11,8,13,11,29,40,-11,69,37,32,21,8,16,24,5,-16,93,64,170,68,84,56,11,6,5,12,6,6,12,4,8,14,9,5,119,67,52,77,36,41,45,48,41,305,201,104,129,80,49,176,121,55,438,217,221,13,9,4,15,5,10,-2,4,-6,9,7,2,11,4,7,10,4,6,1.27,1.67,0.87,2.3,2.47,2.13,0.97,1.4,0.53,1.33,1.07,1.6,0.93,0.93,0.93,0.43,0.6,0.27,0.5,0.33,0.67,25,22,13,6,3,0,14,12,6,3,2,0,11,10,7,3,1,0,5,8,17,24,27,30,1,3,9,12,13,15,4,5,8,12,14,15,83,73,43,20,10,0,93,80,40,20,13,0,73,67,47,20,7,0,17,27,57,80,90,100,7,20,60,80,87,100,27,33,53,80,93,100,20,6,2,11,2,1,9,4,1,67,20,7,73,13,7,60,27,7,27,47,7,32,37,40,33,40,40,40,40,27,53,47,60,33,19,11,8,63,73,53,18,7,11,60,47,73,3,1,2,10,7,13,30,47,13,37,27,47,33,27,40,3.97,4.47,3.47,2.57,2.4,2.73,73,56,40,30,27,20,7,7,0.00,0.00,0.00,0.00,0.00,0.00,57,5,5,0,1,2,3,1,3,9,2,1,5,5,5,7,5,5,5,23,13,33,50,40,60,7
Platanias FC,Platanias,2016/2017,Greece,30,15,15,0,11,8,3,9,4,5,10,3,7,1.4,1.87,0.93,7,7,9,7,34,38,-4,72,41,31,24,10,17,21,7,-11,80,56,134,71,80,64,10,6,4,14,7,7,10,3,7,13,7,6,133,72,61,84,40,44,48,55,40,261,161,100,129,78,51,132,83,49,549,256,293,19,10,9,16,11,5,3,-1,4,10,4,6,12,6,6,8,5,3,1.4,1.2,1.6,2.4,2.73,2.07,1.13,1.6,0.67,1.27,1.13,1.4,1.17,1.4,0.93,0.63,0.67,0.6,0.53,0.73,0.33,26,20,15,6,4,1,14,10,8,5,3,1,12,10,7,1,1,0,4,10,15,24,26,29,1,5,7,10,12,14,3,5,8,14,14,15,87,67,50,20,13,3,93,67,53,33,20,7,80,67,47,7,7,0,13,33,50,80,87,97,7,33,47,67,80,93,20,33,53,93,93,100,20,7,5,11,4,3,9,3,2,67,23,17,73,27,20,60,20,13,37,53,20,27,33,40,27,47,47,47,33,20,47,43,47,40,19,7,12,63,47,80,16,9,7,53,60,47,5,3,2,17,20,13,33,27,40,40,40,40,27,33,20,4.43,4.80,4.07,2.8,2.67,2.93,77,53,40,30,20,20,10,3,0.00,0.00,0.00,0.00,0.00,0.00,93,2,2,6,7,3,4,3,5,2,4,5,3,3,1,3,8,3,8,30,27,33,33,20,47,3
AE Larissa,Larissa,2016/2017,Greece,30,15,15,0,6,6,0,10,5,5,14,4,10,0.93,1.53,0.33,14,9,15,14,23,42,-19,65,32,33,16,7,16,26,0,-19,117,84,191,64,84,52,7,6,1,14,8,6,12,3,9,9,7,2,136,77,59,87,51,36,45,51,39,248,148,100,116,71,45,132,77,55,506,261,245,10,8,2,24,10,14,-14,-2,-12,5,4,1,10,6,4,15,5,10,0.83,1.2,0.47,2.17,2.13,2.2,0.77,1.07,0.47,1.4,1.07,1.73,1.13,1.2,1.07,0.33,0.53,0.13,0.8,0.67,0.93,27,22,10,4,2,0,13,10,6,2,1,0,14,12,4,2,1,0,3,8,20,26,28,30,2,5,9,13,14,15,1,3,11,13,14,15,90,73,33,13,7,0,87,67,40,13,7,0,93,80,27,13,7,0,10,27,67,87,93,100,13,33,60,87,93,100,7,20,73,87,93,100,23,8,2,11,4,2,12,4,0,77,27,7,73,27,13,80,27,0,20,40,0,32,23,40,7,47,53,40,40,20,60,30,47,13,12,8,4,40,53,27,20,7,13,67,47,87,5,4,1,17,27,7,17,27,7,33,40,27,50,33,67,4.53,5.13,3.93,2.9,3.4,2.40,80,70,53,47,40,27,23,17,0.00,0.00,0.00,0.00,0.00,0.00,53,2,2,2,3,2,4,1,3,4,5,3,5,5,8,4,4,2,6,33,33,33,47,27,67,10
