timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1472236200,Aug 26 2016 - 6:30pm,complete,8215,Spezia,Salernitana,N/A,1,0.00,0.00,1.90,0.90,1,1,2,1,0,1,"79","20",10,2,1,0,1,0,1,0,0,1,15,3,9,0,6,3,13,22,48,52,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.79,3.27,6.29,0.00,0.00,0.00,0.00,0.00,0.00,Stadio Alberto Picco
1472322600,Aug 27 2016 - 6:30pm,complete,7000,Avellino,Brescia,N/A,1,0.00,0.00,1.76,0.67,1,1,2,0,0,0,"65","55",8,0,1,1,5,0,0,2,3,2,9,10,6,4,3,6,15,14,48,52,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.25,3.07,3.91,0.00,0.00,0.00,0.00,0.00,0.00,Stadio Partenio-Adriano Lombardi
1472322600,Aug 27 2016 - 6:30pm,complete,16228,Bari 1908,Cittadella,N/A,1,0.00,0.00,1.86,1.05,1,2,3,0,0,0,"65","53,55",4,9,3,1,3,0,2,2,2,1,8,7,4,5,4,2,21,17,45,55,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.85,3.24,5.63,0.00,0.00,0.00,0.00,0.00,0.00,Stadio Comunale San Nicola
1472322600,Aug 27 2016 - 6:30pm,complete,8278,Benevento,SPAL,N/A,1,0.00,0.00,2.25,1.48,2,0,2,1,1,0,"29,80","",5,5,2,0,1,0,2,0,1,0,17,18,16,7,1,11,18,13,51,49,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.11,3.04,4.52,0.00,0.00,0.00,0.00,0.00,0.00,Stadio Ciro Vigorito
1472322600,Aug 27 2016 - 6:30pm,complete,5400,Frosinone,Virtus Entella,N/A,1,0.00,0.00,2.09,0.62,2,0,2,1,1,0,"45'1,60","",8,7,4,0,2,0,0,4,2,0,13,12,6,4,7,8,11,16,51,49,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.09,3.11,4.43,0.00,0.00,0.00,0.00,0.00,0.00,Stadio Comunale Matusa (Frosinone)
1472322600,Aug 27 2016 - 6:30pm,complete,14507,Hellas Verona,Latina,N/A,1,0.00,0.00,2.05,0.86,4,1,5,4,3,1,"11,17,23,83","12",5,3,4,0,5,0,2,2,3,2,8,7,3,0,5,7,19,11,56,44,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.74,3.40,6.47,0.00,0.00,0.00,0.00,0.00,0.00,Stadio Marc'Antonio Bentegodi
1472322600,Aug 27 2016 - 6:30pm,complete,2628,Pro Vercelli,Ascoli,N/A,1,0.00,0.00,1.43,1.14,1,1,2,1,0,1,"90","42",4,5,3,0,2,0,2,1,0,2,8,7,3,2,5,5,11,11,55,45,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.37,2.98,3.72,0.00,0.00,0.00,0.00,0.00,0.00,Stadio Silvio Piola
1472322600,Aug 27 2016 - 6:30pm,complete,7178,Vicenza,Carpi,N/A,1,0.00,0.00,1.00,1.33,0,2,2,0,0,0,"","58,68",5,4,3,0,4,0,1,2,2,2,10,8,6,4,4,4,16,21,61,39,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.40,2.99,2.52,0.00,0.00,0.00,0.00,0.00,0.00,Stadio Romeo Menti
1472398200,Aug 28 2016 - 3:30pm,complete,4172,Novara,Trapani,N/A,1,0.00,0.00,1.71,0.71,2,2,4,2,1,1,"9,53","24,90'1",5,5,1,0,2,0,0,1,0,2,19,16,10,5,9,11,12,16,49,51,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.22,3.06,4.02,0.00,0.00,0.00,0.00,0.00,0.00,Stadio Comunale Silvio Piola
1472495400,Aug 29 2016 - 6:30pm,complete,13475,Cesena,Perugia,N/A,1,0.00,0.00,1.62,1.36,1,1,2,0,0,0,"81","57",5,5,3,0,2,0,1,2,0,2,24,35,12,13,12,22,13,13,41,59,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.14,3.04,4.34,0.00,0.00,0.00,0.00,0.00,0.00,Orogel Stadium-Dino Manuzzi
