team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
US Città di Palermo,Palermo,2024/2025,Italy,39,19,20,0,14,8,6,10,5,5,15,6,9,1.33,1.53,1.15,8,12,6,8,52,44,8,96,45,51,26,26,19,25,7,1,68,66,69,80,90,72,11,8,3,22,9,13,8,3,5,20,11,9,203,110,93,88,47,41,50,49,50,498,286,212,190,107,83,308,179,129,568,271,297,30,13,17,15,7,8,15,6,9,15,8,7,18,7,11,6,4,2,1.62,1.63,1.6,2.46,2.37,2.55,1.33,1.37,1.3,1.13,1,1.25,1.15,1.05,1.25,0.77,0.68,0.85,0.38,0.37,0.4,37,28,18,8,2,1,18,13,6,3,2,1,19,15,12,5,0,0,2,11,21,31,37,38,1,6,13,16,17,18,1,5,8,15,20,20,95,72,46,21,5,3,95,68,32,16,11,5,95,75,60,25,0,0,5,28,54,79,95,97,5,32,68,84,89,95,5,25,40,75,100,100,29,15,1,14,5,1,15,10,0,74,38,3,74,26,5,75,50,0,36,42,30,8,28,42,15,56,47,65,21,16,25,51,58,45,25,13,12,64,68,60,16,9,7,41,47,35,8,2,6,21,11,30,38,42,35,46,37,55,15,21,10,5.21,5.79,4.65,2.26,2.47,2.05,79,79,67,59,51,44,41,23,1.47,1.69,1.26,1.35,1.24,1.45,56,3,5,10,6,7,6,5,5,5,5,4,2,3,6,3,4,5,12,26,26,25,38,32,45,15
UC Sampdoria,Sampdoria,2024/2025,Italy,40,20,20,0,10,7,3,17,7,10,13,6,7,1.18,1.4,0.95,18,13,15,10,42,49,-7,91,30,61,15,27,15,34,0,-7,86,120,67,73,120,53,14,11,3,19,5,14,13,8,5,19,11,8,184,90,94,120,65,55,47,47,48,409,209,200,150,76,74,259,133,126,625,308,317,22,9,13,16,3,13,6,6,0,13,7,6,20,12,8,7,1,6,1.48,1.65,1.3,2.28,1.5,3.05,1.05,0.75,1.35,1.23,0.75,1.7,0.95,0.6,1.3,0.55,0.45,0.65,0.4,0.15,0.65,34,24,15,9,4,3,16,7,4,1,1,1,18,17,11,8,3,2,6,16,25,31,36,37,4,13,16,19,19,19,2,3,9,12,17,18,85,60,38,23,10,8,80,35,20,5,5,5,90,85,55,40,15,10,15,40,62,77,90,92,20,65,80,95,95,95,10,15,45,60,85,90,26,9,2,10,2,0,16,7,2,65,23,5,50,10,0,80,35,10,25,35,15,5,35,55,15,48,25,70,33,40,25,48,55,40,26,17,9,65,85,45,21,11,10,53,55,50,7,2,5,18,10,25,33,35,30,50,60,40,18,5,30,4.60,4.50,4.70,3,3.25,2.75,78,70,53,50,35,18,5,5,1.23,1.26,1.20,1.35,1.25,1.45,65,3,4,5,6,7,4,6,3,4,5,1,2,4,9,8,10,3,7,43,35,50,33,30,35,3
US Sassuolo Calcio,Sassuolo,2024/2025,Italy,38,19,19,0,25,14,11,7,2,5,6,3,3,2.16,2.32,2,1,1,1,1,78,38,40,116,60,56,43,35,17,21,26,14,44,40,49,90,101,81,15,8,7,21,9,12,4,3,1,25,11,14,164,99,65,75,25,50,52,54,51,441,241,200,211,112,99,230,129,101,470,212,258,30,16,14,20,10,10,10,6,4,16,8,8,16,7,9,6,4,2,1.68,1.63,1.74,3.05,3.16,2.95,2.05,2.26,1.84,1,0.89,1.11,1.32,1.37,1.26,0.79,0.84,0.74,0.53,0.53,0.53,36,31,19,11,7,6,18,15,9,6,5,4,18,16,10,5,2,2,2,7,19,27,31,32,1,4,10,13,14,15,1,3,9,14,17,17,95,82,50,29,18,16,95,79,47,32,26,21,95,84,53,26,11,11,5,18,50,71,82,84,5,21,53,68,74,79,5,16,47,74,89,89,29,14,4,14,6,3,15,8,1,76,37,11,74,32,16,79,42,5,66,74,58,11,39,42,37,55,47,63,11,16,5,66,58,74,24,12,12,63,63,63,13,7,6,34,37,32,10,5,5,26,26,26,42,42,42,42,37,47,16,21,11,4.32,5.21,3.42,1.97,1.32,2.63,76,63,37,28,26,16,13,8,1.45,1.57,1.33,1.28,1.16,1.40,97,5,6,3,12,5,10,11,10,16,3,5,4,6,3,7,2,1,7,18,11,26,16,16,16,8
Frosinone Calcio,Frosinone,2024/2025,Italy,38,19,19,0,9,4,5,16,10,6,13,5,8,1.13,1.16,1.11,16,17,11,17,37,50,-13,87,48,39,21,16,27,23,-6,-7,93,81,107,68,63,74,8,3,5,21,12,9,12,6,6,18,10,8,160,82,78,95,43,52,47,47,47,422,228,194,143,79,64,279,149,130,532,253,279,18,13,5,26,14,12,-8,-1,-7,11,6,5,14,8,6,13,5,8,1.24,1.37,1.11,2.29,2.53,2.05,0.97,1.11,0.84,1.32,1.42,1.21,1.16,1.42,0.89,0.47,0.68,0.26,0.68,0.74,0.63,35,29,16,6,1,0,17,16,10,4,1,0,18,13,6,2,0,0,3,9,22,32,37,38,2,3,9,15,18,19,1,6,13,17,19,19,92,76,42,16,3,0,89,84,53,21,5,0,95,68,32,11,0,0,8,24,58,84,97,100,11,16,47,79,95,100,5,32,68,89,100,100,27,11,6,14,9,4,13,2,2,71,29,16,74,47,21,68,11,11,24,21,26,3,21,16,26,55,63,47,32,32,32,47,53,42,19,8,11,50,42,58,23,9,14,61,47,74,7,7,0,18,37,0,29,32,26,37,42,32,34,26,42,4.21,4.32,4.11,2.5,2.26,2.74,71,66,53,39,37,18,8,5,1.25,1.32,1.17,1.31,1.29,1.33,32,2,4,3,7,2,5,6,3,5,2,5,6,4,10,5,6,7,5,42,53,32,34,26,42,5
AC Cesena,Cesena,2024/2025,Italy,39,19,20,0,14,8,6,11,7,4,14,4,10,1.36,1.63,1.1,7,8,9,7,46,48,-2,94,48,46,27,19,21,27,6,-8,76,63,95,73,81,67,11,6,5,21,11,10,10,4,6,16,10,6,190,105,85,110,57,53,49,46,51,379,198,181,157,80,77,222,118,104,593,288,305,21,14,7,24,8,16,-3,6,-9,9,7,2,17,8,9,13,4,9,1.13,1.53,0.75,2.41,2.53,2.3,1.18,1.42,0.95,1.23,1.11,1.35,1.15,1.16,1.15,0.54,0.74,0.35,0.62,0.42,0.8,36,28,15,6,4,3,17,15,7,3,2,2,19,13,8,3,2,1,3,11,24,33,35,36,2,4,12,16,17,17,1,7,12,17,18,19,92,72,38,15,10,8,89,79,37,16,11,11,95,65,40,15,10,5,8,28,62,85,90,92,11,21,63,84,89,89,5,35,60,85,90,95,27,11,5,13,5,3,14,6,2,69,28,13,68,26,16,70,30,10,36,42,30,15,28,32,25,54,58,50,26,21,30,41,53,30,20,12,8,51,63,40,23,10,13,59,53,65,8,3,5,21,16,25,23,37,10,44,42,45,33,21,45,4.87,5.53,4.25,2.82,3,2.65,69,62,49,38,33,21,8,3,1.18,1.25,1.12,1.19,1.28,1.11,54,3,5,4,4,8,8,6,3,5,3,3,9,6,4,10,5,3,5,28,37,20,36,21,50,3
FC Bari 1908,Bari 1908,2024/2025,Italy,38,19,19,0,10,7,3,18,9,9,10,3,7,1.26,1.58,0.95,9,11,16,9,41,40,1,81,43,38,24,17,19,21,5,-4,83,71,101,86,90,81,13,6,7,21,12,9,10,3,7,21,11,10,199,107,92,103,49,54,51,50,52,410,190,220,147,71,76,263,119,144,606,287,319,25,14,11,15,8,7,10,6,4,15,9,6,16,6,10,7,4,3,1.61,1.74,1.47,2.13,2.26,2,1.08,1.26,0.89,1.05,1,1.11,1.05,1.16,0.95,0.66,0.74,0.58,0.39,0.42,0.37,32,26,13,7,2,1,17,14,7,4,1,0,15,12,6,3,1,1,6,12,25,31,36,37,2,5,12,15,18,19,4,7,13,16,18,18,84,68,34,18,5,3,89,74,37,21,5,0,79,63,32,16,5,5,16,32,66,82,95,97,11,26,63,79,95,100,21,37,68,84,95,95,27,10,3,14,5,3,13,5,0,71,26,8,74,26,16,68,26,0,26,37,16,11,34,32,37,55,63,47,26,16,37,55,58,53,25,13,12,66,68,63,17,8,9,45,42,47,7,3,4,18,16,21,39,47,32,42,32,53,18,21,16,5.24,5.63,4.84,2.71,2.58,2.84,76,71,63,50,37,24,16,16,1.29,1.25,1.33,1.39,1.37,1.41,50,4,1,6,7,8,4,2,3,6,2,3,3,1,9,3,7,2,10,47,47,47,26,16,37,5
Brescia Calcio,Brescia,2024/2025,Italy,38,19,19,0,9,4,5,16,9,7,13,6,7,1.13,1.11,1.16,15,19,8,16,42,48,-6,90,51,39,25,17,26,22,-1,-5,81,68,101,71,66,78,11,6,5,22,12,10,11,5,6,17,8,9,170,87,83,95,43,52,47,48,45,441,254,187,161,98,63,280,156,124,514,239,275,23,13,10,20,11,9,3,2,1,9,4,5,19,10,9,10,5,5,1.21,1.16,1.26,2.37,2.68,2.05,1.11,1.32,0.89,1.26,1.37,1.16,1.13,1.26,1,0.61,0.68,0.53,0.53,0.58,0.47,32,26,16,8,5,2,15,13,9,6,5,2,17,13,7,2,0,0,6,12,22,30,33,36,4,6,10,13,14,17,2,6,12,17,19,19,84,68,42,21,13,5,79,68,47,32,26,11,89,68,37,11,0,0,16,32,58,79,87,95,21,32,53,68,74,89,11,32,63,89,100,100,26,13,4,13,8,3,13,5,1,68,34,11,68,42,16,68,26,5,24,21,26,5,29,32,26,58,63,53,29,26,32,45,42,47,21,10,11,55,53,58,20,10,10,53,53,53,9,5,4,24,26,21,24,21,26,50,53,47,26,26,26,4.47,4.58,4.37,2.5,2.26,2.74,68,55,50,42,32,32,24,21,1.34,1.54,1.14,1.40,1.23,1.58,50,6,4,4,5,7,3,2,1,10,4,5,2,4,7,4,5,4,13,42,47,37,34,32,37,11
AC Pisa 1909,Pisa,2024/2025,Italy,38,19,19,0,22,13,9,8,4,4,8,2,6,1.95,2.26,1.63,2,2,3,2,62,37,25,99,55,44,37,25,18,19,19,6,55,46,68,93,95,90,11,6,5,21,12,9,9,2,7,24,13,11,159,94,65,82,36,46,47,47,47,417,240,177,145,90,55,272,150,122,603,313,290,33,15,18,15,6,9,18,9,9,17,9,8,15,7,8,6,3,3,1.74,1.79,1.68,2.61,2.89,2.32,1.63,1.95,1.32,0.97,0.95,1,1.26,1.11,1.42,0.87,0.79,0.95,0.39,0.32,0.47,35,27,21,11,4,1,18,15,13,7,1,1,17,12,8,4,3,0,3,11,17,27,34,37,1,4,6,12,18,18,2,7,11,15,16,19,92,71,55,29,11,3,95,79,68,37,5,5,89,63,42,21,16,0,8,29,45,71,89,97,5,21,32,63,95,95,11,37,58,79,84,100,27,15,6,13,6,2,14,9,4,71,39,16,68,32,11,74,47,21,58,68,47,11,29,32,26,55,63,47,24,11,37,63,68,58,25,15,10,66,79,53,15,7,8,39,37,42,9,3,6,24,16,32,45,47,42,39,37,42,16,16,16,4.18,4.95,3.42,2.16,1.89,2.42,61,53,45,28,18,18,13,11,1.32,1.51,1.12,1.09,1.08,1.09,55,6,4,11,7,9,5,9,6,5,1,2,8,2,4,5,4,4,7,21,21,21,21,11,32,5
AS Cittadella,Cittadella,2024/2025,Italy,38,19,19,0,10,3,7,10,7,3,18,9,9,1.05,0.84,1.26,19,20,5,19,31,54,-23,85,41,44,15,16,26,28,-11,-12,110,114,107,63,66,61,12,5,7,16,9,7,16,10,6,11,3,8,140,77,63,111,53,58,45,48,42,365,208,157,124,71,53,241,137,104,674,339,335,11,4,7,24,12,12,-13,-8,-5,6,1,5,20,10,10,12,8,4,1,0.68,1.32,2.24,2.16,2.32,0.82,0.79,0.84,1.42,1.37,1.47,0.92,0.84,1,0.29,0.21,0.37,0.63,0.63,0.63,32,22,16,8,4,2,14,13,8,4,1,1,18,9,8,4,3,1,6,16,22,30,34,36,5,6,11,15,18,18,1,10,11,15,16,18,84,58,42,21,11,5,74,68,42,21,5,5,95,47,42,21,16,5,16,42,58,79,89,95,26,32,58,79,95,95,5,53,58,79,84,95,22,8,4,11,3,1,11,5,3,58,21,11,58,16,5,58,26,16,26,16,37,0,32,26,37,42,47,37,42,53,32,29,16,42,22,9,13,58,47,68,28,16,12,74,84,63,4,2,2,11,11,11,16,5,26,53,53,53,32,42,21,3.68,4.05,3.32,2.92,2.79,3.05,79,63,42,34,28,18,5,3,1.18,1.31,1.04,1.42,1.32,1.51,66,1,3,2,2,5,3,4,3,8,4,4,3,9,5,7,9,6,7,26,37,16,47,47,47,3
US Salernitana 1919,Salernitana,2024/2025,Italy,40,20,20,0,11,9,2,9,4,5,20,7,13,1.05,1.55,0.55,17,10,19,18,37,51,-14,88,51,37,27,10,24,27,3,-17,97,67,180,70,75,67,10,5,5,17,12,5,18,5,13,11,8,3,165,97,68,98,47,51,52,54,51,440,258,182,165,105,60,275,153,122,578,268,310,10,7,3,26,16,10,-16,-9,-7,4,2,2,21,10,11,15,8,7,0.83,0.8,0.85,2.2,2.55,1.85,0.93,1.35,0.5,1.28,1.2,1.35,0.9,1.15,0.65,0.25,0.35,0.15,0.65,0.8,0.5,35,27,14,7,5,0,18,16,10,4,3,0,17,11,4,3,2,0,5,13,26,33,35,40,2,4,10,16,17,20,3,9,16,17,18,20,88,68,35,18,13,0,90,80,50,20,15,0,85,55,20,15,10,0,12,32,65,82,87,100,10,20,50,80,85,100,15,45,80,85,90,100,21,11,4,12,8,3,9,3,1,53,28,10,60,40,15,45,15,5,28,45,10,26,25,25,25,43,60,25,45,25,65,28,40,15,22,9,13,55,45,65,31,14,17,78,70,85,6,5,1,15,25,5,10,10,10,53,50,55,38,40,35,4.13,4.85,3.40,2.45,2.35,2.55,63,57,43,38,25,13,8,8,1.30,1.53,1.08,1.21,1.03,1.39,38,1,5,1,1,6,5,6,3,9,5,1,6,7,10,4,6,3,9,23,20,25,50,35,65,3
