timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1502470800,Aug 11 2017 - 5:00pm,complete,12134,ADO Den Haag,Utrecht,N/A,1,0.00,0.00,1.39,1.05,0,3,3,1,0,1,"","15,55,81",8,5,2,0,1,0,2,0,1,0,14,17,8,10,6,7,12,10,54,46,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.54,3.50,2.19,0.00,0.00,0.00,0.00,0.00,0.00,Cars Jeans Stadion
1502555400,Aug 12 2017 - 4:30pm,complete,5832,VVV,Sparta Rotterdam,N/A,1,0.00,0.00,0.88,0.41,3,0,3,1,1,0,"44,48,90'2","",3,5,0,0,1,1,0,0,1,1,10,9,5,4,5,5,10,11,40,60,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.44,3.41,3.10,0.00,0.00,0.00,0.00,0.00,0.00,Seacon Stadion De Koel
1502555400,Aug 12 2017 - 4:30pm,complete,32700,PSV,AZ,N/A,1,0.00,0.00,2.76,2.12,3,2,5,2,1,1,"31,48,76","18,81",10,7,0,0,3,0,0,0,1,2,27,16,9,9,18,7,9,15,44,56,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.37,5.64,8.63,0.00,0.00,0.00,0.00,0.00,0.00,Philips Stadion
1502563500,Aug 12 2017 - 6:45pm,complete,12080,Heracles,Ajax,N/A,1,0.00,0.00,1.82,2.12,2,1,3,0,0,0,"65,82","56",3,8,1,0,1,0,1,0,1,0,14,31,9,12,5,19,15,15,32,68,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,7.53,4.99,1.44,0.00,0.00,0.00,0.00,0.00,0.00,Polman Stadion
1502563500,Aug 12 2017 - 6:45pm,complete,13921,Vitesse,NAC Breda,N/A,1,0.00,0.00,1.74,0.71,4,1,5,3,3,0,"2,20,32,77","69",9,3,0,0,1,0,0,0,1,0,13,5,7,4,6,1,7,12,60,40,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.51,4.72,6.61,0.00,0.00,0.00,0.00,0.00,0.00,GelreDome
1502620200,Aug 13 2017 - 10:30am,complete,13000,PEC Zwolle,Roda JC,N/A,1,0.00,0.00,1.65,0.82,4,2,6,2,1,1,"45'1,53,66,74","22,62",7,2,0,0,1,0,0,0,0,1,28,11,11,9,17,2,7,9,59,41,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.90,3.66,4.43,0.00,0.00,0.00,0.00,0.00,0.00,MAC³PARK Stadion
1502627400,Aug 13 2017 - 12:30pm,complete,47500,Feyenoord,Twente,N/A,1,0.00,0.00,2.12,0.35,2,1,3,2,1,1,"23,61","37",4,1,2,0,4,0,0,2,2,2,15,8,8,3,7,5,10,24,69,31,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.32,5.87,9.99,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Feijenoord
1502627400,Aug 13 2017 - 12:30pm,complete,12800,Willem II,Excelsior,N/A,1,0.00,0.00,1.29,1.53,1,2,3,1,0,1,"65","29,52",8,1,3,0,3,0,1,2,2,1,6,8,2,5,4,3,7,13,57,43,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.01,3.60,4.01,0.00,0.00,0.00,0.00,0.00,0.00,Koning Willem II Stadion
1502635500,Aug 13 2017 - 2:45pm,complete,19255,Groningen,Heerenveen,N/A,1,0.00,0.00,1.65,1.28,3,3,6,2,0,2,"53,82,88","6,40,86",6,6,1,0,2,0,1,0,0,2,14,16,7,9,7,7,11,12,51,49,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.25,3.64,3.26,0.00,0.00,0.00,0.00,0.00,0.00,Noordlease Stadion (Groningen)
1503079200,Aug 18 2017 - 6:00pm,complete,12004,Roda JC,Vitesse,N/A,2,0.00,0.00,0.94,1.47,1,3,4,1,0,1,"64","40,69,80",5,9,1,0,2,0,0,1,0,2,13,10,5,5,8,5,17,13,45,55,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.54,3.69,2.12,0.00,0.00,0.00,0.00,0.00,0.00,Parkstad Limburg Stadion
