team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
AFC Ajax,Ajax,2013/2014,Netherlands,34,17,17,0,20,13,7,11,3,8,3,1,2,2.09,2.47,1.71,1,1,2,1,69,28,41,97,51,46,42,27,9,19,33,8,44,36,57,110,170,80,15,10,5,17,6,11,4,2,2,25,14,11,190,95,95,33,12,21,61,62,59,408,222,186,206,117,89,202,105,97,312,147,165,31,16,15,14,3,11,17,13,4,15,10,5,15,7,8,4,0,4,1.76,2.18,1.35,2.85,3,2.71,2.03,2.47,1.59,0.82,0.53,1.12,1.32,1.12,1.53,0.91,0.94,0.88,0.41,0.18,0.65,32,29,21,9,4,2,16,14,13,5,2,1,16,15,8,4,2,1,2,5,13,25,30,32,1,3,4,12,15,16,1,2,9,13,15,16,94,85,62,26,12,6,94,82,76,29,12,6,94,88,47,24,12,6,6,15,38,74,88,94,6,18,24,71,88,94,6,12,53,76,88,94,26,15,2,12,6,1,14,9,1,76,44,6,71,35,6,82,53,6,59,76,41,29,44,59,29,50,35,65,12,12,12,74,82,65,22,14,8,65,82,47,11,5,6,32,29,35,9,3,6,26,18,35,44,59,29,44,41,47,12,0,24,5.59,5.59,5.59,0.97,0.71,1.24,82,71,62,50,38,24,9,6,0.00,0.00,0.00,0.00,0.00,0.00,88,7,7,7,7,6,7,10,8,10,1,0,5,5,3,2,4,3,5,32,18,47,9,6,12,3
PSV Eindhoven,PSV,2013/2014,Netherlands,34,17,17,0,18,11,7,5,3,2,11,3,8,1.74,2.12,1.35,4,5,6,6,60,45,15,105,52,53,34,26,18,27,16,-1,51,45,59,68,85,57,9,8,1,20,8,12,6,2,4,21,13,8,217,135,82,47,16,31,55,58,52,450,251,199,209,116,93,241,135,106,405,184,221,29,14,15,19,9,10,10,5,5,11,5,6,18,11,7,5,1,4,1.5,1.53,1.47,3.09,3.06,3.12,1.76,2,1.53,1.32,1.06,1.59,1.41,1.35,1.47,0.85,0.82,0.88,0.56,0.53,0.59,33,29,21,11,7,2,16,14,9,6,4,1,17,15,12,5,3,1,1,5,13,23,27,32,1,3,8,11,13,16,0,2,5,12,14,16,97,85,62,32,21,6,94,82,53,35,24,6,100,88,71,29,18,6,3,15,38,68,79,94,6,18,47,65,76,94,0,12,29,71,82,94,25,15,5,12,8,2,13,7,3,74,44,15,71,47,12,76,41,18,53,65,41,17,26,47,6,59,47,71,18,12,24,62,76,47,17,9,8,50,53,47,14,6,8,41,35,47,12,7,5,35,41,29,32,29,35,53,65,41,15,6,24,6.38,7.94,4.82,1.38,0.94,1.82,82,74,68,53,47,41,28,26,0.00,0.00,0.00,0.00,0.00,0.00,85,9,4,7,6,6,6,9,3,10,3,5,3,3,6,3,9,6,7,15,18,12,32,18,47,12
Go Ahead Eagles,Go Ahead Eagles,2013/2014,Netherlands,34,17,17,0,10,7,3,8,5,3,16,5,11,1.12,1.53,0.71,13,12,15,13,45,69,-24,114,53,61,27,18,26,43,1,-25,68,57,85,44,59,36,2,2,0,20,11,9,13,5,8,13,9,4,145,74,71,45,27,18,49,50,47,344,179,165,159,76,83,185,103,82,355,170,185,22,14,8,25,9,16,-3,5,-8,10,6,4,9,7,2,15,4,11,1.15,1.47,0.82,3.35,3.12,3.59,1.32,1.59,1.06,2.03,1.53,2.53,1.38,1.35,1.41,0.65,0.82,0.47,0.74,0.53,0.94,33,29,23,15,10,3,16,13,11,6,4,2,17,16,12,9,6,1,1,5,11,19,24,31,1,4,6,11,13,15,0,1,5,8,11,16,97,85,68,44,29,9,94,76,65,35,24,12,100,94,71,53,35,6,3,15,32,56,71,91,6,24,35,65,76,88,0,6,29,47,65,94,29,12,4,14,8,1,15,4,3,85,35,12,82,47,6,88,24,18,29,41,18,23,6,12,0,59,65,53,38,29,47,38,53,24,14,9,5,41,53,29,19,7,12,56,41,71,6,4,2,18,24,12,29,35,24,26,41,12,44,24,65,4.26,4.35,4.18,1.32,1.59,1.06,88,76,68,50,35,26,24,18,0.00,0.00,0.00,0.00,0.00,0.00,106,6,4,8,3,4,6,3,4,7,4,6,4,7,10,7,9,9,13,24,29,18,47,29,65,12
Feyenoord Rotterdam,Feyenoord,2013/2014,Netherlands,34,17,17,0,20,12,8,7,2,5,7,3,4,1.97,2.24,1.71,2,3,1,2,76,40,36,116,61,55,44,32,17,23,27,9,40,35,48,76,90,67,10,7,3,23,10,13,1,0,1,25,13,12,200,94,106,49,22,27,53,56,49,412,210,202,214,106,108,198,104,94,401,195,206,39,20,19,17,7,10,22,13,9,20,10,10,11,6,5,3,1,2,2.09,2.12,2.06,3.41,3.59,3.24,2.24,2.59,1.88,1.18,1,1.35,1.65,1.59,1.71,1.15,1.18,1.12,0.5,0.41,0.59,34,31,23,14,8,5,17,15,12,9,5,3,17,16,11,5,3,2,0,3,11,20,26,29,0,2,5,8,12,14,0,1,6,12,14,15,100,91,68,41,24,15,100,88,71,53,29,18,100,94,65,29,18,12,0,9,32,59,76,85,0,12,29,47,71,82,0,6,35,71,82,88,30,19,5,16,10,1,14,9,4,88,56,15,94,59,6,82,53,24,59,71,47,16,29,41,18,68,59,76,3,0,6,74,76,71,20,10,10,59,59,59,6,2,4,18,12,24,12,6,6,35,35,35,59,59,59,32,35,29,9,6,12,5.88,5.53,6.24,1.44,1.29,1.59,88,74,62,47,35,28,24,18,0.00,0.00,0.00,0.00,0.00,0.00,100,4,10,8,10,12,9,9,7,7,0,4,3,5,6,4,4,6,8,21,12,29,21,18,24,6
SV Roda JC,Roda JC,2013/2014,Netherlands,34,17,17,0,7,4,3,8,4,4,19,9,10,0.85,0.94,0.76,18,18,11,18,44,69,-25,113,51,62,21,23,30,39,-9,-16,70,73,67,44,51,39,5,3,2,21,12,9,9,3,6,13,9,4,147,78,69,82,38,44,48,49,48,352,203,149,162,103,59,190,100,90,427,211,216,22,11,11,28,11,17,-6,0,-6,9,6,3,14,7,7,11,4,7,1.21,1.47,0.94,3.32,3,3.65,1.29,1.24,1.35,2.03,1.76,2.29,1.47,1.29,1.65,0.65,0.65,0.65,0.82,0.65,1,33,28,25,15,6,5,16,13,11,6,3,2,17,15,14,9,3,3,1,6,9,19,28,29,1,4,6,11,14,15,0,2,3,8,14,14,97,82,74,44,18,15,94,76,65,35,18,12,100,88,82,53,18,18,3,18,26,56,82,85,6,24,35,65,82,88,0,12,18,47,82,82,28,18,3,14,6,1,14,12,2,82,53,9,82,35,6,82,71,12,21,24,18,5,15,18,12,62,71,53,26,18,35,38,53,24,15,9,6,44,53,35,14,6,8,41,35,47,11,5,6,32,29,35,26,35,18,41,41,41,32,24,41,4.32,4.59,4.06,2.41,2.24,2.59,91,88,74,53,35,26,24,18,0.00,0.00,0.00,0.00,0.00,0.00,85,2,5,7,5,3,5,7,4,6,5,7,5,5,8,8,11,8,12,24,24,24,56,53,59,0
SBV Vitesse,Vitesse,2013/2014,Netherlands,36,18,18,0,15,8,7,10,6,4,11,4,7,1.53,1.67,1.39,6,10,5,7,66,54,12,120,56,64,33,33,23,31,10,2,49,49,49,60,70,52,7,5,2,26,12,14,4,2,2,20,10,10,200,118,82,64,31,33,59,60,58,511,298,213,243,136,107,268,162,106,449,218,231,28,14,14,25,11,14,3,3,0,13,9,4,11,3,8,12,6,6,1.39,1.67,1.11,3.33,3.11,3.56,1.83,1.83,1.83,1.5,1.28,1.72,1.47,1.39,1.56,0.78,0.78,0.78,0.69,0.61,0.78,35,32,25,15,7,3,17,16,13,8,2,0,18,16,12,7,5,3,1,4,11,21,29,33,1,2,5,10,16,18,0,2,6,11,13,15,97,89,69,42,19,8,94,89,72,44,11,0,100,89,67,39,28,17,3,11,31,58,81,92,6,11,28,56,89,100,0,11,33,61,72,83,31,16,5,17,7,1,14,9,4,86,44,14,94,39,6,78,50,22,42,44,39,8,19,28,11,72,67,78,11,11,11,56,56,56,16,10,6,44,56,33,15,6,9,42,33,50,10,3,7,28,17,39,36,50,22,31,17,44,33,33,33,5.56,6.56,4.56,1.78,1.72,1.83,89,69,56,44,31,25,25,25,0.00,0.00,0.00,0.00,0.00,0.00,106,4,3,7,11,6,5,9,6,15,5,5,6,5,6,5,7,8,7,28,33,22,31,22,39,11
Heracles Almelo,Heracles,2013/2014,Netherlands,34,17,17,0,10,4,6,7,5,2,17,8,9,1.09,1,1.18,14,17,8,14,45,59,-14,104,46,58,19,26,27,32,-8,-6,68,80,59,52,57,48,3,2,1,26,13,13,5,2,3,13,8,5,204,124,80,75,32,43,49,51,47,412,228,184,209,104,105,203,124,79,503,269,234,21,11,10,29,13,16,-8,-2,-6,9,6,3,11,4,7,14,7,7,1.12,1.29,0.94,3.06,2.71,3.41,1.32,1.12,1.53,1.74,1.59,1.88,1.47,1.41,1.53,0.62,0.65,0.59,0.85,0.76,0.94,34,33,25,9,2,1,17,16,11,2,0,0,17,17,14,7,2,1,0,1,9,25,32,33,0,1,6,15,17,17,0,0,3,10,15,16,100,97,74,26,6,3,100,94,65,12,0,0,100,100,82,41,12,6,0,3,26,74,94,97,0,6,35,88,100,100,0,0,18,59,88,94,31,16,3,16,6,2,15,10,1,91,47,9,94,35,12,88,59,6,29,24,35,-3,9,12,6,76,76,76,15,12,18,38,47,29,11,7,4,32,41,24,15,6,9,44,35,53,11,5,6,32,29,35,26,35,18,32,24,41,41,41,41,6.00,7.29,4.71,2.21,1.88,2.53,91,85,68,68,65,50,35,32,0.00,0.00,0.00,0.00,0.00,0.00,71,3,2,3,7,6,5,4,8,7,6,9,5,5,6,3,7,7,11,21,29,12,50,47,53,15
FC Groningen,Groningen,2013/2014,Netherlands,38,19,19,0,17,11,6,10,5,5,11,3,8,1.61,2,1.21,7,4,7,4,65,54,11,119,55,64,35,30,20,34,15,-4,53,49,57,63,86,50,9,6,3,24,12,12,7,2,5,20,14,6,189,101,88,87,36,51,47,50,43,394,205,189,203,107,96,191,98,93,509,263,246,20,11,9,26,9,17,-6,2,-8,9,5,4,18,10,8,11,4,7,1.18,1.32,1.05,3.13,2.89,3.37,1.71,1.84,1.58,1.42,1.05,1.79,1.21,1.05,1.37,0.53,0.58,0.47,0.68,0.47,0.89,36,30,23,15,10,4,18,15,10,6,3,2,18,15,13,9,7,2,2,8,15,23,28,34,1,4,9,13,16,17,1,4,6,10,12,17,95,79,61,39,26,11,95,79,53,32,16,11,95,79,68,47,37,11,5,21,39,61,74,89,5,21,47,68,84,89,5,21,32,53,63,89,26,13,6,12,6,2,14,7,4,68,34,16,63,32,11,74,37,21,45,58,32,17,24,32,16,63,63,63,18,11,26,53,74,32,20,12,8,53,63,42,23,11,12,61,58,63,7,3,4,18,16,21,24,26,21,47,53,42,29,21,37,4.97,5.32,4.63,2.29,1.89,2.68,92,87,84,55,39,32,26,16,0.00,0.00,0.00,0.00,0.00,0.00,97,6,4,5,3,6,9,11,10,11,6,6,3,8,5,6,5,7,8,26,26,26,29,16,42,13
SC Heerenveen,Heerenveen,2013/2014,Netherlands,36,18,18,0,17,10,7,9,4,5,10,4,6,1.67,1.89,1.44,5,7,4,5,73,54,19,127,71,56,44,29,27,27,17,2,44,37,56,60,60,60,8,5,3,23,12,11,6,2,4,21,12,9,209,114,95,77,29,48,48,50,46,405,223,182,185,99,86,220,124,96,508,198,310,28,15,13,21,8,13,7,7,0,15,9,6,13,6,7,8,3,5,1.61,1.83,1.39,3.53,3.94,3.11,2.03,2.44,1.61,1.5,1.5,1.5,1.36,1.28,1.44,0.78,0.83,0.72,0.58,0.44,0.72,35,34,26,15,9,7,17,16,15,10,7,5,18,18,11,5,2,2,1,2,10,21,27,29,1,2,3,8,11,13,0,0,7,13,16,16,97,94,72,42,25,19,94,89,83,56,39,28,100,100,61,28,11,11,3,6,28,58,75,81,6,11,17,44,61,72,0,0,39,72,89,89,28,13,5,14,5,2,14,8,3,78,36,14,78,28,11,78,44,17,47,56,39,0,22,28,17,64,67,61,17,11,22,58,67,50,21,12,9,58,67,50,15,6,9,42,33,50,8,4,4,22,22,22,42,50,33,36,33,39,22,17,28,5.81,6.33,5.28,2.14,1.61,2.67,92,89,81,72,57,44,36,22,0.00,0.00,0.00,0.00,0.00,0.00,106,1,3,4,15,10,8,12,8,12,2,6,3,7,5,6,9,5,11,25,22,28,28,22,33,11
FC Twente,Twente,2013/2014,Netherlands,34,17,17,0,17,9,8,12,8,4,5,0,5,1.85,2.06,1.65,3,6,3,3,72,37,35,109,60,49,43,29,17,20,26,9,42,36,53,83,90,76,9,5,4,22,12,10,4,1,3,17,12,5,225,117,108,54,26,28,56,56,56,466,242,224,224,122,102,242,120,122,397,193,204,27,20,7,16,5,11,11,15,-4,14,11,3,10,3,7,10,3,7,1.53,2.12,0.94,3.21,3.53,2.88,2.12,2.53,1.71,1.09,1,1.18,1.26,1.47,1.06,0.79,1.18,0.41,0.47,0.29,0.65,33,30,20,14,7,3,16,16,12,10,3,2,17,14,8,4,4,1,1,4,14,20,27,31,1,1,5,7,14,15,0,3,9,13,13,16,97,88,59,41,21,9,94,94,71,59,18,12,100,82,47,24,24,6,3,12,41,59,79,91,6,6,29,41,82,88,0,18,53,76,76,94,27,10,5,14,6,4,13,4,1,79,29,15,82,35,24,76,24,6,50,53,47,14,26,29,24,65,71,59,12,6,18,50,71,29,19,12,7,56,71,41,16,6,10,47,35,59,6,2,4,18,12,24,41,65,18,29,18,41,29,18,41,6.62,6.88,6.35,1.59,1.53,1.65,85,68,59,41,28,24,21,18,0.00,0.00,0.00,0.00,0.00,0.00,79,2,6,11,6,4,12,9,13,9,4,1,6,3,4,9,3,3,4,35,47,24,15,0,29,9
