team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Rosenborg BK,Rosenborg,2024,Norway,30,15,15,0,16,10,6,5,2,3,9,3,6,1.77,2.13,1.4,4,3,8,4,52,39,13,91,40,51,26,26,14,25,12,1,52,52,52,69,97,54,9,6,3,18,9,9,3,0,3,18,10,8,171,95,76,59,30,29,55,57,53,348,189,159,171,84,87,177,105,72,332,178,154,21,10,11,16,6,10,5,4,1,10,5,5,11,6,5,9,4,5,1.37,1.4,1.33,3.03,2.67,3.4,1.73,1.73,1.73,1.3,0.93,1.67,1.23,1.07,1.4,0.7,0.67,0.73,0.53,0.4,0.67,30,24,19,13,4,1,15,12,9,4,0,0,15,12,10,9,4,1,0,6,11,17,26,29,0,3,6,11,15,15,0,3,5,6,11,14,100,80,63,43,13,3,100,80,60,27,0,0,100,80,67,60,27,7,0,20,37,57,87,97,0,20,40,73,100,100,0,20,33,40,73,93,22,13,2,10,6,0,12,7,2,73,43,7,67,40,0,80,47,13,53,67,40,14,30,40,20,60,60,60,10,0,20,60,67,53,18,10,8,60,67,53,16,9,7,53,60,47,4,1,3,13,7,20,33,33,33,37,40,33,30,27,33,5.70,6.33,5.07,1.97,2,1.93,83,77,60,47,33,30,20,13,1.52,1.60,1.45,1.20,1.02,1.38,67,5,5,3,5,7,5,7,5,10,5,3,1,7,7,3,4,5,4,17,13,20,30,20,40,10
Odds BK,Odd,2024,Norway,30,15,15,0,5,3,2,8,4,4,17,8,9,0.77,0.87,0.67,16,15,16,16,26,54,-28,80,45,35,16,10,29,25,-13,-15,103,84,134,50,47,54,5,2,3,15,9,6,12,4,8,8,5,3,113,57,56,56,24,32,43,43,43,229,118,111,119,63,56,110,55,55,301,149,152,14,8,6,22,13,9,-8,-5,-3,6,3,3,13,5,8,11,7,4,1.03,0.93,1.13,2.67,3,2.33,0.87,1.07,0.67,1.8,1.93,1.67,1.2,1.4,1,0.47,0.53,0.4,0.73,0.87,0.6,28,24,16,8,2,2,15,14,9,5,1,1,13,10,7,3,1,1,2,6,14,22,28,28,0,1,6,10,14,14,2,5,8,12,14,14,93,80,53,27,7,7,100,93,60,33,7,7,87,67,47,20,7,7,7,20,47,73,93,93,0,7,40,67,93,93,13,33,53,80,93,93,21,12,3,12,7,2,9,5,1,70,40,10,80,47,13,60,33,7,17,20,13,8,17,13,20,50,60,40,40,27,53,27,33,20,13,5,8,43,33,53,19,9,10,63,60,67,7,4,3,23,27,20,20,20,20,43,33,53,37,47,27,3.77,3.80,3.73,1.87,1.6,2.13,80,73,56,43,37,27,23,17,1.02,1.06,0.99,1.62,1.58,1.65,60,0,3,6,4,3,1,2,2,5,1,3,7,7,5,8,5,8,10,27,27,27,57,53,60,17
FK Haugesund,Haugesund,2024,Norway,30,15,15,0,9,6,3,6,1,5,15,8,7,1.1,1.27,0.93,14,11,10,14,29,46,-17,75,27,48,11,18,16,30,-5,-12,93,123,75,59,84,45,8,5,3,13,4,9,11,7,4,11,5,6,151,96,55,66,31,35,49,51,47,307,158,149,150,78,72,157,80,77,286,145,141,8,1,7,21,8,13,-13,-7,-6,3,1,2,16,8,8,11,6,5,0.83,0.73,0.93,2.5,1.8,3.2,0.97,0.73,1.2,1.53,1.07,2,0.97,0.6,1.33,0.27,0.07,0.47,0.7,0.53,0.87,28,18,14,8,3,3,14,7,5,1,0,0,14,11,9,7,3,3,2,12,16,22,27,27,1,8,10,14,15,15,1,4,6,8,12,12,93,60,47,27,10,10,93,47,33,7,0,0,93,73,60,47,20,20,7,40,53,73,90,90,7,53,67,93,100,100,7,27,40,53,80,80,18,9,1,7,2,0,11,7,1,60,30,3,47,13,0,73,47,7,30,40,20,3,27,33,20,43,27,60,37,47,27,37,33,40,15,9,6,50,60,40,22,14,8,73,93,53,5,0,5,17,0,33,10,7,13,53,53,53,37,40,33,5.03,6.40,3.67,2.2,2.07,2.33,90,83,80,70,56,43,43,33,1.31,1.38,1.24,1.63,1.38,1.89,57,2,1,1,3,6,1,6,4,5,5,3,3,6,7,5,4,5,8,20,7,33,50,53,47,23
Tromsø IL,Tromsø,2024,Norway,30,15,15,0,9,5,4,6,4,2,15,6,9,1.1,1.27,0.93,13,10,11,13,34,44,-10,78,45,33,24,10,21,23,3,-13,80,56,134,61,64,59,11,6,5,10,6,4,13,5,8,9,5,4,138,77,61,48,16,32,46,47,46,297,160,137,160,94,66,137,66,71,299,133,166,12,9,3,20,11,9,-8,-2,-6,6,4,2,11,4,7,13,7,6,0.97,1.07,0.87,2.6,3,2.2,1.13,1.6,0.67,1.47,1.4,1.53,1.07,1.33,0.8,0.4,0.6,0.2,0.67,0.73,0.6,26,19,16,8,4,3,13,12,10,5,3,2,13,7,6,3,1,1,4,11,14,22,26,27,2,3,5,10,12,13,2,8,9,12,14,14,87,63,53,27,13,10,87,80,67,33,20,13,87,47,40,20,7,7,13,37,47,73,87,90,13,20,33,67,80,87,13,53,60,80,93,93,19,11,2,11,7,2,8,4,0,63,37,7,73,47,13,53,27,0,30,33,27,24,37,40,33,33,40,27,43,33,53,30,33,27,17,8,9,57,53,60,23,10,13,77,67,87,1,1,0,3,7,0,20,27,13,37,27,47,43,47,40,4.60,5.13,4.07,1.6,1.07,2.13,80,80,73,60,53,40,27,27,1.35,1.51,1.19,1.42,1.31,1.54,60,1,2,4,3,6,5,6,5,2,3,4,8,2,4,5,4,5,9,20,27,13,50,40,60,20
FK Bodo - Glimt,FK Bodo - Glimt,2024,Norway,30,15,15,0,18,10,8,8,4,4,4,1,3,2.07,2.27,1.87,1,1,2,1,71,31,40,102,59,43,44,27,15,16,29,11,38,31,50,87,90,84,12,6,6,17,9,8,2,0,2,18,10,8,202,119,83,31,12,19,64,64,65,327,176,151,189,108,81,138,68,70,223,105,118,23,17,6,17,7,10,6,10,-4,9,6,3,14,8,6,7,1,6,1.37,1.73,1,3.4,3.93,2.87,2.37,2.93,1.8,1.03,1,1.07,1.33,1.6,1.07,0.77,1.13,0.4,0.57,0.47,0.67,29,24,18,15,9,6,15,13,11,10,5,4,14,11,7,5,4,2,1,6,12,15,21,24,0,2,4,5,10,11,1,4,8,10,11,13,97,80,60,50,30,20,100,87,73,67,33,27,93,73,47,33,27,13,3,20,40,50,70,80,0,13,27,33,67,73,7,27,53,67,73,87,22,14,4,12,10,2,10,4,2,73,47,13,80,67,13,67,27,13,60,67,53,14,40,40,40,57,60,53,7,0,13,60,67,53,16,8,8,53,53,53,14,4,10,47,27,67,8,6,2,27,40,13,30,40,20,47,53,40,23,7,40,6.73,7.93,5.53,1.03,0.8,1.27,87,83,67,60,56,43,37,27,1.65,1.79,1.49,1.09,1.08,1.11,100,3,5,3,5,9,15,11,13,7,0,5,5,4,5,4,1,1,6,27,27,27,13,7,20,20
Molde FK,Molde,2024,Norway,30,15,15,0,15,8,7,7,3,4,8,4,4,1.73,1.8,1.67,5,5,3,5,64,36,28,100,62,38,39,25,23,13,16,12,42,35,54,75,59,103,10,4,6,17,10,7,4,1,3,19,12,7,169,88,81,44,19,25,52,55,50,341,192,149,193,111,82,148,81,67,285,121,164,33,21,12,13,8,5,20,13,7,17,10,7,9,3,6,4,2,2,2,2.2,1.8,3.33,4.13,2.53,2.13,2.6,1.67,1.2,1.53,0.87,1.53,1.93,1.13,1.1,1.4,0.8,0.43,0.53,0.33,29,25,21,13,5,4,15,14,13,8,5,4,14,11,8,5,0,0,1,5,9,17,25,26,0,1,2,7,10,11,1,4,7,10,15,15,97,83,70,43,17,13,100,93,87,53,33,27,93,73,53,33,0,0,3,17,30,57,83,87,0,7,13,47,67,73,7,27,47,67,100,100,25,14,5,14,10,4,11,4,1,83,47,17,93,67,27,73,27,7,50,53,47,-3,33,27,40,57,67,47,13,7,20,63,80,47,20,9,11,67,60,73,7,1,6,23,7,40,8,6,2,27,40,13,57,67,47,30,20,40,13,13,13,5.63,5.87,5.40,1.47,1.27,1.67,83,77,56,43,40,30,27,17,1.57,1.75,1.39,1.18,1.11,1.24,77,7,6,10,6,5,8,6,10,6,5,1,2,5,3,6,5,3,6,23,20,27,27,27,27,10
Viking FK,Viking,2024,Norway,30,15,15,0,16,10,6,9,4,5,5,1,4,1.9,2.27,1.53,3,2,6,3,61,39,22,100,52,48,34,27,18,21,16,6,44,40,50,69,75,64,8,5,3,20,10,10,2,0,2,16,9,7,188,97,91,55,24,31,54,57,52,378,215,163,191,111,80,187,104,83,356,181,175,20,13,7,21,10,11,-1,3,-4,10,6,4,13,7,6,7,2,5,1.43,1.67,1.2,3.33,3.47,3.2,2.03,2.27,1.8,1.3,1.2,1.4,1.37,1.53,1.2,0.67,0.87,0.47,0.7,0.67,0.73,30,23,18,12,10,6,15,12,8,6,6,4,15,11,10,6,4,2,0,7,12,18,20,24,0,3,7,9,9,11,0,4,5,9,11,13,100,77,60,40,33,20,100,80,53,40,40,27,100,73,67,40,27,13,0,23,40,60,67,80,0,20,47,60,60,73,0,27,33,60,73,87,22,13,5,11,7,4,11,6,1,73,43,17,73,47,27,73,40,7,53,67,40,10,27,33,20,67,67,67,7,0,13,53,60,47,17,9,8,57,60,53,13,5,8,43,33,53,8,5,3,27,33,20,33,40,27,43,47,40,23,13,33,6.27,6.47,6.07,1.83,1.6,2.07,93,87,83,70,60,43,40,37,1.59,1.78,1.41,1.22,1.17,1.26,77,2,4,4,5,9,8,9,6,14,6,4,7,3,3,4,2,4,6,30,27,33,17,7,27,17
SK Brann,Brann,2024,Norway,30,15,15,0,17,9,8,8,3,5,5,3,2,1.97,2,1.93,2,4,1,2,55,33,22,88,40,48,26,29,14,19,12,10,49,52,47,82,97,71,11,6,5,18,8,10,3,2,1,19,11,8,204,121,83,40,16,24,63,66,60,352,188,164,180,95,85,172,93,79,327,158,169,22,10,12,10,2,8,12,8,4,14,7,7,11,6,5,5,2,3,1.77,1.8,1.73,2.93,2.67,3.2,1.83,1.73,1.93,1.1,0.93,1.27,1.07,0.8,1.33,0.73,0.67,0.8,0.33,0.13,0.53,28,26,18,10,4,2,14,13,8,4,1,0,14,13,10,6,3,2,2,4,12,20,26,28,1,2,7,11,14,15,1,2,5,9,12,13,93,87,60,33,13,7,93,87,53,27,7,0,93,87,67,40,20,13,7,13,40,67,87,93,7,13,47,73,93,100,7,13,33,60,80,87,21,9,2,9,2,1,12,7,1,70,30,7,60,13,7,80,47,7,57,60,53,5,37,40,33,60,53,67,10,13,7,63,73,53,22,13,9,73,87,60,14,8,6,47,53,40,3,0,3,10,0,20,47,47,47,37,40,33,17,13,20,6.80,8.07,5.53,1.33,1.07,1.60,80,73,73,56,53,50,40,30,1.65,1.79,1.51,1.21,1.09,1.32,70,3,4,6,4,7,7,5,6,13,3,1,1,1,4,8,5,5,5,27,20,33,17,20,13,20
Strømsgodset IF,Strømsgodset,2024,Norway,30,15,15,0,10,7,3,8,4,4,12,4,8,1.27,1.67,0.87,7,7,13,7,32,40,-8,72,33,39,19,13,14,26,5,-13,84,71,103,68,97,52,9,5,4,13,7,6,11,3,8,13,9,4,169,102,67,50,25,25,47,51,43,311,170,141,148,77,71,163,93,70,283,140,143,18,9,9,19,8,11,-1,1,-2,9,5,4,12,7,5,9,3,6,1.3,1.47,1.13,2.4,2.2,2.6,1.07,1.27,0.87,1.33,0.93,1.73,1.23,1.13,1.33,0.6,0.6,0.6,0.63,0.53,0.73,27,18,11,10,4,1,15,9,4,3,2,0,12,9,7,7,2,1,3,12,19,20,26,29,0,6,11,12,13,15,3,6,8,8,13,14,90,60,37,33,13,3,100,60,27,20,13,0,80,60,47,47,13,7,10,40,63,67,87,97,0,40,73,80,87,100,20,40,53,53,87,93,19,11,6,9,5,3,10,6,3,63,37,20,60,33,20,67,40,20,33,47,20,25,30,33,27,43,47,40,37,20,53,43,60,27,19,10,9,63,67,60,15,7,8,50,47,53,7,4,3,23,27,20,30,33,27,40,47,33,30,20,40,5.63,6.80,4.47,1.67,1.67,1.67,97,93,83,73,67,53,40,27,1.36,1.54,1.20,1.63,1.40,1.84,53,5,2,2,4,5,4,2,4,4,3,4,3,5,6,6,5,4,4,27,27,27,40,27,53,23
Lillestrøm SK,Lillestrøm,2024,Norway,30,15,15,0,7,3,4,3,3,0,20,9,11,0.8,0.8,0.8,15,16,14,15,33,63,-30,96,46,50,16,17,30,33,-14,-16,82,84,80,43,45,41,3,1,2,16,8,8,11,6,5,13,6,7,167,94,73,60,32,28,52,55,49,289,151,138,141,74,67,148,77,71,316,142,174,18,8,10,24,11,13,-6,-3,-3,8,4,4,10,4,6,12,7,5,1.13,1.07,1.2,3.2,3.07,3.33,1.1,1.07,1.13,2.1,2,2.2,1.4,1.27,1.53,0.6,0.53,0.67,0.8,0.73,0.87,30,26,21,10,7,1,15,13,10,5,3,0,15,13,11,5,4,1,0,4,9,20,23,29,0,2,5,10,12,15,0,2,4,10,11,14,100,87,70,33,23,3,100,87,67,33,20,0,100,87,73,33,27,7,0,13,30,67,77,97,0,13,33,67,80,100,0,13,27,67,73,93,23,13,5,13,5,1,10,8,4,77,43,17,87,33,7,67,53,27,23,20,27,1,10,7,13,53,53,53,37,40,33,43,40,47,13,5,8,43,33,53,18,9,9,60,60,60,6,3,3,20,20,20,27,27,27,33,27,40,40,47,33,5.57,6.27,4.87,2,2.13,1.87,83,73,67,60,47,40,27,17,1.35,1.44,1.25,1.37,1.18,1.57,80,5,6,1,5,4,5,1,1,5,1,7,2,5,15,6,9,8,10,10,20,0,67,60,73,13
