timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1532102400,Jul 20 2018 - 4:00pm,complete,5587,Miedź Legnica,Pogoń Szczecin,Paweł Raczkowski,1,0.00,0.00,1.32,1.16,1,0,1,0,0,0,"90'1","",3,4,1,0,1,0,0,1,0,1,10,12,3,4,7,8,9,15,50,50,0.00,0.00,1.08,1.37,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.99,3.28,2.54,1.34,2.05,3.75,8.00,1.91,1.91,Stadion im. Orła Białego
1532111400,Jul 20 2018 - 6:30pm,complete,11766,Jagiellonia Białystok,Lechia Gdańsk,Łukasz Szczech,1,0.00,0.00,1.72,1.44,0,1,1,1,0,1,"","10",3,2,2,1,5,1,1,2,2,4,13,6,5,3,8,3,12,19,62,38,0.00,0.00,1.43,0.77,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.19,3.35,3.60,1.29,1.95,3.35,7.50,1.91,1.91,Stadion Miejski (Białystok)
1532179800,Jul 21 2018 - 1:30pm,complete,10496,Śląsk Wrocław,Cracovia Kraków,Tomasz Kwiatkowski,1,0.00,0.00,1.33,1.11,3,1,4,2,1,1,"15,57,89","30",5,1,1,0,3,0,0,1,0,3,13,9,8,5,5,4,10,18,50,50,0.00,0.00,1.80,1.22,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.17,3.48,3.53,1.30,1.95,3.40,7.00,1.83,2.00,Stadion Miejski (Wrocław)
1532188800,Jul 21 2018 - 4:00pm,complete,9215,Wisła Kraków,Arka Gdynia,Piotr Lasyk,1,0.00,0.00,1.58,1.00,0,0,0,0,0,0,"","",7,1,0,0,1,0,0,0,0,1,11,3,3,0,8,3,11,20,55,45,0.00,0.00,1.57,0.46,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.03,3.42,4.01,1.32,2.00,3.60,7.50,1.87,1.95,Stadion Miejski im. Henryka Reymana
1532197800,Jul 21 2018 - 6:30pm,complete,12278,Legia Warszawa,Zagłębie Lubin,Jarosław Przybył,1,0.00,0.00,1.84,1.47,1,3,4,3,1,2,"37","15,21,87",4,5,2,0,1,0,0,2,0,1,12,9,3,7,9,2,11,11,60,40,0.00,0.00,1.45,1.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.57,4.10,6.53,1.26,1.83,3.15,6.50,1.87,1.95,Stadion Miejski Legii Warszawa im. Marszałka Józefa Piłsudskiego
1532266200,Jul 22 2018 - 1:30pm,complete,16683,Górnik Zabrze,Korona Kielce,Daniel Stefanski,1,0.00,0.00,1.11,1.22,1,1,2,0,0,0,"46","62",3,5,2,0,3,0,1,1,2,1,7,17,5,9,2,8,10,10,46,54,0.00,0.00,1.09,2.16,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.21,3.42,3.48,1.31,1.95,3.45,7.50,1.83,2.00,Arena Zabrze
1532275200,Jul 22 2018 - 4:00pm,complete,8114,Wisła Płock,Lech Poznań,Krzysztof Jakubik,1,0.00,0.00,1.11,0.89,1,2,3,1,0,1,"77","16,89",5,2,1,0,2,0,0,1,0,2,10,7,5,4,5,3,15,15,56,44,0.00,0.00,1.47,0.97,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.15,3.33,2.41,1.33,2.05,3.65,8.00,1.87,1.91,Stadion im. Kazimierza Górskiego
1532361600,Jul 23 2018 - 4:00pm,complete,4500,Zagłębie Sosnowiec,Piast Gliwice,Tomasz Musial,1,0.00,0.00,1.17,1.33,1,2,3,1,1,0,"36","67,80",4,5,0,0,0,0,0,0,0,0,11,14,4,3,7,11,16,15,52,48,0.00,0.00,1.55,1.75,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.41,3.32,3.15,1.35,2.10,3.80,8.00,1.91,1.91,Stadion Ludowy
1532707200,Jul 27 2018 - 4:00pm,complete,14068,Lechia Gdańsk,Śląsk Wrocław,Szymon Marciniak,2,0.00,0.00,2.16,1.05,1,1,2,1,1,0,"12","83",4,9,4,0,0,0,3,1,0,0,10,12,2,7,8,5,19,6,50,50,0.00,0.00,1.32,2.02,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.11,3.39,3.69,1.27,1.87,3.20,6.00,1.77,2.05,Stadion Energa Gdańsk
1532716200,Jul 27 2018 - 6:30pm,complete,9517,Wisła Kraków,Miedź Legnica,Wojciech Myć,2,1.00,0.00,1.58,0.83,2,1,3,1,1,0,"43,49","69",6,7,4,0,3,0,2,2,1,2,9,10,5,7,4,3,21,15,57,43,1.57,0.00,1.38,1.46,0.00,0,0,0,0,0,0,0,0,0,7.00,0.00,1.89,3.52,4.41,1.33,2.00,3.65,0.00,1.91,1.91,Stadion Miejski im. Henryka Reymana
