team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
KP Legia Warszawa,Legia Warszawa,2022/2023,Poland,34,17,17,0,19,12,7,9,5,4,6,0,6,1.94,2.41,1.47,2,2,7,2,57,37,20,94,55,39,38,19,17,20,21,-1,54,40,80,83,90,76,12,6,6,18,11,7,6,0,6,18,11,7,187,103,84,84,41,43,59,59,58,475,274,201,208,117,91,267,157,110,387,187,200,24,15,9,12,7,5,12,8,4,14,9,5,15,6,9,5,2,3,1.68,1.94,1.41,2.76,3.24,2.29,1.68,2.24,1.12,1.09,1,1.18,1.06,1.29,0.82,0.71,0.88,0.53,0.35,0.41,0.29,32,25,18,12,4,2,17,15,10,9,3,1,15,10,8,3,1,1,2,9,16,22,30,32,0,2,7,8,14,16,2,7,9,14,16,16,94,74,53,35,12,6,100,88,59,53,18,6,88,59,47,18,6,6,6,26,47,65,88,94,0,12,41,47,82,94,12,41,53,82,94,94,22,8,4,13,5,3,9,3,1,65,24,12,76,29,18,53,18,6,56,71,41,21,35,35,35,53,65,41,18,0,35,53,65,41,23,11,12,68,65,71,17,6,11,50,35,65,6,4,2,18,24,12,41,53,29,44,35,53,15,12,18,5.50,6.06,4.94,2.47,2.41,2.53,76,74,65,53,41,28,24,15,1.79,2.01,1.57,1.45,1.41,1.49,71,0,5,8,5,13,3,3,9,11,4,3,3,2,2,5,5,4,9,26,29,24,18,0,35,9
FKS Stal Mielec,Stal Mielec,2022/2023,Poland,34,17,17,0,11,6,5,10,7,3,13,4,9,1.26,1.47,1.06,11,9,11,11,36,40,-4,76,32,44,18,18,14,26,4,-8,85,85,85,76,110,59,12,7,5,12,6,6,14,7,7,11,5,6,131,78,53,63,34,29,49,50,48,341,170,171,157,88,69,184,82,102,403,202,201,18,7,11,15,3,12,3,4,-1,11,5,6,17,11,6,6,1,5,1.47,1.53,1.41,2.24,1.88,2.59,1.06,1.06,1.06,1.18,0.82,1.53,0.97,0.59,1.35,0.53,0.41,0.65,0.44,0.18,0.71,30,25,10,6,3,2,14,11,4,1,1,1,16,14,6,5,2,1,4,9,24,28,31,32,3,6,13,16,16,16,1,3,11,12,15,16,88,74,29,18,9,6,82,65,24,6,6,6,94,82,35,29,12,6,12,26,71,82,91,94,18,35,76,94,94,94,6,18,65,71,88,94,20,10,3,7,2,1,13,8,2,59,29,9,41,12,6,76,47,12,32,35,29,16,35,41,29,35,35,35,41,41,41,32,29,35,23,14,9,68,82,53,20,11,9,59,65,53,5,2,3,15,12,18,32,29,35,50,65,35,18,6,29,3.85,4.59,3.12,1.85,2,1.71,88,79,68,56,41,35,21,12,1.38,1.44,1.31,1.72,1.53,1.92,47,4,3,2,3,8,4,6,2,4,6,1,2,4,5,6,1,7,8,29,41,18,38,24,53,3
MKS Miedź Legnica,Miedź Legnica,2022/2023,Poland,34,17,17,0,4,3,1,11,7,4,19,7,12,0.68,0.94,0.41,18,18,18,18,33,55,-22,88,39,49,16,17,23,32,-7,-15,93,96,90,56,67,48,4,3,1,20,9,11,12,7,5,15,6,9,122,66,56,105,55,50,43,44,42,365,184,181,148,70,78,217,114,103,475,261,214,19,10,9,24,12,12,-5,-2,-3,6,3,3,18,10,8,10,4,6,1.06,1.12,1,2.59,2.29,2.88,0.97,0.94,1,1.62,1.35,1.88,1.26,1.29,1.24,0.56,0.59,0.53,0.71,0.71,0.71,32,24,16,9,5,2,15,11,7,4,1,1,17,13,9,5,4,1,2,10,18,25,29,32,2,6,10,13,16,16,0,4,8,12,13,16,94,71,47,26,15,6,88,65,41,24,6,6,100,76,53,29,24,6,6,29,53,74,85,94,12,35,59,76,94,94,0,24,47,71,76,94,25,13,3,13,7,1,12,6,2,74,38,9,76,41,6,71,35,12,12,18,6,7,12,18,6,59,53,65,35,41,29,44,35,53,15,7,8,44,41,47,18,8,10,53,47,59,10,6,4,29,35,24,18,18,18,53,59,47,29,24,35,3.59,3.88,3.29,3.09,3.24,2.94,71,59,50,26,21,15,12,6,1.43,1.45,1.41,1.88,1.70,2.05,65,3,3,5,4,6,4,2,4,2,2,6,5,6,7,6,6,7,10,32,41,24,56,41,71,3
KS Górnik Zabrze,Górnik Zabrze,2022/2023,Poland,34,17,17,0,13,6,7,9,5,4,12,6,6,1.41,1.35,1.47,6,11,6,6,45,43,2,88,46,42,23,22,23,20,0,2,68,67,70,71,67,76,11,5,6,17,9,8,9,4,5,15,7,8,184,92,92,93,45,48,55,57,53,414,228,186,185,102,83,229,126,103,446,219,227,23,13,10,27,16,11,-4,-3,-1,10,5,5,10,4,6,14,8,6,1.18,1.12,1.24,2.59,2.71,2.47,1.32,1.35,1.29,1.26,1.35,1.18,1.47,1.71,1.24,0.68,0.76,0.59,0.79,0.94,0.65,31,26,16,8,6,1,16,14,8,4,3,1,15,12,8,4,3,0,3,8,18,26,28,33,1,3,9,13,14,16,2,5,9,13,14,17,91,76,47,24,18,3,94,82,47,24,18,6,88,71,47,24,18,0,9,24,53,76,82,97,6,18,53,76,82,94,12,29,53,76,82,100,28,15,6,15,9,4,13,6,2,82,44,18,88,53,24,76,35,12,38,35,41,-3,32,29,35,50,53,47,26,24,29,44,41,47,15,7,8,44,41,47,17,8,9,50,47,53,8,4,4,24,24,24,29,29,29,29,24,35,41,47,35,5.41,5.41,5.41,2.74,2.65,2.82,91,88,74,56,35,21,15,6,1.66,1.83,1.49,1.56,1.44,1.68,53,2,5,4,3,9,8,4,5,5,3,10,2,5,9,1,2,2,9,26,29,24,35,35,35,3
Wisła Płock SA,Wisła Płock,2022/2023,Poland,34,17,17,0,10,8,2,7,4,3,17,5,12,1.09,1.65,0.53,16,7,17,16,41,50,-9,91,39,52,23,18,16,34,7,-16,74,67,85,61,96,45,7,6,1,19,9,10,9,3,6,19,12,7,157,80,77,76,39,37,55,54,57,398,212,186,176,94,82,222,118,104,389,200,189,20,9,11,17,3,14,3,6,-3,11,7,4,14,9,5,9,1,8,1.38,1.76,1,2.68,2.29,3.06,1.21,1.35,1.06,1.47,0.94,2,1.09,0.71,1.47,0.59,0.53,0.65,0.5,0.18,0.82,33,25,17,8,4,2,16,11,7,2,2,1,17,14,10,6,2,1,1,9,17,26,30,32,1,6,10,15,15,16,0,3,7,11,15,16,97,74,50,24,12,6,94,65,41,12,12,6,100,82,59,35,12,6,3,26,50,76,88,94,6,35,59,88,88,94,0,18,41,65,88,94,23,8,4,8,2,2,15,6,2,68,24,12,47,12,12,88,35,12,29,47,12,24,21,35,6,56,53,59,26,18,35,56,71,41,20,14,6,59,82,35,19,10,9,56,59,53,6,2,4,18,12,24,32,41,24,41,53,29,26,6,47,4.62,4.71,4.53,2.24,2.29,2.18,88,85,71,62,44,38,28,24,1.56,1.62,1.51,1.93,1.88,1.99,56,4,3,4,4,8,4,2,3,9,3,6,1,6,3,7,12,1,11,21,24,18,50,29,71,21
KS Warta Poznań,Warta Poznań,2022/2023,Poland,34,17,17,0,12,5,7,9,7,2,13,5,8,1.32,1.29,1.35,8,12,9,8,37,35,2,72,39,33,21,16,18,17,3,-1,83,73,96,87,85,90,12,5,7,13,9,4,13,5,8,13,6,7,151,93,58,71,40,31,46,47,45,346,203,143,145,83,62,201,120,81,393,204,189,17,9,8,19,10,9,-2,-1,-1,9,4,5,17,10,7,8,3,5,1.29,1.29,1.29,2.12,2.29,1.94,1.09,1.24,0.94,1.03,1.06,1,1.06,1.12,1,0.5,0.53,0.47,0.56,0.59,0.53,30,22,10,7,2,1,15,12,6,4,1,1,15,10,4,3,1,0,4,12,24,27,32,33,2,5,11,13,16,16,2,7,13,14,16,17,88,65,29,21,6,3,88,71,35,24,6,6,88,59,24,18,6,0,12,35,71,79,94,97,12,29,65,76,94,94,12,41,76,82,94,100,21,11,4,9,7,3,12,4,1,62,32,12,53,41,18,71,24,6,35,29,41,6,35,29,41,38,53,24,38,29,47,38,35,41,21,11,10,62,65,59,21,11,10,62,65,59,5,3,2,15,18,12,26,24,29,50,59,41,24,18,29,4.44,5.47,3.41,2.09,2.35,1.82,79,76,56,41,28,15,9,6,1.37,1.52,1.22,1.47,1.36,1.58,47,2,3,6,5,2,3,5,4,7,4,2,8,4,3,5,4,2,3,26,41,12,38,29,47,3
KS Raków Częstochowa,Raków Częstochowa,2022/2023,Poland,34,17,17,0,23,14,9,6,2,4,5,1,4,2.21,2.59,1.82,1,1,2,1,63,24,39,87,51,36,41,22,10,14,31,8,49,37,70,127,153,110,17,10,7,13,6,7,7,1,6,21,14,7,198,94,104,82,36,46,53,52,54,429,212,217,206,107,99,223,105,118,467,237,230,25,16,9,13,4,9,12,12,0,15,10,5,12,6,6,7,1,6,1.68,2.12,1.24,2.56,3,2.12,1.85,2.41,1.29,0.71,0.59,0.82,1.12,1.18,1.06,0.74,0.94,0.53,0.38,0.24,0.53,31,23,16,9,5,1,17,12,8,7,4,1,14,11,8,2,1,0,3,11,18,25,29,33,0,5,9,10,13,16,3,6,9,15,16,17,91,68,47,26,15,3,100,71,47,41,24,6,82,65,47,12,6,0,9,32,53,74,85,97,0,29,53,59,76,94,18,35,53,88,94,100,25,9,2,13,4,1,12,5,1,74,26,6,76,24,6,71,29,6,68,82,53,24,50,59,41,38,35,41,21,6,35,62,82,41,23,13,10,68,76,59,15,5,10,44,29,59,5,3,2,15,18,12,44,59,29,35,35,35,21,6,35,5.82,5.53,6.12,2.41,2.12,2.71,74,59,44,38,28,18,12,9,1.78,1.77,1.78,1.10,1.02,1.17,65,9,2,3,9,7,8,4,8,13,2,2,3,4,3,1,4,2,3,18,12,24,15,6,24,3
RKS Radomiak Radom,Radomiak Radom,2022/2023,Poland,34,17,17,0,12,5,7,8,4,4,14,8,6,1.29,1.12,1.47,10,14,8,10,34,41,-7,75,37,38,17,17,20,21,-3,-4,90,90,90,74,76,73,9,5,4,14,6,8,15,8,7,15,6,9,159,80,79,85,42,43,47,50,45,418,212,206,168,86,82,250,126,124,435,236,199,16,7,9,18,11,7,-2,-4,2,9,5,4,13,5,8,12,7,5,1.18,1.18,1.18,2.21,2.18,2.24,1,1,1,1.21,1.18,1.24,1,1.06,0.94,0.47,0.41,0.53,0.53,0.65,0.41,30,23,14,6,2,0,15,12,5,3,2,0,15,11,9,3,0,0,4,11,20,28,32,34,2,5,12,14,15,17,2,6,8,14,17,17,88,68,41,18,6,0,88,71,29,18,12,0,88,65,53,18,0,0,12,32,59,82,94,100,12,29,71,82,88,100,12,35,47,82,100,100,23,9,2,12,4,2,11,5,0,68,26,6,71,24,12,65,29,0,35,29,41,1,26,29,24,41,35,47,44,47,41,44,35,53,18,8,10,53,47,59,23,12,11,68,71,65,4,2,2,12,12,12,26,29,24,38,29,47,35,41,29,4.68,4.71,4.65,2.5,2.47,2.53,91,65,56,35,28,26,15,12,1.58,1.61,1.55,1.55,1.34,1.76,44,6,2,5,1,4,4,3,4,5,1,5,3,6,6,5,4,2,9,24,24,24,41,47,35,9
KKS Lech Poznań,Lech Poznań,2022/2023,Poland,34,17,17,0,17,9,8,10,2,8,7,6,1,1.79,1.71,1.88,3,5,1,3,51,29,22,80,40,40,25,26,15,14,10,12,60,61,59,106,102,110,16,9,7,15,5,10,6,4,2,16,10,6,197,118,79,76,34,42,60,60,60,502,267,235,236,128,108,266,139,127,411,201,210,22,13,9,14,7,7,8,6,2,12,8,4,14,4,10,8,5,3,1.47,1.65,1.29,2.35,2.35,2.35,1.5,1.47,1.53,0.85,0.88,0.82,1.06,1.18,0.94,0.65,0.76,0.53,0.41,0.41,0.41,31,24,16,7,2,0,16,11,7,4,2,0,15,13,9,3,0,0,3,10,18,27,32,34,1,6,10,13,15,17,2,4,8,14,17,17,91,71,47,21,6,0,94,65,41,24,12,0,88,76,53,18,0,0,9,29,53,79,94,100,6,35,59,76,88,100,12,24,47,82,100,100,25,9,2,14,4,2,11,5,0,74,26,6,82,24,12,65,29,0,50,53,47,-3,47,53,41,44,29,59,18,24,12,47,59,35,21,11,10,62,65,59,16,7,9,47,41,53,6,2,4,18,12,24,35,47,24,41,24,59,24,29,18,5.79,6.94,4.65,2.24,2,2.47,79,65,47,41,26,15,12,9,1.96,2.08,1.84,1.29,1.21,1.38,47,2,5,5,4,9,5,8,4,9,3,3,2,2,6,3,3,3,4,29,12,47,21,35,6,6
RTS Widzew Łódź,Widzew Łódź,2022/2023,Poland,34,17,17,0,11,5,6,8,3,5,15,9,6,1.21,1.06,1.35,13,16,10,13,38,47,-9,85,50,35,22,16,28,19,-6,-3,80,70,96,65,55,80,12,5,7,15,9,6,10,4,6,15,8,7,181,99,82,49,23,26,49,50,47,431,223,208,176,89,87,255,134,121,378,177,201,9,6,3,25,15,10,-16,-9,-7,5,4,1,14,4,10,15,9,6,0.85,0.94,0.76,2.5,2.94,2.06,1.12,1.29,0.94,1.38,1.65,1.12,1,1.24,0.76,0.26,0.35,0.18,0.74,0.88,0.59,31,26,16,7,4,1,16,14,10,5,4,1,15,12,6,2,0,0,3,8,18,27,30,33,1,3,7,12,13,16,2,5,11,15,17,17,91,76,47,21,12,3,94,82,59,29,24,6,88,71,35,12,0,0,9,24,53,79,88,97,6,18,41,71,76,94,12,29,65,88,100,100,21,9,4,13,6,2,8,3,2,62,26,12,76,35,12,47,18,12,32,29,35,-3,35,29,41,44,53,35,29,24,35,44,47,41,18,8,10,53,47,59,25,11,14,74,65,82,4,2,2,12,12,12,15,24,6,41,24,59,44,53,35,5.32,5.82,4.82,1.44,1.35,1.53,88,79,68,59,50,38,35,28,1.59,1.65,1.53,1.74,1.55,1.92,47,4,3,1,1,2,3,3,6,15,6,4,4,6,5,2,1,8,11,24,18,29,44,53,35,15
