timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1628277300,Aug 06 2021 - 7:15pm,complete,N/A,Sporting CP,FC Vizela,António Emanuel Carvalho Nobre,1,0.00,0.00,2.53,0.82,3,0,3,0,0,0,"48,64,74","",3,5,1,0,3,0,0,1,2,1,15,8,6,3,9,5,9,15,67,33,0.00,0.00,1.85,0.90,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.24,6.25,12.00,1.24,1.62,2.55,4.55,2.25,1.62,Estádio José Alvalade (Lisboa)
1628336700,Aug 07 2021 - 11:45am,complete,N/A,FC Arouca,GD Estoril Praia,Hugo Serafim Coelho Magalhães Silva,1,0.00,0.00,1.12,1.12,0,2,2,1,0,1,"","4,90'6",3,2,1,0,3,0,0,1,1,2,13,14,6,6,7,8,14,13,56,44,0.00,0.00,1.68,1.57,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.25,3.10,3.35,1.51,2.45,4.35,8.75,2.15,1.67,Estádio Municipal de Arouca (Arouca)
1628355600,Aug 07 2021 - 5:00pm,complete,N/A,Moreirense FC,Benfica,Vitor Jorge Fernandes Ferreira,1,0.00,0.00,1.06,2.41,1,2,3,3,1,2,"30","9,19",0,6,4,0,4,1,1,3,1,4,10,11,4,5,6,6,13,17,39,61,0.00,0.00,1.13,1.37,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,7.00,4.75,1.40,1.27,1.71,2.80,5.00,2.05,1.77,Parque Desportivo Comendador Joaquim de Almeida Freitas (Moreira de Cónegos)
1628364600,Aug 07 2021 - 7:30pm,complete,N/A,CS Marítimo,Sporting Braga,André Filipe Domingues Narciso,1,0.00,0.00,1.06,1.82,0,2,2,0,0,0,"","61,69",3,6,3,0,3,0,1,2,1,2,9,10,2,6,7,4,23,12,43,57,0.00,0.00,0.90,1.33,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.60,3.35,1.80,1.43,2.20,3.85,7.75,2.10,1.71,Estádio dos Barreiros (Funchal (Ilha da Madeira))
1628433000,Aug 08 2021 - 2:30pm,complete,8824,Vitória Guimarães,Portimonense,Fábio Oliveira Melo,1,0.00,0.00,1.76,1.29,0,1,1,0,0,0,"","86",10,5,2,0,3,0,1,1,0,3,17,7,3,3,14,4,15,12,55,45,0.00,0.00,1.85,0.85,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.02,3.20,3.85,1.42,2.15,3.90,7.50,2.10,1.71,Estádio Dom Afonso Henriques (Guimarães)
1628433000,Aug 08 2021 - 2:30pm,complete,764,CD Tondela,Santa Clara,João António Ferreira Gonçalves,1,0.00,0.00,0.94,0.59,3,0,3,1,1,0,"18,54,84","",3,5,1,0,3,0,0,1,1,2,11,26,6,8,5,18,19,10,41,59,0.00,0.00,1.29,2.60,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.05,3.10,2.38,1.38,2.10,3.65,7.00,1.95,1.83,Estádio João Cardoso (Tondela)
1628442000,Aug 08 2021 - 5:00pm,complete,N/A,Porto,Belenenses,Gustavo Fernandes Correia,1,0.00,0.00,2.76,0.47,2,0,2,1,1,0,"19,65","",8,3,2,0,3,0,1,1,1,2,22,7,7,3,15,4,10,12,73,27,0.00,0.00,2.54,0.83,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.16,8.25,16.00,1.18,1.51,2.30,4.05,2.40,1.56,Estádio Do Dragão (Porto)
1628451000,Aug 08 2021 - 7:30pm,complete,N/A,Paços de Ferreira,Famalicão,Miguel Bertolo Nogueira,1,0.00,0.00,1.24,1.00,2,0,2,0,0,0,"49,50","",6,3,2,0,4,0,0,2,0,4,20,12,4,3,16,9,34,18,57,43,0.00,0.00,1.99,1.21,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.60,3.00,2.85,1.57,2.55,4.60,10.00,2.25,1.61,Estádio da Capital do Móvel (Paços de Ferreira)
1628536500,Aug 09 2021 - 7:15pm,complete,N/A,Gil Vicente,Boavista FC,Cláudio Filipe Ruivo Pereira,1,0.00,0.00,1.41,0.94,3,0,3,2,2,0,"3,24,56","",1,5,3,0,3,0,0,3,0,3,11,15,8,6,3,9,21,10,60,40,0.00,0.00,1.53,1.64,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.87,3.10,4.70,1.54,2.50,4.40,8.75,2.20,1.65,Estádio Cidade de Barcelos (Barcelos)
1628882100,Aug 13 2021 - 7:15pm,complete,N/A,GD Estoril Praia,Vitória Guimarães,João António Ferreira Gonçalves,2,0.00,0.00,1.18,1.06,0,0,0,0,0,0,"","",4,9,2,0,3,1,1,1,1,3,7,13,0,3,7,10,17,12,48,52,0.00,0.00,0.77,1.36,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.90,3.00,2.55,1.43,2.15,3.95,7.00,1.91,1.87,Estádio António Coimbra da Mota (Estoril)
1628951400,Aug 14 2021 - 2:30pm,complete,N/A,FC Vizela,CD Tondela,Manuel Antonio Rodrigues Oliveira,2,0.00,0.00,1.12,0.71,2,1,3,1,0,1,"52,90'8","38",11,4,3,0,3,0,2,1,0,3,21,9,5,3,16,6,17,11,45,55,0.00,0.00,2.14,1.02,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.35,3.20,3.00,1.47,2.40,3.15,6.00,1.80,2.00,Estádio da Capital do Móvel (Paços de Ferreira)
1628960400,Aug 14 2021 - 5:00pm,complete,N/A,Benfica,FC Arouca,Manuel Mota,2,0.00,0.00,1.94,0.71,2,0,2,2,2,0,"38,43","",4,2,1,0,0,1,0,1,1,0,20,4,6,2,14,2,17,2,65,35,0.00,0.00,2.50,0.50,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.21,6.50,14.00,1.22,1.62,2.55,4.55,2.35,1.57,Estádio do Sport Lisboa e Benfica (da Luz) (Lisboa)
1628969400,Aug 14 2021 - 7:30pm,complete,7009,Sporting Braga,Sporting CP,Luis Miguel Branco Godinho,2,0.00,0.00,2.00,2.47,1,2,3,1,0,1,"90'2","40,50",6,5,3,0,3,1,2,1,0,4,16,6,7,4,9,2,17,14,54,46,0.00,0.00,1.81,0.80,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.95,3.05,2.45,1.42,2.10,3.55,6.75,1.87,1.91,Estádio Municipal de Braga (Braga)
1629037800,Aug 15 2021 - 2:30pm,complete,717,Portimonense,Gil Vicente,Rui Manuel Gomes Costa,2,0.00,0.00,0.94,1.59,0,1,1,0,0,0,"","60",5,4,3,0,2,0,0,3,0,2,18,8,6,5,12,3,11,18,53,47,0.00,0.00,1.83,1.09,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.31,3.07,2.93,1.47,2.39,4.40,9.00,2.10,1.71,Estádio Municipal de Portimão (Portimão)
1629046800,Aug 15 2021 - 5:00pm,complete,N/A,Famalicão,Porto,Nuno Miguel Serrano Almeida,2,0.00,0.00,1.29,2.59,1,2,3,2,0,2,"56","13,43",3,2,3,0,1,0,0,3,0,1,11,13,5,4,6,9,16,14,36,64,0.00,0.00,1.28,1.40,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,7.50,4.75,1.39,1.26,1.67,2.70,4.80,1.95,1.80,Estádio Municipal 22 de Junho (Vila Nova de Famalicão)
1629055800,Aug 15 2021 - 7:30pm,complete,N/A,Santa Clara,Moreirense FC,David Rafael Oliveira Silva,2,0.00,0.00,1.76,0.65,2,2,4,0,0,0,"58,90'4","90,90'10",5,4,5,0,4,1,1,4,1,4,17,12,5,6,12,6,11,19,52,48,0.00,0.00,1.57,1.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.25,3.40,1.43,2.20,3.75,7.25,2.00,1.80,Estádio de São Miguel (Ponta Delgada- Ilha de São Miguel- Açores)
1629136800,Aug 16 2021 - 6:00pm,complete,N/A,Boavista FC,Paços de Ferreira,António Emanuel Carvalho Nobre,2,0.00,0.00,1.29,1.00,3,0,3,1,1,0,"19,61,76","",2,8,3,0,2,0,1,2,1,1,9,15,5,6,4,9,16,15,33,67,0.00,0.00,1.07,1.68,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.82,3.05,2.52,1.47,2.45,4.25,8.50,2.15,1.69,Estádio do Bessa Século XXI (Porto)
1629144900,Aug 16 2021 - 8:15pm,complete,N/A,Belenenses,CS Marítimo,Cláudio Filipe Ruivo Pereira,2,0.00,0.00,1.06,1.18,1,2,3,3,1,2,"45","12,15",3,4,4,0,5,0,1,3,2,3,6,14,3,5,3,9,21,21,44,56,0.00,0.00,0.77,1.47,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.80,2.85,2.75,1.65,2.75,5.25,11.00,2.35,1.57,Estádio Dr. Magalhães Pessoa (Leiria)
