team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
SL Benfica,Benfica,2016/2017,Portugal,34,17,17,0,25,14,11,7,3,4,2,0,2,2.41,2.65,2.18,1,1,1,1,72,18,54,90,58,32,49,23,9,9,40,14,42,31,67,170,170,170,20,10,10,13,7,6,2,0,2,26,15,11,210,101,109,61,22,39,61,61,61,413,214,199,195,97,98,218,117,101,500,231,269,32,23,9,8,4,4,24,19,5,20,13,7,10,3,7,4,1,3,2.06,2.47,1.65,2.65,3.41,1.88,2.12,2.88,1.35,0.53,0.53,0.53,1.18,1.59,0.76,0.94,1.35,0.53,0.24,0.24,0.24,33,27,18,9,2,1,17,17,14,7,2,1,16,10,4,2,0,0,1,7,16,25,32,33,0,0,3,10,15,16,1,7,13,15,17,17,97,79,53,26,6,3,100,100,82,41,12,6,94,59,24,12,0,0,3,21,47,74,94,97,0,0,18,59,88,94,6,41,76,88,100,100,26,9,3,15,7,3,11,2,0,76,26,9,88,41,18,65,12,0,74,82,65,0,59,59,59,38,41,35,6,0,12,76,88,65,28,15,13,82,88,76,11,2,9,32,12,53,3,2,1,9,12,6,59,76,41,29,18,41,12,6,18,6.18,5.94,6.41,1.79,1.29,2.29,82,71,68,59,50,44,32,21,0.00,0.00,0.00,0.00,0.00,0.00,59,2,8,7,8,10,6,11,6,14,2,3,2,0,3,3,4,0,1,21,18,24,6,0,12,9
FC Porto,Porto,2016/2017,Portugal,34,17,17,0,22,14,8,10,3,7,2,0,2,2.24,2.65,1.82,2,2,3,2,71,19,52,90,53,37,44,27,9,10,35,17,43,35,57,161,170,153,19,9,10,15,8,7,5,1,4,22,13,9,235,138,97,73,26,47,57,60,54,538,319,219,257,154,103,281,165,116,516,248,268,29,17,12,11,4,7,18,13,5,17,11,6,12,5,7,5,1,4,1.85,2.24,1.47,2.65,3.12,2.18,2.09,2.59,1.59,0.56,0.53,0.59,1.18,1.24,1.12,0.85,1,0.71,0.32,0.24,0.41,29,26,19,10,3,2,16,14,12,5,3,2,13,12,7,5,0,0,5,8,15,24,31,32,1,3,5,12,14,15,4,5,10,12,17,17,85,76,56,29,9,6,94,82,71,29,18,12,76,71,41,29,0,0,15,24,44,71,91,94,6,18,29,71,82,88,24,29,59,71,100,100,24,12,4,13,6,2,11,6,2,71,35,12,76,35,12,65,35,12,65,82,47,15,56,53,59,44,47,41,15,6,24,65,76,53,25,13,12,74,76,71,14,5,9,41,29,53,5,3,2,15,18,12,50,65,35,35,29,41,15,6,24,6.91,8.12,5.71,2.15,1.53,2.76,88,79,59,50,38,32,26,21,0.00,0.00,0.00,0.00,0.00,0.00,71,4,4,3,10,13,9,9,7,12,3,3,1,4,1,2,1,0,4,29,18,41,6,0,12,15
Sporting Clube de Portugal,Sporting CP,2016/2017,Portugal,34,17,17,0,21,12,9,7,3,4,6,2,4,2.06,2.29,1.82,3,3,4,3,68,36,32,104,51,53,37,31,14,22,23,9,45,41,49,85,110,70,13,7,6,20,9,11,2,1,1,22,14,8,233,113,120,87,38,49,55,54,56,394,177,217,204,95,109,190,82,108,621,294,327,36,23,13,15,1,14,21,22,-1,21,14,7,7,3,4,6,0,6,2.06,2.65,1.47,3.06,3,3.12,2,2.18,1.82,1.06,0.82,1.29,1.5,1.41,1.59,1.06,1.35,0.76,0.44,0.06,0.82,33,28,21,12,7,3,17,15,9,5,3,2,16,13,12,7,4,1,1,6,13,22,27,31,0,2,8,12,14,15,1,4,5,10,13,16,97,82,62,35,21,9,100,88,53,29,18,12,94,76,71,41,24,6,3,18,38,65,79,91,0,12,47,71,82,88,6,24,29,59,76,94,29,15,7,14,7,3,15,8,4,85,44,21,82,41,18,88,47,24,62,71,53,16,38,41,35,59,53,65,6,6,6,65,82,47,24,16,8,71,94,47,9,3,6,26,18,35,6,1,5,18,6,29,62,82,41,21,18,24,18,0,35,6.85,6.65,7.06,2.56,2.24,2.88,88,76,74,62,47,26,12,9,0.00,0.00,0.00,0.00,0.00,0.00,71,4,11,9,9,5,10,7,6,7,5,2,3,3,4,2,5,6,6,21,18,24,18,12,24,9
CD Nacional Funchal,CD Nacional,2016/2017,Portugal,34,17,17,0,4,2,2,9,6,3,21,9,12,0.62,0.71,0.53,18,18,17,18,22,58,-36,80,34,46,11,11,23,35,-12,-24,138,138,138,53,67,44,7,4,3,13,7,6,18,9,9,8,2,6,220,114,106,100,43,57,48,51,45,383,216,167,144,77,67,239,139,100,498,235,263,7,2,5,29,13,16,-22,-11,-11,5,2,3,13,6,7,16,9,7,0.82,0.71,0.94,2.35,2,2.71,0.65,0.65,0.65,1.71,1.35,2.06,1.06,0.88,1.24,0.21,0.12,0.29,0.85,0.76,0.94,30,25,14,7,2,1,14,11,5,3,1,0,16,14,9,4,1,1,4,9,20,27,32,33,3,6,12,14,16,17,1,3,8,13,16,16,88,74,41,21,6,3,82,65,29,18,6,0,94,82,53,24,6,6,12,26,59,79,94,97,18,35,71,82,94,100,6,18,47,76,94,94,22,10,3,11,3,1,11,7,2,65,29,9,65,18,6,65,41,12,12,12,12,11,21,24,18,38,41,35,53,53,53,24,12,35,17,8,9,50,47,53,28,15,13,82,88,76,1,0,1,3,0,6,15,12,18,38,35,41,47,53,41,6.47,6.71,6.24,2.94,2.53,3.35,100,97,88,85,79,59,53,44,0.00,0.00,0.00,0.00,0.00,0.00,62,1,1,3,1,2,2,3,3,6,2,6,7,9,8,4,5,6,11,26,35,18,62,53,71,35
GD Estoril Praia,GD Estoril Praia,2016/2017,Portugal,34,17,17,0,10,6,4,8,2,6,16,9,7,1.12,1.18,1.06,10,14,9,10,36,42,-6,78,39,39,18,18,21,21,-3,-3,85,85,85,73,73,73,8,4,4,15,6,9,14,8,6,10,4,6,127,69,58,84,46,38,47,49,45,323,175,148,150,78,72,173,97,76,535,279,256,16,8,8,17,11,6,-1,-3,2,10,4,6,13,6,7,11,7,4,1.26,1.06,1.47,2.29,2.29,2.29,1.06,1.06,1.06,1.24,1.24,1.24,0.97,1.12,0.82,0.47,0.47,0.47,0.5,0.65,0.35,31,24,12,5,3,3,16,13,6,2,1,1,15,11,6,3,2,2,3,10,22,29,31,31,1,4,11,15,16,16,2,6,11,14,15,15,91,71,35,15,9,9,94,76,35,12,6,6,88,65,35,18,12,12,9,29,65,85,91,91,6,24,65,88,94,94,12,35,65,82,88,88,21,6,4,11,4,2,10,2,2,62,18,12,65,24,12,59,12,12,29,35,24,0,24,24,24,44,35,53,41,47,35,29,24,35,19,8,11,56,47,65,24,13,11,71,76,65,4,2,2,12,12,12,29,24,35,38,35,41,32,41,24,3.74,4.06,3.41,2.47,2.71,2.24,79,68,59,53,41,32,24,18,0.00,0.00,0.00,0.00,0.00,0.00,47,6,4,2,2,3,2,0,6,11,2,4,7,4,1,5,5,5,9,24,12,35,47,53,41,12
GD Chaves,GD Chaves,2016/2017,Portugal,34,17,17,0,8,6,2,14,8,6,12,3,9,1.12,1.53,0.71,11,9,14,11,35,42,-7,77,34,43,19,16,15,27,4,-11,87,80,96,73,102,57,12,8,4,18,7,11,10,6,4,15,8,7,187,105,82,85,39,46,45,48,41,403,216,187,174,88,86,229,128,101,599,306,293,15,8,7,17,7,10,-2,1,-3,11,5,6,14,9,5,9,3,6,1.38,1.41,1.35,2.26,2,2.53,1.03,1.12,0.94,1.24,0.88,1.59,0.94,0.88,1,0.44,0.47,0.41,0.5,0.41,0.59,28,23,14,9,3,0,13,11,5,4,1,0,15,12,9,5,2,0,6,11,20,25,31,34,4,6,12,13,16,17,2,5,8,12,15,17,82,68,41,26,9,0,76,65,29,24,6,0,88,71,53,29,12,0,18,32,59,74,91,100,24,35,71,76,94,100,12,29,47,71,88,100,23,7,2,10,4,1,13,3,1,68,21,6,59,24,6,76,18,6,24,35,12,19,35,47,24,53,41,65,29,35,24,44,47,41,22,12,10,65,71,59,20,10,10,59,59,59,3,2,1,9,12,6,32,29,35,41,53,29,26,18,35,5.50,6.18,4.82,2.5,2.29,2.71,82,71,62,59,50,32,26,15,0.00,0.00,0.00,0.00,0.00,0.00,62,3,3,3,0,7,4,2,7,6,1,6,3,4,4,5,1,9,9,41,47,35,35,18,53,12
CD Feirense,CD Feirense,2016/2017,Portugal,34,17,17,0,14,7,7,6,2,4,14,8,6,1.41,1.35,1.47,8,12,5,8,31,45,-14,76,38,38,15,16,23,22,-8,-6,99,102,96,68,67,70,9,3,6,13,6,7,15,9,6,12,6,6,169,92,77,105,52,53,41,43,40,312,176,136,141,82,59,171,94,77,586,300,286,11,7,4,22,10,12,-11,-3,-8,8,5,3,11,5,6,15,7,8,1.03,1.18,0.88,2.24,2.24,2.24,0.91,0.88,0.94,1.32,1.35,1.29,0.97,1,0.94,0.32,0.41,0.24,0.65,0.59,0.71,31,22,14,4,2,1,16,11,8,2,1,0,15,11,6,2,1,1,3,12,20,30,32,33,1,6,9,15,16,17,2,6,11,15,16,16,91,65,41,12,6,3,94,65,47,12,6,0,88,65,35,12,6,6,9,35,59,88,94,97,6,35,53,88,94,100,12,35,65,88,94,94,24,6,2,13,3,1,11,3,1,71,18,6,76,18,6,65,18,6,41,41,41,-3,26,18,35,38,35,41,44,53,35,35,35,35,17,8,9,50,47,53,24,11,13,71,65,76,3,2,1,9,12,6,24,29,18,32,29,35,44,41,47,4.97,5.41,4.53,3.09,3.06,3.12,94,94,91,65,59,50,41,21,0.00,0.00,0.00,0.00,0.00,0.00,32,4,1,4,1,2,5,7,1,6,3,6,5,4,6,6,7,2,6,18,12,24,41,47,35,12
FC Arouca,FC Arouca,2016/2017,Portugal,34,17,17,0,9,6,3,5,2,3,20,9,11,0.94,1.18,0.71,17,15,15,17,33,57,-24,90,41,49,18,15,23,34,-5,-19,93,85,102,54,67,45,5,4,1,17,9,8,12,4,8,17,11,6,151,83,68,93,41,52,43,45,41,293,162,131,130,67,63,163,95,68,556,288,268,19,12,7,26,9,17,-7,3,-10,8,6,2,12,7,5,14,4,10,1.06,1.47,0.65,2.65,2.41,2.88,0.97,1.06,0.88,1.68,1.35,2,1.32,1.24,1.41,0.56,0.71,0.41,0.76,0.53,1,34,29,18,6,2,1,17,13,9,2,0,0,17,16,9,4,2,1,0,5,16,28,32,33,0,4,8,15,17,17,0,1,8,13,15,16,100,85,53,18,6,3,100,76,53,12,0,0,100,94,53,24,12,6,0,15,47,82,94,97,0,24,47,88,100,100,0,6,47,76,88,94,26,14,3,12,7,2,14,7,1,76,41,9,71,41,12,82,41,6,26,35,18,15,15,24,6,50,53,47,35,24,47,50,65,35,15,10,5,44,59,29,20,8,12,59,47,71,7,4,3,21,24,18,24,35,12,35,41,29,41,24,59,4.44,4.88,4.00,2.74,2.41,3.06,97,82,68,56,44,35,28,24,0.00,0.00,0.00,0.00,0.00,0.00,56,7,4,4,3,2,4,3,1,5,5,8,4,3,10,7,4,10,6,15,12,18,59,53,65,15
OS Belenenses SAD,Belenenses,2016/2017,Portugal,34,17,17,0,9,4,5,9,6,3,16,7,9,1.06,1.06,1.06,14,17,10,14,27,45,-18,72,33,39,14,13,19,26,-5,-13,114,110,118,68,80,59,8,5,3,17,10,7,12,5,7,11,6,5,170,104,66,87,41,46,47,47,47,364,204,160,146,84,62,218,120,98,575,280,295,9,7,2,18,9,9,-9,-2,-7,6,4,2,13,7,6,15,6,9,0.91,1.12,0.71,2.12,1.94,2.29,0.79,0.82,0.76,1.32,1.12,1.53,0.79,0.94,0.65,0.26,0.41,0.12,0.53,0.53,0.53,31,23,14,4,0,0,14,11,7,1,0,0,17,12,7,3,0,0,3,11,20,30,34,34,3,6,10,16,17,17,0,5,10,14,17,17,91,68,41,12,0,0,82,65,41,6,0,0,100,71,41,18,0,0,9,32,59,88,100,100,18,35,59,94,100,100,0,29,59,82,100,100,22,3,2,11,3,2,11,0,0,65,9,6,65,18,12,65,0,0,26,24,29,10,24,29,18,50,59,41,35,29,41,32,35,29,18,10,8,53,59,47,25,10,15,74,59,88,3,3,0,9,18,0,18,24,12,38,41,35,44,35,53,5.00,6.12,3.88,2.56,2.41,2.71,79,68,56,47,41,35,28,21,0.00,0.00,0.00,0.00,0.00,0.00,41,1,4,4,0,1,3,2,5,7,9,3,3,2,5,4,4,4,11,26,35,18,47,41,53,18
CD Tondela,CD Tondela,2016/2017,Portugal,34,17,17,0,8,7,1,8,3,5,18,7,11,0.94,1.41,0.47,16,11,18,16,29,52,-23,81,39,42,19,10,20,32,-1,-22,106,80,153,59,76,48,6,4,2,17,9,8,14,5,9,11,8,3,148,85,63,101,49,52,43,44,43,327,187,140,148,93,55,179,94,85,590,276,314,14,10,4,17,6,11,-3,4,-7,8,6,2,15,7,8,11,4,7,1.15,1.47,0.82,2.38,2.29,2.47,0.85,1.12,0.59,1.53,1.18,1.88,0.91,0.94,0.88,0.41,0.59,0.24,0.5,0.35,0.65,31,28,15,5,2,0,16,14,7,1,1,0,15,14,8,4,1,0,3,6,19,29,32,34,1,3,10,16,16,17,2,3,9,13,16,17,91,82,44,15,6,0,94,82,41,6,6,0,88,82,47,24,6,0,9,18,56,85,94,100,6,18,59,94,94,100,12,18,53,76,94,100,22,9,0,12,4,0,10,5,0,65,26,0,71,24,0,59,29,0,24,41,6,28,18,24,12,50,53,47,41,29,53,32,47,18,20,11,9,59,65,53,23,9,14,68,53,82,3,2,1,9,12,6,24,35,12,44,41,47,32,24,41,4.35,5.00,3.71,2.97,2.88,3.06,79,65,44,35,28,28,26,12,0.00,0.00,0.00,0.00,0.00,0.00,53,2,3,4,0,5,1,4,4,6,4,2,3,3,6,5,6,8,15,24,18,29,53,41,65,9
