timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1407579300,Aug 09 2014 - 10:15am,complete,N/A,SC Olhanense,Leixões,Marco Bruno dos Santos Ferreira,1,0.00,0.00,1.43,0.52,2,0,2,1,1,0,"11,84","",4,6,1,1,4,0,1,1,2,2,10,10,2,5,8,5,13,12,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estádio José Arcanjo (Olhão)
1407596400,Aug 09 2014 - 3:00pm,complete,N/A,CD Aves,Marítimo II,Bruno Alexandre da Silva Esteves,1,0.00,0.00,1.61,0.52,2,1,3,2,2,0,"29,34","52",3,6,3,1,5,0,1,3,3,2,5,6,2,3,3,3,13,13,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estádio Clube Desportivo das Aves (Vila das Aves)
1407600000,Aug 09 2014 - 4:00pm,complete,N/A,GD Chaves,Academico Viseu,Carlos Miguel Taborda Xistra,1,0.00,0.00,2.13,0.83,1,1,2,0,0,0,"87","90'2",2,11,4,0,3,1,0,4,2,2,10,7,2,5,8,2,20,17,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estádio Municipal Eng. Manuel Branco Teixeira (Chaves)
1407600000,Aug 09 2014 - 4:00pm,complete,N/A,CD Tondela,Sporting Braga II,Sérgio Filipe Grade Sousa Piscarreta,1,0.00,0.00,2.04,0.87,1,0,1,0,0,0,"88","",6,5,3,0,2,0,1,2,1,1,8,9,5,4,3,5,14,22,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estádio João Cardoso (Tondela)
1407600000,Aug 09 2014 - 4:00pm,complete,N/A,Freamunde,Atlético CP,Iancu Ioan Vasilica,1,0.00,0.00,1.57,0.70,1,0,1,0,0,0,"60","",-1,-1,3,0,3,0,1,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Complexo Desportivo do SC Freamunde (Freamunde)
1407600000,Aug 09 2014 - 4:00pm,complete,N/A,Vitória Guimarães II,CD Feirense,Ricardo Baixinho,1,0.00,0.00,1.87,1.35,3,0,3,2,2,0,"19,32,81","",6,6,2,0,6,0,2,0,2,4,7,10,4,6,3,4,14,13,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estádio Dom Afonso Henriques (Guimarães)
1407600000,Aug 09 2014 - 4:00pm,complete,N/A,Santa Clara,Clube Oriental de Lisboa,Cosme Cunha Machado,1,0.00,0.00,1.39,0.78,1,1,2,1,0,1,"73","14",5,7,1,1,5,0,1,1,2,3,6,7,4,3,2,4,23,18,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estádio de São Miguel (Ponta Delgada- Ilha de São Miguel- Açores)
1407600000,Aug 09 2014 - 4:00pm,complete,N/A,Portimonense,Sporting Covilhã,Hugo Filipe Ferreira de Campos Moreira Miguel,1,0.00,0.00,1.39,0.96,1,1,2,0,0,0,"60","84",7,8,1,0,0,0,0,1,0,0,10,13,6,5,4,8,8,14,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estádio Municipal de Portimão (Portimão)
1407600000,Aug 09 2014 - 4:00pm,complete,N/A,Benfica II,CD Trofense,Jorge Joaquim Martins de Barros Tavares,1,0.00,0.00,1.91,0.52,3,2,5,4,3,1,"24,30,35","15,46",9,8,1,0,3,1,0,1,2,2,8,7,4,4,4,3,13,12,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Caixa Futebol Campus (Seixal)
1407690000,Aug 10 2014 - 5:00pm,complete,N/A,Porto II,UD Oliveirense,Nuno Miguel Serrano Almeida,1,0.00,0.00,1.78,0.83,1,3,4,1,0,1,"59","20,50,55",12,9,1,0,3,0,1,0,0,3,12,6,6,2,6,4,7,16,56,44,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estádio Dr. Jorge Sampaio (Pedroso- Vila Nova de Gaia)
