team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
CD Nacional Funchal,CD Nacional,2021/2022,Portugal,34,17,17,0,14,10,4,9,4,5,11,3,8,1.5,2,1,6,4,13,6,52,44,8,96,49,47,32,20,17,27,15,-7,59,48,76,70,90,57,9,5,4,19,11,8,8,1,7,16,11,5,182,104,78,96,56,40,53,54,53,389,227,162,171,101,70,218,126,92,466,239,227,19,10,9,23,8,15,-4,2,-6,11,7,4,10,5,5,13,5,8,1.26,1.53,1,2.82,2.88,2.76,1.53,1.88,1.18,1.29,1,1.59,1.24,1.06,1.41,0.56,0.59,0.53,0.68,0.47,0.88,32,27,18,10,7,1,17,16,10,4,2,0,15,11,8,6,5,1,2,7,16,24,27,33,0,1,7,13,15,17,2,6,9,11,12,16,94,79,53,29,21,3,100,94,59,24,12,0,88,65,47,35,29,6,6,21,47,71,79,97,0,6,41,76,88,100,12,35,53,65,71,94,27,10,3,13,5,0,14,5,3,79,29,9,76,29,0,82,29,18,41,59,24,23,26,29,24,56,65,47,24,6,41,47,65,29,17,11,6,50,65,35,20,9,11,59,53,65,4,1,3,12,6,18,32,41,24,29,29,29,38,29,47,5.35,6.12,4.59,2.82,3.29,2.35,91,79,71,65,53,44,32,21,1.56,1.81,1.31,1.57,1.41,1.72,56,4,4,2,7,5,6,5,8,11,5,8,3,4,4,5,4,3,8,26,24,29,32,18,47,18
GD Chaves,GD Chaves,2021/2022,Portugal,34,17,17,0,18,12,6,10,4,6,6,1,5,1.88,2.35,1.41,3,2,6,3,54,35,19,89,47,42,33,21,14,21,19,0,57,46,73,87,110,73,10,6,4,21,10,11,5,2,3,18,10,8,179,79,100,109,56,53,51,51,51,437,223,214,195,104,91,242,119,123,478,241,237,23,14,9,16,7,9,7,7,0,14,8,6,11,5,6,9,4,5,1.56,1.71,1.41,2.62,2.76,2.47,1.59,1.94,1.24,1.03,0.82,1.24,1.15,1.24,1.06,0.68,0.82,0.53,0.47,0.41,0.53,32,26,17,10,3,1,16,12,9,6,3,1,16,14,8,4,0,0,2,8,17,24,31,33,1,5,8,11,14,16,1,3,9,13,17,17,94,76,50,29,9,3,94,71,53,35,18,6,94,82,47,24,0,0,6,24,50,71,91,97,6,29,47,65,82,94,6,18,53,76,100,100,26,10,3,13,6,2,13,4,1,76,29,9,76,35,12,76,24,6,53,71,35,21,29,35,24,62,59,65,15,12,18,53,59,47,21,11,10,62,65,59,17,8,9,50,47,53,4,2,2,12,12,12,41,47,35,32,29,35,26,24,29,5.26,4.65,5.88,3.21,3.29,3.12,79,71,59,53,38,28,26,21,1.76,1.77,1.76,1.46,1.28,1.64,71,4,5,6,5,4,9,7,9,5,3,2,6,4,2,3,4,4,7,29,24,35,18,6,29,15
CD Feirense,CD Feirense,2021/2022,Portugal,34,17,17,0,17,9,8,7,3,4,10,5,5,1.71,1.76,1.65,4,5,3,4,50,37,13,87,47,40,28,22,19,18,9,4,61,55,70,83,80,85,9,3,6,22,13,9,5,2,3,17,9,8,173,92,81,90,38,52,49,50,49,393,214,179,169,95,74,224,119,105,484,257,227,19,13,6,15,7,8,4,6,-2,9,6,3,16,8,8,9,3,6,1.26,1.53,1,2.56,2.76,2.35,1.47,1.65,1.29,1.09,1.12,1.06,1,1.18,0.82,0.56,0.76,0.35,0.44,0.41,0.47,32,26,19,7,3,0,16,13,11,4,3,0,16,13,8,3,0,0,2,8,15,27,31,34,1,4,6,13,14,17,1,4,9,14,17,17,94,76,56,21,9,0,94,76,65,24,18,0,94,76,47,18,0,0,6,24,44,79,91,100,6,24,35,76,82,100,6,24,53,82,100,100,23,10,1,12,7,1,11,3,0,68,29,3,71,41,6,65,18,0,50,53,47,5,26,18,35,65,76,53,15,12,18,50,53,47,20,11,9,59,65,53,20,8,12,59,47,71,5,3,2,15,18,12,26,35,18,47,47,47,26,18,35,5.09,5.41,4.76,2.65,2.24,3.06,91,85,82,71,62,50,26,26,1.53,1.65,1.41,1.45,1.31,1.60,56,4,6,5,2,4,3,4,6,16,2,4,1,6,4,5,3,2,10,21,18,24,29,29,29,15
Rio Ave FC,Rio Ave FC,2021/2022,Portugal,34,17,17,0,21,13,8,7,1,6,6,3,3,2.06,2.35,1.76,1,3,2,1,52,31,21,83,44,39,29,23,15,16,14,7,59,53,67,99,102,96,13,7,6,18,9,9,4,1,3,21,13,8,185,83,102,86,48,38,51,51,51,419,214,205,185,98,87,234,116,118,518,254,264,22,14,8,15,8,7,7,6,1,14,8,6,14,6,8,6,3,3,1.65,1.76,1.53,2.44,2.59,2.29,1.53,1.71,1.35,0.91,0.88,0.94,1.09,1.29,0.88,0.65,0.82,0.47,0.44,0.47,0.41,33,24,16,5,2,2,17,12,10,3,1,1,16,12,6,2,1,1,1,10,18,29,32,32,0,5,7,14,16,16,1,5,11,15,16,16,97,71,47,15,6,6,100,71,59,18,6,6,94,71,35,12,6,6,3,29,53,85,94,94,0,29,41,82,94,94,6,29,65,88,94,94,24,10,3,14,6,2,10,4,1,71,29,9,82,35,12,59,24,6,62,76,47,8,38,41,35,53,53,53,12,6,18,62,76,47,22,10,12,65,59,71,16,6,10,47,35,59,6,4,2,18,24,12,41,47,35,41,35,47,18,18,18,5.44,4.88,6.00,2.53,2.82,2.24,82,68,56,53,44,38,21,18,1.68,1.72,1.65,1.38,1.26,1.51,65,6,2,5,8,5,8,3,6,9,2,2,3,6,4,2,1,6,5,21,6,35,18,18,18,15
Associação Académica de Coimbra OAF,Associação Académica de Coimbra OAF,2021/2022,Portugal,34,17,17,0,3,2,1,8,5,3,23,10,13,0.5,0.65,0.35,18,18,18,18,35,62,-27,97,44,53,18,17,26,36,-8,-19,87,85,90,49,59,42,5,4,1,22,11,11,10,4,6,10,6,4,193,111,82,108,49,59,49,49,49,428,224,204,166,95,71,262,129,133,508,243,265,13,6,7,26,10,16,-13,-4,-9,5,2,3,15,9,6,14,6,8,0.88,0.88,0.88,2.85,2.59,3.12,1.03,1.06,1,1.82,1.53,2.12,1.15,0.94,1.35,0.38,0.35,0.41,0.76,0.59,0.94,31,27,21,10,4,3,15,14,10,2,1,1,16,13,11,8,3,2,3,7,13,24,30,31,2,3,7,15,16,16,1,4,6,9,14,15,91,79,62,29,12,9,88,82,59,12,6,6,94,76,65,47,18,12,9,21,38,71,88,91,12,18,41,88,94,94,6,24,35,53,82,88,24,10,5,12,4,0,12,6,5,71,29,15,71,24,0,71,35,29,9,12,6,10,15,24,6,65,65,65,29,24,35,29,35,24,14,7,7,41,41,41,22,11,11,65,65,65,8,4,4,24,24,24,15,12,18,44,53,35,41,35,47,5.68,6.53,4.82,3.18,2.88,3.47,91,88,68,56,47,28,15,15,1.69,1.79,1.59,1.60,1.51,1.69,71,2,4,4,3,1,5,6,4,6,6,2,7,9,9,5,7,7,10,24,29,18,68,59,76,9
FC Penafiel,FC Penafiel,2021/2022,Portugal,34,17,17,0,14,8,6,9,5,4,11,4,7,1.5,1.71,1.29,7,6,8,7,38,38,0,76,39,37,22,16,17,21,5,-5,80,70,96,80,90,73,12,6,6,16,9,7,10,4,6,15,7,8,183,102,81,117,63,54,50,52,48,379,222,157,162,97,65,217,125,92,573,290,283,14,7,7,16,9,7,-2,-2,0,6,3,3,19,9,10,9,5,4,1.09,1.06,1.12,2.24,2.29,2.18,1.12,1.29,0.94,1.12,1,1.24,0.88,0.94,0.82,0.41,0.41,0.41,0.47,0.53,0.41,30,23,13,6,2,1,15,11,6,3,2,1,15,12,7,3,0,0,4,11,21,28,32,33,2,6,11,14,15,16,2,5,10,14,17,17,88,68,38,18,6,3,88,65,35,18,12,6,88,71,41,18,0,0,12,32,62,82,94,97,12,35,65,82,88,94,12,29,59,82,100,100,19,7,3,10,3,2,9,4,1,56,21,9,59,18,12,53,24,6,41,47,35,13,35,35,35,47,53,41,29,24,35,44,41,47,20,10,10,59,59,59,23,11,12,68,65,71,6,3,3,18,18,18,18,18,18,56,53,59,26,29,24,5.38,6.00,4.76,3.44,3.71,3.18,88,82,74,62,53,35,26,24,1.32,1.52,1.13,1.60,1.45,1.76,62,3,2,1,6,6,4,4,3,9,4,2,7,1,2,3,6,9,4,26,29,24,32,24,41,21
SC Covilhã,Sporting Covilhã,2021/2022,Portugal,34,17,17,0,8,5,3,12,6,6,14,6,8,1.06,1.24,0.88,16,13,16,16,30,43,-13,73,34,39,17,13,17,26,0,-13,102,90,118,71,90,59,9,6,3,17,8,9,11,5,6,13,8,5,156,86,70,84,42,42,46,48,45,348,195,153,150,77,73,198,118,80,436,233,203,11,7,4,17,7,10,-6,0,-6,5,4,1,21,10,11,8,3,5,1.06,1.29,0.82,2.15,2,2.29,0.88,1,0.76,1.26,1,1.53,0.82,0.82,0.82,0.32,0.41,0.24,0.5,0.41,0.59,31,25,12,5,0,0,15,12,5,2,0,0,16,13,7,3,0,0,3,9,22,29,34,34,2,5,12,15,17,17,1,4,10,14,17,17,91,74,35,15,0,0,88,71,29,12,0,0,94,76,41,18,0,0,9,26,65,85,100,100,12,29,71,88,100,100,6,24,59,82,100,100,18,9,1,9,4,1,9,5,0,53,26,3,53,24,6,53,29,0,24,29,18,18,26,35,18,50,47,53,32,29,35,38,47,29,21,12,9,62,71,53,24,11,13,71,65,76,5,2,3,15,12,18,15,24,6,62,59,65,24,18,29,4.59,5.06,4.12,2.47,2.47,2.47,97,79,74,68,62,50,38,26,1.12,1.24,0.99,1.71,1.60,1.83,21,3,2,1,4,3,3,2,2,10,3,4,6,2,6,6,3,5,8,35,35,35,41,35,47,18
Leixões SC,Leixões,2021/2022,Portugal,34,17,17,0,13,6,7,9,5,4,12,6,6,1.41,1.35,1.47,8,10,5,8,42,40,2,82,46,36,23,19,23,17,0,2,73,67,80,76,67,90,7,4,3,20,11,9,8,3,5,18,9,9,198,116,82,107,51,56,50,51,48,388,223,165,162,95,67,226,128,98,544,258,286,18,9,9,16,11,5,2,-2,4,11,4,7,13,8,5,10,5,5,1.35,1.18,1.53,2.41,2.71,2.12,1.24,1.35,1.12,1.18,1.35,1,1,1.18,0.82,0.53,0.53,0.53,0.47,0.65,0.29,33,25,14,6,3,1,16,14,9,4,2,1,17,11,5,2,1,0,1,9,20,28,31,33,1,3,8,13,15,16,0,6,12,15,16,17,97,74,41,18,9,3,94,82,53,24,12,6,100,65,29,12,6,0,3,26,59,82,91,97,6,18,47,76,88,94,0,35,71,88,94,100,23,8,2,11,6,2,12,2,0,68,24,6,65,35,12,71,12,0,38,35,41,-3,21,24,18,59,65,53,24,18,29,53,53,53,21,9,12,62,53,71,21,11,10,62,65,59,3,3,0,9,18,0,32,24,41,38,47,29,29,29,29,5.82,6.82,4.82,3.15,3,3.29,91,85,82,76,62,41,35,35,1.37,1.53,1.21,1.58,1.49,1.68,47,6,2,5,3,6,5,7,5,3,2,4,3,4,7,4,6,1,9,26,29,24,35,35,35,28
SL Benfica II,Benfica II,2021/2022,Portugal,34,17,17,0,17,7,10,6,4,2,11,6,5,1.68,1.47,1.88,5,9,1,5,61,44,17,105,45,60,27,34,18,26,9,8,50,57,45,70,85,59,11,7,4,22,10,12,4,3,1,18,9,9,160,101,59,104,50,54,54,55,52,389,217,172,186,93,93,203,124,79,494,247,247,29,13,16,22,10,12,7,3,4,15,6,9,10,7,3,9,4,5,1.62,1.47,1.76,3.09,2.65,3.53,1.79,1.59,2,1.29,1.06,1.53,1.5,1.35,1.65,0.85,0.76,0.94,0.65,0.59,0.71,31,28,23,10,6,3,14,13,11,5,2,0,17,15,12,5,4,3,3,6,11,24,28,31,3,4,6,12,15,17,0,2,5,12,13,14,91,82,68,29,18,9,82,76,65,29,12,0,100,88,71,29,24,18,9,18,32,71,82,91,18,24,35,71,88,100,0,12,29,71,76,82,27,16,6,12,9,2,15,7,4,79,47,18,71,53,12,88,41,24,50,41,59,4,32,41,24,65,59,71,12,18,6,53,53,53,19,10,9,56,59,53,14,9,5,41,53,29,8,3,5,24,18,29,44,35,53,29,41,18,26,24,29,4.71,5.94,3.47,3.06,2.94,3.18,85,82,74,68,50,38,24,15,1.61,1.79,1.43,1.69,1.50,1.88,79,5,8,7,5,7,8,5,7,9,5,3,9,5,3,5,3,2,9,18,24,12,32,35,29,12
Academico de Viseu FC,Academico Viseu,2021/2022,Portugal,34,17,17,0,10,4,6,7,4,3,17,9,8,1.09,0.94,1.24,15,17,9,15,31,49,-18,80,41,39,14,17,27,22,-13,-5,99,110,90,63,57,70,6,3,3,18,9,9,13,6,7,13,6,7,166,73,93,113,61,52,50,50,50,363,171,192,163,86,77,200,85,115,547,273,274,14,6,8,25,14,11,-11,-8,-3,9,4,5,11,5,6,14,8,6,1.12,1,1.24,2.35,2.41,2.29,0.91,0.82,1,1.44,1.59,1.29,1.15,1.18,1.12,0.41,0.35,0.47,0.74,0.82,0.65,31,23,18,6,2,0,16,12,8,4,1,0,15,11,10,2,1,0,3,11,16,28,32,34,1,5,9,13,16,17,2,6,7,15,16,17,91,68,53,18,6,0,94,71,47,24,6,0,88,65,59,12,6,0,9,32,47,82,94,100,6,29,53,76,94,100,12,35,41,88,94,100,24,10,3,12,5,2,12,5,1,71,29,9,71,29,12,71,29,6,29,24,35,-10,18,18,18,53,53,53,38,35,41,38,35,41,19,9,10,56,53,59,23,12,11,68,71,65,2,1,1,6,6,6,26,24,29,32,29,35,41,47,35,4.88,4.29,5.47,3.32,3.59,3.06,88,76,65,47,41,28,18,12,1.31,1.26,1.34,1.63,1.57,1.69,71,4,3,1,4,4,4,3,4,4,9,5,2,6,4,5,6,8,4,21,24,18,50,53,47,9
