team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
FK Rostov,Rostov,2024/2025,Russia,30,15,15,0,10,5,5,9,5,4,11,5,6,1.3,1.33,1.27,0,8,7,8,41,43,-2,84,40,44,22,19,18,25,4,-6,66,61,71,63,75,54,4,3,1,18,8,10,10,6,4,9,5,4,137,74,63,63,32,31,52,54,51,327,183,144,133,71,62,194,112,82,385,189,196,14,8,6,23,8,15,-9,0,-9,7,5,2,13,6,7,10,4,6,1.13,1.4,0.87,2.8,2.67,2.93,1.37,1.47,1.27,1.43,1.2,1.67,1.23,1.07,1.4,0.47,0.53,0.4,0.77,0.53,1,28,25,15,10,6,0,13,11,7,6,3,0,15,14,8,4,3,0,2,5,15,20,24,30,2,4,8,9,12,15,0,1,7,11,12,15,93,83,50,33,20,0,87,73,47,40,20,0,100,93,53,27,20,0,7,17,50,67,80,100,13,27,53,60,80,100,0,7,47,73,80,100,21,11,4,10,5,1,11,6,3,70,37,13,67,33,7,73,40,20,33,33,33,12,13,20,7,60,53,67,33,40,27,30,33,27,16,10,6,53,67,40,17,8,9,57,53,60,6,2,4,20,13,27,23,33,13,43,40,47,33,27,40,4.72,4.93,4.50,2.1,2.13,2.07,76,62,59,34,24,10,10,7,1.41,1.51,1.31,1.23,1.07,1.40,70,1,2,5,3,4,3,6,9,8,3,3,5,10,3,2,8,5,4,30,33,27,37,33,40,3
PFK CSKA Moskva,CSKA Moskva,2024/2025,Russia,30,15,15,0,17,8,9,8,3,5,5,4,1,1.97,1.8,2.13,0,7,2,3,47,21,26,68,36,32,25,22,11,10,14,12,57,54,61,129,123,134,14,7,7,13,5,8,6,4,2,21,10,11,142,92,50,57,32,25,53,57,50,323,198,125,168,93,75,155,105,50,336,152,184,18,9,9,9,5,4,9,4,5,13,5,8,12,7,5,5,3,2,1.7,1.47,1.93,2.27,2.4,2.13,1.57,1.67,1.47,0.7,0.73,0.67,0.9,0.93,0.87,0.6,0.6,0.6,0.3,0.33,0.27,27,21,13,5,1,1,14,10,6,4,1,1,13,11,7,1,0,0,3,9,17,25,29,29,1,5,9,11,14,14,2,4,8,14,15,15,90,70,43,17,3,3,93,67,40,27,7,7,87,73,47,7,0,0,10,30,57,83,97,97,7,33,60,73,93,93,13,27,53,93,100,100,20,5,1,9,3,1,11,2,0,67,17,3,60,20,7,73,13,0,57,53,60,1,47,47,47,43,33,53,20,27,13,70,67,73,22,10,12,73,67,80,15,9,6,50,60,40,3,2,1,10,13,7,43,33,53,40,47,33,17,20,13,4.90,6.57,3.33,1.9,2.13,1.67,83,76,52,34,31,17,10,0,1.45,1.74,1.18,1.01,0.86,1.16,43,2,6,2,5,7,5,5,5,10,1,0,2,2,4,4,1,2,5,27,20,33,17,27,7,0
FK Lokomotiv Moskva,Lokomotiv Moskva,2024/2025,Russia,30,15,15,0,15,9,6,8,4,4,7,2,5,1.77,2.07,1.47,0,5,5,6,51,41,10,92,44,48,26,25,18,23,8,2,53,52,54,66,75,59,8,4,4,19,10,9,4,1,3,19,13,6,160,80,80,72,30,42,50,48,52,302,149,153,151,80,71,151,69,82,420,205,215,23,14,9,22,10,12,1,4,-3,10,6,4,14,7,7,6,2,4,1.47,1.67,1.27,3.07,2.93,3.2,1.7,1.73,1.67,1.37,1.2,1.53,1.5,1.6,1.4,0.77,0.93,0.6,0.73,0.67,0.8,29,24,16,12,7,3,15,13,9,5,2,0,14,11,7,7,5,3,1,6,14,18,23,27,0,2,6,10,13,15,1,4,8,8,10,12,97,80,53,40,23,10,100,87,60,33,13,0,93,73,47,47,33,20,3,20,47,60,77,90,0,13,40,67,87,100,7,27,53,53,67,80,21,14,8,11,8,4,10,6,4,70,47,27,73,53,27,67,40,27,50,60,40,7,27,27,27,63,67,60,13,7,20,63,87,40,16,8,8,53,53,53,14,5,9,47,33,60,9,6,3,30,40,20,33,40,27,47,47,47,20,13,27,5.33,5.33,5.33,2.4,2,2.80,87,80,73,63,47,43,30,27,1.34,1.36,1.32,1.26,1.25,1.27,77,5,4,6,7,3,4,7,6,9,5,4,3,8,5,4,4,3,5,27,27,27,23,13,33,13
FK Zenit St. Petersburg,Zenit,2024/2025,Russia,30,15,15,0,20,10,10,6,3,3,4,2,2,2.2,2.2,2.2,0,3,1,2,58,18,40,76,40,36,30,28,10,8,20,20,47,45,48,150,134,170,17,8,9,12,7,5,3,2,1,19,9,10,180,115,65,47,25,22,61,63,59,315,191,124,170,91,79,145,100,45,286,150,136,29,13,16,11,8,3,18,5,13,14,5,9,11,6,5,5,4,1,1.77,1.4,2.13,2.53,2.67,2.4,1.93,2,1.87,0.6,0.67,0.53,1.33,1.4,1.27,0.97,0.87,1.07,0.37,0.53,0.2,28,21,15,8,4,0,13,10,9,5,3,0,15,11,6,3,1,0,2,9,15,22,26,30,2,5,6,10,12,15,0,4,9,12,14,15,93,70,50,27,13,0,87,67,60,33,20,0,100,73,40,20,7,0,7,30,50,73,87,100,13,33,40,67,80,100,0,27,60,80,93,100,20,11,7,9,6,4,11,5,3,67,37,23,60,40,27,73,33,20,67,67,67,-4,57,53,60,40,47,33,10,13,7,63,60,67,22,10,12,73,67,80,13,8,5,43,53,33,5,3,2,17,20,13,47,33,60,37,40,33,17,27,7,6.21,7.67,4.64,1.57,1.67,1.47,83,72,69,52,31,14,10,10,1.67,1.67,1.67,1.18,0.88,1.50,73,3,7,8,6,5,11,4,4,10,3,4,1,1,2,1,3,0,3,20,20,20,13,13,13,7
FK Orenburg,Orenburg,2024/2025,Russia,30,15,15,0,4,3,1,7,5,2,19,7,12,0.63,0.93,0.33,0,15,16,15,28,56,-28,84,41,43,18,10,23,33,-5,-23,97,75,134,48,59,41,4,3,1,17,10,7,11,3,8,9,6,3,196,95,101,83,41,42,52,55,50,320,172,148,128,68,60,192,104,88,394,195,199,13,5,8,19,9,10,-6,-4,-2,5,2,3,16,8,8,9,5,4,1.03,0.93,1.13,2.8,2.73,2.87,0.93,1.2,0.67,1.87,1.53,2.2,1.07,0.93,1.2,0.43,0.33,0.53,0.63,0.6,0.67,28,22,16,9,5,4,14,12,9,4,1,1,14,10,7,5,4,3,2,8,14,21,25,26,1,3,6,11,14,14,1,5,8,10,11,12,93,73,53,30,17,13,93,80,60,27,7,7,93,67,47,33,27,20,7,27,47,70,83,87,7,20,40,73,93,93,7,33,53,67,73,80,16,9,4,9,4,1,7,5,3,53,30,13,60,27,7,47,33,20,13,20,7,24,13,20,7,57,67,47,37,20,53,30,40,20,18,8,10,60,53,67,20,10,10,67,67,67,6,3,3,20,20,20,17,13,20,53,53,53,30,33,27,6.76,6.79,6.73,2.77,2.73,2.80,97,90,86,72,55,45,34,31,1.38,1.54,1.24,1.39,1.25,1.53,70,1,4,4,3,2,3,5,2,4,2,2,6,5,6,10,6,6,13,23,33,13,63,47,80,21
FK Akhmat Grozny,Akhmat Grozny,2024/2025,Russia,30,15,15,0,4,3,1,13,8,5,13,4,9,0.83,1.13,0.53,0,13,14,14,27,48,-21,75,38,37,16,11,22,26,-6,-15,100,84,123,56,61,52,6,3,3,17,10,7,12,4,8,10,6,4,163,91,72,71,33,38,47,47,47,281,149,132,118,60,58,163,89,74,402,203,199,12,7,5,23,11,12,-11,-4,-7,4,2,2,15,9,6,11,4,7,0.9,1,0.8,2.5,2.53,2.47,0.9,1.07,0.73,1.6,1.47,1.73,1.17,1.2,1.13,0.4,0.47,0.33,0.77,0.73,0.8,25,22,13,7,6,2,13,12,6,3,3,1,12,10,7,4,3,1,5,8,17,23,24,28,2,3,9,12,12,14,3,5,8,11,12,14,83,73,43,23,20,7,87,80,40,20,20,7,80,67,47,27,20,7,17,27,57,77,80,93,13,20,60,80,80,93,20,33,53,73,80,93,19,11,5,9,6,3,10,5,2,63,37,17,60,40,20,67,33,13,13,20,7,14,20,20,20,57,67,47,40,27,53,33,40,27,13,7,6,43,47,40,20,9,11,67,60,73,8,5,3,27,33,20,13,13,13,50,60,40,37,27,47,5.43,6.07,4.80,2.37,2.2,2.53,87,87,73,63,47,43,27,23,1.22,1.27,1.17,1.21,1.08,1.34,63,2,1,1,5,5,4,4,4,1,4,5,3,5,9,2,2,6,12,43,53,33,43,27,60,10
FK Spartak Moskva,Spartak Moskva,2024/2025,Russia,30,15,15,0,17,10,7,6,2,4,7,3,4,1.9,2.13,1.67,0,4,4,4,56,25,31,81,47,34,35,21,12,13,23,8,48,39,64,108,113,103,17,9,8,10,5,5,7,2,5,17,10,7,165,83,82,78,32,46,63,64,61,361,183,178,181,98,83,180,85,95,439,209,230,25,16,9,15,6,9,10,10,0,11,8,3,12,4,8,7,3,4,1.5,1.87,1.13,2.7,3.13,2.27,1.87,2.33,1.4,0.83,0.8,0.87,1.33,1.47,1.2,0.83,1.07,0.6,0.5,0.4,0.6,26,25,18,7,3,1,14,13,12,4,2,1,12,12,6,3,1,0,4,5,12,23,27,29,1,2,3,11,13,14,3,3,9,12,14,15,87,83,60,23,10,3,93,87,80,27,13,7,80,80,40,20,7,0,13,17,40,77,90,97,7,13,20,73,87,93,20,20,60,80,93,100,19,15,6,11,8,3,8,7,3,63,50,20,73,53,20,53,47,20,57,67,47,15,57,60,53,33,33,33,23,13,33,57,67,47,21,11,10,70,73,67,15,7,8,50,47,53,5,1,4,17,7,27,37,53,20,40,27,53,23,20,27,5.50,5.53,5.47,2.6,2.13,3.07,87,67,60,47,33,27,20,20,1.60,1.65,1.56,0.88,0.82,0.94,77,5,3,7,5,6,6,8,5,11,6,1,4,2,2,2,3,0,5,20,13,27,23,20,27,10
FK Krasnodar,Krasnodar,2024/2025,Russia,30,15,15,0,20,11,9,7,3,4,3,1,2,2.23,2.4,2.07,0,1,3,1,59,23,36,82,39,43,31,28,8,15,23,13,46,43,48,117,170,90,15,9,6,13,5,8,5,3,2,21,10,11,126,75,51,71,31,40,57,58,56,320,168,152,150,75,75,170,93,77,430,206,224,22,7,15,10,4,6,12,3,9,13,6,7,12,6,6,5,3,2,1.7,1.6,1.8,2.73,2.6,2.87,1.97,2.07,1.87,0.77,0.53,1,1.07,0.73,1.4,0.73,0.47,1,0.33,0.27,0.4,27,23,18,8,4,1,13,12,9,4,1,0,14,11,9,4,3,1,3,7,12,22,26,29,2,3,6,11,14,15,1,4,6,11,12,14,90,77,60,27,13,3,87,80,60,27,7,0,93,73,60,27,20,7,10,23,40,73,87,97,13,20,40,73,93,100,7,27,40,73,80,93,20,10,2,9,2,0,11,8,2,67,33,7,60,13,0,73,53,13,67,73,60,18,50,60,40,43,33,53,17,20,13,70,67,73,22,12,10,73,80,67,14,9,5,47,60,33,4,0,4,13,0,27,43,40,47,40,40,40,17,20,13,4.20,5.00,3.40,2.37,2.07,2.67,80,67,56,43,23,17,10,10,1.37,1.41,1.33,1.11,1.01,1.20,73,5,2,5,4,11,5,4,13,10,1,2,3,2,2,2,2,1,8,23,20,27,10,7,13,3
PFK Krylya Sovetov Samara,Krylya Sovetov,2024/2025,Russia,30,15,15,0,8,5,3,7,2,5,15,8,7,1.03,1.13,0.93,0,12,10,10,36,51,-15,87,42,45,19,17,23,28,-4,-11,75,71,80,53,59,48,4,3,1,17,8,9,10,5,5,9,4,5,133,84,49,66,26,40,49,53,45,260,148,112,133,75,58,127,73,54,329,142,187,17,6,11,24,12,12,-7,-6,-1,7,2,5,10,5,5,13,8,5,1.03,0.73,1.33,2.9,2.8,3,1.2,1.27,1.13,1.7,1.53,1.87,1.37,1.2,1.53,0.57,0.4,0.73,0.8,0.8,0.8,29,26,15,11,3,2,14,13,8,5,1,1,15,13,7,6,2,1,1,4,15,19,27,28,1,2,7,10,14,14,0,2,8,9,13,14,97,87,50,37,10,7,93,87,53,33,7,7,100,87,47,40,13,7,3,13,50,63,90,93,7,13,47,67,93,93,0,13,53,60,87,93,22,11,4,11,4,2,11,7,2,73,37,13,73,27,13,73,47,13,27,33,20,8,13,20,7,57,53,60,33,33,33,30,27,33,14,6,8,47,40,53,20,12,8,67,80,53,4,1,3,13,7,20,23,13,33,33,33,33,43,53,33,4.43,5.60,3.27,2.2,1.73,2.67,83,70,60,37,30,30,20,20,1.17,1.35,1.00,1.31,1.14,1.47,83,2,4,2,6,5,2,2,6,7,5,4,3,3,12,3,4,9,8,23,13,33,50,53,47,7
FK Rubin Kazan,Rubin Kazan,2024/2025,Russia,30,15,15,0,13,9,4,6,2,4,11,4,7,1.5,1.93,1.07,0,6,8,7,42,45,-3,87,41,46,22,20,19,26,3,-6,64,61,68,60,71,52,7,6,1,17,6,11,7,3,4,12,10,2,131,64,67,74,33,41,43,45,40,232,131,101,112,60,52,120,71,49,430,202,228,19,11,8,23,11,12,-4,0,-4,9,7,2,10,3,7,11,5,6,1.23,1.6,0.87,2.9,2.73,3.07,1.4,1.47,1.33,1.5,1.27,1.73,1.4,1.47,1.33,0.63,0.73,0.53,0.77,0.73,0.8,29,24,17,10,5,2,15,12,7,4,2,1,14,12,10,6,3,1,1,6,13,20,25,28,0,3,8,11,13,14,1,3,5,9,12,14,97,80,57,33,17,7,100,80,47,27,13,7,93,80,67,40,20,7,3,20,43,67,83,93,0,20,53,73,87,93,7,20,33,60,80,93,23,12,4,12,6,2,11,6,2,77,40,13,80,40,13,73,40,13,43,60,27,10,23,40,7,57,40,73,23,20,27,40,67,13,13,8,5,43,53,33,17,8,9,57,53,60,7,2,5,23,13,33,30,47,13,33,20,47,37,33,40,4.37,4.27,4.47,2.47,2.2,2.73,90,77,63,50,33,27,13,10,1.04,1.13,0.96,1.25,1.15,1.35,50,6,3,3,1,8,6,4,1,10,5,5,4,5,5,4,6,4,7,20,13,27,37,27,47,7
