timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1596281400,Aug 01 2020 - 11:30am,complete,N/A,Aberdeen,Rangers,Bobby Madden,1,0.00,0.00,1.68,2.37,0,1,1,1,0,1,"","21",2,6,1,1,0,0,1,1,0,0,4,15,2,4,2,11,20,14,39,61,0.00,0.00,0.67,1.60,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,6.35,4.00,1.51,1.31,1.95,3.50,6.70,2.05,1.69,Pittodrie Stadium (Aberdeen)
1596290400,Aug 01 2020 - 2:00pm,complete,N/A,Dundee United,St. Johnstone,Kevin Clancy,1,0.00,0.00,1.26,1.26,1,1,2,1,1,0,"6","55",3,3,1,0,3,1,1,0,3,1,15,11,3,5,12,6,2,0,61,39,0.00,0.00,1.49,1.36,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.70,3.15,2.65,1.43,2.35,4.45,9.00,2.00,1.74,Tannadice Park (Dundee)
1596290400,Aug 01 2020 - 2:00pm,complete,N/A,Hibernian,Kilmarnock,John Beaton,1,0.00,0.00,1.42,0.68,2,1,3,3,2,1,"5,34","44",5,4,1,0,1,0,0,1,0,1,11,13,4,2,7,11,0,1,44,56,0.00,0.00,1.24,1.30,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.55,3.80,1.30,1.95,3.40,6.60,1.80,1.91,Easter Road Stadium (Edinburgh)
1596290400,Aug 01 2020 - 2:00pm,complete,N/A,St. Mirren,Livingston,Don Robertson,1,0.00,0.00,1.05,1.21,1,0,1,1,1,0,"30","",2,5,3,0,2,0,1,2,0,2,7,12,3,3,4,9,-1,-1,46,54,0.00,0.00,0.94,1.39,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.15,3.10,2.35,1.39,2.25,4.20,8.25,1.91,1.80,Simple Digital Arena (Paisley)
1596382200,Aug 02 2020 - 3:30pm,complete,N/A,Celtic,Hamilton Academical,William Collum,1,0.00,0.00,2.26,0.95,5,1,6,3,2,1,"20,31,49,53,90","34",11,8,1,0,3,0,0,1,2,1,27,7,14,3,13,4,9,9,80,20,0.00,0.00,3.07,0.95,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.05,14.00,26.00,1.08,1.30,1.77,2.75,2.85,1.38,Celtic Park (Glasgow)
1596480300,Aug 03 2020 - 6:45pm,complete,N/A,Ross County,Motherwell,Nick Walsh,1,0.00,0.00,1.00,1.26,1,0,1,1,1,0,"24","",5,8,3,0,1,1,0,3,1,1,11,16,4,2,7,14,24,10,40,60,0.00,0.00,1.25,1.53,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.55,3.60,2.00,1.30,1.95,3.40,6.60,1.80,1.91,Global Energy Stadium (Dingwall)
1596895200,Aug 08 2020 - 2:00pm,complete,N/A,Hamilton Academical,Ross County,Bobby Madden,2,0.00,0.00,0.63,1.05,0,1,1,0,0,0,"","76",9,1,0,0,1,0,0,0,0,1,10,9,5,2,5,7,1,2,38,62,0.00,0.00,1.32,1.01,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.70,3.25,2.60,1.33,2.05,3.65,7.00,1.80,1.95,Fountain of Youth Stadium (Hamilton)
1596895200,Aug 08 2020 - 2:00pm,complete,N/A,Livingston,Hibernian,Euan Anderson,2,0.00,0.00,1.16,1.89,1,4,5,3,0,3,"60","24,37,41,88",5,4,1,0,1,0,0,1,0,1,11,16,3,8,8,8,2,0,52,48,0.00,0.00,1.35,1.95,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,3.15,2.85,1.36,2.10,3.85,7.50,1.83,1.87,Tony Macaroni Arena (Livingston)
1596895200,Aug 08 2020 - 2:00pm,complete,N/A,Motherwell,Dundee United,Steven McLean,2,0.00,0.00,1.11,1.05,0,1,1,0,0,0,"","52",7,8,2,0,0,0,0,2,0,0,20,12,6,3,14,9,2,0,60,40,0.00,0.00,2.08,1.24,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.30,3.95,1.35,2.10,3.80,7.50,1.87,1.83,Fir Park (Motherwell)
1596981600,Aug 09 2020 - 2:00pm,complete,N/A,Rangers,St. Mirren,Andrew Dallas,2,0.00,0.00,3.00,1.32,3,0,3,1,1,0,"23,69,74","",14,1,0,0,2,0,0,0,1,1,28,5,13,3,15,2,-1,-1,73,27,0.00,0.00,3.28,0.64,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.16,7.25,14.75,1.18,1.59,2.45,4.35,2.35,1.56,Ibrox Stadium (Glasgow)
1596987000,Aug 09 2020 - 3:30pm,complete,N/A,Kilmarnock,Celtic,Alan James Muir,2,0.00,0.00,1.21,1.79,1,1,2,2,1,1,"24","11",1,2,2,0,1,0,2,0,0,1,5,14,2,3,3,11,14,13,30,70,0.00,0.00,0.77,1.64,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,11.25,6.50,1.22,1.14,1.49,2.25,3.80,2.10,1.69,BBSP Stadium Rugby Park (Kilmarnock)
1597165200,Aug 11 2020 - 5:00pm,complete,N/A,Dundee United,Hibernian,Don Robertson,3,1.00,3.00,1.26,1.89,0,1,1,0,0,0,"","65",7,3,3,0,2,0,2,1,2,0,12,10,2,4,10,6,15,14,53,47,1.49,1.95,1.33,1.26,3.50,100,100,50,50,50,50,100,50,100,7.00,2.00,3.25,3.30,2.20,1.30,1.95,3.40,6.60,1.74,2.00,Tannadice Park (Dundee)
1597257900,Aug 12 2020 - 6:45pm,complete,N/A,Motherwell,Livingston,Colin Steven,3,0.00,0.00,1.11,1.21,2,2,4,3,2,1,"8,35","11,69",4,6,2,0,1,0,1,1,1,0,7,9,3,6,4,3,0,2,45,55,2.08,1.39,0.92,1.43,1.00,0,0,0,0,0,0,50,0,50,12.00,4.00,2.25,3.25,3.25,1.43,2.30,4.40,8.75,2.00,1.74,Fir Park (Motherwell)
1597257900,Aug 12 2020 - 6:45pm,complete,N/A,Rangers,St. Johnstone,Euan Anderson,3,3.00,1.00,3.00,1.26,3,0,3,2,2,0,"21,45'2,49","",6,2,0,0,2,0,0,0,1,1,12,3,5,3,7,0,3,0,75,25,3.28,1.36,1.47,0.60,2.50,50,100,50,0,0,0,100,50,100,17.00,4.00,1.17,7.25,14.50,1.19,1.62,2.60,4.60,2.55,1.47,Ibrox Stadium (Glasgow)
1597257900,Aug 12 2020 - 6:45pm,complete,N/A,Ross County,Kilmarnock,Gavin Duncan,3,3.00,0.00,1.00,0.68,2,2,4,1,1,0,"15,80","59,66",3,3,3,0,2,0,1,2,0,2,9,7,4,5,5,2,3,1,52,48,1.25,1.30,1.09,1.23,2.00,50,50,50,0,0,50,100,0,0,9.00,4.00,3.05,3.20,2.35,1.41,2.25,4.30,8.50,1.95,1.77,Global Energy Stadium (Dingwall)
1597500000,Aug 15 2020 - 2:00pm,complete,N/A,Hamilton Academical,St. Mirren,Steven Kirkland,4,0.00,0.00,0.63,1.32,0,1,1,1,0,1,"","19",2,9,0,0,3,0,0,0,0,3,14,20,5,8,9,12,0,1,54,46,1.32,0.64,1.79,2.11,2.00,0,50,50,0,0,0,50,50,100,10.00,2.00,3.05,3.10,2.45,1.45,2.40,4.60,9.25,2.00,1.71,Fountain of Youth Stadium (Hamilton)
1597500000,Aug 15 2020 - 2:00pm,complete,N/A,Kilmarnock,St. Johnstone,Andrew Dallas,4,1.00,0.50,1.21,1.26,1,2,3,0,0,0,"61","85,90'4",11,1,1,1,2,0,0,2,1,1,12,17,5,6,7,11,1,1,45,55,0.77,0.98,1.45,1.93,2.25,75,100,25,0,0,75,100,0,50,3.50,5.00,2.40,3.10,3.15,1.45,2.40,4.60,9.25,2.00,1.74,BBSP Stadium Rugby Park (Kilmarnock)
1597500000,Aug 15 2020 - 2:00pm,complete,N/A,Ross County,Dundee United,Craig Napier,4,2.00,3.00,1.00,1.05,1,2,3,2,1,1,"29","40,79",5,7,2,0,1,0,1,1,1,0,12,13,3,5,9,8,0,2,52,48,1.17,1.24,1.38,1.56,1.75,25,25,25,25,0,0,50,25,75,12.00,3.00,2.75,3.25,2.55,1.34,2.05,3.75,7.25,1.83,1.91,Global Energy Stadium (Dingwall)
1597509000,Aug 15 2020 - 4:30pm,complete,N/A,Hibernian,Motherwell,Greg Aitken,4,3.00,0.00,1.42,1.26,0,0,0,0,0,0,"","",6,10,0,0,1,0,0,0,0,1,13,19,3,3,10,16,10,16,43,57,1.24,1.53,1.34,1.80,2.00,50,50,50,0,0,50,100,0,0,13.00,4.00,1.91,3.55,3.85,1.31,1.95,3.50,6.70,1.83,1.91,Easter Road Stadium (Edinburgh)
1597591800,Aug 16 2020 - 3:30pm,complete,N/A,Livingston,Rangers,Nick Walsh,4,0.00,3.00,1.16,2.37,0,0,0,0,0,0,"","",0,9,0,0,1,0,0,0,0,1,3,21,2,3,1,18,10,7,29,71,1.35,1.60,0.48,2.26,3.00,50,50,50,50,50,50,100,50,50,11.00,1.00,8.00,4.85,1.36,1.23,1.74,2.90,5.35,2.05,1.69,Tony Macaroni Arena (Livingston)
1597948200,Aug 20 2020 - 6:30pm,complete,N/A,St. Johnstone,Aberdeen,William Collum,2,0.00,0.00,1.11,1.26,0,1,1,0,0,0,"","82",5,1,1,0,3,0,0,1,0,3,12,7,2,4,10,3,17,14,45,55,0.00,0.00,1.30,0.90,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.90,3.00,2.60,1.53,2.65,5.25,10.75,2.15,1.62,McDiarmid Park (Perth)
1598104800,Aug 22 2020 - 2:00pm,complete,N/A,Motherwell,Hamilton Academical,Alan James Muir,5,0.50,0.00,1.11,0.95,0,1,1,0,0,0,"","86",13,5,2,0,1,0,0,2,0,1,19,11,5,2,14,9,1,0,67,33,1.50,0.95,2.12,1.10,4.25,75,75,75,75,50,75,75,50,100,13.50,5.00,1.49,4.15,6.55,1.25,1.80,3.05,5.70,1.87,1.83,Fir Park (Motherwell)
1598104800,Aug 22 2020 - 2:00pm,complete,N/A,Rangers,Kilmarnock,Kevin Clancy,5,3.00,0.50,3.00,0.68,2,0,2,0,0,0,"50,77","",9,2,1,0,1,0,1,0,0,1,26,3,9,0,17,3,1,0,75,25,2.38,1.27,2.81,0.36,3.25,50,100,100,25,0,50,100,50,75,13.50,1.50,1.22,6.35,11.75,1.21,1.69,2.75,5.00,2.35,1.54,Ibrox Stadium (Glasgow)
