team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Kilmarnock FC,Kilmarnock,2018/2019,Scotland,38,19,19,0,19,12,7,10,2,8,9,5,4,1.76,2,1.53,3,3,4,3,50,31,19,81,46,35,32,18,14,17,18,1,68,54,95,110,122,101,16,7,9,17,9,8,10,4,6,17,10,7,186,93,93,80,34,46,49,50,49,439,223,216,205,106,99,234,117,117,463,236,227,26,17,9,20,7,13,6,10,-4,12,9,3,20,8,12,6,2,4,1.47,1.84,1.11,2.13,2.42,1.84,1.32,1.68,0.95,0.82,0.74,0.89,1.21,1.26,1.16,0.68,0.89,0.47,0.53,0.37,0.68,33,23,15,6,3,1,18,14,10,3,1,0,15,9,5,3,2,1,5,15,23,32,35,37,1,5,9,16,18,19,4,10,14,16,17,18,87,61,39,16,8,3,95,74,53,16,5,0,79,47,26,16,11,5,13,39,61,84,92,97,5,26,47,84,95,100,21,53,74,84,89,95,24,14,6,13,8,3,11,6,3,63,37,16,68,42,16,58,32,16,50,63,37,19,42,37,47,45,47,42,26,21,32,45,53,37,24,13,11,63,68,58,18,7,11,47,37,58,10,5,5,26,26,26,32,47,16,53,42,63,16,11,21,4.89,4.89,4.89,2.11,1.79,2.42,82,71,47,28,26,18,16,11,1.43,1.45,1.41,1.29,1.05,1.54,47,6,6,3,5,6,8,6,2,8,4,5,3,5,3,0,5,2,4,26,11,42,24,26,21,5
Hamilton Academical FC,Hamilton Academical,2018/2019,Scotland,38,19,19,0,9,5,4,6,5,1,23,9,14,0.87,1.05,0.68,3,10,11,10,28,75,-47,103,54,49,20,8,34,41,-14,-33,122,86,214,46,50,42,7,4,3,12,10,2,19,5,14,14,9,5,124,68,56,94,45,49,44,45,43,310,177,133,144,81,63,166,96,70,525,280,245,12,8,4,35,14,21,-23,-6,-17,6,4,2,14,8,6,18,7,11,0.84,1.05,0.63,2.71,2.84,2.58,0.74,1.05,0.42,1.97,1.79,2.16,1.24,1.16,1.32,0.32,0.42,0.21,0.92,0.74,1.11,38,30,18,9,6,2,19,16,10,4,4,1,19,14,8,5,2,1,0,8,20,29,32,36,0,3,9,15,15,18,0,5,11,14,17,18,100,79,47,24,16,5,100,84,53,21,21,5,100,74,42,26,11,5,0,21,53,76,84,95,0,16,47,79,79,95,0,26,58,74,89,95,28,14,4,14,6,1,14,8,3,74,37,11,74,32,5,74,42,16,24,26,21,26,18,21,16,32,53,11,50,26,74,37,47,26,15,9,6,39,47,32,28,12,16,74,63,84,5,3,2,13,16,11,16,21,11,37,42,32,47,37,58,3.26,3.58,2.95,2.47,2.37,2.58,76,63,57,32,28,18,13,8,0.80,0.90,0.70,1.69,1.40,1.98,76,0,3,1,7,2,3,5,2,5,6,8,7,8,8,8,9,8,13,16,26,5,61,47,74,8
Celtic FC,Celtic,2018/2019,Scotland,38,19,19,0,27,17,10,6,2,4,5,0,5,2.29,2.79,1.79,2,1,2,1,77,20,57,97,53,44,46,31,7,13,39,18,44,37,55,170,243,132,24,13,11,10,6,4,9,2,7,29,17,12,274,152,122,51,20,31,61,61,61,553,319,234,306,172,134,247,147,100,379,195,184,39,23,16,5,1,4,34,22,12,19,11,8,16,8,8,3,0,3,1.92,2.16,1.68,2.55,2.79,2.32,2.03,2.42,1.63,0.53,0.37,0.68,1.16,1.26,1.05,1.03,1.21,0.84,0.13,0.05,0.21,33,25,18,9,7,4,17,13,11,6,4,2,16,12,7,3,3,2,5,13,20,29,31,34,2,6,8,13,15,17,3,7,12,16,16,17,87,66,47,24,18,11,89,68,58,32,21,11,84,63,37,16,16,11,13,34,53,76,82,89,11,32,42,68,79,89,16,37,63,84,84,89,24,11,5,12,8,3,12,3,2,63,29,13,63,42,16,63,16,11,71,89,53,25,63,68,58,26,32,21,24,11,37,76,89,63,33,18,15,87,95,79,17,7,10,45,37,53,2,1,1,5,5,5,50,58,42,42,42,42,8,0,16,7.21,8.00,6.42,1.34,1.05,1.63,87,82,74,61,50,39,32,18,2.15,2.24,2.06,0.92,0.74,1.10,71,5,9,8,12,8,4,10,3,18,2,1,2,0,0,5,4,1,5,16,11,21,13,0,26,16
Rangers FC,Rangers,2018/2019,Scotland,38,19,19,0,23,14,9,9,4,5,6,1,5,2.05,2.42,1.68,1,2,3,2,82,27,55,109,52,57,45,37,7,20,38,17,42,38,46,127,243,86,17,12,5,18,6,12,5,2,3,26,16,10,269,160,109,75,29,46,57,60,55,504,301,203,286,164,122,218,137,81,454,227,227,48,26,22,14,4,10,34,22,12,24,14,10,8,3,5,6,2,4,2.11,2.37,1.84,2.87,2.74,3,2.16,2.37,1.95,0.71,0.37,1.05,1.63,1.58,1.68,1.26,1.37,1.16,0.37,0.21,0.53,36,30,20,11,6,4,18,14,8,6,2,2,18,16,12,5,4,2,2,8,18,27,32,34,1,5,11,13,17,17,1,3,7,14,15,17,95,79,53,29,16,11,95,74,42,32,11,11,95,84,63,26,21,11,5,21,47,71,84,89,5,26,58,68,89,89,5,16,37,74,79,89,33,16,8,17,8,4,16,8,4,87,42,21,89,42,21,84,42,21,61,74,47,29,45,63,26,47,32,63,13,11,16,68,84,53,25,15,10,66,79,53,11,4,7,29,21,37,7,2,5,18,11,26,63,74,53,21,16,26,16,11,21,7.08,8.42,5.74,1.97,1.53,2.42,89,84,74,63,42,32,26,21,1.85,1.99,1.71,1.05,0.86,1.23,84,10,11,10,9,12,4,7,7,12,4,2,5,2,2,0,3,4,5,24,21,26,16,5,26,16
Aberdeen FC,Aberdeen,2018/2019,Scotland,38,19,19,0,20,9,11,7,4,3,11,6,5,1.76,1.63,1.89,4,6,1,4,57,44,13,101,60,41,33,24,27,17,6,7,60,52,71,78,63,101,12,5,7,19,10,9,9,5,4,20,10,10,190,103,87,75,32,43,52,55,49,435,232,203,212,106,106,223,126,97,517,240,277,25,16,9,22,13,9,3,3,0,12,6,6,16,7,9,10,6,4,1.37,1.32,1.42,2.66,3.16,2.16,1.5,1.74,1.26,1.16,1.42,0.89,1.24,1.53,0.95,0.66,0.84,0.47,0.58,0.68,0.47,36,30,19,7,5,3,18,16,10,7,5,3,18,14,9,0,0,0,2,8,19,31,33,35,1,3,9,12,14,16,1,5,10,19,19,19,95,79,50,18,13,8,95,84,53,37,26,16,95,74,47,0,0,0,5,21,50,82,87,92,5,16,47,63,74,84,5,26,53,100,100,100,28,14,4,16,9,3,12,5,1,74,37,11,84,47,16,63,26,5,53,47,58,-3,32,26,37,50,53,47,24,26,21,53,53,53,21,9,12,55,47,63,18,7,11,47,37,58,9,6,3,24,32,16,32,32,32,42,37,47,26,32,21,5.00,5.42,4.58,1.97,1.68,2.26,68,57,50,45,34,28,18,16,1.45,1.61,1.29,1.15,1.02,1.29,58,6,4,8,3,6,8,6,9,7,2,4,4,8,5,4,5,6,6,18,21,16,29,32,26,8
Dundee FC,Dundee,2018/2019,Scotland,38,19,19,0,5,1,4,6,4,2,27,14,13,0.55,0.37,0.74,5,12,10,12,31,78,-47,109,50,59,14,17,36,42,-22,-25,110,122,101,44,48,41,4,2,2,16,7,9,19,11,8,11,5,6,149,87,62,76,38,38,47,45,48,366,206,160,181,102,79,185,104,81,430,206,224,16,8,8,34,14,20,-18,-6,-12,5,3,2,20,11,9,13,5,8,0.92,1.05,0.79,2.87,2.63,3.11,0.82,0.74,0.89,2.05,1.89,2.21,1.32,1.16,1.47,0.42,0.42,0.42,0.89,0.74,1.05,37,29,21,13,5,3,18,13,9,6,3,1,19,16,12,7,2,2,1,9,17,25,33,35,1,6,10,13,16,18,0,3,7,12,17,17,97,76,55,34,13,8,95,68,47,32,16,5,100,84,63,37,11,11,3,24,45,66,87,92,5,32,53,68,84,95,0,16,37,63,89,89,25,16,7,11,7,3,14,9,4,66,42,18,58,37,16,74,47,21,13,5,21,-1,11,11,11,42,37,47,50,58,42,29,26,32,17,10,7,45,53,37,24,12,12,63,63,63,10,5,5,26,26,26,13,16,11,53,58,47,34,26,42,3.92,4.58,3.26,2,2,2.00,89,76,71,47,45,34,26,24,1.12,1.25,0.97,1.94,2.00,1.87,53,4,5,3,3,2,3,4,3,4,7,12,6,4,10,16,7,6,10,16,21,11,71,74,68,13
Saint Johnstone FC,St. Johnstone,2018/2019,Scotland,38,19,19,0,15,8,7,7,5,2,16,6,10,1.37,1.53,1.21,2,7,6,6,38,48,-10,86,44,42,23,15,21,27,2,-12,90,74,114,71,81,63,16,9,7,13,7,6,11,4,7,22,13,9,184,111,73,60,30,30,47,47,47,361,212,149,169,99,70,192,113,79,400,197,203,16,11,5,17,10,7,-1,1,-2,12,9,3,18,6,12,8,4,4,1.42,1.74,1.11,2.26,2.32,2.21,1,1.21,0.79,1.26,1.11,1.42,0.87,1.11,0.63,0.42,0.58,0.26,0.45,0.53,0.37,36,29,12,5,2,2,18,15,6,3,1,1,18,14,6,2,1,1,2,9,26,33,36,36,1,4,13,16,18,18,1,5,13,17,18,18,95,76,32,13,5,5,95,79,32,16,5,5,95,74,32,11,5,5,5,24,68,87,95,95,5,21,68,84,95,95,5,26,68,89,95,95,21,8,2,13,4,2,8,4,0,55,21,5,68,21,11,42,21,0,39,42,37,17,42,47,37,34,37,32,29,21,37,58,68,47,29,15,14,76,79,74,24,9,15,63,47,79,2,1,1,5,5,5,32,47,16,47,32,63,21,21,21,4.84,5.84,3.84,1.58,1.58,1.58,82,74,66,57,45,28,18,16,1.03,1.17,0.89,1.43,1.39,1.47,45,3,7,1,3,3,6,2,8,5,3,5,3,3,4,7,7,6,10,18,26,11,42,32,53,13
Motherwell FC,Motherwell,2018/2019,Scotland,38,19,19,0,15,9,6,6,4,2,17,6,11,1.34,1.63,1.05,4,5,8,8,46,56,-10,102,49,53,29,17,20,36,9,-19,74,59,101,61,86,48,9,6,3,16,7,9,14,6,8,18,11,7,174,90,84,82,39,43,50,51,49,433,250,183,204,121,83,229,129,100,554,273,281,27,18,9,31,11,20,-4,7,-11,10,6,4,13,8,5,15,5,10,1.13,1.37,0.89,2.68,2.58,2.79,1.21,1.53,0.89,1.47,1.05,1.89,1.53,1.53,1.53,0.71,0.95,0.47,0.82,0.58,1.05,37,27,19,8,5,3,19,12,9,3,3,2,18,15,10,5,2,1,1,11,19,30,33,35,0,7,10,16,16,17,1,4,9,14,17,18,97,71,50,21,13,8,100,63,47,16,16,11,95,79,53,26,11,5,3,29,50,79,87,92,0,37,53,84,84,89,5,21,47,74,89,95,29,17,8,13,8,5,16,9,3,76,45,21,68,42,26,84,47,16,39,47,32,28,24,32,16,42,37,47,37,32,42,47,58,37,19,12,7,50,63,37,21,10,11,55,53,58,7,3,4,18,16,21,26,32,21,34,42,26,39,26,53,4.58,4.74,4.42,2.16,2.05,2.26,82,71,55,45,32,28,21,18,1.42,1.63,1.21,1.46,1.43,1.49,68,6,8,10,2,3,4,3,4,6,3,6,6,12,5,5,5,5,9,16,21,11,45,32,58,5
Heart of Midlothian FC,Hearts,2018/2019,Scotland,38,19,19,0,15,8,7,6,4,2,17,7,10,1.34,1.47,1.21,6,8,7,7,42,50,-8,92,40,52,22,20,18,32,4,-12,81,78,86,68,95,54,12,7,5,18,10,8,11,5,6,17,10,7,176,116,60,90,41,49,50,51,48,452,266,186,216,120,96,236,146,90,546,250,296,25,13,12,24,9,15,1,4,-3,11,5,6,18,10,8,9,4,5,1.34,1.32,1.37,2.42,2.11,2.74,1.11,1.16,1.05,1.32,0.95,1.68,1.29,1.16,1.42,0.66,0.68,0.63,0.63,0.47,0.79,35,26,20,7,4,0,16,12,9,2,1,0,19,14,11,5,3,0,3,12,18,31,34,38,3,7,10,17,18,19,0,5,8,14,16,19,92,68,53,18,11,0,84,63,47,11,5,0,100,74,58,26,16,0,8,32,47,82,89,100,16,37,53,89,95,100,0,26,42,74,84,100,25,16,6,11,7,2,14,9,4,66,42,16,58,37,11,74,47,21,39,42,37,17,32,37,26,47,53,42,29,26,32,45,53,37,21,12,9,55,63,47,21,11,10,55,58,53,9,4,5,24,21,26,29,26,32,47,53,42,24,21,26,4.63,6.11,3.16,2.37,2.16,2.58,82,79,63,47,37,16,16,3,1.56,1.82,1.30,1.48,1.40,1.56,68,3,6,6,4,8,6,4,2,3,3,9,4,6,5,4,6,7,6,16,21,11,45,37,53,3
Hibernian FC,Hibernian,2018/2019,Scotland,38,19,19,0,14,6,8,12,9,3,12,4,8,1.42,1.42,1.42,5,9,5,5,51,39,12,90,44,46,28,23,16,23,12,0,67,61,74,87,107,74,12,8,4,18,9,9,12,5,7,16,10,6,163,87,76,83,45,38,51,51,51,449,241,208,206,109,97,243,132,111,511,254,257,20,16,4,25,10,15,-5,6,-11,8,6,2,14,8,6,16,5,11,1,1.37,0.63,2.37,2.32,2.42,1.34,1.47,1.21,1.03,0.84,1.21,1.18,1.37,1,0.53,0.84,0.21,0.66,0.53,0.79,34,26,16,7,4,3,16,14,7,4,2,1,18,12,9,3,2,2,4,12,22,31,34,35,3,5,12,15,17,18,1,7,10,16,17,17,89,68,42,18,11,8,84,74,37,21,11,5,95,63,47,16,11,11,11,32,58,82,89,92,16,26,63,79,89,95,5,37,53,84,89,89,27,12,5,13,8,4,14,4,1,71,32,13,68,42,21,74,21,5,37,32,42,14,32,42,21,47,47,47,32,26,37,42,53,32,17,11,6,45,58,32,26,10,16,68,53,84,6,4,2,16,21,11,21,32,11,37,42,32,42,26,58,4.29,4.58,4.00,2.18,2.37,2.00,84,68,61,57,42,39,18,5,1.47,1.61,1.33,1.43,1.44,1.43,50,3,4,7,5,1,8,8,8,7,3,3,8,4,8,2,5,1,5,32,47,16,32,21,42,3
