timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1626450900,Jul 16 2021 - 3:55pm,complete,N/A,Čukarički,Voždovac,Momčilo Marković,1,0.00,0.00,1.74,1.00,2,1,3,2,1,1,"43,70","15",9,0,2,0,0,1,1,1,1,0,14,4,6,3,8,1,11,10,72,28,0.00,0.00,2.27,0.70,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.48,4.03,6.75,1.28,1.88,3.10,6.20,2.07,1.67,Stadion na Banovom brdu (Beograd)
1626458400,Jul 16 2021 - 6:00pm,complete,N/A,Red Star Belgrade,Vojvodina,N/A,1,0.00,0.00,2.68,1.00,0,0,0,0,0,0,"","",8,2,3,0,4,0,1,2,0,4,21,9,7,5,14,4,13,18,72,28,0.00,0.00,2.78,1.10,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.19,6.00,11.00,1.18,1.43,1.91,4.50,2.62,1.46,Stadion Rajko Mitić (Beograd)
1626540900,Jul 17 2021 - 4:55pm,complete,N/A,Bačka Topola,Novi Pazar,Jovan Šegrt,1,0.00,0.00,1.47,1.00,2,0,2,1,1,0,"28,51","",5,6,3,0,2,0,0,3,1,1,14,14,5,3,9,11,16,15,59,41,0.00,0.00,1.73,1.54,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.43,4.00,6.75,1.36,2.14,2.80,4.90,1.95,1.71,Gradski Stadion (Senta)
1626548400,Jul 17 2021 - 7:00pm,complete,N/A,Proleter Novi Sad,Partizan,Aleksandar Živković,1,0.00,0.00,1.11,2.61,0,4,4,4,0,4,"","9,12,22,28",5,4,2,0,1,0,1,1,1,0,4,11,2,7,2,4,17,16,49,51,0.00,0.00,0.82,1.60,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,8.25,5.00,1.30,1.30,1.83,3.00,6.00,2.50,1.42,Stadion Karađorđe (Novi Sad)
1626627300,Jul 18 2021 - 4:55pm,complete,N/A,Spartak Subotica,Radnički Niš,Nenad Minaković,1,0.00,0.00,1.21,0.84,1,1,2,0,0,0,"83","60",2,5,5,0,3,1,2,3,1,3,11,15,6,5,5,10,12,15,56,44,0.00,0.00,1.47,1.73,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.14,3.00,3.00,1.42,2.23,4.20,8.00,2.00,1.77,Gradski Stadion (Subotica)
1626634800,Jul 18 2021 - 7:00pm,complete,N/A,Mladost Lučani,Radnički Kragujevac,Milan Mitić,1,0.00,0.00,1.32,0.84,0,1,1,0,0,0,"","90'8",12,2,0,0,3,0,0,0,1,2,19,5,10,2,9,3,11,16,61,39,0.00,0.00,2.64,0.76,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.50,3.75,5.50,1.30,1.78,3.30,6.00,2.25,1.53,Mladost Stadium Lučani (Lučani)
1626713700,Jul 19 2021 - 4:55pm,complete,N/A,Radnik Surdulica,Metalac GM,Novak Simović,1,0.00,0.00,1.21,0.79,0,0,0,0,0,0,"","",2,5,1,0,4,0,0,1,1,3,8,9,2,3,6,6,18,12,43,57,0.00,0.00,0.95,1.12,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.20,3.30,3.10,1.35,2.08,3.05,5.50,1.74,1.87,Stadion Surdulica (Surdulica)
1626721200,Jul 19 2021 - 7:00pm,complete,N/A,Napredak,Kolubara,Stanko Ostraćanin,1,0.00,0.00,1.39,0.72,3,0,3,2,2,0,"24,42,47","",1,7,2,1,1,0,1,2,0,1,9,22,5,6,4,16,16,18,41,59,0.00,0.00,1.27,2.49,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.57,3.75,5.50,1.36,2.00,3.75,7.50,2.00,1.73,Stadion Mladost (Kruševac)
1627054200,Jul 23 2021 - 3:30pm,complete,N/A,Radnički Kragujevac,Spartak Subotica,Andrija Stojanović,2,0.00,0.00,1.06,1.17,3,2,5,3,2,1,"3,19,59","22,52",3,1,3,0,2,0,0,3,1,1,9,8,7,4,2,4,19,9,50,50,0.00,0.00,1.44,1.17,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.60,3.30,1.67,1.43,2.20,3.85,7.50,2.15,1.56,Stadion Čika Dača (Kragujevac)
1627063200,Jul 23 2021 - 6:00pm,complete,N/A,Voždovac,Proleter Novi Sad,Marko Ivković,2,0.00,0.00,1.67,0.79,2,1,3,1,1,0,"23,50","49",4,7,3,0,2,0,1,2,1,1,14,20,9,8,5,12,11,7,46,54,0.00,0.00,1.82,2.41,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.20,3.40,1.42,2.25,4.00,7.50,2.05,1.62,Stadion Event Place (Beograd)
