timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1721408400,Jul 19 2024 - 5:00pm,complete,N/A,Radnički Kragujevac,Železničar Pančevo,Milan Mitić,1,0.00,0.00,1.74,1.39,2,3,5,4,1,3,"29,53","3,15,45'3",4,5,3,0,2,0,1,2,1,1,11,7,5,4,6,3,19,19,63,37,0.00,0.00,1.63,1.12,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.91,3.45,3.77,1.32,1.97,3.42,6.55,1.80,1.85,Gradski stadion Dubočica (Leskovac)
1721415600,Jul 19 2024 - 7:00pm,complete,N/A,Napredak,Partizan,Novak Simović,1,0.00,0.00,1.42,2.00,0,1,1,0,0,0,"","90'3",3,4,1,1,1,0,0,2,0,1,6,11,3,4,3,7,17,9,38,62,0.00,0.00,0.89,1.54,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,9.18,5.10,1.25,1.21,1.55,2.61,4.62,2.20,1.55,Stadion Partizana (Beograd)
1721498400,Jul 20 2024 - 6:00pm,complete,N/A,Red Star Belgrade,Jedinstvo Ub,Miloš Milanović,1,0.00,0.00,2.68,0.37,4,0,4,2,2,0,"18,23,53,69","",10,3,1,0,1,0,1,0,1,0,17,4,9,0,8,4,16,8,62,38,0.00,0.00,2.20,0.46,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.06,7.50,19.00,1.10,1.30,1.86,2.74,2.40,1.45,Stadion Rajko Mitić (Beograd)
1721498400,Jul 20 2024 - 6:00pm,complete,N/A,Mladost Lučani,OFK Beograd,Nikola Radaković,1,0.00,0.00,1.39,1.39,1,2,3,0,0,0,"59","86,90'3",2,4,3,1,1,0,1,3,0,1,6,10,3,6,3,4,13,15,32,68,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.10,3.10,0.00,2.16,0.00,0.00,0.00,0.00,Stadion Radomir Antić (Užice)
1721498400,Jul 20 2024 - 6:00pm,complete,N/A,Čukarički,Radnički Niš,N/A,1,0.00,0.00,1.21,0.79,2,0,2,2,2,0,"32,45","",3,5,1,0,1,0,1,0,1,0,-1,-1,-1,-1,-1,-1,18,19,67,33,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.53,3.75,5.00,1.31,2.00,3.48,6.70,1.95,1.81,Stadion na Banovom brdu (Beograd)
1721575800,Jul 21 2024 - 3:30pm,complete,N/A,Novi Pazar,Spartak Subotica,Milan Stefanović,1,0.00,0.00,1.56,0.89,3,2,5,2,2,0,"23,31,78","83,90'2",4,1,4,0,2,0,1,3,2,0,12,8,4,6,8,2,17,14,46,54,0.00,0.00,1.46,1.36,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.65,3.35,4.30,1.37,2.14,3.83,7.45,1.86,1.90,Atletski stadion Novi Pazar (Novi Pazar)
1721583000,Jul 21 2024 - 5:30pm,complete,1000,Tekstilac Odžaci,Vojvodina,Lazar Lukić,1,0.00,0.00,0.94,1.74,1,3,4,1,0,1,"90","28,51,88",1,2,1,0,2,0,0,1,0,2,7,11,4,6,3,5,14,11,38,62,0.00,0.00,1.11,1.46,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.50,3.80,1.48,1.26,1.88,3.08,5.80,1.85,1.91,Stadion Slavko Maletin Vava (Bačka Palanka)
1721583000,Jul 21 2024 - 5:30pm,complete,N/A,Bačka Topola,IMT Novi Beograd,Pavle Ilić,1,0.00,0.00,1.39,1.22,1,0,1,0,0,0,"70","",7,8,4,0,3,0,2,2,1,2,11,9,5,4,6,5,11,16,66,34,0.00,0.00,1.65,1.29,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.49,3.95,5.10,1.24,1.71,2.87,5.25,1.86,1.90,TSC Arena (Bačka Topola)
1722103200,Jul 27 2024 - 6:00pm,complete,N/A,Jedinstvo Ub,Partizan,Nenad Minaković,2,0.00,3.00,1.00,2.00,0,4,4,2,0,2,"","2,27,52,65",2,6,2,0,2,0,1,1,0,2,4,12,1,6,3,6,21,9,48,52,0.00,1.54,0.40,1.27,0.50,0,0,0,0,0,0,0,0,50,4.00,1.00,5.25,4.10,1.47,1.14,1.70,2.55,4.80,1.73,2.05,Stadion Dragan Dzajić (Ub)
1722103200,Jul 27 2024 - 6:00pm,complete,N/A,Železničar Pančevo,Napredak,Jovan Šegrt,2,0.00,0.00,1.26,0.83,1,1,2,1,1,0,"36","71",5,0,0,0,1,0,0,0,0,1,10,3,5,1,5,2,14,16,69,31,0.00,0.00,1.47,0.33,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.82,3.25,3.75,1.25,1.90,3.30,6.00,1.65,2.18,Sportsko-Rekreativni Centar Mladost (Pančevo)
