team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Red Star Belgrade,Red Star Belgrade,2021/2022,Serbia,37,19,18,0,32,16,16,4,3,1,1,0,1,2.7,2.68,2.72,1,2,1,1,95,19,76,114,48,66,42,53,6,13,36,40,35,41,31,176,281,125,20,13,7,17,6,11,2,2,0,28,16,12,267,149,118,60,31,29,60,61,59,625,326,299,309,148,161,316,178,138,521,248,273,50,23,27,11,2,9,39,21,18,24,13,11,10,6,4,3,0,3,2.22,2.37,2.06,3.08,2.53,3.67,2.57,2.21,2.94,0.51,0.32,0.72,1.65,1.32,2,1.35,1.21,1.5,0.3,0.11,0.5,35,29,25,13,7,3,17,12,10,6,3,0,18,17,15,7,4,3,2,8,12,24,30,34,2,7,9,13,16,19,0,1,3,11,14,15,95,78,68,35,19,8,89,63,53,32,16,0,100,94,83,39,22,17,5,22,32,65,81,92,11,37,47,68,84,100,0,6,17,61,78,83,33,17,6,15,7,2,18,10,4,89,46,16,79,37,11,100,56,22,86,84,89,12,54,68,39,46,32,61,5,11,0,76,84,67,27,17,10,73,89,56,7,4,3,19,21,17,7,2,5,19,11,28,65,68,61,27,32,22,8,0,17,7.22,7.84,6.56,1.62,1.63,1.61,86,78,62,41,24,22,16,11,2.48,2.49,2.46,1.01,0.90,1.11,81,9,12,11,11,10,15,11,9,7,2,2,2,5,0,2,2,0,4,11,16,6,3,0,6,8
FK Partizan Beograd,Partizan,2021/2022,Serbia,37,19,18,0,31,16,15,5,3,2,1,0,1,2.65,2.68,2.61,2,1,2,2,85,13,72,98,52,46,45,40,7,6,38,34,39,38,41,257,243,273,25,12,13,11,7,4,5,2,3,28,16,12,218,123,95,58,26,32,56,57,55,555,311,244,268,149,119,287,162,125,475,246,229,49,24,25,7,2,5,42,22,20,27,14,13,9,5,4,1,0,1,2.43,2.47,2.39,2.65,2.74,2.56,2.3,2.37,2.22,0.35,0.37,0.33,1.51,1.37,1.67,1.32,1.26,1.39,0.19,0.11,0.28,33,30,19,12,4,0,17,16,9,7,3,0,16,14,10,5,1,0,4,7,18,25,33,37,2,3,10,12,16,19,2,4,8,13,17,18,89,81,51,32,11,0,89,84,47,37,16,0,89,78,56,28,6,0,11,19,49,68,89,100,11,16,53,63,84,100,11,22,44,72,94,100,30,19,5,15,10,1,15,9,4,81,51,14,79,53,5,83,50,22,84,84,83,-2,68,63,72,30,37,22,14,11,17,76,84,67,31,17,14,84,89,78,8,4,4,22,21,22,5,2,3,14,11,17,73,74,72,24,26,22,3,0,6,5.89,6.47,5.28,1.57,1.37,1.78,76,62,54,38,30,19,11,5,2.10,2.27,1.92,1.00,0.92,1.09,78,7,8,7,14,20,10,13,2,4,2,0,3,1,2,0,1,0,4,14,16,11,3,0,6,3
FK Radnik Surdulica,Radnik Surdulica,2021/2022,Serbia,37,19,18,0,12,5,7,15,8,7,10,6,4,1.38,1.21,1.56,2,11,3,4,37,37,0,74,40,34,20,17,20,17,0,0,90,86,96,90,86,96,15,7,8,15,9,6,13,7,6,19,10,9,129,74,55,82,36,46,46,50,43,316,178,138,149,74,75,167,104,63,573,284,289,18,11,7,18,9,9,0,2,-2,10,6,4,18,9,9,9,4,5,1.3,1.42,1.17,2,2.11,1.89,1,1.05,0.94,1,1.05,0.94,0.97,1.05,0.89,0.49,0.58,0.39,0.49,0.47,0.5,31,26,10,4,2,1,15,14,7,2,1,1,16,12,3,2,1,0,6,11,27,33,35,36,4,5,12,17,18,18,2,6,15,16,17,18,84,70,27,11,5,3,79,74,37,11,5,5,89,67,17,11,6,0,16,30,73,89,95,97,21,26,63,89,95,95,11,33,83,89,94,100,26,10,0,14,6,0,12,4,0,70,27,0,74,32,0,67,22,0,32,26,39,0,41,37,44,41,47,33,35,37,33,51,53,50,21,11,10,57,58,56,20,9,11,54,47,61,7,4,3,19,21,17,27,32,22,49,47,50,24,21,28,3.49,3.89,3.06,2.22,1.89,2.56,76,62,49,27,19,11,8,3,1.15,1.20,1.10,1.70,1.47,1.93,49,6,6,2,4,1,5,5,3,5,1,2,7,8,1,6,2,7,3,41,42,39,27,32,22,3
FK Voždovac,Voždovac,2021/2022,Serbia,37,18,19,0,13,8,5,10,6,4,14,4,10,1.32,1.67,1,4,6,8,5,48,45,3,93,51,42,29,19,22,23,7,-4,69,56,90,74,74,74,10,5,5,17,10,7,15,5,10,13,9,4,132,72,60,62,31,31,51,53,49,424,239,185,215,124,91,209,115,94,520,244,276,20,12,8,25,10,15,-5,2,-7,9,6,3,13,6,7,15,6,9,1.08,1.33,0.84,2.51,2.83,2.21,1.3,1.61,1,1.22,1.22,1.21,1.22,1.22,1.21,0.54,0.67,0.42,0.68,0.56,0.79,32,26,19,10,3,2,16,16,11,4,2,1,16,10,8,6,1,1,5,11,18,27,34,35,2,2,7,14,16,17,3,9,11,13,18,18,86,70,51,27,8,5,89,89,61,22,11,6,84,53,42,32,5,5,14,30,49,73,92,95,11,11,39,78,89,94,16,47,58,68,95,95,29,13,3,15,6,1,14,7,2,78,35,8,83,33,6,74,37,11,35,44,26,0,27,28,26,46,56,37,41,28,53,35,50,21,16,9,7,43,50,37,22,9,13,59,50,68,7,3,4,19,17,21,24,33,16,35,33,37,41,33,47,3.57,4.00,3.16,1.68,1.72,1.63,73,59,46,24,19,8,3,0,1.65,1.91,1.41,1.62,1.54,1.69,70,1,3,8,4,7,7,8,6,4,4,6,6,6,5,5,8,2,3,27,33,21,38,22,53,0
FK Napredak Kruševac,Napredak,2021/2022,Serbia,37,18,19,0,10,7,3,8,4,4,19,7,12,1.03,1.39,0.68,8,10,15,13,31,51,-20,82,40,42,18,13,22,29,-4,-16,107,90,132,65,74,59,10,6,4,13,7,6,18,5,13,12,8,4,138,81,57,92,44,48,50,52,47,327,185,142,157,92,65,170,93,77,606,288,318,14,5,9,25,11,14,-11,-6,-5,7,4,3,16,5,11,14,9,5,1,0.94,1.05,2.22,2.22,2.21,0.84,1,0.68,1.38,1.22,1.53,1.05,0.89,1.21,0.38,0.28,0.47,0.68,0.61,0.74,33,22,15,7,4,1,18,12,7,3,0,0,15,10,8,4,4,1,4,15,22,30,33,36,0,6,11,15,18,18,4,9,11,15,15,18,89,59,41,19,11,3,100,67,39,17,0,0,79,53,42,21,21,5,11,41,59,81,89,97,0,33,61,83,100,100,21,47,58,79,79,95,23,10,4,13,3,0,10,7,4,62,27,11,72,17,0,53,37,21,27,39,16,16,27,33,21,35,39,32,49,28,68,32,44,21,19,9,10,51,50,53,28,14,14,76,78,74,4,0,4,11,0,21,19,22,16,43,28,58,38,50,26,3.73,4.50,3.00,2.49,2.44,2.53,73,54,43,32,22,16,14,5,1.17,1.33,1.02,1.65,1.57,1.74,54,2,1,6,3,3,5,4,5,2,3,7,5,5,10,7,4,4,6,22,22,21,51,39,63,5
FK Vojvodina Novi Sad,Vojvodina,2021/2022,Serbia,37,18,19,0,13,8,5,6,2,4,18,8,10,1.22,1.44,1,7,8,9,10,44,51,-7,95,49,46,24,20,25,26,-1,-6,76,68,86,65,65,66,8,3,5,19,10,9,11,5,6,17,9,8,141,85,56,85,36,49,50,53,47,326,158,168,164,84,80,162,74,88,595,294,301,20,11,9,22,10,12,-2,1,-3,12,7,5,12,4,8,13,7,6,1.3,1.39,1.21,2.57,2.72,2.42,1.19,1.33,1.05,1.38,1.39,1.37,1.14,1.17,1.11,0.54,0.61,0.47,0.59,0.56,0.63,36,28,18,9,4,0,18,15,11,4,1,0,18,13,7,5,3,0,1,9,19,28,33,37,0,3,7,14,17,18,1,6,12,14,16,19,97,76,49,24,11,0,100,83,61,22,6,0,95,68,37,26,16,0,3,24,51,76,89,100,0,17,39,78,94,100,5,32,63,74,84,100,28,13,1,14,6,1,14,7,0,76,35,3,78,33,6,74,37,0,35,44,26,6,22,17,26,51,56,47,30,28,32,46,50,42,21,11,10,57,61,53,21,10,11,57,56,58,4,1,3,11,6,16,32,39,26,32,22,42,35,39,32,3.81,4.72,2.95,2.3,2,2.58,76,68,41,27,22,19,11,5,1.18,1.22,1.14,1.59,1.36,1.80,68,4,1,6,7,6,5,4,6,5,5,3,4,8,5,6,9,8,3,16,11,21,49,44,53,5
FK Spartak Subotica,Spartak Subotica,2021/2022,Serbia,37,19,18,0,12,6,6,8,5,3,17,8,9,1.19,1.21,1.17,4,12,5,11,45,60,-15,105,56,49,25,20,31,29,-6,-9,74,68,81,56,55,56,6,3,3,23,13,10,11,5,6,13,6,7,119,68,51,75,43,32,48,49,46,373,216,157,181,106,75,192,110,82,489,257,232,23,12,11,26,13,13,-3,-1,-2,8,4,4,15,8,7,14,7,7,1.05,1.05,1.06,2.84,2.95,2.72,1.22,1.32,1.11,1.62,1.63,1.61,1.32,1.32,1.33,0.62,0.63,0.61,0.7,0.68,0.72,34,31,23,10,5,1,17,16,12,7,2,1,17,15,11,3,3,0,3,6,14,27,32,36,2,3,7,12,17,18,1,3,7,15,15,18,92,84,62,27,14,3,89,84,63,37,11,5,94,83,61,17,17,0,8,16,38,73,86,97,11,16,37,63,89,95,6,17,39,83,83,100,29,16,4,14,8,3,15,8,1,78,43,11,74,42,16,83,44,6,32,32,33,4,16,16,17,62,68,56,30,26,33,35,32,39,15,8,7,41,42,39,20,11,9,54,58,50,10,5,5,27,26,28,22,21,22,41,42,39,38,37,39,3.22,3.58,2.83,2.03,2.26,1.78,81,68,56,43,24,22,14,8,1.41,1.60,1.20,1.77,1.66,1.90,68,4,5,6,6,2,5,5,4,8,5,6,3,9,5,7,8,8,9,22,26,17,46,42,50,3
FK Radnički Niš,Radnički Niš,2021/2022,Serbia,37,18,19,0,11,9,2,15,5,10,11,4,7,1.3,1.78,0.84,3,5,11,6,37,41,-4,78,38,40,22,15,16,25,6,-10,90,74,114,81,101,68,14,9,5,16,7,9,13,4,9,14,8,6,158,93,65,94,48,46,49,52,47,365,188,177,165,85,80,200,103,97,498,228,270,18,11,7,22,8,14,-4,3,-7,9,7,2,17,6,11,11,5,6,1.19,1.5,0.89,2.11,2.11,2.11,1,1.22,0.79,1.11,0.89,1.32,1.08,1.06,1.11,0.49,0.61,0.37,0.59,0.44,0.74,31,25,10,6,4,2,16,11,5,2,2,2,15,14,5,4,2,0,6,12,27,31,33,35,2,7,13,16,16,16,4,5,14,15,17,19,84,68,27,16,11,5,89,61,28,11,11,11,79,74,26,21,11,0,16,32,73,84,89,95,11,39,72,89,89,89,21,26,74,79,89,100,26,12,2,14,4,1,12,8,1,70,32,5,78,22,6,63,42,5,30,50,11,21,38,50,26,43,39,47,35,22,47,38,44,32,20,11,9,54,61,47,21,8,13,57,44,68,7,3,4,19,17,21,24,39,11,46,33,58,30,28,32,4.27,5.17,3.42,2.54,2.67,2.42,92,78,62,41,30,22,8,5,1.40,1.52,1.28,1.42,1.21,1.62,43,3,7,2,5,5,4,2,6,3,5,2,5,6,5,5,7,2,4,41,28,53,30,22,37,3
FK Čukarički Stankom,Čukarički,2021/2022,Serbia,37,19,18,0,15,8,7,15,9,6,7,2,5,1.62,1.74,1.5,6,3,4,3,54,34,20,88,43,45,30,24,13,21,17,3,62,57,68,98,132,77,14,9,5,20,10,10,10,5,5,18,8,10,193,112,81,75,30,45,52,53,51,396,231,165,197,110,87,199,121,78,658,332,326,23,11,12,18,8,10,5,3,2,12,4,8,15,11,4,10,4,6,1.38,1.21,1.56,2.38,2.26,2.5,1.46,1.58,1.33,0.92,0.68,1.17,1.11,1,1.22,0.62,0.58,0.67,0.49,0.42,0.56,30,28,19,6,3,1,14,13,8,3,3,1,16,15,11,3,0,0,7,9,18,31,34,36,5,6,11,16,16,18,2,3,7,15,18,18,81,76,51,16,8,3,74,68,42,16,16,5,89,83,61,17,0,0,19,24,49,84,92,97,26,32,58,84,84,95,11,17,39,83,100,100,27,11,3,11,6,2,16,5,1,73,30,8,58,32,11,89,28,6,41,42,39,17,38,47,28,54,53,56,27,26,28,49,42,56,21,11,10,57,58,56,19,12,7,51,63,39,7,4,3,19,21,17,32,21,44,41,58,22,27,21,33,5.22,5.89,4.50,2.03,1.58,2.50,86,76,73,51,38,24,5,3,1.53,1.70,1.36,1.37,1.32,1.43,62,3,4,3,7,7,9,8,6,7,0,5,3,7,6,4,2,5,2,41,47,33,19,11,28,0
FK Metalac Gornji Milanovac,Metalac GM,2021/2022,Serbia,37,18,19,0,8,5,3,9,3,6,20,10,10,0.89,1,0.79,6,16,13,16,42,65,-23,107,55,52,23,19,32,33,-9,-14,79,70,90,51,51,52,6,3,3,19,9,10,14,6,8,14,9,5,163,90,73,82,44,38,49,51,46,409,235,174,196,116,80,213,119,94,501,230,271,20,11,9,33,19,14,-13,-8,-5,4,2,2,19,8,11,14,8,6,0.84,0.78,0.89,2.89,3.06,2.74,1.14,1.28,1,1.76,1.78,1.74,1.43,1.67,1.21,0.54,0.61,0.47,0.89,1.06,0.74,35,29,20,11,7,4,18,16,11,5,4,1,17,13,9,6,3,3,2,8,17,26,30,33,0,2,7,13,14,17,2,6,10,13,16,16,95,78,54,30,19,11,100,89,61,28,22,6,89,68,47,32,16,16,5,22,46,70,81,89,0,11,39,72,78,94,11,32,53,68,84,84,29,18,5,16,10,3,13,8,2,78,49,14,89,56,17,68,42,11,22,28,16,6,16,17,16,51,50,53,38,33,42,38,50,26,11,4,7,30,22,37,19,8,11,51,44,58,15,8,7,41,44,37,11,11,11,51,44,58,38,44,32,4.41,5.00,3.84,2.22,2.44,2.00,76,68,65,54,30,16,11,3,1.53,1.76,1.31,1.61,1.60,1.62,65,0,6,7,4,6,2,5,6,6,7,5,7,9,8,9,10,4,6,24,17,32,54,56,53,3
