team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
IFK Norrköping,Norrköping,2014,Sweden,30,15,15,0,9,7,2,9,3,6,12,5,7,1.2,1.6,0.8,12,9,12,12,39,50,-11,89,46,43,25,14,21,29,4,-15,69,54,97,54,64,47,8,6,2,16,8,8,10,3,7,10,7,3,173,84,89,47,18,29,49,50,48,355,172,183,172,81,91,183,91,92,339,149,190,17,9,8,22,9,13,-5,0,-5,7,4,3,11,6,5,12,5,7,1.07,1.2,0.93,2.97,3.07,2.87,1.3,1.67,0.93,1.67,1.4,1.93,1.3,1.2,1.4,0.57,0.6,0.53,0.73,0.6,0.87,26,25,19,9,4,4,13,12,9,4,3,3,13,13,10,5,1,1,4,5,11,21,26,26,2,3,6,11,12,12,2,2,5,10,14,14,87,83,63,30,13,13,87,80,60,27,20,20,87,87,67,33,7,7,13,17,37,70,87,87,13,20,40,73,80,80,13,13,33,67,93,93,20,13,6,10,6,2,10,7,4,67,43,20,67,40,13,67,47,27,30,47,13,22,27,40,13,53,53,53,33,20,47,33,47,20,16,8,8,53,53,53,18,9,9,60,60,60,6,3,3,20,20,20,23,27,20,37,40,33,40,33,47,5.97,6.00,5.93,1.57,1.2,1.93,90,90,90,79,62,45,45,31,0.00,0.00,0.00,0.00,0.00,0.00,93,5,2,1,6,4,5,6,6,4,8,4,5,4,5,8,7,2,7,30,20,40,40,33,47,14
Örebro SK,Örebro,2014,Sweden,30,15,15,0,13,7,6,7,4,3,10,4,6,1.53,1.67,1.4,6,8,5,6,54,44,10,98,55,43,33,21,22,22,11,-1,50,41,64,61,61,61,5,3,2,21,11,10,5,2,3,15,8,7,150,82,68,42,14,28,49,53,46,339,181,158,150,76,74,189,105,84,322,139,183,27,17,10,18,8,10,9,9,0,12,7,5,9,5,4,9,3,6,1.5,1.73,1.27,3.27,3.67,2.87,1.8,2.2,1.4,1.47,1.47,1.47,1.5,1.67,1.33,0.9,1.13,0.67,0.6,0.53,0.67,29,25,19,12,7,4,14,12,10,8,5,4,15,13,9,4,2,0,1,5,11,18,23,26,1,3,5,7,10,11,0,2,6,11,13,15,97,83,63,40,23,13,93,80,67,53,33,27,100,87,60,27,13,0,3,17,37,60,77,87,7,20,33,47,67,73,0,13,40,73,87,100,25,11,6,11,6,5,14,5,1,83,37,20,73,40,33,93,33,7,43,47,40,0,17,20,13,70,73,67,17,13,20,50,53,47,13,8,5,43,53,33,14,7,7,47,47,47,8,4,4,27,27,27,40,47,33,30,33,27,30,20,40,5.36,6.31,4.53,1.4,0.93,1.87,96,93,89,71,56,46,39,36,0.00,0.00,0.00,0.00,0.00,0.00,80,6,7,6,3,5,5,5,5,12,3,5,3,1,10,3,5,6,8,23,27,20,33,27,40,21
Malmö FF,Malmö FF,2014,Sweden,30,15,15,0,18,9,9,8,4,4,4,2,2,2.07,2.07,2.07,1,3,1,1,59,31,28,90,50,40,34,25,16,15,18,10,46,40,54,87,84,90,11,5,6,18,10,8,2,0,2,20,9,11,158,90,68,47,20,27,55,58,52,365,201,164,159,85,74,206,116,90,323,141,182,22,8,14,17,8,9,5,0,5,13,5,8,11,6,5,6,4,2,1.67,1.4,1.93,3,3.33,2.67,1.97,2.27,1.67,1.03,1.07,1,1.3,1.07,1.53,0.73,0.53,0.93,0.57,0.53,0.6,29,24,19,10,5,2,15,14,12,7,2,0,14,10,7,3,3,2,1,6,11,20,25,28,0,1,3,8,13,15,1,5,8,12,12,13,97,80,63,33,17,7,100,93,80,47,13,0,93,67,47,20,20,13,3,20,37,67,83,93,0,7,20,53,87,100,7,33,53,80,80,87,24,12,2,11,5,0,13,7,2,80,40,7,73,33,0,87,47,13,60,60,60,6,37,33,40,60,67,53,7,0,13,67,60,73,18,9,9,60,60,60,11,8,3,37,53,20,7,2,5,23,13,33,43,33,53,37,40,33,20,27,13,5.45,6.43,4.53,1.57,1.33,1.80,83,66,62,59,41,31,28,17,0.00,0.00,0.00,0.00,0.00,0.00,90,3,7,4,5,7,5,10,4,14,4,6,2,3,2,1,4,3,6,27,27,27,13,13,13,14
Halmstads BK,Halmstad,2014,Sweden,30,15,15,0,11,5,6,6,5,1,13,5,8,1.3,1.33,1.27,10,14,8,10,44,50,-6,94,46,48,24,20,22,28,2,-8,61,56,68,54,61,48,5,3,2,20,11,9,6,2,4,16,9,7,173,95,78,45,28,17,47,50,45,376,210,166,168,95,73,208,115,93,321,171,150,19,10,9,23,11,12,-4,-1,-3,8,3,5,8,7,1,14,5,9,1.07,1.07,1.07,3.13,3.07,3.2,1.47,1.6,1.33,1.67,1.47,1.87,1.4,1.4,1.4,0.63,0.67,0.6,0.77,0.73,0.8,29,26,22,11,5,1,14,13,11,6,2,0,15,13,11,5,3,1,1,4,8,19,25,29,1,2,4,9,13,15,0,2,4,10,12,14,97,87,73,37,17,3,93,87,73,40,13,0,100,87,73,33,20,7,3,13,27,63,83,97,7,13,27,60,87,100,0,13,27,67,80,93,24,12,6,10,8,3,14,4,3,80,40,20,67,53,20,93,27,20,37,33,40,11,17,20,13,67,73,60,20,13,27,53,60,47,12,7,5,40,47,33,17,8,9,57,53,60,7,5,2,23,33,13,27,20,33,27,47,7,47,33,60,6.18,6.79,5.57,1.5,1.87,1.13,93,89,82,75,68,61,46,36,0.00,0.00,0.00,0.00,0.00,0.00,93,4,3,7,2,10,6,3,2,7,3,4,5,7,6,4,2,5,14,20,33,7,43,33,53,21
Djurgårdens IF,Djurgården,2014,Sweden,30,15,15,0,11,5,6,10,5,5,9,5,4,1.43,1.33,1.53,7,13,2,7,47,33,14,80,38,42,21,26,17,16,4,10,57,64,52,82,80,84,11,6,5,16,7,9,5,4,1,14,6,8,180,111,69,31,12,19,50,53,47,429,265,164,183,115,68,246,150,96,247,125,122,18,9,9,18,9,9,0,0,0,7,4,3,14,5,9,9,6,3,1.17,1.13,1.2,2.67,2.53,2.8,1.57,1.4,1.73,1.1,1.13,1.07,1.2,1.2,1.2,0.6,0.6,0.6,0.6,0.6,0.6,28,23,15,8,3,1,13,11,8,4,2,0,15,12,7,4,1,1,2,7,15,22,27,29,2,4,7,11,13,15,0,3,8,11,14,14,93,77,50,27,10,3,87,73,53,27,13,0,100,80,47,27,7,7,7,23,50,73,90,97,13,27,47,73,87,100,0,20,53,73,93,93,21,12,3,12,6,0,9,6,3,70,40,10,80,40,0,60,40,20,37,33,40,-7,37,40,33,53,47,60,17,27,7,47,40,53,15,7,8,50,47,53,16,9,7,53,60,47,8,2,6,27,13,40,23,27,20,47,33,60,30,40,20,6.43,7.40,5.31,1.03,0.8,1.27,96,96,93,89,71,68,46,28,0.00,0.00,0.00,0.00,0.00,0.00,70,5,3,3,4,6,6,3,9,8,6,4,4,2,4,5,5,0,3,33,33,33,30,33,27,18
AIK Fotboll,AIK,2014,Sweden,30,15,15,0,15,9,6,7,2,5,8,4,4,1.73,1.93,1.53,3,4,3,3,59,42,17,101,46,55,29,30,17,25,12,5,46,47,45,64,80,54,6,3,3,21,10,11,3,2,1,17,8,9,169,99,70,52,24,28,54,55,52,449,265,184,210,129,81,239,136,103,344,179,165,23,14,9,15,8,7,8,6,2,16,8,8,7,3,4,7,4,3,1.83,1.8,1.87,3.37,3.07,3.67,1.97,1.93,2,1.4,1.13,1.67,1.27,1.47,1.07,0.77,0.93,0.6,0.5,0.53,0.47,30,27,21,13,7,3,15,13,10,4,3,1,15,14,11,9,4,2,0,3,9,17,23,27,0,2,5,11,12,14,0,1,4,6,11,13,100,90,70,43,23,10,100,87,67,27,20,7,100,93,73,60,27,13,0,10,30,57,77,90,0,13,33,73,80,93,0,7,27,40,73,87,24,6,4,13,4,2,11,2,2,80,20,13,87,27,13,73,13,13,50,60,40,9,20,20,20,70,67,73,10,13,7,57,53,60,21,9,12,70,60,80,12,6,6,40,40,40,3,2,1,10,13,7,53,53,53,23,20,27,23,27,20,5.83,6.60,5.00,1.73,1.6,1.87,83,69,62,59,48,41,28,17,0.00,0.00,0.00,0.00,0.00,0.00,83,3,2,9,4,8,7,10,3,13,5,2,3,3,5,5,6,2,11,23,13,33,27,27,27,14
IF Elfsborg,Elfsborg,2014,Sweden,30,15,15,0,15,10,5,7,3,4,8,2,6,1.73,2.2,1.27,4,2,7,4,40,31,9,71,31,40,23,17,8,23,15,-6,68,59,80,87,170,59,13,8,5,14,5,9,6,3,3,15,9,6,209,122,87,42,13,29,55,57,53,412,239,173,181,94,87,231,145,86,327,174,153,13,7,6,16,3,13,-3,4,-7,8,6,2,12,7,5,10,2,8,1.2,1.67,0.73,2.37,2.07,2.67,1.33,1.53,1.13,1.03,0.53,1.53,0.97,0.67,1.27,0.43,0.47,0.4,0.53,0.2,0.87,27,17,12,8,5,2,14,7,5,4,1,0,13,10,7,4,4,2,3,13,18,22,25,28,1,8,10,11,14,15,2,5,8,11,11,13,90,57,40,27,17,7,93,47,33,27,7,0,87,67,47,27,27,13,10,43,60,73,83,93,7,53,67,73,93,100,13,33,53,73,73,87,19,7,3,8,1,1,11,6,2,63,23,10,53,7,7,73,40,13,50,67,33,32,43,53,33,47,33,60,20,20,20,50,60,40,18,12,6,60,80,40,19,9,10,63,60,67,4,1,3,13,7,20,27,40,13,40,47,33,33,13,53,6.97,8.13,5.80,1.4,0.87,1.93,87,80,70,63,56,50,50,40,0.00,0.00,0.00,0.00,0.00,0.00,60,2,0,4,5,4,7,6,5,7,7,2,4,1,5,3,4,1,4,23,20,27,27,13,40,27
BK Häcken,Häcken,2014,Sweden,30,15,15,0,13,7,6,7,5,2,10,3,7,1.53,1.73,1.33,5,6,6,5,58,45,13,103,49,54,30,28,19,26,11,2,47,45,48,60,71,52,3,2,1,22,11,11,6,2,4,15,7,8,165,98,67,50,21,29,53,55,50,337,195,142,155,99,56,182,96,86,302,179,123,30,13,17,22,15,7,8,-2,10,13,5,8,8,3,5,9,7,2,1.57,1.2,1.93,3.43,3.27,3.6,1.93,2,1.87,1.5,1.27,1.73,1.73,1.87,1.6,1,0.87,1.13,0.73,1,0.47,29,26,19,14,10,4,15,15,9,6,3,1,14,11,10,8,7,3,1,4,11,16,20,26,0,0,6,9,12,14,1,4,5,7,8,12,97,87,63,47,33,13,100,100,60,40,20,7,93,73,67,53,47,20,3,13,37,53,67,87,0,0,40,60,80,93,7,27,33,47,53,80,25,18,7,14,10,3,11,8,4,83,60,23,93,67,20,73,53,27,43,47,40,10,10,13,7,73,73,73,20,13,27,50,47,53,13,3,10,43,20,67,13,8,5,43,53,33,9,5,4,30,33,27,43,33,53,27,20,33,30,47,13,5.89,6.53,5.15,1.67,1.4,1.93,86,75,68,56,50,46,25,18,0.00,0.00,0.00,0.00,0.00,0.00,110,11,9,8,2,3,7,4,4,10,4,6,5,5,2,4,7,6,6,23,33,13,33,20,47,18
IFK Göteborg,IFK Göteborg,2014,Sweden,30,15,15,0,15,11,4,11,2,9,4,2,2,1.87,2.33,1.4,2,1,4,2,58,34,24,92,53,39,38,20,15,19,23,1,47,36,68,80,90,71,10,6,4,16,7,9,7,3,4,16,10,6,162,84,78,36,19,17,52,53,50,356,183,173,170,86,84,186,97,89,267,122,145,24,16,8,15,7,8,9,9,0,14,9,5,8,3,5,8,3,5,1.67,2,1.33,3.07,3.53,2.6,1.93,2.53,1.33,1.13,1,1.27,1.3,1.53,1.07,0.8,1.07,0.53,0.5,0.47,0.53,27,26,18,10,5,3,14,13,11,7,4,2,13,13,7,3,1,1,3,4,12,20,25,27,1,2,4,8,11,13,2,2,8,12,14,14,90,87,60,33,17,10,93,87,73,47,27,13,87,87,47,20,7,7,10,13,40,67,83,90,7,13,27,53,73,87,13,13,53,80,93,93,24,8,4,13,5,3,11,3,1,80,27,13,87,33,20,73,20,7,50,73,27,22,33,40,27,53,47,60,23,20,27,53,67,40,18,9,9,60,60,60,14,5,9,47,33,60,4,3,1,13,20,7,47,60,33,27,20,33,27,20,33,5.79,6.46,5.20,1.2,1.27,1.13,79,71,64,56,46,32,28,18,0.00,0.00,0.00,0.00,0.00,0.00,73,4,9,4,4,5,8,9,3,12,3,3,4,3,6,6,2,4,3,37,13,60,13,13,13,11
Kalmar FF,Kalmar,2014,Sweden,30,15,15,0,10,6,4,9,6,3,11,3,8,1.3,1.6,1,11,10,9,11,36,45,-9,81,41,40,22,14,19,26,3,-12,75,61,97,60,71,52,8,4,4,17,10,7,8,2,6,13,8,5,128,78,50,52,17,35,51,53,48,299,160,139,134,69,65,165,91,74,344,185,159,17,8,9,17,9,8,0,-1,1,8,3,5,12,8,4,10,4,6,1.2,1.13,1.27,2.7,2.73,2.67,1.2,1.47,0.93,1.5,1.27,1.73,1.13,1.13,1.13,0.57,0.53,0.6,0.57,0.6,0.53,27,27,14,10,3,0,14,14,7,5,1,0,13,13,7,5,2,0,3,3,16,20,27,30,1,1,8,10,14,15,2,2,8,10,13,15,90,90,47,33,10,0,93,93,47,33,7,0,87,87,47,33,13,0,10,10,53,67,90,100,7,7,53,67,93,100,13,13,53,67,87,100,22,9,3,11,5,1,11,4,2,73,30,10,73,33,7,73,27,13,33,40,27,19,27,27,27,57,67,47,27,13,40,43,53,33,16,7,9,53,47,60,15,7,8,50,47,53,7,5,2,23,33,13,27,20,33,40,53,27,33,27,40,4.57,5.57,3.57,1.73,1.13,2.33,75,71,54,46,32,25,11,7,0.00,0.00,0.00,0.00,0.00,0.00,57,3,6,3,3,3,5,4,3,6,2,8,4,3,1,7,8,7,5,30,40,20,37,20,53,7
