team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
FC Basel 1893,Basel,2014/2015,Switzerland,36,18,18,0,24,12,12,6,4,2,6,2,4,2.17,2.22,2.11,1,1,1,1,84,41,43,125,58,67,43,41,15,26,28,15,39,38,39,79,108,63,11,7,4,24,10,14,2,2,0,26,12,14,137,63,74,86,40,46,56,56,56,218,99,119,117,56,61,101,43,58,353,135,218,38,20,18,18,10,8,20,10,10,20,9,11,7,4,3,9,5,4,1.86,1.72,2,3.47,3.22,3.72,2.33,2.39,2.28,1.14,0.83,1.44,1.56,1.67,1.44,1.06,1.11,1,0.5,0.56,0.44,35,32,27,16,9,5,17,16,11,6,4,3,18,16,16,10,5,2,1,4,9,20,27,31,1,2,7,12,14,15,0,2,2,8,13,16,97,89,75,44,25,14,94,89,61,33,22,17,100,89,89,56,28,11,3,11,25,56,75,86,6,11,39,67,78,83,0,11,11,44,72,89,31,16,6,15,9,4,16,7,2,86,44,17,83,50,22,89,39,11,67,67,67,15,31,39,22,67,56,78,6,11,0,72,67,78,24,11,13,67,61,72,11,6,5,31,33,28,6,4,2,17,22,11,56,50,61,19,22,17,25,28,22,5.07,5.73,4.63,2.39,2.22,2.56,89,81,59,30,26,22,19,15,0.00,0.00,0.00,0.00,0.00,0.00,111,4,7,9,11,13,8,6,9,17,3,4,2,4,9,4,2,4,9,17,22,11,17,11,22,11
BSC Young Boys,Young Boys,2014/2015,Switzerland,36,18,18,0,19,12,7,9,3,6,8,3,5,1.83,2.17,1.5,2,2,3,2,64,45,19,109,63,46,42,22,21,24,21,-2,51,39,74,72,77,68,11,3,8,22,12,10,5,3,2,21,10,11,149,78,71,73,30,43,51,53,50,288,146,142,129,48,81,159,98,61,431,206,225,32,20,12,17,9,8,15,11,4,17,9,8,12,5,7,7,4,3,1.75,1.78,1.72,3.03,3.5,2.56,1.78,2.33,1.22,1.25,1.17,1.33,1.36,1.61,1.11,0.89,1.11,0.67,0.47,0.5,0.44,34,26,21,15,7,4,18,15,13,9,5,3,16,11,8,6,2,1,2,10,15,21,29,32,0,3,5,9,13,15,2,7,10,12,16,17,94,72,58,42,19,11,100,83,72,50,28,17,89,61,44,33,11,6,6,28,42,58,81,89,0,17,28,50,72,83,11,39,56,67,89,94,28,14,5,16,10,2,12,4,3,78,39,14,89,56,11,67,22,17,53,67,39,19,31,17,44,61,67,56,14,17,11,58,56,61,23,10,13,64,56,72,13,6,7,36,33,39,8,4,4,22,22,22,47,50,44,33,28,39,19,22,17,4.81,5.20,4.44,2.03,1.67,2.39,81,77,77,57,45,42,26,19,0.00,0.00,0.00,0.00,0.00,0.00,75,5,5,9,9,9,7,5,3,12,4,6,1,6,2,6,6,4,10,25,17,33,22,17,28,10
FC Thun,Thun,2014/2015,Switzerland,36,18,18,0,13,10,3,13,6,7,10,2,8,1.44,2,0.89,4,3,9,4,47,45,2,92,54,38,34,13,20,25,14,-12,69,48,125,72,81,65,11,5,6,20,12,8,11,3,8,15,11,4,131,76,55,78,32,46,44,44,44,289,193,96,139,104,35,150,89,61,443,235,208,25,21,4,18,6,12,7,15,-8,11,10,1,17,7,10,8,1,7,1.39,2.06,0.72,2.56,3,2.11,1.31,1.89,0.72,1.25,1.11,1.39,1.19,1.5,0.89,0.69,1.17,0.22,0.5,0.33,0.67,30,24,20,12,6,0,16,13,12,9,4,0,14,11,8,3,2,0,6,12,16,24,30,36,2,5,6,9,14,18,4,7,10,15,16,18,83,67,56,33,17,0,89,72,67,50,22,0,78,61,44,17,11,0,17,33,44,67,83,100,11,28,33,50,78,100,22,39,56,83,89,100,23,13,5,13,9,4,10,4,1,64,36,14,72,50,22,56,22,6,36,56,17,28,31,28,33,56,67,44,31,17,44,42,61,22,22,13,9,61,72,50,21,6,15,58,33,83,6,4,2,17,22,11,31,56,6,47,39,56,22,6,39,4.68,4.75,4.58,2.17,1.78,2.56,86,79,68,56,39,32,21,11,0.00,0.00,0.00,0.00,0.00,0.00,69,9,3,4,5,7,2,4,7,6,0,4,3,9,2,9,3,5,10,36,33,39,28,11,44,7
FC Sion,Sion,2014/2015,Switzerland,36,18,18,0,12,8,4,9,4,5,15,6,9,1.25,1.56,0.94,7,5,5,7,47,48,-1,95,58,37,33,14,25,23,8,-9,69,49,115,68,65,70,13,7,6,16,8,8,10,4,6,14,8,6,137,80,57,104,42,62,49,51,48,267,117,150,119,53,66,148,64,84,431,226,205,20,15,5,25,15,10,-5,0,-5,8,6,2,18,6,12,10,6,4,1.17,1.33,1,2.64,3.22,2.06,1.31,1.83,0.78,1.33,1.39,1.28,1.25,1.67,0.83,0.56,0.83,0.28,0.69,0.83,0.56,33,23,18,11,6,2,17,12,12,9,4,2,16,11,6,2,2,0,3,13,18,25,30,34,1,6,6,9,14,16,2,7,12,16,16,18,92,64,50,31,17,6,94,67,67,50,22,11,89,61,33,11,11,0,8,36,50,69,83,94,6,33,33,50,78,89,11,39,67,89,89,100,23,15,4,14,9,4,9,6,0,64,42,11,78,50,22,50,33,0,33,44,22,18,36,39,33,44,44,44,28,22,33,39,44,33,20,9,11,56,50,61,21,8,13,58,44,72,8,5,3,22,28,17,22,33,11,50,33,67,28,33,22,4.57,5.00,4.07,2.89,2.33,3.44,90,70,53,43,40,37,27,17,0.00,0.00,0.00,0.00,0.00,0.00,56,2,3,5,8,7,6,4,6,6,7,4,6,5,5,4,6,5,6,25,22,28,42,33,50,10
FC Luzern,Luzern,2014/2015,Switzerland,36,18,18,0,12,5,7,11,8,3,13,5,8,1.31,1.28,1.33,5,7,4,5,54,46,8,100,44,56,25,29,19,27,6,2,60,65,56,70,85,60,12,7,5,19,9,10,9,5,4,18,8,10,175,103,72,95,43,52,53,55,50,336,203,133,161,91,70,175,112,63,466,209,257,24,12,12,20,7,13,4,5,-1,12,6,6,16,9,7,8,3,5,1.44,1.5,1.39,2.78,2.44,3.11,1.5,1.39,1.61,1.28,1.06,1.5,1.22,1.06,1.39,0.67,0.67,0.67,0.56,0.39,0.72,32,27,18,10,7,2,15,14,7,3,2,1,17,13,11,7,5,1,4,9,18,26,29,34,3,4,11,15,16,17,1,5,7,11,13,17,89,75,50,28,19,6,83,78,39,17,11,6,94,72,61,39,28,6,11,25,50,72,81,94,17,22,61,83,89,94,6,28,39,61,72,94,26,14,3,12,5,1,14,9,2,72,39,8,67,28,6,78,50,11,33,28,39,5,33,39,28,53,50,56,25,28,22,50,44,56,20,11,9,56,61,50,17,9,8,47,50,44,9,4,5,25,22,28,33,33,33,44,50,39,22,17,28,5.47,6.06,4.80,2.64,2.39,2.89,91,81,72,50,38,25,19,16,0.00,0.00,0.00,0.00,0.00,0.00,67,6,5,5,6,5,3,8,8,8,1,3,1,12,9,1,6,4,9,31,44,17,36,28,44,13
FC Sankt Gallen 1879,St. Gallen,2014/2015,Switzerland,36,18,18,0,13,8,5,8,6,2,15,4,11,1.31,1.67,0.94,6,4,8,6,57,65,-8,122,56,66,32,25,24,41,8,-16,57,51,65,50,68,39,7,4,3,23,12,11,7,3,4,14,7,7,182,96,86,91,44,47,51,52,50,269,130,139,130,69,61,139,61,78,425,215,210,20,8,12,28,10,18,-8,-2,-6,9,4,5,14,8,6,13,6,7,1.14,1.11,1.17,3.39,3.11,3.67,1.58,1.78,1.39,1.81,1.33,2.28,1.33,1,1.67,0.56,0.44,0.67,0.78,0.56,1,35,32,25,15,7,5,17,15,12,7,3,2,18,17,13,8,4,3,1,4,11,21,29,31,1,3,6,11,15,16,0,1,5,10,14,15,97,89,69,42,19,14,94,83,67,39,17,11,100,94,72,44,22,17,3,11,31,58,81,86,6,17,33,61,83,89,0,6,28,56,78,83,26,14,5,12,4,1,14,10,4,72,39,14,67,22,6,78,56,22,36,44,28,20,19,22,17,64,67,61,19,17,22,39,39,39,18,10,8,50,56,44,21,12,9,58,67,50,7,2,5,19,11,28,25,22,28,39,44,33,36,33,39,5.52,6.00,5.06,2.53,2.44,2.61,88,61,52,42,42,36,24,15,0.00,0.00,0.00,0.00,0.00,0.00,83,4,4,3,5,5,4,7,9,16,8,6,5,4,8,8,7,8,11,22,33,11,42,22,61,9
Grasshopper Club Zürich,Grasshopper,2014/2015,Switzerland,36,18,18,0,11,7,4,10,5,5,15,6,9,1.19,1.44,0.94,8,6,6,8,50,56,-6,106,47,59,25,25,22,34,3,-9,65,65,65,58,74,48,9,6,3,19,9,10,11,6,5,18,9,9,138,87,51,97,44,53,51,50,52,279,160,119,137,82,55,142,78,64,453,240,213,24,10,14,25,8,17,-1,2,-3,10,5,5,14,9,5,12,4,8,1.22,1.33,1.11,2.94,2.61,3.28,1.39,1.39,1.39,1.56,1.22,1.89,1.36,1,1.72,0.67,0.56,0.78,0.69,0.44,0.94,33,27,19,14,8,4,15,12,9,7,3,1,18,15,10,7,5,3,3,9,17,22,28,32,3,6,9,11,15,17,0,3,8,11,13,15,92,75,53,39,22,11,83,67,50,39,17,6,100,83,56,39,28,17,8,25,47,61,78,89,17,33,50,61,83,94,0,17,44,61,72,83,27,11,5,11,4,2,16,7,3,75,31,14,61,22,11,89,39,17,31,39,22,11,25,33,17,53,50,56,31,33,28,50,50,50,18,11,7,50,61,39,21,11,10,58,61,56,6,3,3,17,17,17,28,28,28,39,50,28,33,22,44,4.45,5.44,3.40,2.69,2.44,2.94,74,61,42,39,35,28,28,13,0.00,0.00,0.00,0.00,0.00,0.00,81,4,6,5,6,4,4,6,5,10,5,4,9,5,9,6,4,7,7,28,28,28,42,33,50,3
FC Vaduz,Vaduz,2014/2015,Liechtenstein,36,18,18,0,7,3,4,10,5,5,19,10,9,0.86,0.78,0.94,9,10,7,9,28,59,-31,87,44,43,14,14,30,29,-16,-15,115,115,115,55,54,56,6,2,4,15,8,7,16,8,8,13,7,6,126,82,44,94,49,45,47,49,44,222,145,77,99,65,34,123,80,43,348,190,158,11,6,5,28,13,15,-17,-7,-10,6,3,3,13,6,7,17,9,8,0.86,0.83,0.89,2.42,2.44,2.39,0.78,0.78,0.78,1.64,1.67,1.61,1.08,1.06,1.11,0.31,0.33,0.28,0.78,0.72,0.83,35,24,14,11,2,1,18,13,6,6,1,0,17,11,8,5,1,1,1,12,22,25,34,35,0,5,12,12,17,18,1,7,10,13,17,17,97,67,39,31,6,3,100,72,33,33,6,0,94,61,44,28,6,6,3,33,61,69,94,97,0,28,67,67,94,100,6,39,56,72,94,94,25,9,4,13,5,1,12,4,3,69,25,11,72,28,6,67,22,17,19,17,22,-1,17,11,22,42,44,39,44,44,44,36,39,33,16,8,8,44,44,44,27,13,14,75,72,78,4,2,2,11,11,11,17,17,17,36,33,39,47,50,44,4.34,5.47,3.14,2.61,2.72,2.50,90,69,59,38,28,28,17,14,0.00,0.00,0.00,0.00,0.00,0.00,44,2,3,1,2,5,5,4,4,2,6,3,10,5,5,6,7,8,9,28,28,28,53,56,50,7
FC Zürich,Zürich,2014/2015,Switzerland,36,18,18,0,15,6,9,8,4,4,13,8,5,1.47,1.22,1.72,3,8,2,3,55,48,7,103,46,57,24,31,22,26,2,5,59,68,52,68,74,63,9,4,5,22,10,12,8,6,2,16,7,9,165,98,67,106,41,65,51,52,50,260,158,102,130,78,52,130,80,50,398,204,194,23,11,12,24,10,14,-1,1,-2,8,3,5,19,11,8,9,4,5,1.19,1.11,1.28,2.86,2.56,3.17,1.53,1.33,1.72,1.33,1.22,1.44,1.31,1.17,1.44,0.64,0.61,0.67,0.67,0.56,0.78,33,26,22,12,7,2,16,11,10,4,3,1,17,15,12,8,4,1,3,10,14,24,29,34,2,7,8,14,15,17,1,3,6,10,14,17,92,72,61,33,19,6,89,61,56,22,17,6,94,83,67,44,22,6,8,28,39,67,81,94,11,39,44,78,83,94,6,17,33,56,78,94,23,15,6,10,5,3,13,10,3,64,42,17,56,28,17,72,56,17,42,33,50,-3,25,22,28,61,56,67,22,33,11,44,39,50,19,11,8,53,61,44,20,11,9,56,61,50,10,4,6,28,22,33,22,17,28,53,61,44,25,22,28,5.89,6.53,5.15,2.94,2.28,3.61,96,79,71,50,32,28,25,18,0.00,0.00,0.00,0.00,0.00,0.00,75,2,7,8,5,2,9,5,10,7,4,4,7,4,8,2,0,8,11,22,22,22,36,44,28,14
FC Aarau,Aarau,2014/2015,Switzerland,36,18,18,0,6,5,1,12,3,9,18,10,8,0.83,1,0.67,10,9,10,10,31,64,-33,95,47,48,17,14,30,34,-13,-20,105,96,115,51,54,48,6,2,4,18,9,9,16,8,8,11,6,5,134,49,85,72,37,35,47,48,45,224,106,118,103,46,57,121,60,61,355,146,209,12,6,6,26,12,14,-14,-6,-8,10,5,5,8,4,4,18,9,9,1.06,1.06,1.06,2.64,2.61,2.67,0.86,0.94,0.78,1.78,1.67,1.89,1.06,1,1.11,0.33,0.33,0.33,0.72,0.67,0.78,32,25,18,10,5,3,17,12,9,3,3,1,15,13,9,7,2,2,4,11,18,26,31,33,1,6,9,15,15,17,3,5,9,11,16,16,89,69,50,28,14,8,94,67,50,17,17,6,83,72,50,39,11,11,11,31,50,72,86,92,6,33,50,83,83,94,17,28,50,61,89,89,28,5,3,14,3,1,14,2,2,78,14,8,78,17,6,78,11,11,17,28,6,8,17,11,22,50,50,50,44,44,44,31,33,28,17,9,8,47,50,44,25,12,13,69,67,72,2,1,1,6,6,6,28,28,28,22,22,22,50,50,50,4.62,4.08,5.00,2,2.06,1.94,90,83,72,62,55,48,34,24,0.00,0.00,0.00,0.00,0.00,0.00,78,3,1,4,3,4,3,2,3,8,3,6,9,6,4,5,10,11,10,33,17,50,50,56,44,17
